,german,french,Distances
175,gefunden,trouvé,0.0
176,sache,chose,0.3333333333333333
177,hilfe,aider,0.0
178,verdammt,bon sang,0.0
179,ne,non,0.5
180,gern,volontier,0.2
181,konnte,pourrait,0.25
182,darüber,à propos de ça,0.1
183,halten,donjon,0.25
184,siehst,voir,0.0
185,verstehe,comprendre,0.14285714285714285
186,jahren,années,0.0
187,kam,est venu,0.0
188,kind,enfant,0.25
189,wusste,connaissait,0.5
190,wahr,vrai,0.3333333333333333
191,bruder,frères,0.4
192,daran,à elle,0.0
193,denken,pense,0.25
194,könnten,pourrait,0.16666666666666666
195,dank,grâce à,0.0
196,lieber,plutôt,0.2
197,fall,cas,0.0
198,sehe,voir,0.0
199,egal,peu importe,0.0
200,kennen,connaître,0.3333333333333333
201,vergessen,oubliez,0.0
202,frage,interroger,0.3333333333333333
203,mache,fabriquer,0.0
204,komme,viens,0.0
205,sage,légende,0.2
206,mag,comme,0.3333333333333333
207,sieh,voir,0.0
208,echt,réel,0.0
209,gib,donner,0.0
210,eigentlich,réellement,0.14285714285714285
211,dad,papa,0.0
212,gab,a donné,0.0
213,uhr,l'horloge,0.3333333333333333
214,stadt,ville,0.0
215,männer,hommes,0.0
216,baby,nourrisson,0.0
217,fahren,conduire,0.0
218,namen,des noms,0.3333333333333333
219,bekommen,pour obtenir,0.14285714285714285
220,kopf,tête,0.0
221,hi,salut,0.0
222,gehe,aller,0.0
223,kleine,petit,0.0
224,später,plus tard,0.2857142857142857
225,glück,chance,0.2
226,letzte,dernière,0.0
227,freunde,copains,0.25
228,n,n,1.0
229,all,allès,0.5
230,darauf,dessus,0.25
231,ende,fin,0.0
232,dr.,dr.,1.0
233,bald,bientôt,0.2
234,töten,tuer,0.25
235,dinge,des choses,0.14285714285714285
236,meinst,moyenne,0.25
237,toll,super,0.0
238,eins,une,0.5
239,minuten,minutes,0.75
240,vielen,de nombreux,0.14285714285714285
241,bereit,prêt,0.5
242,weit,loin,0.0
243,ahnung,idée,0.0
244,bisschen,un peu,0.0
245,tür,porte,0.0
246,auto,voiture,0.3333333333333333
247,jungs,les mecs,0.16666666666666666
248,augen,les yeux,0.0
249,polizei,police,0.6666666666666666
250,stehen,supporter,0.16666666666666666
251,sterben,mourir,0.2
252,hätten,avais,0.0
253,draußen,à l'extérieur,0.0
254,kenne,connaître,0.3333333333333333
255,fast,presque,0.25
256,runter,vers le bas,0.125
257,vorbei,plus de,0.0
258,treffen,rencontre,0.16666666666666666
259,gerne,volontier,0.2
260,dran,à ton tour,0.14285714285714285
261,wurden,est devenu,0.3333333333333333
262,arbeiten,travailler,0.16666666666666666
263,mom,maman,0.6666666666666666
264,verrückt,fou,0.0
265,neue,nouveau,0.5
266,ging,est allé,0.0
267,sorgen,des soucis,0.16666666666666666
268,einzige,seulement,0.0
269,jemanden,quelqu'un,0.2
270,darum,donc,0.3333333333333333
271,tochter,la fille,0.0
272,braucht,besoins,0.2
273,idee,idée,0.5
274,schwester,sœur,0.2857142857142857
275,drin,à l'intérieur,0.1111111111111111
276,ruhig,calmes,0.0
277,sah,vu,0.0
278,ganzen,entier,0.25
279,spät,en retard,0.16666666666666666
280,ziemlich,assez,0.0
281,solltest,devrait,0.16666666666666666
282,name,nom de famille,0.2222222222222222
283,sogar,même,0.0
284,kurz,court,0.3333333333333333
285,kerl,mec,0.0
286,frauen,femmes,0.25
287,liegt,mensonges,0.16666666666666666
288,suchen,à la recherche de,0.16666666666666666
289,finde,trouver,0.0
290,je,déjà,0.25
291,woher,d'où,0.0
292,lang,long,1.0
293,job,travail,0.0
294,hört,entend,0.0
295,verstehen,comprendre,0.0
296,spielen,jouer,0.0
297,s.,s.,1.0
298,überhaupt,du tout,0.16666666666666666
299,teufel,diable,0.3333333333333333
300,verstanden,bien reçu,0.0
301,verloren,perdu,0.2
302,große,taille,0.0
303,hand,main,0.3333333333333333
304,grund,terrain,0.25
305,jahr,an,0.0
306,kommst,viens,0.2
307,mama,momie,1.0
308,ruhe,calme,0.0
309,tod,décès,0.0
310,stunden,heures,0.0
311,hoffe,espoir,0.0
312,denkst,pense,0.4
313,oben,au dessus,0.0
314,gestern,hier,0.2
315,versuchen,tenter,0.0
316,art,art,1.0
317,letzten,dernière,0.0
318,schatz,amoureux,0.0
319,endlich,enfin,0.2
320,he,hé,0.5
321,nimm,prendre,0.2
322,etwa,sur,0.0
323,erzählt,raconté,0.16666666666666666
324,läuft,court,0.25
325,schwer,difficile,0.0
326,miss,mademoiselle,0.3333333333333333
327,fünf,cinq,0.25
328,wasser,l'eau,0.0
329,lässt,feuilles,0.2
330,erste,première,0.2
331,versucht,essaie,0.16666666666666666
332,gekommen,est venu,0.2
333,geschichte,histoire,0.14285714285714285
334,wenig,peu,0.0
335,holen,aller chercher,0.1
336,bedeutet,moyens,0.0
337,nett,gentil,0.5
338,wahrheit,vérité,0.2
339,woche,la semaine,0.0
340,bringt,apporte,0.2
341,deshalb,pour cette raison,0.0
342,bestimmt,absolument,0.6666666666666666
343,hoch,haute,0.3333333333333333
344,alter,âge,0.0
345,sagst,dire,0.0
346,schau,voir,0.0
347,ah,ah,1.0
348,land,pays,0.0
349,zimmer,chambre,0.4
350,wagen,oser,0.0
351,vier,quatre,0.3333333333333333
352,gefallen,favoriser,0.0
353,spaß,amusement,0.2
354,niemals,certainement pas,0.3
355,schuld,défaut,0.0
356,getötet,tué,0.2
357,wollten,voulait,0.4
358,verlassen,en quittant,0.14285714285714285
359,zeigen,démontrer,0.14285714285714285
360,beste,meilleur,0.0
361,ernst,sérieuse,0.0
362,unserer,les notres,0.2857142857142857
363,denen,ceux,0.0
364,ort,emplacement,0.14285714285714285
365,bleibt,restes,0.0
366,würdest,aurait,0.3333333333333333
367,manchmal,quelquefois,0.0
368,glaubst,croire,0.0
369,seite,page,0.0
370,lasst,feuilles,0.25
371,eben,même,0.0
372,spiel,jeu,0.0
373,nehme,prendre,0.2
374,ersten,première,0.2
375,guter,des biens,0.0
376,chance,chance,1.0
377,freundin,ami,0.0
378,krieg,guerre,0.3333333333333333
379,gefällt,fait plaisir,0.14285714285714285
380,kleinen,petit,0.0
381,erzählen,raconter,0.16666666666666666
382,tage,journées,0.0
383,entschuldigen,s'excuser,0.1111111111111111
384,wichtig,important,0.16666666666666666
385,gehst,aller,0.0
386,bett,lit,0.3333333333333333
387,mrs.,mme.,0.5
388,sachen,des trucs,0.14285714285714285
389,the,la,0.0
390,schlecht,mal,0.14285714285714285
391,schule,école,0.5
392,entschuldigung,pardon,0.2
393,wort,mot,0.3333333333333333
394,john,john,1.0
395,hättest,aurait,0.16666666666666666
396,wären,serait,0.25
397,typ,taper,0.3333333333333333
398,schlafen,dormir,0.0
399,äh,ah,0.5
400,tu,fais,0.0
401,captain,capitaine,1.0
402,gesicht,visage,0.2
403,falls,si,0.25
404,neuen,nouveau,0.5
405,bloß,juste,0.0
406,unten,dessous,0.0
407,teil,partie,0.0
408,beiden,tous les deux,0.125
409,mensch,la personne,0.14285714285714285
410,kleiner,plus petit,0.14285714285714285
411,stellen,place,0.2
412,oft,souvent,0.25
413,sorge,des soucis,0.16666666666666666
414,gedacht,pensait,0.2
415,tust,fais,0.3333333333333333
416,trinken,boisson,0.2
417,ding,chose,0.0
418,kriegen,obtenir,0.0
419,blut,du sang,0.0
420,ehrlich,honnête,0.2
421,eltern,parents,0.2
422,scheint,semble,0.2
423,herz,cœur,0.0
424,jack,jack,1.0
425,glücklich,heureux,0.0
426,alte,agé de,0.0
427,alt,agé de,0.0
428,bleib,rester,0.0
429,wiedersehen,à la prochaine,0.3333333333333333
430,frei,libre,0.3333333333333333
431,wen,qui,0.0
432,drauf,dessus,0.25
433,möglich,possible,0.0
434,irgendwie,en quelque sorte,0.0
435,reicht,suffisant,0.16666666666666666
436,fest,fête,0.6666666666666666
437,besten,meilleur,0.0
438,waffe,arme,0.0
439,kaum,à peine,0.0
440,irgendwas,n'importe quoi,0.0
441,klingt,des sons,0.0
442,platz,espace,0.0
443,brauchst,besoin,0.3333333333333333
444,rede,parole,0.3333333333333333
445,papa,père,0.3333333333333333
446,falsch,pas correcte,0.125
447,alten,agé de,0.0
448,nummer,numéro,0.75
449,früher,précédemment,0.1
450,jungen,garçons,0.2
451,wohin,où,0.0
452,außer,à l'exception,0.0
453,früh,tôt,0.0
454,setzen,mettre,0.25
455,zuerst,première,0.2
456,wahrscheinlich,probablement,0.1
457,dürfen,autorisé à,0.0
458,arsch,cul,0.25
459,telefon,téléphoner,0.375
460,tue,fais,0.0
461,kennst,connaître,0.5
462,willkommen,accueillir,0.14285714285714285
463,plan,planifier,0.6
464,großen,énorme,0.0
465,retten,sauvetage,0.25
466,hierher,ici,0.0
467,wär,serait,0.0
468,bring,apporter,0.2
469,fehler,erreur,0.25
470,wollt,vouloir,0.25
471,dollar,dollar,1.0
472,zehn,dix,0.0
473,pass,passeport,0.5
474,nächste,suivant,0.16666666666666666
475,stunde,heure,0.0
476,hände,mains,0.25
477,gegeben,donné,0.0
478,menge,montant,0.4
479,langsam,lent,0.4
480,bereits,déjà,0.0
481,wartet,attend,0.0
482,sechs,six,0.25
483,lieben,aimer,0.0
484,büro,bureau,0.6666666666666666
485,nächsten,suivant,0.14285714285714285
486,gebe,donner,0.0
487,wochen,semaines,0.0
488,ruf,appel,0.0
489,schaffen,créer,0.16666666666666666
490,leider,malheureusement,0.25
491,scheiß,merde,0.0
492,hölle,enfer,0.0
493,trotzdem,néanmoins,0.0
494,doktor,docteur,0.75
495,tja,bien,0.0
496,new,nouveau,0.5
497,voll,plein,0.3333333333333333
498,film,film,1.0
499,überall,partout,0.2
500,hund,chien,0.3333333333333333
501,geworden,devenir,0.0
502,direkt,direct,0.75
503,wolltest,recherché,0.0
504,tat,a fait,0.3333333333333333
505,denkt,pense,0.25
506,schiff,bateau,0.0
507,neues,nouveau,0.5
508,wem,qui,0.0
509,könig,roi,0.0
510,danach,après,0.0
511,funktioniert,travaille,0.0
512,hattest,avais,0.2
513,lernen,apprendre,0.3333333333333333
514,deswegen,à cause de ce,0.125
515,wow,ouah,0.0
516,nennen,nommer,0.25
517,hm,hum,1.0
518,feuer,feu,0.5
519,laufen,courir,0.0
520,alleine,seul,0.3333333333333333
521,erinnern,rappeler,0.2
522,völlig,pleinement,0.0
523,kleines,petit,0.0
524,könnt,boîte,0.2
525,stelle,emploi,0.25
526,kumpel,mec,0.25
527,verlieren,perdre,0.4
528,probleme,problèmes,0.7142857142857143
529,spricht,parle,0.3333333333333333
530,kaffee,café,0.3333333333333333
531,luft,air,0.0
532,fand,trouvé,0.0
533,i,je,0.0
534,entschuldige,pardon,0.125
535,ziehen,dessiner,0.2
536,verschwinden,disparaître,0.1111111111111111
537,könntest,pourrait,0.14285714285714285
538,seht,voir,0.0
539,aufhören,arrêt,0.0
540,eigenen,posséder,0.0
541,richtige,le bon,0.0
542,suche,chercher,0.3333333333333333
543,groß,gros,0.6666666666666666
544,hol,obtenir,0.0
545,buch,un livre,0.0
546,krank,malade,0.0
547,fühle,se sentir,0.0
548,verstehst,comprendre,0.0
549,wert,évaluer,0.0
550,arzt,docteur,0.25
551,froh,joyeux,0.0
552,versuche,essaie,0.2
553,straße,route,0.25
554,rufen,appel,0.0
555,heiraten,marier,0.25
556,super,génial,0.0
557,sam,assis,0.3333333333333333
558,lebt,des vies,0.0
559,gutes,bien,0.0
560,lasse,laisser,0.75
561,onkel,oncle,0.6666666666666666
562,total,total,1.0
563,gebracht,amené,0.0
564,party,faire la fête,0.125
565,erklären,expliquer,0.3333333333333333
566,spielt,pièces,0.0
567,wahl,choix,0.3333333333333333
568,vertrauen,confiance,0.0
569,damals,à l'époque,0.14285714285714285
570,tagen,rencontrer,0.14285714285714285
571,leicht,facile,0.25
572,nachdem,après ça,0.0
573,gegangen,disparu,0.0
574,gefühl,sentiment,0.0
575,kaufen,acheter,0.0
576,geschafft,fabriqué,0.0
577,typen,les types,0.42857142857142855
578,interessiert,intéressé,0.5714285714285714
579,möchten,vouloir,0.0
580,halte,tenir,0.0
581,hält,détient,0.2
582,glaub,croire,0.0
583,irgendwo,quelque part,0.0
584,stück,pièce,0.2
585,genauso,juste comme ça,0.0
586,kennt,sait,0.25
587,genommen,pris,0.0
588,zukunft,avenir,0.2
589,weniger,moins de,0.2
590,cool,cool,1.0
591,licht,lumière,0.25
592,getroffen,rencontré,0.0
593,himmel,paradis,0.0
594,nachricht,nouvelles,0.14285714285714285
595,drüben,là bas,0.2
596,passt,s'adapte,0.2
597,sagten,a dit,0.25
598,kümmern,prendre soin de,0.2
599,laut,bruyant,0.2
600,vergiss,oubliez,0.0
601,angerufen,appelé,0.0
602,sitzen,asseoir,0.25
603,erde,la terre,0.2
604,großer,plus grand,0.25
605,schlüssel,clé,0.25
606,rest,le repos,0.2
607,passieren,se produire,0.16666666666666666
608,eher,plutôt,0.0
609,gefragt,a demandé,0.0
610,gefängnis,prison,0.14285714285714285
611,opfer,victime,0.0
612,körper,corps,0.4
613,mist,zut,0.3333333333333333
614,mr,m,0.5
615,findet,trouve,0.0
616,schreiben,écrivez,0.3333333333333333
617,böse,fâché,0.0
618,gesprochen,parlé,0.2857142857142857
619,versuch,expérience,0.16666666666666666
620,vorstellen,introduire,0.14285714285714285
621,wovon,à propos de quoi,0.0
622,sobald,dès que,0.0
623,nochmal,encore une fois,0.25
624,herren,pour des hommes,0.1
625,sex,sexe,1.0
626,waffen,armes,0.0
627,wohnung,appartement,0.14285714285714285
628,weh,endolori,0.0
629,heißen,moyenne,0.25
630,krankenhaus,hôpital,0.0
631,bringe,apporter,0.2
632,höre,écouter,0.25
633,millionen,des millions,0.5
634,klasse,classer,0.6
635,hart,dur,0.3333333333333333
636,worden,a été,0.0
637,sinn,sens,0.6666666666666666
638,außerdem,en plus de ça,0.1111111111111111
639,verletzt,blesser,0.16666666666666666
640,ändern,monnaie,0.4
641,erfahren,expérimenté,0.25
642,tragen,usure,0.25
643,wenigstens,au moins,0.2857142857142857
644,vorsichtig,prudent,0.2857142857142857
645,daddy,papa,0.0
646,stolz,fier,0.0
647,stark,fort,0.25
648,fällt,des chutes,0.14285714285714285
649,möchtest,vouloir,0.0
650,leuten,personnes,0.16666666666666666
651,besonders,surtout,0.16666666666666666
652,schöne,joli,0.0
653,schicken,envoyer,0.0
654,person,la personne,0.5714285714285714
655,schätze,deviner,0.0
656,solange,si longtemps,0.4444444444444444
657,länger,plus long,0.2857142857142857
658,großartig,super,0.16666666666666666
659,lacht,des rires,0.0
660,anrufen,appeler,0.0
661,stand,était debout,0.2857142857142857
662,redest,parler,0.0
663,fühlen,se sentir,0.0
664,erwartet,attendu,0.0
665,boden,terrain,0.25
666,boss,chef,0.0
667,stimme,voix,0.0
668,glaubt,croit,0.25
669,still,calme,0.25
670,sicherheit,sécurité,0.3333333333333333
671,setz,positionner,0.3333333333333333
672,ma,maman,0.3333333333333333
673,mund,bouche,0.0
674,kämpfen,bataille,0.0
675,wisst,connaître,0.16666666666666666
676,lachen,rire,0.0
677,hörst,écouter,0.0
678,zeug,des choses,0.0
679,lustig,amusement,0.2
680,umbringen,tuer,0.16666666666666666
681,sollst,devrait,0.2
682,hasse,détester,0.16666666666666666
683,schlimm,terrible,0.0
684,o,o,
685,unglaublich,incroyable,0.2857142857142857
686,wärst,serait,0.4
687,laden,charger,0.0
688,führen,mener,0.2
689,gestorben,décédés,0.0
690,schauen,regardez,0.0
691,meinung,opinion,0.5
692,lesen,lis,0.6666666666666666
693,mörder,meurtrier,0.4
694,frank,franc,0.75
695,ähm,euh,0.3333333333333333
696,geschehen,se produire,0.0
697,geschäft,magasin,0.14285714285714285
698,idiot,idiot,1.0
699,verzeihung,le pardon,0.0
700,fliegen,voler,0.25
701,zeig,afficher,0.0
702,team,équipe,0.0
703,general,général,0.6666666666666666
704,mike,mike,1.0
705,aufs,sur,0.0
706,york,york,1.0
707,vorher,avant de,0.2
708,schluss,suffisant,0.16666666666666666
709,schneller,plus vite,0.0
710,liebt,aime,0.0
711,verdient,gagné,0.2
712,mögen,aimer,0.25
713,meisten,plus,0.0
714,denk,pense,0.3333333333333333
715,umgebracht,tué,0.0
716,perfekt,parfait,0.8
717,versprochen,promis,0.25
718,handy,portable,0.0
719,hinten,arrière,0.0
720,monate,mois,0.3333333333333333
721,erinnere,rappelles toi,0.125
722,acht,huit,0.6666666666666666
723,arbeitet,travaille,0.2
724,fallen,tomber,0.0
725,rufe,cri,0.0
726,nötig,nécessaire,0.16666666666666666
727,a,un,0.0
728,mord,meurtre,0.5
729,heraus,en dehors d'ici,0.3
730,tages,journée,0.0
731,unmöglich,impossible,0.14285714285714285
732,liebling,chérie,0.0
733,charlie,charlie,1.0
734,tatsächlich,en effet,0.0
735,folgen,suivre,0.0
736,bitten,demande,0.0
737,behalten,garder,0.0
738,nähe,environs,0.2
739,arbeite,travailler,0.16666666666666666
740,joe,joe,1.0
741,verdammte,zut,0.16666666666666666
742,plötzlich,soudain,0.0
743,lebens,la vie,0.25
744,hole,obtenir,0.0
745,tisch,table,0.25
746,michael,michael,1.0
747,hörte,entendu,0.0
748,jemals,déjà,0.0
749,liegen,mentir,0.0
750,verkaufen,vendre,0.2
751,gefährlich,dangereux,0.125
752,anfangen,commencer,0.16666666666666666
753,bekommt,reçoit,0.2
754,machte,fabriqué,0.0
755,ha,ha,1.0
756,hotel,hôtel,0.75
757,hilft,aide,0.0
758,werdet,sera,0.25
759,meister,maître,0.75
760,kampf,lutter,0.0
761,antwort,réponse,0.0
762,konnten,pourrait,0.2
763,geschickt,expédié,0.0
764,obwohl,même si,0.0
765,sieben,sept,0.3333333333333333
766,komisch,drôle,0.0
767,gewinnen,gagner,0.4
768,bezahlt,payé,0.0
769,you,tu,0.0
770,voller,plein de,0.2
771,unterwegs,sur la route,0.0
772,dumm,stupide,0.0
773,ärger,difficulté,0.0
774,bild,image,0.0
775,george,george,1.0
776,neu,nouveau,0.5
777,bezahlen,payer,0.0
778,dagegen,encontre,0.0
779,seien,être,0.0
780,starb,décédés,0.0
781,tom,à m,0.3333333333333333
782,monaten,mois,0.25
783,leiche,corps,0.0
784,niemanden,personne,0.2
785,auge,œil,0.0
786,arschloch,connard,0.14285714285714285
787,verheiratet,marié,0.16666666666666666
788,peter,pierre,0.6666666666666666
789,zieh,dessiner,0.0
790,nimmt,prend,0.0
791,gerettet,enregistré,0.2857142857142857
792,agent,agent,1.0
793,traum,rêver,0.0
794,entscheidung,décision,0.25
795,schlimmer,pire,0.14285714285714285
796,regeln,réglementer,0.5
797,fenster,la fenêtre,0.5714285714285714
798,fangen,attraper,0.0
799,fort,une façon,0.2
800,ständig,constant,0.16666666666666666
801,findest,trouver,0.0
802,gefahr,danger,0.25
803,absolut,tout à fait,0.14285714285714285
804,mary,marie,0.6666666666666666
805,augenblick,moment,0.0
806,bescheid,remarquer,0.0
807,rum,rhum,0.6666666666666666
808,gedanken,les pensées,0.125
809,werd,sera,0.3333333333333333
810,ziel,cible,0.3333333333333333
811,benutzt,utilisé,0.0
812,bewegung,déplacer,0.0
813,jemandem,quelqu'un,0.0
814,wünschte,souhaité,0.2857142857142857
815,worte,mots,0.0
816,kamen,est venu,0.2
817,zahlen,compter,0.0
818,anfang,début,0.0
819,legen,allonger,0.4
820,erinnerst,rappelles toi,0.375
821,anwalt,avocat,0.25
822,fahr,conduire,0.25
823,sitzt,est assis,0.3333333333333333
824,hilf,aider,0.0
825,offen,ouvert,0.0
826,schönen,belle,0.0
827,monsieur,monsieur,1.0
828,müsste,devrait,0.2
829,arme,pauvre,0.0
830,bier,bière,0.6666666666666666
831,fürs,pour,0.25
832,partner,partenaire,1.0
833,klein,petit,0.0
834,david,david,1.0
835,klappe,rabat,0.0
836,süß,sucré,0.25
837,herum,par ici,0.25
838,finger,doigt,0.25
839,ehe,mariage,0.0
840,rolle,rôle,0.6666666666666666
841,ließ,laisser,0.25
842,gleiche,même,0.0
843,monat,mois,0.3333333333333333
844,hochzeit,mariage,0.0
845,max,max,1.0
846,führt,pistes,0.0
847,paris,paris,1.0
848,wach,éveillé,0.0
849,wozu,pour quelle raison,0.0
850,arm,pauvre,0.0
851,geschrieben,écrit,0.2857142857142857
852,chef,chef,1.0
853,benutzen,utiliser,0.0
854,informationen,informations,0.8571428571428571
855,erledigt,fini,0.0
856,hoffentlich,avec un peu de chance,0.23076923076923078
857,müsst,devoir,0.0
858,fühlt,se sent,0.2
859,tanzen,danse,0.25
860,ansehen,regarder,0.0
861,darfst,peut,0.2
862,zuhause,à la maison,0.14285714285714285
863,wunderbar,merveilleux,0.0
864,hältst,tenir,0.16666666666666666
865,reise,voyager,0.0
866,gewonnen,a gagné,0.2
867,dame,la demoiselle,0.2857142857142857
868,irgendwann,parfois,0.0
869,chffffff,chffffff,1.0
870,alex,alexandre,0.4
871,steckt,branché,0.16666666666666666
872,jedenfalls,dans tous les cas,0.25
873,schreit,pleure,0.2
874,tolle,étonnante,0.16666666666666666
875,rüber,plus de,0.0
876,tschüss,bye bye,0.0
877,nennt,des noms,0.16666666666666666
878,raum,espace,0.0
879,heiß,chaud,0.3333333333333333
880,foto,photo,0.3333333333333333
881,kalt,froid,0.0
882,paul,paul,1.0
883,irgendetwas,n'importe quoi,0.125
884,weile,tandis que,0.0
885,bisher,jusqu'à présent,0.16666666666666666
886,minute,minute,1.0
887,unbedingt,absolument,0.16666666666666666
888,zug,former,0.0
889,sekunden,secondes,0.6
890,wofür,pour quelle raison,0.1
891,erzähl,raconter,0.2
892,nen,à,0.0
893,beweise,preuves,0.25
894,nahm,ont pris,0.16666666666666666
895,freut,est heureux,0.16666666666666666
896,seele,âme,0.0
897,schießen,tirer,0.0
898,müde,fatigué,0.0
899,dauert,dure,0.6666666666666666
900,magst,comme,0.0
901,harry,harry,1.0
902,brief,lettre,0.0
903,gelernt,appris,0.2
904,sucht,cherche,0.2
905,bekannt,connu,0.4
906,weitere,plus loin,0.0
907,unfall,accident,0.0
908,dahin,là,0.0
909,kontrolle,contrôler,0.5714285714285714
910,beispiel,exemple,0.5
911,lady,la demoiselle,0.2857142857142857
912,herzen,cœurs,0.0
913,schlagen,succès,0.3333333333333333
914,wütend,furieux,0.0
915,weise,sage,0.0
916,damen,dames,0.6666666666666666
917,darin,dans ce,0.2
918,gottes,dieu,0.0
919,holt,obtenir,0.0
920,fehlt,est manquant,0.125
921,vorsicht,attention,0.0
922,heiße,nom est,0.0
923,beweisen,prouver,0.0
924,gehabt,avais,0.0
925,zumindest,au moins,0.5
926,vermisst,disparu,0.16666666666666666
927,hübsch,jolie,0.0
928,kriegt,obtient,0.25
929,verbindung,lien,0.14285714285714285
930,tief,profond,0.2
931,richtung,direction,0.5
932,lage,position,0.0
933,sowieso,de toute façon,0.0
934,kraft,puissance,0.0
935,normal,ordinaire,0.0
936,lauf,cours,0.0
937,ehre,honneur,0.5
