,english,spanish,Distances
123,listen,escuchar,0.0
124,bad,malo,0.0
125,came,vino,0.0
126,understand,comprender,0.14285714285714285
127,three,tres,0.3333333333333333
128,today,este dia,0.25
129,world,mundo,0.25
130,another,otro,0.5
131,hear,oír,0.5
132,remember,recuerda,0.2
133,might,puede que,0.0
134,ask,pedir,0.0
135,kill,matar,0.0
136,show,mostrar,0.2
137,else,más,0.3333333333333333
138,talking,hablando,0.2
139,found,fundar,0.75
140,care,cuidado,0.3333333333333333
141,son,hijo,0.0
142,car,coche,0.3333333333333333
143,next,siguiente,0.25
144,getting,consiguiendo,0.16666666666666666
145,try,probar,0.25
146,looking,buscando,0.2
147,woman,mujer,0.0
148,dead,muerto,0.0
149,hi,hola,0.5
150,went,se fue,0.0
151,many,muchos,0.25
152,friend,amigo,0.0
153,mind,mente,0.6666666666666666
154,hell,infierno,0.0
155,mom,mamá,0.6666666666666666
156,boy,chico,0.0
157,best,mejor,0.0
158,morning,mañana,0.4
159,together,juntos,0.2
160,saw,sierra,0.3333333333333333
161,trying,difícil,0.0
162,job,trabajo,0.25
163,without,sin que,0.0
164,real,real,1.0
165,baby,bebé,0.6666666666666666
166,family,familia,0.75
167,room,habitación,0.0
168,move,muevete,0.6666666666666666
169,already,ya,0.25
170,live,en vivo,0.25
171,seen,visto,0.3333333333333333
172,miss,señorita,0.0
173,shit,mierda,0.0
174,actually,realmente,0.0
175,heard,escuchó,0.0
176,brother,hermano,0.2
177,head,cabeza,0.0
178,ready,listo,0.0
179,happy,contento,0.0
180,huh,¿eh?,0.3333333333333333
181,hold,mantener,0.0
182,called,llamó,0.25
183,used,usó,0.5
184,knew,supo,0.0
185,men,hombres,0.2
186,idea,ocurrencia,0.0
187,wife,esposa,0.0
188,yet,aún,0.0
189,took,tomó,0.3333333333333333
190,fuck,mierda,0.0
191,also,además,0.25
192,pretty,bonita,0.2
193,days,días,0.6666666666666666
194,since,ya que,0.0
195,whole,entero,0.0
196,tomorrow,mañana,0.2
197,start,comienzo,0.0
198,use,usar,0.5
199,door,puerta,0.3333333333333333
200,bit,un poco,0.0
201,matter,asunto,0.25
202,bring,traer,0.25
203,meet,reunir,0.0
204,tonight,esta noche,0.3333333333333333
205,guess,adivinar,0.0
206,run,correr,0.25
207,alone,solo,0.0
208,everyone,todo el mundo,0.125
209,school,escuela,0.75
210,gone,desaparecido,0.0
211,hard,difícil,0.0
212,wanna,querer,0.0
213,play,desempeñar,0.16666666666666666
214,problem,problema,1.0
215,end,final,0.3333333333333333
216,saying,dicho,0.0
217,open,abierto,0.0
218,friends,amigos,0.2
219,fucking,maldito,0.0
220,ago,atrás,0.0
221,killed,delicado,0.5
222,looks,aspecto,0.0
223,gotta,tengo que,0.2
224,ah,ah,1.0
225,anyone,cualquiera,0.0
226,phone,teléfono,0.2
227,hope,esperar,0.25
228,lost,perdió,0.0
229,excuse,disculpar,0.16666666666666666
230,face,cara,0.0
231,um,em,1.0
232,die,morir,0.0
233,turn,giro,0.3333333333333333
234,police,policía,0.75
235,heart,corazón,0.2
236,wants,quiere,0.0
237,says,dice,0.0
238,true,verdadero,0.2
239,worry,preocuparse,0.3333333333333333
240,soon,pronto,0.25
241,business,negocio,0.2
242,case,caso,1.0
243,later,luego,0.3333333333333333
244,watch,reloj,0.0
245,year,año,0.0
246,hand,mano,0.3333333333333333
247,beautiful,hermoso,0.0
248,doctor,médico,0.0
249,eat,comer,0.0
250,sit,sentar,0.5
251,probably,probablemente,0.625
252,thinking,pensando,0.3333333333333333
253,late,tarde,0.0
254,forget,olvidar,0.0
255,young,joven,0.0
256,second,segundo,0.75
257,kids,niños,0.3333333333333333
258,kid,niño,0.0
259,pay,pagar,0.3333333333333333
260,crazy,loca,0.0
261,water,agua,0.0
262,death,muerte,0.0
263,working,laboral,0.0
264,stuff,cosas,0.0
265,minute,minuto,1.0
266,part,parte,1.0
267,person,persona,1.0
268,everybody,todos,0.16666666666666666
269,damn,maldita sea,0.16666666666666666
270,drink,beber,0.0
271,gave,dio,0.0
272,change,cambio,0.25
273,exactly,exactamente,0.5
274,happen,suceder,0.0
275,shut,cerrado,0.0
276,five,cinco,0.0
277,knows,sabe,0.0
278,eyes,ojos,0.5
279,hit,pegar,0.0
280,far,lejos,0.0
281,easy,fácil,0.0
282,whatever,lo que sea,0.0
283,hands,manos,0.5
284,taking,tomando,0.5
285,times,veces,0.3333333333333333
286,check,controlar,0.16666666666666666
287,minutes,minutos,1.0
288,music,música,0.75
289,inside,en el interior,0.125
290,sleep,dormir,0.0
291,means,medio,0.3333333333333333
292,somebody,alguien,0.0
293,mine,mía,0.5
294,deal,acuerdo,0.0
295,different,diferente,0.8333333333333334
296,asked,preguntó,0.0
297,makes,hace,0.0
298,point,punto,1.0
299,afraid,atemorizado,0.4
300,body,cuerpo,0.0
301,anyway,de todos modos,0.0
302,dear,estimado,0.0
303,four,cuatro,0.3333333333333333
304,shall,deberá,0.0
305,chance,oportunidad,0.16666666666666666
306,close,cerca,0.3333333333333333
307,making,haciendo,0.25
308,waiting,esperando,0.2
309,party,fiesta,0.25
310,daughter,hija,0.2
311,comes,proviene,0.0
312,word,palabra,0.0
313,fun,divertida,0.0
314,number,número,0.5
315,married,casado,0.25
316,hurt,herir,0.6666666666666666
317,story,historia,0.5
318,set,establecer,0.3333333333333333
319,wish,deseo,0.3333333333333333
320,least,el menos,0.2
321,quite,bastante,0.2
322,important,importante,1.0
323,girls,muchachas,0.16666666666666666
324,husband,esposo,0.2
325,fire,fuego,0.5
326,nobody,nadie,0.5
327,fight,lucha,0.25
328,children,niños,0.0
329,rest,descansar,0.16666666666666666
330,moment,momento,1.0
331,week,semana,0.0
332,read,leer,0.0
333,stand,pararse,0.0
334,game,juego,0.0
335,cut,corte,0.6666666666666666
336,sister,hermana,0.0
337,speak,hablar,0.0
338,child,niño,0.0
339,side,lado,0.5
340,women,mujeres,0.0
341,supposed,supuesto,0.6
342,started,empezado,0.2
343,hours,horas,1.0
344,goes,va,0.0
345,blood,sangre,0.0
346,though,aunque,0.0
347,truth,verdad,0.25
348,lady,dama,0.3333333333333333
349,anymore,más,0.0
350,behind,detrás,0.0
351,almost,casi,0.25
352,shot,disparo,0.25
353,gets,obtiene,0.3333333333333333
354,war,guerra,0.3333333333333333
355,break,descanso,0.0
356,walk,caminar,0.0
357,able,poder,0.0
358,reason,razón,0.5
359,trouble,problema,0.6
360,met,reunió,0.0
361,city,ciudad,0.3333333333333333
362,town,pueblo,0.0
363,trust,confianza,0.0
364,mr,sres,0.3333333333333333
365,brought,trajo,0.2
366,died,murió,0.0
367,question,pregunta,0.2
368,buy,comprar,0.0
369,office,oficina,0.3333333333333333
370,half,mitad,0.0
371,bye,adiós,0.0
372,high,alto,0.0
373,free,libre,0.3333333333333333
374,welcome,bienvenidos,0.0
375,couple,pareja,0.0
376,either,o,0.0
377,hurry,apuro,0.25
378,telling,narración,0.0
379,stupid,tonto,0.25
380,honey,miel,0.0
381,power,energía,0.0
382,wow,guau,0.0
383,tried,intentó,0.2
384,bed,cama,0.0
385,front,frente,1.0
386,cool,frío,0.0
387,answer,responder,0.3333333333333333
388,playing,jugando,0.2
389,seems,parece,0.0
390,boys,niños,0.3333333333333333
391,send,enviar,0.0
392,gun,pistola,0.0
393,line,línea,0.6666666666666666
394,team,equipo,0.0
395,news,noticias,0.5
396,months,meses,0.4
397,captain,capitán,0.8
398,save,ahorrar,0.0
399,full,completo,0.2
400,hate,odio,0.0
401,sometimes,algunas veces,0.25
402,become,convertirse en,0.0
403,whoa,guau,0.0
404,lord,caballero,0.2
405,along,a lo largo de,0.25
406,dog,perro,0.0
407,outside,fuera de,0.25
408,food,alimento,0.0
409,light,luz,0.25
410,order,ordenar,0.75
411,hot,caliente,0.25
412,funny,gracioso,0.0
413,clear,claro,1.0
414,needs,necesidades,0.5
415,six,seis,0.5
416,country,país,0.0
417,alive,viva,0.5
418,pick,elegir,0.0
419,em,ellos,0.0
420,fact,hecho,0.3333333333333333
421,ahead,adelante,0.0
422,black,negro,0.0
423,boss,jefe,0.0
424,living,vivir,0.25
425,lose,perder,0.0
426,feeling,sentimiento,0.16666666666666666
427,leaving,partida,0.0
428,cause,causa,1.0
429,dinner,cena,0.25
430,promise,promesa,1.0
431,king,rey,0.0
432,running,correr,0.0
433,plan,plan,1.0
434,taken,tomado,0.3333333333333333
435,sort,clasificar,0.16666666666666666
436,book,libro,0.3333333333333333
437,sent,enviado,0.0
438,anybody,cualquiera,0.0
439,hour,hora,1.0
440,white,blanco,0.0
441,small,pequeña,0.0
442,alright,está bien,0.0
443,sick,enfermo,0.0
444,parents,padres,0.4
445,uncle,tío,0.0
446,lives,vive,0.3333333333333333
447,safe,seguro,0.3333333333333333
448,perfect,perfecto,1.0
449,poor,pobre,0.6666666666666666
450,ass,culo,0.0
451,shoot,disparar,0.2
452,scared,asustado,0.5
453,special,especial,1.0
454,serious,serio,0.6666666666666666
455,red,rojo,0.5
456,perhaps,quizás,0.2
457,touch,tocar,0.6666666666666666
458,earth,tierra,0.0
459,john,juan,0.6666666666666666
460,sounds,suena,0.5
461,company,empresa,0.4
462,past,pasado,0.6666666666666666
463,cannot,no poder,0.0
464,possible,posible,0.8
465,bitch,perra,0.0
466,ha,decir ah,0.2
467,sound,sonido,1.0
468,sighs,suspiros,0.4
469,hair,pelo,0.0
470,human,humano,1.0
471,drive,conducir,0.2
472,luck,suerte,0.0
473,asking,pidiendo,0.25
474,top,parte superior,0.25
475,win,victoria,0.0
476,glad,contento,0.0
477,daddy,papi,0.0
478,control,control,1.0
479,cold,frío,0.0
480,ten,diez,0.0
481,air,aire,1.0
482,happens,sucede,0.0
483,master,maestro,1.0
484,jack,jack,1.0
485,till,hasta,0.0
486,dance,baile,0.0
487,sex,sexo,1.0
488,others,otros,0.75
489,hospital,hospital,1.0
490,street,calle,0.0
491,hang,colgar,0.25
492,fast,rápido,0.0
493,words,palabras,0.2
494,follow,seguir,0.0
495,seem,parecer,0.0
496,murder,asesinato,0.0
497,finally,finalmente,0.5
498,lie,mentir,0.0
499,dream,sueño,0.0
500,catch,captura,0.25
501,write,escribe,0.25
502,evening,tardecita,0.0
503,meeting,reunión,0.0
504,sweet,dulce,0.0
505,hmm,mmm,0.6666666666666666
506,sense,sentido,0.5
507,lucky,afortunado,0.0
508,known,conocido,0.25
509,laughs,risas,0.25
510,jesus,jesús,0.75
511,bet,apuesta,0.3333333333333333
512,voice,voz,0.5
513,sign,señal,0.3333333333333333
514,million,millón,0.8
515,quiet,tranquilo,0.2
516,felt,sintió,0.25
517,rather,bastante,0.2
518,careful,cuidado,0.25
519,somewhere,en algún lugar,0.1
520,longer,más extenso,0.0
521,beat,derrotar,0.2
522,return,devolver,0.0
523,laughing,reír,0.0
524,coffee,café,0.6666666666666666
525,date,fecha,0.0
526,pull,jalar,0.3333333333333333
527,secret,secreto,1.0
528,calling,vocación,0.2
529,less,menos,0.3333333333333333
530,looked,mirado,0.3333333333333333
531,worked,trabajó,0.2
532,weeks,semanas,0.25
533,fault,culpa,0.3333333333333333
534,gentlemen,caballeros,0.16666666666666666
535,fall,otoño,0.0
536,given,dado,0.0
537,seeing,viendo,0.3333333333333333
538,song,canción,0.2
539,straight,directo,0.3333333333333333
540,calm,calma,1.0
541,changed,cambió,0.2
542,mad,enojado,0.3333333333333333
543,loved,amado,0.3333333333333333
544,takes,toma,0.3333333333333333
545,road,la carretera,0.14285714285714285
546,learn,aprender,0.4
547,drop,soltar,0.0
548,wonderful,maravilloso,0.0
549,future,futuro,1.0
550,ladies,señoras,0.25
551,explain,explique,0.75
552,chuckles,risas,0.16666666666666666
553,clean,limpio,0.0
554,throw,lanzar,0.0
555,early,temprano,0.0
556,yesterday,el dia de ayer,0.25
557,step,paso,0.0
558,turned,transformado,0.5
559,feet,pies,0.0
560,piece,pieza,0.5
561,picture,imagen,0.0
562,land,tierra,0.0
563,quick,rápido,0.0
564,wonder,preguntarse,0.2857142857142857
565,worth,valor,0.0
566,darling,querida,0.2
567,questions,preguntas,0.3333333333333333
568,absolutely,absolutamente,0.5714285714285714
569,president,presidente,1.0
570,eye,ojo,0.0
571,giving,donación,0.0
572,ooh,oh,1.0
573,none,ninguna,0.5
574,dude,tipo,0.0
575,moving,moviente,0.75
576,state,estado,0.6666666666666666
577,ones,unos,1.0
578,speaking,discurso,0.0
579,figure,figura,1.0
580,goodbye,adiós,0.25
581,sam,sam,1.0
582,strange,extraño,0.4
583,strong,fuerte,0.2
584,act,actuar,0.6666666666666666
585,wedding,boda,0.2
586,law,ley,0.5
587,kiss,beso,0.3333333333333333
588,works,obras,0.5
589,report,reporte,1.0
590,tired,cansado,0.25
591,pain,dolor,0.0
592,marry,casar,0.25
593,pass,pasar,0.6666666666666666
594,wake,despertarse,0.0
595,kidding,bromear,0.0
596,general,general,1.0
597,missing,perdido,0.0
598,ship,embarcacion,0.0
599,needed,necesario,0.25
600,choice,elección,0.2
601,class,clase,0.75
602,weird,extraño,0.25
603,worried,preocupado,0.4
604,officer,oficial,0.5
605,decided,decidió,0.75
606,amazing,increíble,0.0
607,busy,ocupado,0.0
608,kept,mantuvo,0.25
609,worse,peor,0.3333333333333333
610,happening,sucediendo,0.16666666666666666
611,mistake,error,0.0
612,chief,jefe,0.3333333333333333
613,ya,ya,1.0
614,forgive,perdonar,0.2
615,age,años,0.0
616,sell,vender,0.0
617,michael,miguel,0.5
618,mouth,boca,0.0
619,caught,capturado,0.2
620,finish,finalizar,0.4
621,clothes,ropa,0.0
622,ride,conducir,0.2
623,birthday,cumpleaños,0.0
624,meant,quiso decir,0.0
625,born,nacido,0.0
626,watching,mirando,0.16666666666666666
627,building,edificio,0.2
628,dark,oscuro,0.0
629,eh,eh,1.0
630,system,sistema,0.8
631,sing,cantar,0.25
632,film,película,0.2
633,court,tribunal,0.2
634,tv,televisión,0.3333333333333333
635,movie,película,0.0
636,month,mes,0.25
637,wear,tener puesto,0.14285714285714285
638,train,tren,1.0
639,lying,mintiendo,0.2
640,seven,siete,0.3333333333333333
641,totally,totalmente,0.5
642,imagine,imaginar,0.75
643,hotel,hotel,1.0
644,evidence,evidencia,1.0
645,security,seguridad,0.4
646,completely,completamente,0.625
647,suppose,suponer,0.5
648,instead,en cambio,0.2
649,christmas,navidad,0.0
650,unless,a no ser que,0.2857142857142857
651,information,información,0.7142857142857143
652,bag,bolsa,0.3333333333333333
653,certainly,seguramente,0.16666666666666666
654,attack,ataque,0.25
655,broke,rompió,0.0
656,round,redondo,0.75
657,expect,suponer,0.25
658,near,cerca,0.3333333333333333
659,blue,azul,0.5
660,terrible,horrible,0.8
661,thinks,piensa,0.4
662,definitely,definitivamente,0.5
663,forever,siempre,0.25
664,frank,franco,0.75
665,station,estación,0.6
666,except,excepto,1.0
667,table,mesa,0.0
668,message,mensaje,0.5
669,history,historia,0.8
670,swear,jurar,0.3333333333333333
671,george,jorge,0.6666666666666666
672,fool,engañar,0.0
673,talked,habló,0.0
674,ring,anillo,0.0
675,buddy,amigo,0.0
676,entire,completo,0.0
677,lovely,hermoso,0.0
678,floor,piso,0.0
679,sun,sol,0.5
680,handle,resolver,0.0
681,army,ejército,0.2
682,david,david,1.0
683,joe,josé,0.3333333333333333
684,spend,gastar,0.0
685,charlie,charlie,1.0
686,across,a través de,0.25
687,finished,acabado,0.2
688,marriage,matrimonio,0.4
689,letter,carta,0.25
690,ran,corrió,0.25
691,seriously,en serio,0.2
692,paid,pagado,0.6666666666666666
693,bought,comprado,0.0
694,york,york,1.0
695,attention,atención,0.4
696,anywhere,en cualquier sitio,0.2222222222222222
697,dangerous,peligroso,0.6
698,peace,paz,0.5
699,simple,simple,1.0
700,forgot,olvidó,0.0
701,situation,situación,0.6
702,middle,medio,0.5
703,rock,roca,0.6666666666666666
704,test,prueba,0.0
705,lead,plomo,0.3333333333333333
706,protect,proteger,0.6
707,club,club,1.0
708,fear,miedo,0.0
709,fair,justa,0.0
710,present,presente,1.0
711,idiot,estúpido,0.2
712,join,unirse,0.0
713,interesting,interesante,0.7142857142857143
714,tom,tomás,0.5
715,bill,factura,0.0
716,box,caja,0.0
717,sitting,sesión,0.4
718,short,corto,0.5
719,ball,pelota,0.3333333333333333
720,single,único,0.25
721,group,grupo,1.0
722,using,usando,0.6666666666666666
723,enjoy,disfrutar,0.0
724,normal,normal,1.0
725,boat,barco,0.3333333333333333
726,count,contar,0.75
727,bastard,bastardo,1.0
728,crime,delito,0.0
729,key,llave,0.0
730,force,fuerza,0.6666666666666666
731,horse,caballo,0.0
732,lunch,comida,0.0
733,american,americano,1.0
734,quickly,rápidamente,0.0
735,paper,papel,0.6666666666666666
736,charge,cobrar,0.5
737,mike,miguel,0.3333333333333333
738,surprise,sorpresa,1.0
739,space,espacio,1.0
740,fell,cayó,0.0
741,honor,honor,1.0
742,eight,ocho,0.3333333333333333
743,accident,accidente,1.0
744,wearing,usando,0.25
745,fish,pez,0.0
746,bar,bar,1.0
747,ground,terrestre,0.16666666666666666
748,problems,problemas,1.0
749,government,gobierno,0.42857142857142855
750,miles,millas,0.75
751,relax,relax,1.0
752,crying,llorando,0.2
753,bank,banco,0.6666666666666666
754,cover,cubrir,0.5
755,major,importante,0.3333333333333333
756,stopped,detenido,0.4
757,interested,interesado,0.8333333333333334
758,hide,ocultar,0.0
759,stick,palo,0.0
760,sea,mar,0.0
761,tea,té,0.5
762,area,área,0.5
763,agree,aceptar,0.25
764,difficult,difícil,0.6666666666666666
765,personal,personal,1.0
766,deep,profundo,0.0
767,dress,vestir,0.0
768,service,servicio,1.0
769,certain,cierto,0.75
770,trip,viaje,0.0
771,radio,radio,1.0
772,blow,explotar,0.2
773,smart,inteligente,0.16666666666666666
774,mark,marcos,0.5
775,star,estrella,0.6
776,record,registro,0.2
777,offer,oferta,0.3333333333333333
778,america,america,1.0
779,prison,prisión,0.8
780,angry,enfadado,0.25
781,peter,pedro,0.6666666666666666
782,soul,alma,0.0
783,rich,rico,0.6666666666666666
784,list,lista,1.0
785,gold,oro,0.0
786,afternoon,tarde,0.4
787,whether,ya sea,0.0
788,agent,agente,1.0
789,missed,omitido,0.5
790,proud,orgulloso,0.0
791,detective,detective,1.0
792,fix,arreglar,0.0
793,respect,respeto,0.8
794,public,público,0.8
795,fighting,lucha,0.16666666666666666
796,girlfriend,novia,0.14285714285714285
797,drunk,ebrio,0.25
798,park,parque,0.6666666666666666
799,killing,asesinato,0.2
800,saved,salvado,0.75
801,brain,cerebro,0.25
802,forward,delantero,0.0
803,sad,triste,0.25
804,cell,célula,0.75
805,mess,desorden,0.2
806,standing,de pie,0.16666666666666666
807,smell,oler,0.25
808,fly,volar,0.3333333333333333
809,killer,asesino,0.0
810,tough,pese,0.0
811,scene,escena,1.0
812,card,tarjeta,0.25
813,english,inglés,0.6
814,dare,atrevimiento,0.16666666666666666
815,broken,roto,0.25
816,mary,maría,0.6666666666666666
817,hungry,hambriento,0.3333333333333333
818,church,iglesia,0.0
819,ice,hielo,0.0
820,window,ventana,0.25
821,paul,pablo,0.6666666666666666
822,share,cuota,0.0
823,third,tercera,0.25
824,laugh,risa,0.0
825,calls,llamadas,0.4
826,often,con frecuencia,0.25
827,within,dentro de,0.16666666666666666
828,spent,gastó,0.0
829,feels,siente,0.0
830,lieutenant,teniente,0.8
831,cry,llorar,0.25
832,mum,mamá,0.6666666666666666
833,visit,visitar,0.75
834,honest,honesto,1.0
835,seat,asiento,0.6666666666666666
836,mama,mamá,0.6666666666666666
837,teacher,profesor,0.2
838,relationship,relación,0.2857142857142857
839,moved,movido,1.0
840,pleasure,placer,0.75
841,camera,cámara,0.75
842,starting,comenzando,0.16666666666666666
843,bloody,sangriento,0.0
844,lived,vivió,0.3333333333333333
845,college,colega,0.75
846,judge,juez,0.3333333333333333
847,cops,policías,0.4
848,position,posición,0.6
849,sake,motivo,0.0
850,screaming,gritando,0.3333333333333333
851,boyfriend,novio,0.16666666666666666
852,wall,pared,0.0
853,teach,enseñar,0.0
854,neither,ninguno de los dos,0.08333333333333333
855,prove,demostrar,0.16666666666666666
856,loves,ama,0.0
857,besides,además,0.25
858,realize,darse cuenta,0.14285714285714285
859,private,privado,0.75
860,ben,ben,1.0
861,impossible,imposible,0.8333333333333334
862,walking,caminando,0.2
863,carry,llevar,0.0
864,accept,aceptar,0.5
865,especially,especialmente,0.5714285714285714
866,liked,apreciado,0.25
867,french,francés,0.6666666666666666
868,art,arte,1.0
869,machine,máquina,0.5
870,green,verde,0.3333333333333333
871,involved,involucrado,0.6666666666666666
872,became,convertirse,0.0
873,cop,policía,0.25
874,la,la,1.0
875,mm,milímetro,0.3333333333333333
876,wine,vino,0.5
877,apartment,departamento,0.8571428571428571
878,upset,decepcionado,0.16666666666666666
879,cute,lindo,0.0
880,village,aldea,0.25
881,holy,santo,0.0
882,congratulations,felicidades,0.1111111111111111
883,jail,celda,0.3333333333333333
884,likes,gustos,0.25
885,sleeping,dormido,0.0
886,joke,broma,0.0
887,evil,demonio,0.0
888,lawyer,abogado,0.0
889,field,campo,0.0
890,contact,contacto,1.0
891,obviously,obviamente,0.4
892,store,tienda,0.0
893,quit,abandonar,0.0
894,dying,muriendo,0.25
895,queen,reina,0.5
896,shop,tienda,0.0
897,hundred,ciento,0.2
898,professor,profesor,0.8333333333333334
899,continue,seguir,0.0
900,whose,cuyo,0.0
901,driving,conduciendo,0.16666666666666666
902,appreciate,valorar,0.2
903,madam,señora,0.0
904,doubt,duda,0.3333333333333333
905,wrote,escribió,0.2
906,plane,plano,1.0
907,cash,dinero,0.0
908,island,isla,0.5
909,cat,gato,0.5
910,slow,lento,0.0
911,huge,enorme,0.0
912,decision,decisión,0.8
913,beer,cerveza,0.25
914,difference,diferencia,0.8333333333333334
915,thousand,mil,0.0
916,beginning,comienzo,0.16666666666666666
917,christ,cristo,0.8
918,push,empujar,0.25
919,south,sur,0.3333333333333333
920,gift,regalo,0.0
921,lt,es,0.0
922,glass,vidrio,0.0
923,eating,comiendo,0.25
924,tree,árbol,0.25
925,bear,llevar,0.25
926,stuck,atascado,0.25
927,colonel,coronel,0.75
928,rules,normas,0.5
929,north,norte,0.75
930,bus,autobús,0.5
931,seconds,segundos,0.8
932,dreams,sueños,0.25
933,partner,compañero,0.2
934,grab,tomar,0.0
935,victim,víctima,0.8
936,dirty,sucio,0.0
937,computer,computadora,0.8333333333333334
938,truck,camión,0.0
939,promised,prometido,0.8
940,reach,alcanzar,0.2
941,upon,al,0.0
942,singing,cantando,0.4
943,board,junta,0.0
944,shoes,zapatos,0.25
945,gives,da,0.0
946,staying,quedarse,0.0
947,fat,grasa,0.0
948,planet,planeta,1.0
949,henry,enrique,0.5
950,suddenly,de repente,0.0
951,mmm,mmm,1.0
952,putting,poniendo,0.4
953,search,búsqueda,0.0
954,lots,un montón,0.14285714285714285
955,immediately,inmediatamente,0.42857142857142855
956,wind,viento,0.3333333333333333
957,arrest,arrestar,0.8
958,jump,salto,0.0
959,support,apoyo,0.2
960,magic,magia,0.6666666666666666
961,owe,deber,0.0
962,crap,tonterías,0.16666666666666666
963,holding,tenencia,0.2
964,continues,continúa,0.8
965,usually,normalmente,0.14285714285714285
966,kitchen,cocina,0.4
967,summer,el verano,0.2
968,arms,brazos,0.5
969,de,delaware,0.25
970,patient,paciente,0.75
971,aunt,tía,0.0
972,experience,experiencia,1.0
973,heaven,cielo,0.0
974,james,james,1.0
975,paris,parís,0.75
976,grow,crecer,0.25
977,passed,pasó,0.5
978,rid,librar,0.25
979,harry,harry,1.0
980,river,río,0.3333333333333333
981,everywhere,en todas partes,0.1
982,listening,escuchando,0.16666666666666666
983,knock,golpear,0.0
984,escape,escapar,0.75
985,cheers,salud,0.0
986,aah,ah,1.0
987,bother,molestar,0.2
988,er,ejem,0.0
989,address,dirección,0.16666666666666666
990,foot,pie,0.0
991,yo,yo,1.0
992,moon,luna,0.5
993,turns,vueltas,0.25
994,mate,compañero,0.2
995,drinking,bebiendo,0.16666666666666666
996,grand,grandioso,0.8
997,worst,el peor,0.0
998,match,juego,0.0
999,nervous,nervioso,1.0
1000,final,final,1.0
1001,choose,elegir,0.0
1002,smoke,fumar,0.3333333333333333
1003,orders,pedidos,0.5
1004,otherwise,de lo contrario,0.0
1005,books,libros,0.5
1006,blame,culpa,0.3333333333333333
1007,press,prensa,0.75
1008,ls,ls,1.0
1009,decide,decidir,0.75
1010,drugs,drogas,1.0
1011,max,máximo,0.5
1012,smile,sonreír,0.2
1013,type,escribe,0.0
1014,ow,ay,0.0
