,german,spanish,Distances
177,hilfe,ayuda,0.0
178,verdammt,maldición,0.16666666666666666
179,ne,no,1.0
180,gern,con alegría,0.2857142857142857
181,konnte,pudo,0.0
182,darüber,sobre eso,0.0
183,halten,mantener,0.4
184,siehst,ver,0.0
185,verstehe,comprender,0.14285714285714285
186,jahren,años,0.0
187,kam,vino,0.0
188,kind,niño,0.3333333333333333
189,wusste,supo,0.25
190,wahr,verdadero,0.2
191,bruder,hermanos,0.2
192,daran,lo,0.0
193,denken,pensar,0.25
194,könnten,pudo,0.0
195,dank,gracias a,0.0
196,lieber,bastante,0.0
197,fall,caso,0.0
198,sehe,ver,0.0
199,egal,no importa,0.0
200,kennen,saber,0.0
201,vergessen,olvidar,0.0
202,frage,pedir,0.0
203,mache,hacer,0.3333333333333333
204,komme,venir,0.0
205,sage,leyenda,0.0
206,mag,me gusta,0.4
207,sieh,ver,0.0
208,echt,real,0.0
209,gib,dar,0.0
210,eigentlich,realmente,0.0
211,dad,papá,0.0
212,gab,dio,0.0
213,uhr,reloj,0.0
214,stadt,ciudad,0.25
215,männer,hombres,0.0
216,baby,niño,0.0
217,fahren,conducir,0.0
218,namen,nombres,0.4
219,bekommen,llegar,0.0
220,kopf,cabeza,0.0
221,hi,hola,0.5
222,gehe,vamos,0.0
223,kleine,pequeña,0.0
224,später,luego,0.0
225,glück,suerte,0.0
226,letzte,ultimo,0.5
227,freunde,amigos,0.0
228,n,norte,0.3333333333333333
229,all,todos,0.0
230,darauf,al respecto,0.14285714285714285
231,ende,final,0.3333333333333333
232,dr.,dr.,1.0
233,bald,pronto,0.0
234,töten,matar,0.25
235,dinge,cosas,0.0
236,meinst,significar,0.16666666666666666
237,toll,excelente,0.2
238,eins,una,0.5
239,minuten,minutos,0.75
240,vielen,muchos,0.0
241,bereit,listo,0.3333333333333333
242,weit,lejos,0.0
243,ahnung,ocurrencia,0.2
244,bisschen,un poquito,0.0
245,tür,puerta,0.0
246,auto,automóvil,0.2
247,jungs,tipo,0.0
248,augen,ojos,0.0
249,polizei,policía,0.5
250,stehen,pararse,0.0
251,sterben,morir,0.2
252,hätten,tenido,0.2
253,draußen,fuera de,0.25
254,kenne,saber,0.0
255,fast,por poco,0.0
256,runter,abajo,0.0
257,vorbei,sobre,0.0
258,treffen,reunión,0.4
259,gerne,con alegría,0.2857142857142857
260,dran,tu turno,0.4
261,wurden,convertirse,0.14285714285714285
262,arbeiten,trabajar,0.4
263,mom,mamá,0.6666666666666666
264,verrückt,loca,0.14285714285714285
265,neue,nuevo,0.5
266,ging,se fue,0.0
267,sorgen,preocupaciones,0.2857142857142857
268,einzige,solamente,0.0
269,jemanden,alguien,0.2
270,darum,por lo tanto,0.125
271,tochter,hija,0.2
272,braucht,necesidades,0.0
273,idee,ocurrencia,0.0
274,schwester,hermana,0.14285714285714285
275,drin,en el interior,0.125
276,ruhig,calma,0.0
277,sah,sierra,0.3333333333333333
278,ganzen,completo,0.0
279,spät,tarde,0.0
280,ziemlich,bastante,0.0
281,solltest,debería,0.0
282,name,apellido,0.0
283,sogar,incluso,0.0
284,kurz,corto,0.3333333333333333
285,kerl,tipo,0.0
286,frauen,mujeres,0.25
287,liegt,mentiras,0.2
288,suchen,buscando,0.4
289,finde,encontrar,0.16666666666666666
290,je,alguna vez,0.0
291,woher,de donde,0.0
292,lang,largo,0.6666666666666666
293,job,trabajo,0.25
294,hört,escucha,0.0
295,verstehen,comprender,0.0
296,spielen,jugar,0.0
297,s.,s.,1.0
298,überhaupt,en absoluto,0.16666666666666666
299,teufel,demonio,0.0
300,verstanden,entendido,0.42857142857142855
301,verloren,perdió,0.2
302,große,talla,0.0
303,hand,mano,0.3333333333333333
304,grund,terrestre,0.16666666666666666
305,jahr,año,0.0
306,kommst,venir,0.0
307,mama,momia,1.0
308,ruhe,tranquilo,0.2
309,tod,muerte,0.0
310,stunden,horas,0.0
311,hoffe,esperar,0.0
312,denkst,pensar,0.4
313,oben,arriba,0.0
314,gestern,el dia de ayer,0.0
315,versuchen,intentar,0.0
316,art,arte,1.0
317,letzten,ultimo,0.4
318,schatz,cariño,0.2
319,endlich,al final,0.0
320,he,oye,0.0
321,nimm,tomar,0.3333333333333333
322,etwa,sobre,0.0
323,erzählt,dicho,0.16666666666666666
324,läuft,carreras,0.0
325,schwer,difícil,0.0
326,miss,señorita,0.0
327,fünf,cinco,0.25
328,wasser,agua,0.0
329,lässt,hojas,0.2
330,erste,primero,0.25
331,versucht,intentos,0.0
332,gekommen,vino,0.2
333,geschichte,historia,0.14285714285714285
334,wenig,poco,0.0
335,holen,ir a buscar,0.0
336,bedeutet,medio,0.25
337,nett,tipo,0.3333333333333333
338,wahrheit,verdad,0.2
339,woche,semana,0.0
340,bringt,trae,0.2
341,deshalb,por esta razón,0.1
342,bestimmt,definitivamente,0.375
343,hoch,alto,0.0
344,alter,años,0.0
345,sagst,decir,0.0
346,schau,mira,0.0
347,ah,ah,1.0
348,land,país,0.0
349,zimmer,habitación,0.0
350,wagen,atrevimiento,0.16666666666666666
351,vier,cuatro,0.3333333333333333
352,gefallen,favor,0.2
353,spaß,divertida,0.0
354,niemals,de ninguna manera,0.2
355,schuld,culpa,0.4
356,getötet,delicado,0.0
357,wollten,quería,0.0
358,verlassen,partida,0.16666666666666666
359,zeigen,demostrar,0.0
360,beste,mejor,0.0
361,ernst,serio,0.25
362,unserer,nuestro,0.75
363,denen,aquellos,0.0
364,ort,ubicación,0.0
365,bleibt,restos,0.0
366,würdest,haría,0.16666666666666666
367,manchmal,algunas veces,0.125
368,glaubst,creer,0.0
369,seite,página,0.0
370,lasst,hojas,0.25
371,eben,incluso,0.0
372,spiel,juego,0.0
373,nehme,tomar,0.0
374,ersten,primero,0.0
375,guter,bienes,0.0
376,chance,oportunidad,0.16666666666666666
377,freundin,amigo,0.0
378,krieg,guerra,0.3333333333333333
379,gefällt,agrada,0.16666666666666666
380,kleinen,pequeña,0.0
381,erzählen,decir,0.0
382,tage,días,0.0
383,entschuldigen,pedir disculpas,0.1
384,wichtig,importante,0.16666666666666666
385,gehst,vamos,0.25
386,bett,cama,0.0
387,mrs.,sra.,0.5
388,sachen,cosas,0.25
389,the,la,0.0
390,schlecht,malo,0.14285714285714285
391,schule,escuela,0.75
392,entschuldigung,lo siento,0.2
393,wort,palabra,0.0
394,john,john,1.0
395,hättest,tendría,0.0
396,wären,sería,0.25
397,typ,escribe,0.0
398,schlafen,dormir,0.0
399,äh,ah,0.5
400,tu,hacer,0.0
401,captain,capitán,0.8
402,gesicht,cara,0.2
403,falls,si,0.25
404,neuen,nuevo,0.5
405,bloß,sólo,0.0
406,unten,abajo,0.0
407,teil,parte,0.0
408,beiden,ambas cosas,0.14285714285714285
409,mensch,persona,0.2
410,kleiner,menor,0.5
411,stellen,lugar,0.2
412,oft,con frecuencia,0.125
413,sorge,preocupaciones,0.14285714285714285
414,gedacht,pensamiento,0.16666666666666666
415,tust,hacer,0.0
416,trinken,beber,0.0
417,ding,cosa,0.0
418,kriegen,obtener,0.0
419,blut,sangre,0.0
420,ehrlich,honesto,0.2
421,eltern,padres,0.25
422,scheint,parece,0.0
423,herz,corazón,0.4
424,jack,jacobo,0.6666666666666666
425,glücklich,contento,0.125
426,alte,antiguo,0.3333333333333333
427,alt,antiguo,0.3333333333333333
428,bleib,quédate,0.0
429,wiedersehen,hasta luego,0.0
430,frei,libre,0.3333333333333333
431,wen,quién,0.3333333333333333
432,drauf,en eso,0.0
433,möglich,posible,0.16666666666666666
434,irgendwie,de alguna manera,0.2222222222222222
435,reicht,suficiente,0.4
436,fest,celebracion,0.0
437,besten,mejor,0.0
438,waffe,arma,0.0
439,kaum,difícilmente,0.125
440,irgendwas,cualquier cosa,0.14285714285714285
441,klingt,sonidos,0.2
442,platz,espacio,0.0
443,brauchst,necesitar,0.3333333333333333
444,rede,discurso,0.2
445,papa,padre,0.3333333333333333
446,falsch,incorrecto,0.16666666666666666
447,alten,antiguo,0.3333333333333333
448,nummer,número,0.75
449,früher,previamente,0.16666666666666666
450,jungen,niños,0.25
451,wohin,dónde,0.25
452,außer,excepto,0.0
453,früh,temprano,0.0
454,setzen,poner,0.0
455,zuerst,primero,0.25
456,wahrscheinlich,probablemente,0.1
457,dürfen,permitido,0.0
458,arsch,culo,0.25
459,telefon,teléfono,0.8
460,tue,hacer,0.0
461,kennst,saber,0.0
462,willkommen,bienvenidos,0.0
463,plan,plan,1.0
464,großen,enorme,0.25
465,retten,rescate,0.25
466,hierher,aquí,0.0
467,wär,sería,0.0
468,bring,traer,0.25
469,fehler,error,0.25
470,wollt,desear,0.0
471,dollar,dólar,0.75
472,zehn,diez,0.0
473,pass,pasaporte,0.4
474,nächste,siguiente,0.16666666666666666
475,stunde,hora,0.0
476,hände,manos,0.25
477,gegeben,dado,0.0
478,menge,monto,0.6666666666666666
479,langsam,lento,0.4
480,bereits,ya,0.0
481,wartet,murga,0.25
482,sechs,seis,0.5
483,lieben,amor,0.0
484,büro,oficina,0.0
485,nächsten,siguiente,0.14285714285714285
486,gebe,dar,0.0
487,wochen,semanas,0.0
488,ruf,llamar,0.0
489,schaffen,crear,0.16666666666666666
490,leider,desafortunadamente,0.1
491,scheiß,mierda,0.0
492,hölle,infierno,0.0
493,trotzdem,sin embargo,0.0
494,doktor,médico,0.0
495,tja,bien,0.0
496,new,nuevo,0.5
497,voll,completo,0.2
498,film,película,0.2
499,überall,por todas partes,0.09090909090909091
500,hund,perro,0.0
501,geworden,convertirse en,0.2222222222222222
502,direkt,directo,0.75
503,wolltest,querido,0.0
504,tat,hizo,0.0
505,denkt,piensa,0.25
506,schiff,embarcacion,0.0
507,neues,nuevo,0.5
508,wem,quién,0.0
509,könig,rey,0.0
510,danach,después de eso,0.1111111111111111
511,funktioniert,está trabajando,0.1
512,hattest,tenido,0.2
513,lernen,aprender,0.4
514,deswegen,debido a esto,0.14285714285714285
515,wow,guau,0.0
516,nennen,nombrar,0.2
517,hm,mmm,0.3333333333333333
518,feuer,fuego,0.5
519,laufen,correr,0.0
520,alleine,solo,0.3333333333333333
521,erinnern,recuerdo,0.4
522,völlig,completamente,0.125
523,kleines,pequeña,0.0
524,könnt,pueden,0.2
525,stelle,trabajo,0.0
526,kumpel,tipo,0.25
527,verlieren,perder,0.4
528,probleme,problemas,0.8333333333333334
529,spricht,habla,0.0
530,kaffee,café,0.3333333333333333
531,luft,aire,0.0
532,fand,fundar,0.75
533,i,i,
534,entschuldige,perdóneme,0.0
535,ziehen,dibujar,0.0
536,verschwinden,desaparecer,0.1111111111111111
537,könntest,pudo,0.0
538,seht,mira,0.0
539,aufhören,deténgase,0.0
540,eigenen,propio,0.0
541,richtige,el correcto,0.14285714285714285
542,suche,buscar,0.5
543,groß,grande,0.5
544,hol,obtener,0.0
545,buch,un libro,0.0
546,krank,enfermo,0.0
547,fühle,sentir,0.0
548,verstehst,comprender,0.0
549,wert,valor,0.0
550,arzt,médico,0.0
551,froh,alegre,0.0
552,versuche,intentos,0.0
553,straße,la carretera,0.14285714285714285
554,rufen,llamar,0.0
555,heiraten,casar,0.0
556,super,estupendo,0.4
557,sam,sam,1.0
558,lebt,vive,0.0
559,gutes,bueno,0.0
560,lasse,dejar,0.0
561,onkel,tío,0.0
562,total,total,1.0
563,gebracht,trajo,0.16666666666666666
564,party,fiesta,0.25
565,erklären,para explicar,0.25
566,spielt,obras de teatro,0.2222222222222222
567,wahl,elección,0.0
568,vertrauen,confianza,0.0
569,damals,en aquel momento,0.1111111111111111
570,tagen,reunir,0.0
571,leicht,fácil,0.0
572,nachdem,después de este,0.1
573,gegangen,desaparecido,0.0
574,gefühl,sentimiento,0.0
575,kaufen,comprar,0.0
576,geschafft,hecha,0.2857142857142857
577,typen,tipos,0.5
578,interessiert,interesado,0.5714285714285714
579,möchten,desear,0.0
580,halte,mantener,0.2
581,hält,sostiene,0.0
582,glaub,creer,0.0
583,irgendwo,en algún lugar,0.2
584,stück,pieza,0.0
585,genauso,así,0.0
586,kennt,sabe,0.0
587,genommen,tomado,0.2
588,zukunft,futuro,0.2
589,weniger,menos,0.25
590,cool,frío,0.0
591,licht,luz,0.25
592,getroffen,reunió,0.16666666666666666
593,himmel,cielo,0.25
594,nachricht,noticias,0.2857142857142857
595,drüben,por ahí,0.2
596,passt,encaja,0.0
597,sagten,dijo,0.0
598,kümmern,para cuidar de,0.125
599,laut,ruidoso,0.0
600,vergiss,olvidar,0.0
601,angerufen,llamó,0.0
602,sitzen,sentar,0.25
603,erde,tierra,0.3333333333333333
604,großer,mayor que,0.2
605,schlüssel,llave,0.125
606,rest,descansar,0.16666666666666666
607,passieren,suceder,0.2
608,eher,bastante,0.0
609,gefragt,preguntó,0.3333333333333333
610,gefängnis,celda,0.0
611,opfer,víctima,0.0
612,körper,cuerpo,0.4
613,mist,maldita sea,0.3333333333333333
614,mr,señor,0.3333333333333333
615,findet,encuentra,0.2
616,schreiben,escribe,0.6666666666666666
617,böse,enfadado,0.0
618,gesprochen,hablado,0.0
619,versuch,experimento,0.16666666666666666
620,vorstellen,introducir,0.0
621,wovon,acerca de,0.0
622,sobald,tan pronto como,0.0
623,nochmal,una vez más,0.25
624,herren,de los hombres,0.2
625,sex,sexo,1.0
626,waffen,armas,0.0
627,wohnung,plano,0.2
628,weh,doloroso,0.0
629,heißen,significar,0.16666666666666666
630,krankenhaus,hospital,0.0
631,bringe,traer,0.25
632,höre,oír,0.3333333333333333
633,millionen,millones,0.8
634,klasse,clase,0.5
635,hart,difícil,0.0
636,worden,estado,0.25
637,sinn,sentido,0.5
638,außerdem,además de eso,0.125
639,verletzt,herir,0.16666666666666666
640,ändern,cambio,0.0
641,erfahren,experimentado,0.14285714285714285
642,tragen,tener puesto,0.2857142857142857
643,wenigstens,al menos,0.2857142857142857
644,vorsichtig,cuidado,0.14285714285714285
645,daddy,papá,0.0
646,stolz,orgulloso,0.2
647,stark,fuerte,0.25
648,fällt,caídas,0.0
649,möchtest,desear,0.14285714285714285
650,leuten,gente,0.0
651,besonders,especialmente,0.0
652,schöne,hermoso,0.0
653,schicken,enviar,0.0
654,person,persona,1.0
655,schätze,adivinar,0.0
656,solange,hasta la vista,0.2222222222222222
657,länger,más extenso,0.0
658,großartig,excelente,0.16666666666666666
659,lacht,risas,0.0
660,anrufen,llamar,0.0
661,stand,estaba de pie,0.42857142857142855
662,redest,hablar,0.0
663,fühlen,sentir,0.0
664,erwartet,esperado,0.2
665,boden,terrestre,0.0
666,boss,jefe,0.0
667,stimme,voz,0.0
668,glaubt,cree,0.0
669,still,tranquilo,0.2
670,sicherheit,la seguridad,0.14285714285714285
671,setz,establecer,0.3333333333333333
672,ma,mamá,0.3333333333333333
673,mund,boca,0.0
674,kämpfen,batalla,0.0
675,wisst,saber,0.25
676,lachen,risa,0.0
677,hörst,oír,0.2
678,zeug,cosas,0.0
679,lustig,divertida,0.2
680,umbringen,matar,0.3333333333333333
681,sollst,debería,0.0
682,hasse,odio,0.0
683,schlimm,horrible,0.0
684,o,o,
685,unglaublich,increíble,0.2857142857142857
686,wärst,sería,0.2
687,laden,carga,0.0
688,führen,liderar,0.2
689,gestorben,murió,0.16666666666666666
690,schauen,reloj,0.0
691,meinung,opinión,0.25
692,lesen,leer,0.3333333333333333
693,mörder,asesino,0.0
694,frank,franco,0.75
695,ähm,em,0.3333333333333333
696,geschehen,suceder,0.3333333333333333
697,geschäft,tienda,0.0
698,idiot,estúpido,0.2
699,verzeihung,perdón,0.3333333333333333
700,fliegen,para volar,0.0
701,zeig,mostrar,0.0
702,team,equipo,0.0
703,general,general,1.0
704,mike,miguel,0.3333333333333333
705,aufs,sobre,0.0
706,york,york,1.0
707,vorher,antes de,0.0
708,schluss,suficiente,0.16666666666666666
709,schneller,mas rapido,0.0
710,liebt,ama,0.0
711,verdient,ganado,0.2
712,mögen,gustar,0.0
713,meisten,la mayoría,0.16666666666666666
714,denk,pensar,0.25
715,umgebracht,delicado,0.14285714285714285
716,perfekt,perfecto,0.8
717,versprochen,prometido,0.25
718,handy,móvil,0.0
719,hinten,trasero,0.0
720,monate,meses,0.3333333333333333
721,erinnere,recuerda,0.25
722,acht,ocho,0.6666666666666666
723,arbeitet,está trabajando,0.2
724,fallen,otoño,0.0
725,rufe,grito,0.3333333333333333
726,nötig,necesario,0.25
727,a,a,
728,mord,asesinato,0.0
729,heraus,fuera de aquí,0.14285714285714285
730,tages,día,0.0
731,unmöglich,imposible,0.14285714285714285
732,liebling,querida,0.0
733,charlie,charlie,1.0
734,tatsächlich,por supuesto,0.0
735,folgen,seguir,0.25
736,bitten,solicitud,0.2
737,behalten,mantener,0.2
738,nähe,vecindad,0.2
739,arbeite,trabajar,0.4
740,joe,josé,0.3333333333333333
741,verdammte,maldita sea,0.16666666666666666
742,plötzlich,de repente,0.0
743,lebens,vida,0.0
744,hole,obtener,0.0
745,tisch,mesa,0.25
746,michael,miguel,0.5
747,hörte,escuchó,0.0
748,jemals,alguna vez,0.0
749,liegen,mentir,0.0
750,verkaufen,vender,0.2
751,gefährlich,peligroso,0.125
752,anfangen,empezar,0.0
753,bekommt,recibe,0.0
754,machte,hecha,0.5
755,ha,decir ah,0.2
756,hotel,hotel,1.0
757,hilft,ayuda,0.0
758,werdet,voluntad,0.2
759,meister,maestro,1.0
760,kampf,dificil,0.0
761,antwort,respuesta,0.2
762,konnten,pudo,0.0
763,geschickt,enviado,0.0
764,obwohl,a pesar de que,0.0
765,sieben,siete,0.3333333333333333
766,komisch,gracioso,0.2
767,gewinnen,ganar,0.4
768,bezahlt,pagado,0.0
769,you,tú,0.0
770,voller,lleno de,0.2
771,unterwegs,en la carretera,0.2222222222222222
772,dumm,tonto,0.0
773,ärger,problema,0.2
774,bild,imagen,0.0
775,george,jorge,0.6666666666666666
776,neu,nuevo,0.5
777,bezahlen,pagar,0.0
778,dagegen,en contra,0.16666666666666666
779,seien,ser,0.5
780,starb,murió,0.25
781,tom,tomás,0.5
782,monaten,meses,0.25
783,leiche,cadáver,0.0
784,niemanden,nadie,0.4
785,auge,ojo,0.0
786,arschloch,estúpido,0.14285714285714285
787,verheiratet,casado,0.0
788,peter,pedro,0.6666666666666666
789,zieh,dibujar,0.0
790,nimmt,toma,0.25
791,gerettet,salvado,0.0
792,agent,agente,1.0
793,traum,sueño,0.0
794,entscheidung,decisión,0.25
795,schlimmer,peor,0.14285714285714285
796,regeln,regular,0.75
797,fenster,ventana,0.4
798,fangen,atrapar,0.0
799,fort,lejos,0.0
800,ständig,constante,0.16666666666666666
801,findest,encontrar,0.16666666666666666
802,gefahr,peligro,0.25
803,absolut,absolutamente,0.5714285714285714
804,mary,maría,0.6666666666666666
805,augenblick,momento,0.0
806,bescheid,aviso,0.2
807,rum,ron,0.5
808,gedanken,pensamientos,0.14285714285714285
809,werd,voluntad,0.2
810,ziel,objetivo,0.0
811,benutzt,usó,0.0
812,bewegung,muevete,0.0
813,jemandem,alguien,0.2
814,wünschte,deseado,0.14285714285714285
815,worte,palabras,0.2
816,kamen,vino,0.3333333333333333
817,zahlen,para contar,0.14285714285714285
818,anfang,comienzo,0.25
819,legen,poner,0.0
820,erinnerst,recuerda,0.3333333333333333
821,anwalt,abogado,0.0
822,fahr,conducir,0.2
823,sitzt,se sienta,0.4
824,hilf,ayuda,0.0
825,offen,abierto,0.0
826,schönen,hermoso,0.16666666666666666
827,monsieur,señor,0.25
828,müsste,tendría que,0.0
829,arme,pobre,0.0
830,bier,cerveza,0.25
831,fürs,por,0.25
832,partner,compañero,0.2
833,klein,pequeña,0.0
834,david,david,1.0
835,klappe,solapa,0.5
836,süß,dulce,0.0
837,herum,por aquí,0.2
838,finger,dedo,0.0
839,ehe,matrimonio,0.0
840,rolle,role,0.6666666666666666
841,ließ,dejar,0.0
842,gleiche,mismo,0.0
843,monat,mes,0.3333333333333333
844,hochzeit,matrimonio,0.0
845,max,máx.,0.5
846,führt,guías,0.0
847,paris,parís,0.75
848,wach,despierto,0.0
849,wozu,por qué razón,0.1
850,arm,pobre,0.0
851,geschrieben,escrito,0.42857142857142855
852,chef,jefe,0.3333333333333333
853,benutzen,usar,0.0
854,informationen,información,0.7142857142857143
855,erledigt,hecho,0.0
856,hoffentlich,ojalá,0.125
857,müsst,deber,0.0
858,fühlt,siente,0.2
859,tanzen,baile,0.0
860,ansehen,mirar,0.0
861,darfst,mayo,0.0
862,zuhause,en casa,0.25
863,wunderbar,maravilloso,0.0
864,hältst,mantener,0.16666666666666666
865,reise,viajar,0.0
866,gewonnen,ganó,0.4
867,dame,dama,1.0
868,irgendwann,algún tiempo,0.25
869,chffffff,chffffff,1.0
870,alex,alex,1.0
871,steckt,atascado,0.2
872,jedenfalls,en todo caso,0.14285714285714285
873,schreit,llantos,0.0
874,tolle,increíble,0.16666666666666666
875,rüber,sobre,0.5
876,tschüss,adiós,0.14285714285714285
877,nennt,nombres,0.2
878,raum,espacio,0.0
879,heiß,caliente,0.0
880,foto,foto,1.0
881,kalt,frío,0.0
882,paul,pablo,0.6666666666666666
883,irgendetwas,cualquier cosa,0.14285714285714285
884,weile,tiempo,0.0
885,bisher,hasta aquí,0.16666666666666666
886,minute,minuto,1.0
887,unbedingt,absolutamente,0.14285714285714285
888,zug,tren,0.0
889,sekunden,segundos,0.6
890,wofür,para qué,0.0
891,erzähl,decir,0.0
892,nen,a,0.0
893,beweise,pruebas,0.25
894,nahm,tomó,0.0
895,freut,es feliz,0.2
896,seele,alma,0.0
897,schießen,disparar,0.0
898,müde,cansado,0.25
899,dauert,tiene una duración,0.2
900,magst,me gusta,0.8
901,harry,harry,1.0
902,brief,carta,0.3333333333333333
903,gelernt,aprendió,0.2
904,sucht,busca,0.25
905,bekannt,conocido,0.2
906,weitere,más lejos,0.0
907,unfall,accidente,0.0
908,dahin,allá,0.0
909,kontrolle,control,0.6666666666666666
910,beispiel,ejemplo,0.5
911,lady,dama,0.3333333333333333
912,herzen,corazones,0.6
913,schlagen,pegar,0.16666666666666666
914,wütend,furioso,0.0
915,weise,sabio,0.0
916,damen,señoras,0.0
917,darin,en esto,0.0
918,gottes,dios,0.25
919,holt,obtener,0.0
920,fehlt,está perdido,0.0
921,vorsicht,atención,0.16666666666666666
922,heiße,nombre es,0.0
923,beweisen,demostrar,0.16666666666666666
924,gehabt,tenido,0.0
925,zumindest,al menos,0.3333333333333333
926,vermisst,perdido,0.16666666666666666
927,hübsch,bonita,0.16666666666666666
928,kriegt,obtiene,0.0
929,verbindung,enlace,0.14285714285714285
930,tief,profundo,0.2
931,richtung,dirección,0.3333333333333333
932,lage,posición,0.0
933,sowieso,de todos modos,0.2222222222222222
934,kraft,energía,0.25
935,normal,normal,1.0
936,lauf,correr,0.0
937,ehre,honor,0.6666666666666666
938,stell,diputado,0.0
939,geschenk,regalo,0.0
