,spanish,french,Distances
139,cierto,certain,0.75
140,dicho,en disant,0.16666666666666666
141,demasiado,aussi,0.25
142,amor,amour,1.0
143,ve,aller,0.0
144,pasado,passé,0.5
145,familia,famille,0.75
146,policía,policier,0.75
147,debería,devrait,0.5
148,ustedes,ton,0.25
149,chica,fille,0.0
150,chicos,garçons,0.2
151,cuenta,compte,0.5
152,haces,tu fais,0.25
153,todavía,encore,0.0
154,salir,sortir,0.5
155,algún,quelques,0.0
156,vaya,wow,0.0
157,veo,je vois,0.25
158,amigos,copains,0.25
159,hermano,frère,0.25
160,pensé,je pensais,0.5
161,sabía,je savais,0.2
162,cabeza,tête,0.0
163,ah,oh,1.0
164,cariño,affection,0.2
165,digo,dire,0.5
166,van,aller,0.0
167,hombres,pour des hommes,0.2
168,buenas,bien,0.6666666666666666
169,cualquier,n'importe quel,0.1111111111111111
170,forma,formulaire,0.6
171,mientras,alors que,0.0
172,lado,côté,0.0
173,debo,je vais,0.0
174,caso,cas,1.0
175,pueden,ils peuvent,0.2857142857142857
176,pasó,je passe,0.4
177,primera,première,0.8
178,genial,brillant,0.16666666666666666
179,chico,garçon,0.0
180,supuesto,censé,0.25
181,hice,je l'ai fait,0.0
182,pues,bien,0.0
183,adiós,adieu,0.3333333333333333
184,muchas,de nombreux,0.14285714285714285
185,personas,personnes,0.8333333333333334
186,señora,madame,0.0
187,volver,revenir,0.25
188,quizá,peut être,0.0
189,camino,route,0.0
190,hablando,en parlant,0.2857142857142857
191,manera,façon,0.0
192,muerto,morte,1.0
193,persona,la personne,0.5714285714285714
194,rápido,rapide,0.75
195,cuál,qui,0.0
196,ayuda,aide,0.5
197,historia,l'histoire,0.6666666666666666
198,iba,j'allais,0.0
199,supongo,je suppose,0.3333333333333333
200,nueva,nouveau,1.0
201,entiendo,je comprends,0.2222222222222222
202,dentro,dans,0.5
203,casi,presque,0.25
204,puerta,portail,0.75
205,ves,vous voyez,0.3333333333333333
206,pasar,passer,0.75
207,primero,premier,1.0
208,significa,ça veut dire,0.0
209,semana,la semaine,0.6
210,hacia,envers,0.0
211,quizás,peut être,0.0
212,espero,attendez,0.0
213,juntos,ensemble,0.0
214,año,an,0.0
215,niños,des gamins,0.14285714285714285
216,pronto,tôt,0.25
217,tío,l'oncle,0.0
218,suerte,chance,0.0
219,ciudad,ville,0.0
220,siquiera,même,0.0
221,feliz,heureux,0.0
222,venir,venir,1.0
223,hija,la fille,0.0
224,gustaría,aimerait,0.2
225,minutos,minutes,1.0
226,cuánto,combien,0.25
227,hey,hé,0.5
228,muerte,décès,0.0
229,dejar,laisser,0.25
230,realidad,réalité,0.4
231,deja,laisser,0.0
232,problemas,problèmes,0.8571428571428571
233,vi,vu,1.0
234,da,donne,0.3333333333333333
235,importante,important,1.0
236,dijiste,a dit,0.25
237,corazón,coeur,0.4
238,miedo,craindre,0.2
239,jefe,chef,0.3333333333333333
240,agua,eau,0.0
241,haré,je ferai,0.0
242,justo,juste,1.0
243,horas,heures,1.0
244,poder,pouvoir,0.6666666666666666
245,buenos,bons,1.0
246,esposa,épouse,0.6666666666666666
247,manos,mains,1.0
248,debes,tu devrais,0.3333333333333333
249,viene,vient,0.6666666666666666
250,venga,allez,0.0
251,ojos,les yeux,0.2
252,adelante,avant,0.5
253,encontrar,trouver,0.3333333333333333
254,mano,main,1.0
255,cinco,cinq,0.6666666666666666
256,niño,petit garçon,0.0
257,ninguna,rien,0.25
258,cara,visage,0.0
259,cuidado,fais attention,0.0
260,bajo,bas,0.5
261,cerca,proche,0.5
262,viejo,agé de,0.0
263,déjame,laisse moi,0.2
264,noches,nuits,0.5
265,bastante,assez,0.2
266,fin,terminer,0.2
267,tomar,prendre,0.2
268,único,unique,0.3333333333333333
269,misma,même,0.6666666666666666
270,escucha,ecoutez,0.25
271,ningún,rien,0.2
272,suficiente,suffisant,0.6666666666666666
273,punto,indiquer,0.0
274,cuándo,lorsque,0.0
275,sigue,suivre,0.3333333333333333
276,equipo,équipe,0.6666666666666666
277,grande,grand,1.0
278,necesita,a besoin de,0.16666666666666666
279,llegar,arriver,0.25
280,incluso,même,0.0
281,doctor,docteur,1.0
282,difícil,dur,0.2
283,aunque,même si,0.0
284,primer,première,0.8
285,coche,auto,0.0
286,hago,je fais,0.0
287,clase,classe,0.75
288,cuatro,quatre,0.6666666666666666
289,mas,plus,0.3333333333333333
290,dices,vous dites,0.3333333333333333
291,pequeño,peu,0.3333333333333333
292,llama,appelle,0.25
293,toma,prise,0.0
294,hiciste,a fait,0.25
295,allá,là,0.3333333333333333
296,última,dernière,0.0
297,arriba,en haut,0.0
298,tierra,terre,1.0
299,guerra,guerre,1.0
300,pensar,penser,1.0
301,pueda,boîte,0.0
302,igual,égal,0.6666666666666666
303,loco,fou,0.0
304,sangre,du sang,0.4
305,mujeres,femmes,0.25
306,vuelta,tour,0.0
307,trabajar,travailler,0.5
308,juego,jouer,0.5
309,deberías,tu devrais,0.3333333333333333
310,cuerpo,corps,0.75
311,entrar,montez,0.25
312,cree,croire,0.6666666666666666
313,podía,pourrait,0.25
314,debemos,devoir,0.25
315,oportunidad,chance,0.16666666666666666
316,teléfono,téléphone,0.5714285714285714
317,necesitamos,besoin,0.16666666666666666
318,final,final,1.0
319,listo,intelligent,0.2857142857142857
320,fiesta,faire la fête,0.25
321,quieren,vouloir,0.0
322,vete,s'en aller,0.0
323,auto,auto,1.0
324,dar,pour donner,0.2857142857142857
325,vivir,vivre,1.0
326,posible,possible,0.8
327,ok,d'accord,0.0
328,hermana,sœur,0.0
329,número,le numéro,0.3333333333333333
330,meses,mois,0.6666666666666666
331,exactamente,exactement,1.0
332,culpa,défaut,0.0
333,abajo,vers le bas,0.125
334,escuela,école,0.6666666666666666
335,ido,disparu,0.25
336,fuerte,fort,1.0
337,diciendo,en disant,0.3333333333333333
338,habla,parole,0.3333333333333333
339,ello,ce,0.0
340,pregunta,question,0.2
341,chicas,les filles,0.14285714285714285
342,unas,clou,0.0
343,pasando,aller,0.0
344,atrás,derrière,0.2
345,malo,mal,1.0
346,capitán,capitaine,0.8
347,sra.,madame,0.0
348,bebé,bébé,0.75
349,segundo,deuxième,0.0
350,sabemos,nous savons,0.2857142857142857
351,mayor,âgé,0.0
352,comida,aliments,0.2
353,morir,mourir,1.0
354,conozco,connaître,0.3333333333333333
355,dame,donne moi,0.4
356,fácil,facile,0.75
357,comer,manger,0.25
358,vino,est venu,0.4
359,lista,prêt,0.25
360,haga,fabriquer,0.0
361,necesitas,vous avez besoin,0.1111111111111111
362,hijos,fils,0.3333333333333333
363,probablemente,probablement,1.0
364,padres,les pères,0.42857142857142855
365,habitación,chambre,0.0
366,creer,croire,1.0
367,pensando,en pensant,0.5714285714285714
368,dime,dites-moi,0.4
369,trata,sur,0.3333333333333333
370,buscando,recherche,0.0
371,tampoco,soit,0.0
372,amo,aimer,0.5
373,joven,un jeune homme,0.125
374,podrías,pouvez-vous,0.3333333333333333
375,sola,seul,1.0
376,par,paire,1.0
377,única,seulement,0.2
378,hacen,fabriquer,0.0
379,seguir,continuez,0.0
380,dr.,docteur,0.25
381,simplemente,simplement,1.0
382,dicen,ils disent,0.2857142857142857
383,medio,moyen,0.3333333333333333
384,puta,chienne,0.0
385,saben,connaître,0.16666666666666666
386,hagas,tu fais,0.25
387,segura,sûr,0.6666666666666666
388,esperar,attendre à,0.14285714285714285
389,lejos,loin,0.3333333333333333
390,arma,arme,1.0
391,alto,haut,0.5
392,pequeña,petite,0.3333333333333333
393,dólares,dollars,0.8
394,seis,six,0.5
395,seguridad,sécurité,0.3333333333333333
396,maldita,zut,0.25
397,preocupes,inquiétude,0.0
398,palabra,mot,0.0
399,esperando,espérer que,0.42857142857142855
400,queda,restes,0.0
401,oficina,bureau,0.0
402,matar,tuer,0.6666666666666666
403,iré,j'irai,0.0
404,cama,lit,0.0
405,además,en outre,0.0
406,último,dernier,0.0
407,oído,oreille,0.0
408,dio,ça a donné,0.14285714285714285
409,recuerdo,souvenir,0.0
410,siendo,étant,0.25
411,acerca,sur,0.3333333333333333
412,luz,lumière,0.25
413,correcto,c'est correct,0.5
414,ud.,tu.,0.5
415,demonios,démons,0.8
416,verte,te voir,0.25
417,dormir,dormir,1.0
418,sitio,place,0.0
419,ayudar,aider,0.6666666666666666
420,conseguir,obtenir,0.2
421,di,a donné,0.2
422,marido,mari,0.6666666666666666
423,paz,paix,0.5
424,idiota,bête,0.3333333333333333
425,plan,planifier,0.6
426,dado,dé,0.5
427,cuanto,combien,0.25
428,peor,pire,1.0
429,murió,il est mort,0.25
430,pueblo,village,0.25
431,vivo,direct,0.0
432,venido,je viens,0.4
433,john,john,1.0
434,basta,suffisant,0.3333333333333333
435,paso,marcher,0.0
436,deberíamos,nous devrions,0.25
437,música,musique,0.5
438,diga,dire,0.5
439,minuto,minute,1.0
440,anoche,la nuit dernière,0.1
441,llamar,appeler,0.25
442,piensa,pense,1.0
443,país,pays,0.6666666666666666
444,digas,vous dites,0.3333333333333333
445,rey,roi,0.5
446,perdón,pardon,0.8
447,mucha,beaucoup,0.3333333333333333
448,falta,manque,0.0
449,pienso,je pense,0.6
450,diablos,les diables,0.5714285714285714
451,perdido,perdu,0.75
452,niña,fille,0.0
453,señorita,mademoiselle,0.0
454,diez,dix,0.5
455,lleva,porte,0.0
456,hospital,hôpital,0.8
457,grandes,grands,1.0
458,maldito,damné,0.0
459,llamado,appelé,0.0
460,hacemos,nous faisons,0.14285714285714285
461,llevar,apporter,0.2
462,fuego,feu,0.5
463,aqui,ici,0.0
464,poner,"mettre, poser",0.2222222222222222
465,calle,rue,0.0
466,acaba,juste,0.0
467,prueba,test,0.0
468,increíble,incroyable,0.8333333333333334
469,real,réel,0.6666666666666666
470,libro,livre,0.6666666666666666
471,orden,ordre,0.6666666666666666
472,semanas,semaines,1.0
473,especial,spécial,0.8
474,café,café,1.0
475,duro,a duré,0.5
476,empezar,début,0.0
477,afuera,à l'extérieur,0.1111111111111111
478,queremos,nous voulons,0.14285714285714285
479,perro,chien,0.0
480,cielo,chérie,0.25
481,jack,jack,1.0
482,puesto,étal de marché,0.0
483,viaje,voyage,0.3333333333333333
484,detrás,derrière,0.4
485,cuarto,quatrième,0.2
486,querida,cher,0.0
487,haría,ferait,0.3333333333333333
488,preguntas,des questions,0.25
489,piensas,tu penses,0.6666666666666666
490,querido,cher,0.0
491,libre,libre,1.0
492,buscar,chercher,0.3333333333333333
493,diré,je dirai,0.25
494,suena,des sons,0.3333333333333333
495,jugar,jouer,0.6666666666666666
496,cambio,changement,0.2857142857142857
497,película,film,0.2
498,millones,des millions,0.625
499,llamada,appel,0.0
500,resto,le repos,0.2
501,vemos,nous voyons,0.2857142857142857
502,extraño,bizarre,0.25
503,mala,mal,1.0
504,presidente,président,0.8571428571428571
505,srta.,m / s.,0.16666666666666666
506,irme,s'en aller,0.0
507,ropa,vêtements,0.0
508,perder,perdre,1.0
509,vuelve,revenir,0.25
510,agente,agent,1.0
511,palabras,mots,0.2
512,información,informations,0.5714285714285714
513,raro,rare,1.0
514,hará,ça ira,0.0
515,entiendes,vous comprenez,0.0
516,éste,est,0.6666666666666666
517,trabajando,travail,0.3333333333333333
518,tratando,en essayant,0.14285714285714285
519,general,général,0.6666666666666666
520,trato,accord,0.25
521,usar,porter,0.25
522,perfecto,parfait,0.8
523,derecho,droit,0.5
524,modo,mode,1.0
525,ayer,hier,0.5
526,conoces,vous connaissez,0.3333333333333333
527,demás,le reste,0.2
528,quieras,vouloir,0.0
529,podríamos,nous pourrions,0.25
530,noticias,informations,0.42857142857142855
531,asesino,assassin,0.6
532,encontrado,trouvé,0.16666666666666666
533,control,contrôler,0.7142857142857143
534,odio,haine,0.0
535,frente,de face,0.0
536,sexo,sexe,1.0
537,decirle,raconter,0.2
538,divertido,drôle,0.4
539,armas,armes,1.0
540,recuerdas,rappelles toi,0.25
541,amiga,amie,0.5
542,grupo,groupe,1.0
543,asunto,aventure,0.5
544,acabo,terminé,0.0
545,mensaje,message,0.5
546,encima,sur,0.0
547,atención,attention,0.4
548,diferente,différent,0.7142857142857143
549,uh,euh,1.0
550,cállate,fermer,0.0
551,daño,dégâts,0.16666666666666666
552,sucede,arrive,0.0
553,cambiar,changer,0.4
554,siguiente,prochain,0.0
555,sino,par ailleurs,0.0
556,the,la,0.0
557,médico,médical,0.8
558,boca,bouche,0.6666666666666666
559,dejó,laisser,0.0
560,error,erreur,1.0
561,jamás,jamais,0.75
562,largo,long,0.6666666666666666
563,pena,peine,1.0
564,voz,voix,0.5
565,futuro,avenir,0.3333333333333333
566,secreto,secret,1.0
567,baño,bain,0.5
568,mil,mille,0.6666666666666666
569,decirte,te dire,0.0
570,sam,sam,1.0
571,pensaba,pensait,0.75
572,novia,petite amie,0.0
573,propia,posséder,0.16666666666666666
574,sueño,rêve,0.0
575,haz,fais,0.0
576,fuerza,force,0.6666666666666666
577,deben,devraient,0.4
578,supone,censé,0.0
579,ambos,les deux,0.0
580,ay,oh,0.0
581,encontré,j'ai trouvé,0.42857142857142855
582,vuelto,tourné,0.0
583,dolor,la douleur,0.6
584,dile,dit lui,0.5
585,encanta,aime,0.0
586,edad,âge,0.0
587,darle,donne lui,0.4
588,pie,le pied,0.25
589,negro,le noir,0.25
590,ganar,gain,0.6666666666666666
591,york,york,1.0
592,aire,air,1.0
593,lamento,complainte,0.5
594,verlo,le voir,0.25
595,asesinato,meurtre,0.0
596,vio,il a vu,0.25
597,adónde,où aller,0.0
598,llegado,arrivé,0.0
599,disculpe,pardon,0.0
600,s,s,1.0
601,cita,date,0.5
602,sistema,système,0.6666666666666666
603,gusto,goûter,0.5
604,pobre,pauvre,0.6666666666666666
605,negocio,entreprise,0.16666666666666666
606,mente,dérange,0.2
607,campo,campagne,0.6
608,mire,voir,0.5
609,situación,situation,0.6
610,tras,après,0.5
611,hotel,hôtel,0.75
612,funciona,œuvres,0.0
613,foto,photo,0.3333333333333333
614,abogado,avocat,0.0
615,loca,folle,0.3333333333333333
616,propio,soi même,0.0
617,alrededor,autour de,0.4
618,próxima,suivant,0.0
619,terminado,achevé,0.0
620,hablas,parler,0.25
621,pagar,payer,0.6666666666666666
622,mató,tué,0.3333333333333333
623,llamo,appelé,0.25
624,personal,personnel,0.8333333333333334
625,sientes,tu sens,0.4
626,ocurre,se produit,0.16666666666666666
627,ésta,est,0.6666666666666666
628,recuerda,rappelles toi,0.125
629,mitad,demi,0.0
630,quiera,vouloir,0.3333333333333333
631,pelo,les cheveux,0.0
632,viste,robes,0.0
633,oficial,officiel,0.75
634,llegó,j'arrive,0.0
635,compañía,compagnie,0.6
636,relación,relation,0.6
637,conoce,connu,0.6666666666666666
638,pase,arrive,0.0
639,montón,parcelle,0.0
640,mejores,haut,0.0
641,creí,je croyais,0.3333333333333333
642,cena,dîner,0.25
643,sentir,se sentir,0.6666666666666666
644,través,à travers,0.5714285714285714
645,accidente,accident,1.0
646,i,yo,0.0
647,caja,caisse,0.3333333333333333
648,tranquilo,calmes,0.0
649,bonito,beau,0.3333333333333333
650,asi,alors,0.3333333333333333
651,pudo,pourrait,0.25
652,vive,cela vit,0.2
653,vista,voir,0.3333333333333333
654,estúpido,stupide,0.8
655,línea,ligne,0.6666666666666666
656,caballeros,messieurs,0.3333333333333333
657,haremos,sera,0.25
658,dan,donner,0.5
659,quédate,rester,0.0
660,tienda,boutique,0.0
661,comprar,acheter,0.4
662,entendido,c'est compris,0.1
663,centro,centre,1.0
664,salvo,à l'exception,0.1111111111111111
665,mes,mois,1.0
666,joe,jo,1.0
667,sol,soleil,0.6666666666666666
668,tonto,bête,0.3333333333333333
669,hambre,faim,0.25
670,michael,michael,1.0
671,mesa,table,0.0
672,respuesta,réponse,0.4
673,completamente,totalement,0.5
674,david,david,1.0
675,carta,lettre,0.25
676,totalmente,totalement,1.0
677,imposible,impossible,0.8333333333333334
678,pruebas,essais,0.25
679,novio,copain,0.0
680,normal,ordinaire,0.0
681,gustan,ils aiment,0.3333333333333333
682,frank,franc,0.75
683,pude,je pourrais,0.16666666666666666
684,charlie,charly,0.8
685,traje,costume,0.0
686,dirección,adresse,0.3333333333333333
687,siete,sept,0.6666666666666666
688,dijeron,ils ont dit,0.125
689,placer,plaisir,0.75
690,barco,bateau,0.3333333333333333
691,blanco,blanc,1.0
692,tom,à m,0.3333333333333333
693,profesor,professeur,0.8333333333333334
694,servicio,service,1.0
695,muchacho,jeune gars,0.0
696,reunión,rencontre,0.5
697,dejado,la gauche,0.0
698,ley,droit,0.0
699,quisiera,je voudrais,0.16666666666666666
700,george,george,1.0
701,programa,programme,0.8333333333333334
702,carrera,course,0.5
703,cumpleaños,date d'anniversaire,0.09090909090909091
704,muchachos,les mecs,0.16666666666666666
705,culo,cul,1.0
706,canción,chanson,0.4
707,hermosa,belle,0.0
708,universidad,l'universitè,0.5
709,boda,mariage,0.0
710,decirme,dites-moi,0.4
711,cualquiera,n'importe quel,0.1111111111111111
712,hacía,envers,0.0
713,sala,salon,0.6666666666666666
714,llevo,usure,0.0
715,decisión,décision,0.6
716,espere,attendre,0.2
717,don,enfiler,0.0
718,necesario,nécessaire,0.6666666666666666
719,sal,le sel,0.5
720,entra,entre dans,0.42857142857142855
721,prisa,se ruer,0.25
722,carajo,merde,0.3333333333333333
723,embargo,embargo,1.0
724,interesante,intéressant,0.75
725,escuchar,ecoutez,0.2
726,abuela,grand-mère,0.0
727,hicieron,ils ont fabriqué,0.09090909090909091
728,detective,détective,0.8333333333333334
729,horrible,horrible,1.0
730,suelo,d'habitude je,0.0
731,fotos,photos,0.5
732,cárcel,prison,0.2
733,acá,ici,0.5
734,io,io,
735,mike,mike,1.0
736,siéntate,assis-toi,0.4
737,decía,il a dit,0.0
738,intentando,en essayant,0.2857142857142857
739,vámonos,allons-y,0.16666666666666666
740,maldición,zut,0.0
741,silencio,le silence,0.6666666666666666
742,muerta,morte,1.0
743,capaz,capable,0.5
744,salió,il est parti,0.125
745,club,club,1.0
746,terminar,finir,0.4
747,temo,je crains,0.0
748,broma,plaisanter,0.0
749,gobierno,gouvernement,0.42857142857142855
750,prometo,je promets,0.5714285714285714
751,cámara,caméra,0.5
752,media,demi,0.0
753,terrible,terrible,1.0
754,llamó,j'appelle,0.0
755,regalo,cadeau,0.0
756,amable,aimable,1.0
757,dulce,douce,0.6666666666666666
758,muertos,morte,0.75
759,querías,tu voulais,0.2
760,ataque,attaque,0.6666666666666666
761,das,nous voulons,0.14285714285714285
762,navidad,noël,0.25
763,negocios,entreprise,0.3333333333333333
764,pudiera,pourrait,0.5
765,ocho,huit,0.0
766,avión,avion,0.6666666666666666
767,investigación,rechercher,0.125
768,acabó,terminé,0.0
769,juro,je jure,0.5
770,mantener,tenir,0.6
771,ejército,armée,0.2
772,papel,papier,0.6666666666666666
773,partes,les pièces,0.2857142857142857
774,ten,ont,0.0
775,gracioso,drôle,0.25
776,diría,dirait,0.6666666666666666
777,principio,début,0.0
778,delante,devant de,0.5
779,teniente,lieutenant,0.8
780,deseo,désir,0.5
781,vayas,aller,0.0
782,nave,bateau,0.0
783,sale,sort,0.3333333333333333
784,basura,déchets,0.0
785,vine,est venu,0.4
786,contacto,contact,1.0
787,esposo,époux,0.3333333333333333
788,tren,former,0.25
789,encontramos,nous trouvons,0.5
790,dale,poursuivre,0.0
791,verdadero,réel,0.2
792,alma,âme,0.5
793,hazlo,fais le,0.25
794,disculpa,pardon,0.0
795,junto,ensemble,0.0
796,anda,aller,0.0
797,matrimonio,mariage,0.4
798,saberlo,connaître,0.0
799,locura,folie,0.0
800,oro,prié,0.3333333333333333
801,permiso,autorisation,0.2
802,director,directeur,1.0
803,peligro,danger,0.5
804,libertad,liberté,0.8
805,alegro,content,0.0
806,baja,court,0.0
807,derecha,droite,0.5
808,encuentra,trouver,0.2
809,pies,pieds,0.6666666666666666
810,segunda,deuxième,0.0
811,maravilloso,merveilleux,0.8333333333333334
812,espacio,espace,1.0
813,rato,un petit moment,0.1
814,abuelo,grand-père,0.0
815,esperaba,j'esperais,0.5
816,mirando,regarder,0.2
817,salud,santé,0.25
818,sorpresa,surprendre,0.5714285714285714
819,ninguno,rien,0.25
820,miren,voir,0.3333333333333333
821,triste,triste,1.0
822,aun,toujours,0.0
823,pensado,pensé,0.75
824,maestro,prof,0.0
825,según,selon,0.5
826,infierno,enfer,0.75
827,podrían,pourrait,0.4
828,tipos,les types,0.42857142857142855
829,tía,tante,0.3333333333333333
830,crimen,la criminalité,0.4444444444444444
831,conocido,connu,0.5
832,consejo,conseil,0.75
833,iglesia,église,0.75
834,intento,essayer,0.0
835,mayoría,plus,0.0
836,doy,donner,0.25
837,peter,pierre,0.6666666666666666
838,hicimos,nous faisions,0.14285714285714285
839,escena,scène,0.75
840,piso,appartement,0.14285714285714285
841,señal,pancarte,0.0
842,honor,honneur,0.75
843,llamas,appels,0.25
844,abre,s'ouvre,0.25
845,cerebro,cerveau,0.5
846,veras,tu verras,0.5
847,viendo,voyant,0.5
848,pone,des endroits,0.125
849,pregunto,je demande,0.16666666666666666
850,cocina,cuisine,0.6666666666666666
851,vestido,robe,0.0
852,inteligente,intelligent,0.8571428571428571
853,vieja,vieille,0.3333333333333333
854,caballo,cheval,0.5
855,vienen,ils viennent,0.375
856,vidas,des vies,0.2
857,bar,bar,1.0
858,corte,rechercher,0.2857142857142857
859,sucedió,passé,0.0
860,adentro,à l'intérieur,0.3333333333333333
861,drogas,drogues,1.0
862,enseguida,tout de suite,0.14285714285714285
863,busca,chercher,0.16666666666666666
864,agradable,agréable,0.8
865,carne,viande,0.0
866,parecía,ressemblait,0.0
867,departamento,département,0.875
868,lindo,mignon,0.25
869,mar,mer,1.0
870,duda,doute,0.5
871,edificio,imeuble,0.0
872,conocer,connaître,0.5
873,cargo,position,0.0
874,víctima,victime,0.8
875,luna,lune,1.0
876,energía,énergie,0.5
877,frío,froid,0.6666666666666666
878,hablo,a parlé,0.2
879,baile,danse,0.0
880,trabaja,œuvres,0.0
881,misión,mission,0.75
882,listos,prêt,0.0
883,ayudarte,t'aider,0.25
884,izquierda,gauche,0.0
885,paul,paul,1.0
886,beber,boire,0.6666666666666666
887,deje,pars,0.0
888,finalmente,finalement,1.0
889,simple,facile,0.25
890,daré,je donnerai,0.16666666666666666
891,sabías,le saviez-vous,0.25
892,puedas,tu peux,0.0
893,puso,mettre,0.0
894,creía,a cru,0.3333333333333333
895,regresar,rendre,0.4
896,llega,arrive,0.0
897,entender,comprendre,0.42857142857142855
898,mirar,regarder,0.4
899,sacar,enlever,0.25
900,cambiado,modifié,0.0
901,trae,apporte,0.25
902,hermoso,beau,0.0
903,opinión,opinion,0.75
904,verás,tu verras,0.5
905,linda,jolie,0.0
906,apenas,à peine,0.25
907,segundos,secondes,0.8
908,cerveza,bière,0.0
909,harás,vous ferez,0.0
910,creen,croire,0.6666666666666666
911,oír,écouter,0.25
912,cuántos,de nombreux,0.14285714285714285
913,hablado,parlé,0.25
914,hablamos,nous parlons,0.25
915,reina,reine,1.0
916,temprano,tôt,0.2
917,tema,thème,0.5
918,prisión,prison,0.8
919,porqué,parce que,0.4
920,vuelva,revenir,0.25
921,público,publique,0.6
922,ocurrió,c'est arrivé,0.3333333333333333
923,veré,je verrai,0.4
924,salvar,sauvegarder,0.3333333333333333
925,partido,match,0.0
926,bonita,belle,0.3333333333333333
927,joder,merde,0.0
928,causa,cause,1.0
929,caliente,chaud,0.25
930,sargento,sergent,1.0
931,cenar,le dîner,0.3333333333333333
932,compañero,collaborateur,0.2857142857142857
933,llevó,usure,0.0
934,banco,banque,0.6666666666666666
935,existe,ça existe,0.6
936,ben,bien,1.0
937,zona,zone,1.0
