,spanish,german,Distances
248,debes,du solltest,0.25
249,viene,kommt,0.0
250,venga,aufleuchten,0.0
251,ojos,augen,0.0
252,adelante,voraus,0.0
253,encontrar,finden,0.16666666666666666
254,mano,hand,0.3333333333333333
255,cinco,fünf,0.25
256,niño,kleiner junge,0.125
257,ninguna,keiner,0.25
258,cara,teuer,0.5
259,cuidado,achtung,0.2
260,bajo,bass,0.3333333333333333
261,cerca,nah dran,0.16666666666666666
262,viejo,alt,0.0
263,déjame,lassen sie mich,0.1
264,noches,nächte,0.6
265,bastante,ziemlich,0.0
266,fin,fertig,0.25
267,tomar,getränk,0.16666666666666666
268,único,einzigartig,0.0
269,misma,gleich,0.0
270,escucha,hören,0.0
271,ningún,keiner,0.2
272,suficiente,genügend,0.16666666666666666
273,punto,punkt,0.75
274,cuándo,wenn,0.25
275,sigue,folgen,0.25
276,equipo,ausrüstung,0.0
277,grande,großartig,0.3333333333333333
278,necesita,muss,0.25
279,llegar,erhalten,0.2
280,incluso,eben,0.0
281,doctor,arzt,0.25
282,difícil,schwer,0.0
283,aunque,obwohl,0.0
284,primer,erste,0.25
285,coche,wagen,0.0
286,hago,ich mache,0.16666666666666666
287,clase,klasse,0.5
288,cuatro,vier,0.3333333333333333
289,mas,plus,0.3333333333333333
290,dices,du sagst,0.3333333333333333
291,pequeño,wenig,0.0
292,llama,anruf,0.0
293,toma,nehmen,0.25
294,hiciste,tat,0.25
295,allá,dort,0.0
296,última,letzte,0.25
297,arriba,hoch,0.0
298,tierra,erde,0.3333333333333333
299,guerra,krieg,0.3333333333333333
300,pensar,denken,0.25
301,pueda,kann,0.0
302,igual,dasselbe,0.2
303,loco,verrückt,0.14285714285714285
304,sangre,blut,0.0
305,mujeres,frauen,0.25
306,vuelta,schoß,0.0
307,trabajar,arbeiten,0.4
308,juego,abspielen,0.0
309,deberías,du solltest,0.25
310,cuerpo,körper,0.4
311,entrar,treten sie ein,0.125
312,cree,glauben,0.0
313,podía,könnte,0.0
314,debemos,muss,0.25
315,oportunidad,chance,0.16666666666666666
316,teléfono,telefon,0.8
317,necesitamos,brauchen,0.0
318,final,finale,1.0
319,listo,clever,0.25
320,fiesta,party,0.25
321,quieren,wollen,0.25
322,vete,geh weg,0.0
323,auto,auto,1.0
324,dar,geben,0.0
325,vivir,leben,0.0
326,posible,möglich,0.16666666666666666
327,ok,okay,0.5
328,hermana,schwester,0.14285714285714285
329,número,nummer,0.75
330,meses,monate,0.3333333333333333
331,exactamente,exakt,0.3333333333333333
332,culpa,fehler,0.25
333,abajo,nieder,0.0
334,escuela,schule,0.75
335,ido,weg,0.0
336,fuerte,stark,0.25
337,diciendo,sprichwort,0.125
338,habla,rede,0.0
339,ello,es,0.0
340,pregunta,frage,0.4
341,chicas,mädchen,0.16666666666666666
342,unas,nagel,0.3333333333333333
343,pasando,gehen,0.25
344,atrás,hinter,0.0
345,malo,schlecht,0.14285714285714285
346,capitán,kapitän,0.6
347,sra.,frau,0.3333333333333333
348,bebé,baby,0.6666666666666666
349,segundo,zweite,0.0
350,sabemos,wir wissen,0.14285714285714285
351,mayor,alten,0.0
352,comida,lebensmittel,0.125
353,morir,sterben,0.2
354,conozco,kennt,0.25
355,dame,gib mir,0.2
356,fácil,einfach,0.25
357,comer,essen,0.0
358,vino,kam,0.0
359,lista,bereit,0.3333333333333333
360,haga,machen,0.25
361,necesitas,du brauchst,0.25
362,hijos,söhne,0.0
363,probablemente,wahrscheinlich,0.1
364,padres,väter,0.0
365,habitación,zimmer,0.0
366,creer,glauben,0.0
367,pensando,denken,0.4
368,dime,sag mir,0.2
369,trata,um,0.0
370,buscando,suchen,0.4
371,tampoco,entweder,0.2
372,amo,liebe,0.0
373,joven,junger mann,0.25
374,podrías,könnten sie,0.125
375,sola,allein,0.3333333333333333
376,par,paar,1.0
377,única,nur,0.3333333333333333
378,hacen,machen,0.5
379,seguir,fortsetzen,0.14285714285714285
380,dr.,dr,0.6666666666666666
381,simplemente,einfach,0.0
382,dicen,sie sagen,0.2
383,medio,mittel,0.25
384,puta,hündin,0.0
385,saben,kennt,0.25
386,hagas,sie machen,0.0
387,segura,sicher,0.5
388,esperar,erwarten von,0.125
389,lejos,weit,0.0
390,arma,waffe,0.0
391,alto,hoch,0.0
392,pequeña,klein,0.0
393,dólares,dollar,0.6
394,seis,sechs,0.5
395,seguridad,sicherheit,0.3333333333333333
396,maldita,verdammt,0.3333333333333333
397,preocupes,sorge,0.2
398,palabra,wort,0.0
399,esperando,hoffen auf,0.16666666666666666
400,queda,überreste,0.0
401,oficina,büro,0.0
402,matar,töten,0.25
403,iré,ich werde gehen,0.1
404,cama,bett,0.0
405,además,was ist mehr,0.1111111111111111
406,último,neueste,0.25
407,oído,ohr,0.0
408,dio,es gab,0.0
409,recuerdo,erinnerung,0.3333333333333333
410,siendo,sein,0.6666666666666666
411,acerca,um,0.0
412,luz,hell,0.3333333333333333
413,correcto,recht,0.4
414,ud.,du.,1.0
415,demonios,dämonen,0.6
416,verte,dich sehen,0.0
417,dormir,schlafen,0.0
418,sitio,platz,0.25
419,ayudar,hilfe,0.0
420,conseguir,erhalten,0.0
421,di,gab,0.0
422,marido,ehemann,0.25
423,paz,frieden,0.0
424,idiota,trottel,0.2
425,plan,planen,0.75
426,dado,gegeben,0.0
427,cuanto,wie viel,0.0
428,peor,schlechter,0.125
429,murió,er starb,0.16666666666666666
430,pueblo,dorf,0.0
431,vivo,live,0.5
432,venido,ich komme,0.0
433,john,john,1.0
434,basta,genügend,0.0
435,paso,schritt,0.0
436,deberíamos,wir sollten,0.0
437,música,musik,0.5
438,diga,sagen,0.3333333333333333
439,minuto,minute,1.0
440,anoche,letzter nacht,0.3
441,llamar,anrufen,0.0
442,piensa,denken,0.25
443,país,land,0.0
444,digas,du sagst,0.5
445,rey,könig,0.0
446,perdón,verzeihung,0.3333333333333333
447,mucha,viel,0.0
448,falta,mangel,0.0
449,pienso,ich finde,0.16666666666666666
450,diablos,teufel,0.25
451,perdido,verirrt,0.2
452,niña,kleines mädchen,0.09090909090909091
453,señorita,fehlschlagen,0.1111111111111111
454,diez,zehn,0.0
455,lleva,trägt,0.0
456,hospital,krankenhaus,0.0
457,grandes,groß,0.4
458,maldito,verdammt,0.3333333333333333
459,llamado,genannt,0.0
460,hacemos,wir machen,0.14285714285714285
461,llevar,tragen,0.0
462,fuego,feuer,0.5
463,aqui,hier,0.0
464,poner,stellen,0.0
465,calle,straße,0.0
466,acaba,nur,0.0
467,prueba,prüfen,0.4
468,increíble,unglaublich,0.2857142857142857
469,real,real,1.0
470,libro,buchen,0.0
471,orden,bestellen,0.16666666666666666
472,semanas,wochen,0.0
473,especial,besondere,0.2
474,café,kaffee,0.3333333333333333
475,duro,dauerte,0.6666666666666666
476,empezar,anfang,0.0
477,afuera,außen,0.0
478,queremos,wir wollen,0.14285714285714285
479,perro,hund,0.0
480,cielo,schatz,0.2
481,jack,jack,1.0
482,puesto,marktstand,0.25
483,viaje,reise,0.0
484,detrás,hinter,0.2
485,cuarto,vierte,0.6666666666666666
486,querida,liebling,0.0
487,haría,würdest du,0.125
488,preguntas,fragen,0.5
489,piensas,du denkst,0.2857142857142857
490,querido,liebling,0.0
491,libre,frei,0.3333333333333333
492,buscar,suche,0.5
493,diré,ich werde sagen,0.1
494,suena,geräusche,0.16666666666666666
495,jugar,abspielen,0.0
496,cambio,rückgeld,0.14285714285714285
497,película,film,0.2
498,millones,millionen,0.8
499,llamada,anruf,0.0
500,resto,sich ausruhen,0.125
501,vemos,wir sehen,0.16666666666666666
502,extraño,seltsam,0.2
503,mala,schlecht,0.14285714285714285
504,presidente,präsident,0.8571428571428571
505,srta.,ms.,0.25
506,irme,geh weg,0.0
507,ropa,kleidung,0.0
508,perder,verlieren,0.4
509,vuelve,komm zurück,0.0
510,agente,agent,1.0
511,palabras,wörter,0.0
512,información,information,0.7142857142857143
513,raro,selten,0.0
514,hará,wird besorgt,0.1111111111111111
515,entiendes,du verstehst,0.1111111111111111
516,éste,ost,0.6666666666666666
517,trabajando,arbeiten,0.5
518,tratando,versuchen,0.16666666666666666
519,general,allgemeines,0.16666666666666666
520,trato,handeln,0.0
521,usar,verwenden,0.16666666666666666
522,perfecto,perfekt,0.8
523,derecho,gesetz,0.0
524,modo,modus,0.6666666666666666
525,ayer,gestern,0.2
526,conoces,du weißt,0.0
527,demás,der rest,0.3333333333333333
528,quieras,wollen,0.0
529,podríamos,wir könnten,0.0
530,noticias,nachrichten,0.25
531,asesino,attentäter,0.14285714285714285
532,encontrado,gefunden,0.16666666666666666
533,control,kontrolle,0.6666666666666666
534,odio,hass,0.0
535,frente,vorderseite,0.3333333333333333
536,sexo,sex,1.0
537,decirle,erzählen,0.16666666666666666
538,divertido,komisch,0.0
539,armas,waffen,0.0
540,recuerdas,denken sie daran,0.1
541,amiga,freund,0.0
542,grupo,cluster,0.0
543,asunto,affäre,0.0
544,acabo,fertig,0.0
545,mensaje,botschaft,0.14285714285714285
546,encima,über,0.0
547,atención,aufmerksamkeit,0.0
548,diferente,anders,0.2
549,uh,äh,0.5
550,cállate,schließen,0.3333333333333333
551,daño,schaden,0.2
552,sucede,das passiert,0.125
553,cambiar,rückgeld,0.14285714285714285
554,siguiente,nächste,0.16666666666666666
555,sino,andernfalls,0.125
556,the,das,0.0
557,médico,medizinisch,0.2857142857142857
558,boca,mund,0.0
559,dejó,lassen,0.0
560,error,fehler,0.25
561,jamás,niemals,0.5
562,largo,länge,0.5
563,pena,kummer,0.0
564,voz,stimme,0.0
565,futuro,zukunft,0.2
566,secreto,geheimnis,0.0
567,baño,bad,0.5
568,mil,eintausend,0.0
569,decirte,sage dir,0.0
570,sam,sam,1.0
571,pensaba,gedanke,0.0
572,novia,feste freundin,0.1111111111111111
573,propia,besitzen,0.0
574,sueño,schlafen,0.16666666666666666
575,haz,machen,0.25
576,fuerza,stärke,0.2
577,deben,muss,0.0
578,supone,soll,0.3333333333333333
579,ambos,beide,0.3333333333333333
580,ay,oh,0.0
581,encontré,ich fand,0.0
582,vuelto,gedreht,0.2
583,dolor,schmerzen,0.14285714285714285
584,dile,sag ihm,0.0
585,encanta,liebt,0.25
586,edad,das alter,0.16666666666666666
587,darle,gib ihm,0.0
588,pie,fuß,0.0
589,negro,schwarz,0.16666666666666666
590,ganar,gewinnen,0.4
591,york,york,1.0
592,aire,luft,0.0
593,lamento,klage,0.0
594,verlo,sehe ihn,0.0
595,asesinato,mord,0.0
596,vio,er sah,0.0
597,adónde,wohin,0.25
598,llegado,angekommen,0.0
599,disculpe,verzeihung,0.0
600,s,s,1.0
601,cita,datum,0.3333333333333333
602,sistema,system,0.8
603,gusto,geschmack,0.2857142857142857
604,pobre,arm,0.0
605,negocio,geschäft,0.14285714285714285
606,mente,geist,0.3333333333333333
607,campo,landschaft,0.125
608,mire,aussehen,0.0
609,situación,lage,0.0
610,tras,nach,0.0
611,hotel,hotel,1.0
612,funciona,funktioniert,0.42857142857142855
613,foto,foto,1.0
614,abogado,rechtsanwalt,0.0
615,loca,verrückt,0.14285714285714285
616,propio,eigenes selbst,0.0
617,alrededor,um,0.0
618,próxima,nächste,0.0
619,terminado,fertig,0.2
620,hablas,sprechen,0.0
621,pagar,bezahlen,0.0
622,mató,getötet,0.2
623,llamo,genannt,0.0
624,personal,mitarbeiter,0.16666666666666666
625,sientes,du fühlst,0.125
626,ocurre,tritt ein,0.16666666666666666
627,ésta,ist,0.6666666666666666
628,recuerda,denken sie daran,0.1
629,mitad,halb,0.0
630,quiera,wollen,0.0
631,pelo,haar,0.0
632,viste,kleider,0.0
633,oficial,offiziell,0.4
634,llegó,ich komme an,0.0
635,compañía,gesellschaft,0.0
636,relación,beziehung,0.0
637,conoce,bekannt,0.2
638,pase,das passiert,0.25
639,montón,viel,0.0
640,mejores,oben,0.0
641,creí,ich glaubte,0.14285714285714285
642,cena,abendessen,0.16666666666666666
643,sentir,gefühl,0.0
644,través,durch,0.2
645,accidente,unfall,0.0
646,i,jo,0.0
647,caja,kasse,0.0
648,tranquilo,ruhe,0.2
649,bonito,hübsch,0.16666666666666666
650,asi,so,1.0
651,pudo,könnte,0.0
652,vive,es lebt,0.0
653,vista,aussicht,0.4
654,estúpido,dummkopf,0.16666666666666666
655,línea,linie,0.6666666666666666
656,caballeros,herren,0.16666666666666666
657,haremos,wille,0.0
658,dan,geben,0.3333333333333333
659,quédate,bleibe,0.0
660,tienda,laden,0.0
661,comprar,kaufen,0.0
662,entendido,es wird verstanden,0.23076923076923078
663,centro,center,1.0
664,salvo,außer,0.0
665,mes,monat,0.3333333333333333
666,joe,jo,1.0
667,sol,sonne,0.3333333333333333
668,tonto,täuschen,0.16666666666666666
669,hambre,hunger,0.5
670,michael,michael,1.0
671,mesa,tisch,0.25
672,respuesta,antwort,0.2
673,completamente,vollständig,0.2222222222222222
674,david,david,1.0
675,carta,buchstabe,0.3333333333333333
676,totalmente,total,0.5
677,imposible,unmöglich,0.14285714285714285
678,pruebas,prüfungen,0.2857142857142857
679,novio,freund,0.25
680,normal,normal,1.0
681,gustan,sie mögen,0.16666666666666666
682,frank,frank,1.0
683,pude,ich könnte,0.0
684,charlie,charlie,1.0
685,traje,kostüm,0.2
686,dirección,die anschrift,0.2222222222222222
687,siete,sieben,0.3333333333333333
688,dijeron,sie sagten,0.16666666666666666
689,placer,vergnügen,0.0
690,barco,boot,0.3333333333333333
691,blanco,weiß,0.0
692,tom,tom,1.0
693,profesor,professor,0.8333333333333334
694,servicio,service,1.0
695,muchacho,junger kerl,0.0
696,reunión,treffen,0.4
697,dejado,links,0.0
698,ley,gesetz,0.0
699,quisiera,ich möchte,0.0
700,george,george,1.0
701,programa,programm,0.8333333333333334
702,carrera,rennen,0.0
703,cumpleaños,geburtstag,0.0
704,muchachos,jungs,0.16666666666666666
705,culo,arsch,0.25
706,canción,lied,0.0
707,hermosa,schön,0.0
708,universidad,uni,0.16666666666666666
709,boda,hochzeit,0.0
710,decirme,sag mir,0.2
711,cualquiera,irgendein,0.0
712,hacía,gegenüber,0.0
713,sala,wohnzimmer,0.0
714,llevo,tragen,0.0
715,decisión,entscheidung,0.25
716,espere,warte ab,0.0
717,don,anziehen,0.25
718,necesario,notwendig,0.16666666666666666
719,sal,salz,0.6666666666666666
720,entra,betritt,0.4
721,prisa,sich beeilen,0.0
722,carajo,scheiße,0.25
723,embargo,embargo,1.0
724,interesante,interessant,0.8571428571428571
725,escuchar,hören,0.0
726,abuela,oma,0.0
727,hicieron,sie machten,0.2857142857142857
728,detective,detektiv,0.8
729,horrible,entsetzlich,0.125
730,suelo,ich für gewöhnlich,0.06666666666666667
731,fotos,fotos,1.0
732,cárcel,gefängnis,0.0
733,acá,hier,0.0
734,io,io,
735,mike,mike,1.0
736,siéntate,hinsetzen,0.16666666666666666
737,decía,er sagte,0.0
738,intentando,versuchen,0.0
739,vámonos,lass uns gehen,0.2
740,maldición,verdammt,0.16666666666666666
741,silencio,schweigen,0.16666666666666666
742,muerta,tot,0.3333333333333333
743,capaz,fähig,0.0
744,salió,er ging,0.0
745,club,verein,0.0
746,terminar,enden,0.2
747,temo,ich fürchte,0.0
748,broma,scherzen,0.16666666666666666
749,gobierno,regierung,0.4
750,prometo,das verspreche ich,0.15384615384615385
751,cámara,kamera,0.5
752,media,halb,0.0
753,terrible,abscheulich,0.14285714285714285
754,llamó,ich rufe,0.0
755,regalo,geschenk,0.0
756,amable,sanft,0.0
757,dulce,süß,0.0
758,muertos,tot,0.25
759,querías,du wolltest,0.125
760,ataque,attacke,0.25
761,das,sie geben,0.0
762,navidad,weihnachten,0.14285714285714285
763,negocios,geschäft,0.14285714285714285
764,pudiera,könnte,0.0
765,ocho,acht,0.6666666666666666
766,avión,flugzeug,0.0
767,investigación,forschung,0.25
768,acabó,nur,0.0
769,juro,ich schwöre,0.1111111111111111
770,mantener,halt,0.2
771,ejército,heer,0.2
772,papel,papier,0.6666666666666666
773,partes,teile,0.25
774,ten,haben,0.3333333333333333
775,gracioso,komisch,0.2
776,diría,würde sagen,0.125
777,principio,anfang,0.2
778,delante,vor dem,0.0
779,teniente,leutnant,0.8
780,deseo,verlangen,0.0
781,vayas,gehen,0.0
782,nave,schiff,0.0
783,sale,kommt heraus,0.0
784,basura,müll,0.0
785,vine,kam,0.0
786,contacto,kontakt,0.6
787,esposo,ehemann,0.0
788,tren,zug,0.0
789,encontramos,wir finden,0.0
790,dale,fortfahren,0.0
791,verdadero,real,0.2
792,alma,seele,0.0
793,hazlo,tu es,0.0
794,disculpa,es tut uns leid,0.2
795,junto,zusammen,0.0
796,anda,gehen,0.0
797,matrimonio,die ehe,0.0
798,saberlo,kennt,0.0
799,locura,verrücktheit,0.1111111111111111
800,oro,betete,0.0
801,permiso,genehmigung,0.14285714285714285
802,director,direktor,0.8
803,peligro,achtung,0.0
804,libertad,freiheit,0.2
805,alegro,froh,0.0
806,baja,kurz,0.0
807,derecha,rechts,0.4
808,encuentra,finden,0.2
809,pies,fuß,0.0
810,segunda,zweite,0.0
811,maravilloso,wunderbar,0.0
812,espacio,platz,0.0
813,rato,kleine weile,0.0
814,abuelo,großvater,0.0
815,esperaba,ich erwartete,0.125
816,mirando,anschauen,0.0
817,salud,die gesundheit,0.25
818,sorpresa,überraschung,0.2222222222222222
819,ninguno,keiner,0.25
820,miren,sehen,0.3333333333333333
821,triste,traurig,0.5
822,aun,still,0.0
823,pensado,durchdacht,0.125
824,maestro,lehrer,0.25
825,según,entsprechend,0.2222222222222222
826,infierno,hölle,0.0
827,podrían,könnte,0.0
828,tipos,typen,0.5
829,tía,tante,0.3333333333333333
830,crimen,verbrechen,0.2857142857142857
831,conocido,bekannt,0.2
832,consejo,tipp,0.0
833,iglesia,kirche,0.0
834,intento,versuchen,0.0
835,mayoría,die meisten,0.16666666666666666
836,doy,geben,0.0
837,peter,peter,1.0
838,hicimos,wir machten,0.125
839,escena,szene,0.6666666666666666
840,piso,eben,0.0
841,señal,schild,0.4
842,honor,ehren,0.3333333333333333
843,llamas,anrufe,0.0
844,abre,öffnet,0.0
845,cerebro,gehirn,0.0
846,veras,du wirst sehen,0.2
847,viendo,sehen,0.0
848,pone,setzt,0.0
849,pregunto,ich frage,0.0
850,cocina,küche,0.25
851,vestido,kleid,0.25
852,inteligente,intelligent,0.8571428571428571
853,vieja,alte frau,0.0
854,caballo,pferd,0.0
855,vienen,sie kommen,0.16666666666666666
856,vidas,lebt,0.0
857,bar,bar,1.0
858,corte,gericht,0.4
859,sucedió,passiert,0.2
860,adentro,drinnen,0.4
861,drogas,drogen,0.75
862,enseguida,sofort,0.0
863,busca,suche,0.3333333333333333
864,agradable,hübsch,0.0
865,carne,fleisch,0.0
866,parecía,sah aus wie,0.0
867,departamento,abteilung,0.2857142857142857
868,lindo,hübsch,0.0
869,mar,meer,1.0
870,duda,zweifel,0.0
871,edificio,gebäude,0.0
872,conocer,kennt,0.25
873,cargo,position,0.0
874,víctima,opfer,0.0
875,luna,mond,0.3333333333333333
876,energía,energie,0.75
877,frío,kalt,0.0
878,hablo,gesprochen,0.0
879,baile,tanzen,0.0
880,trabaja,funktioniert,0.14285714285714285
881,misión,mission,0.75
882,listos,bereit,0.25
883,ayudarte,dir helfen,0.14285714285714285
884,izquierda,links,0.0
885,paul,paul,1.0
886,beber,trinken,0.0
887,deje,verlassen,0.0
888,finalmente,endlich,0.16666666666666666
889,simple,einfach,0.0
890,daré,ich werde geben,0.1
891,sabías,hast du gewusst,0.18181818181818182
892,puedas,du kannst,0.14285714285714285
893,puso,stellen,0.0
894,creía,geglaubt,0.0
895,regresar,zurückgeben,0.125
896,llega,ankommt,0.0
897,entender,verstehen,0.0
898,mirar,ansehen,0.0
899,sacar,nehmen,0.0
900,cambiado,geändert,0.16666666666666666
901,trae,bringen,0.2
902,hermoso,gutaussehend,0.14285714285714285
903,opinión,meinung,0.25
904,verás,du wirst sehen,0.2
905,linda,hübsch,0.0
906,apenas,kaum,0.0
907,segundos,sekunden,0.6
908,cerveza,bier,0.25
909,harás,du wirst machen,0.09090909090909091
910,creen,glauben,0.25
911,oír,hören,0.25
912,cuántos,viele,0.0
913,hablado,gesprochen,0.0
914,hablamos,wir sprechen,0.0
915,reina,königin,0.2
916,temprano,frühzeitig,0.0
917,tema,thema,0.6666666666666666
918,prisión,gefängnis,0.14285714285714285
919,porqué,weil,0.0
920,vuelva,komm zurück,0.0
921,público,öffentlichkeit,0.2
922,ocurrió,es trat auf,0.14285714285714285
923,veré,ich werde sehen,0.1
924,salvar,sparen,0.25
