,french,german,Distances
261,train,zug,0.0
262,corps,karosserie,0.4
263,endroit,ort,0.5
264,yeux,augen,0.0
265,façon,weg,0.0
266,écoute,hör mal zu,0.0
267,dont,deren,0.3333333333333333
268,trouve,finden,0.0
269,premier,erste,0.25
270,perdu,hat verloren,0.125
271,main,hand,0.3333333333333333
272,première,erste,0.2
273,côté,seite,0.25
274,pouvoir,fähig,0.0
275,vieux,alt,0.0
276,tiens,hier,0.0
277,matin,morgen,0.5
278,tellement,eine solche,0.0
279,enfant,kind,0.25
280,point,punkt,0.75
281,venu,kam,0.0
282,suite,gemäß,0.0
283,pardon,verzeihung,0.3333333333333333
284,venez,kommen sie,0.16666666666666666
285,devant,vor,0.25
286,vers,zu,0.0
287,minutes,protokoll,0.16666666666666666
288,demandé,fragte,0.0
289,chambre,zimmer,0.4
290,mis,stellen,0.0
291,belle,wunderschönen,0.0
292,droit,gerade,0.3333333333333333
293,aimerais,würde gerne,0.125
294,mme,frau,0.0
295,mari,ehemann,0.25
296,cause,weil,0.0
297,enfin,schließlich,0.0
298,espère,hoffnung,0.0
299,eau,wasser,0.0
300,attendez,warte ab,0.0
301,parti,links,0.0
302,nouvelle,nachrichten,0.125
303,boulot,soloauftritt,0.2857142857142857
304,arrêter,stoppen,0.0
305,dirait,würde sagen,0.125
306,terre,erde,0.3333333333333333
307,compte,konto,0.25
308,donne,gegeben,0.25
309,loin,weit,0.0
310,fin,ende,0.0
311,croire,glauben,0.0
312,chérie,lieb,0.0
313,gros,großhandel,0.2857142857142857
314,plutôt,stattdessen,0.125
315,filles,mädchen,0.0
316,jouer,spieler,0.25
317,bureau,sekretariat,0.16666666666666666
318,hier,gestern,0.2
319,prêt,bereit,0.5
320,mourir,sterben,0.2
321,voulait,wollte,0.5
322,celui,deswegen habe ich dir geschrieben,0.045454545454545456
323,demander,fragen,0.0
324,possible,möglich,0.0
325,jeune,jung,0.6666666666666666
326,dehors,draußen,0.25
327,euh,äh,0.5
328,école,schule,0.5
329,beau,gutaussehend,0.0
330,appeler,anrufen,0.0
331,semaine,woche,0.0
332,propos,über,0.0
333,années,jahre,0.0
334,femmes,frauen,0.25
335,vérité,wahrheit,0.2
336,chef,chef,1.0
337,confiance,vertrauen,0.0
338,hey,hallo,0.3333333333333333
339,regardez,suchen,0.0
340,feu,feuer,0.5
341,vivre,leben,0.0
342,docteur,arzt,0.25
343,journée,tageszeit,0.0
344,près,nahe,0.0
345,affaires,geschäft,0.0
346,madame,gnädige frau,0.125
347,meilleur,besser,0.25
348,dessus,oben,0.0
349,prie,beten,0.0
350,mains,hände,0.25
351,penses,denken,0.25
352,téléphone,telefon,0.42857142857142855
353,devez,muss,0.0
354,dur,schwer,0.2
355,appelé,namens,0.0
356,manger,essen,0.0
357,garçon,junge,0.0
358,grande,groß,0.5
359,mariage,ehe,0.0
360,équipe,besatzung,0.0
361,arriver,ankommen,0.0
362,marche,gehen,0.0
363,dr,dr,1.0
364,guerre,krieg,0.3333333333333333
365,essaie,versuchen,0.16666666666666666
366,derrière,rückseite,0.0
367,dites,sagen,0.0
368,plein,voll,0.3333333333333333
369,important,wichtig,0.16666666666666666
370,fort,stark,0.25
371,font,machen,0.0
372,exactement,exakt,0.3333333333333333
373,presque,fast,0.25
374,parents,eltern,0.2
375,dernier,neueste,0.0
376,ii,ii,
377,pensé,denken,0.25
378,fou,wütend,0.0
379,fête,party,0.25
380,tomber,fallen,0.0
381,attendre,warte ab,0.0
382,sécurité,sicherheit,0.3333333333333333
383,ceux,jene,0.0
384,vue,gesehen,0.0
385,jeu,spiel,0.0
386,génial,genial,0.75
387,souviens,erinnern,0.2
388,envie,drang,0.25
389,capitaine,kapitän,0.6
390,pays,land,0.0
391,garde,bewachen,0.0
392,cours,klassen,0.2
393,pos,pos,1.0
394,numéro,nummer,0.75
395,bientôt,demnächst,0.25
396,cinq,fünf,0.25
397,parfait,perfekt,0.8
398,laissé,allein lassen,0.375
399,minute,minute,1.0
400,ainsi,daher,0.0
401,personnes,menschen,0.16666666666666666
402,autant,so sehr,0.0
403,retour,rückkehr,0.2857142857142857
404,essayé,versucht,0.16666666666666666
405,peine,traurigkeit,0.0
406,instant,moment,0.4
407,mauvais,falsch,0.2
408,arme,bewaffnet,0.0
409,prison,gefängnis,0.14285714285714285
410,penser,denken,0.25
411,mot,wort,0.3333333333333333
412,prend,nehmen,0.0
413,semble,scheint,0.2
414,film,film,1.0
415,ben,gut,0.0
416,quatre,vier,0.3333333333333333
417,essayer,versuchen,0.16666666666666666
418,rentrer,zurückgeben,0.125
419,plan,planen,0.75
420,travailler,arbeiten,0.16666666666666666
421,regarder,beobachten,0.0
422,parfois,manchmal,0.0
423,abord,am bord,0.6
424,voyez,sehen,0.0
425,faute,fehler,0.25
426,croyais,geglaubt,0.0
427,choix,auswahl,0.25
428,bas,niedrig,0.0
429,heureux,glücklich,0.0
430,facile,leicht,0.25
431,voudrais,würde gerne,0.25
432,entendre,hören,0.0
433,changer,wechseln,0.3333333333333333
434,lit,bett,0.3333333333333333
435,entrer,reingehen,0.2
436,plaisir,vergnügen,0.0
437,ensuite,dann,0.0
438,fera,wird besorgt,0.1111111111111111
439,allait,wollte,0.75
440,propre,besitzen,0.0
441,route,straße,0.25
442,tour,runden,0.0
443,travaille,arbeit,0.2
444,garder,halten,0.0
445,adore,verehren,0.2
446,amie,freund,0.0
447,année,jahr,0.0
448,drôle,lustig,0.0
449,service,service,1.0
450,attend,wartet,0.0
451,voit,sieht,0.3333333333333333
452,rendre,rückkehr,0.2857142857142857
453,agent,agent,1.0
454,dollars,dollar,0.8
455,commence,start,0.0
456,lieu,ort,0.0
457,devoir,müssen,0.0
458,sujet,thema,0.0
459,sûre,sicher,0.5
460,difficile,schwer,0.0
461,pire,schlechter,0.125
462,sorte,nett,0.3333333333333333
463,ira,werde gehen,0.14285714285714285
464,ceci,diese,0.0
465,état,zustand,0.2
466,morte,tot,0.3333333333333333
467,voulu,gewünscht,0.0
468,peuvent,kann,0.25
469,bizarre,seltsam,0.0
470,chien,hund,0.3333333333333333
471,perdre,verlieren,0.4
472,impossible,unmöglich,0.14285714285714285
473,faisait,hat gemacht,0.125
474,mlle,ms,0.3333333333333333
475,oublié,vergessen,0.0
476,ferai,wird besorgt,0.1111111111111111
477,tôt,frühzeitig,0.14285714285714285
478,the,tee,0.5
479,dès,aus,0.3333333333333333
480,payer,zahlen,0.0
481,arrêtez,halt,0.2
482,coeur,herz,0.3333333333333333
483,reviens,komm zurück,0.1111111111111111
484,pouvais,könnten,0.0
485,inquiète,sorge,0.0
486,calme,ruhe,0.0
487,café,kaffee,0.3333333333333333
488,suffit,genügend,0.0
489,prenez,nehmen,0.0
490,verre,glas,0.0
491,parles,sprechen,0.3333333333333333
492,aimes,liebe,0.0
493,cherche,suchen,0.2
494,ferme,geschlossen,0.0
495,problèmes,probleme,0.7142857142857143
496,photo,foto,0.3333333333333333
497,sûrement,sicherlich,0.2857142857142857
498,montrer,zeigen,0.0
499,pensez,denken,0.25
500,cœur,herz,0.0
501,meurtre,mord,0.5
502,hôpital,krankenhaus,0.0
503,musique,musik,0.6666666666666666
504,veulent,wollen,0.25
505,avis,notiz,0.0
506,sauf,außer,0.0
507,courant,fließend,0.2
508,doute,zweifel,0.0
509,seconde,zweite,0.0
510,fous,verrückt,0.0
511,trucs,sachen,0.0
512,questions,probleme,0.0
513,allais,ging,0.0
514,cool,cool,1.0
515,nouvelles,nachrichten,0.125
516,sérieux,ernst,0.0
517,john,john,1.0
518,marché,markt,0.4
519,gentil,freundlich,0.2857142857142857
520,haut,hoch,0.3333333333333333
521,malade,krank,0.0
522,allé,gehen,0.0
523,devons,"müssen, zu ... haben",0.0625
524,dîner,zu abend essen,0.1111111111111111
525,esprit,geist,0.25
526,sors,geh raus,0.4
527,moyen,mittel,0.25
528,jack,jack,1.0
529,six,sechs,0.25
530,changé,austausch,0.0
531,semaines,wochen,0.0
532,salle,zimmer,0.0
533,comprendre,verstehen,0.0
534,sauver,speichern,0.3333333333333333
535,celle,das,0.0
536,cul,arsch,0.25
537,seigneur,herr,0.25
538,simple,einfach,0.0
539,appris,gelernt,0.2
540,commencé,gestartet,0.0
541,bras,arm,0.3333333333333333
542,suppose,vermutet,0.0
543,chéri,lieb,0.0
544,partout,"überall, überallhin, allerorts",0.09090909090909091
545,visage,gesicht,0.2
546,prochaine,nächste,0.3333333333333333
547,ecoute,hör mal zu,0.0
548,chemin,weg,0.0
549,retard,verzögern,0.2857142857142857
550,soirée,abend,0.0
551,meilleure,besser,0.25
552,écrit,schreiben,0.3333333333333333
553,livre,buchen,0.0
554,face,gesicht,0.2
555,ferais,würdest du,0.25
556,boire,trinken,0.2
557,new,neu,0.5
558,vaut,wert,0.3333333333333333
559,h,h,1.0
560,surtout,über alles,0.14285714285714285
561,morts,tot,0.25
562,bois,getränk,0.0
563,joue,wange,0.0
564,rapport,prüfbericht,0.3333333333333333
565,message,botschaft,0.14285714285714285
566,rentre,kehrt zurück,0.2
567,pauvre,arm,0.0
568,erreur,error,1.0
569,sinon,ansonsten,0.5
570,plait,bitte,0.3333333333333333
571,honneur,ehren,0.5
572,devait,musste,0.25
573,entends,hören,0.0
574,mets,stellen,0.2
575,sam,saß,0.5
576,rencontrer,treffen,0.14285714285714285
577,an,jahr,0.0
578,occupe,beschäftigt zu halten,0.0625
579,devenir,werden,0.0
580,souvent,oft,0.25
581,revenir,zurückkommen,0.1111111111111111
582,pouvait,könnten,0.16666666666666666
583,messieurs,herren,0.2
584,sort,fluch,0.0
585,pièce,zimmer,0.0
586,dormir,schlafen,0.0
587,grave,schwer,0.0
588,commencer,start,0.0
589,roi,könig,0.0
590,groupe,band,0.0
591,carte,speisekarte,0.3333333333333333
592,intérieur,innere,0.4
593,reçu,empfangen,0.0
594,rêve,traum,0.0
595,bonsoir,guten abend,0.14285714285714285
596,faux,gefälscht,0.125
597,manque,mangel,0.5
598,écoutez,hören,0.0
599,appel,forderung,0.0
600,sac,tasche,0.5
601,content,glücklich,0.125
602,cher,lieb,0.0
603,président,präsident,0.8571428571428571
604,envoyé,gesendet,0.0
605,puisse,kann,0.0
606,acheter,kaufen,0.0
607,début,anfang,0.0
608,secret,geheimnis,0.0
609,maître,meister,0.75
610,venue,kommen sie,0.16666666666666666
611,patron,chef,0.0
612,noël,weihnachten,0.14285714285714285
613,voyons,mal sehen,0.16666666666666666
614,cheveux,haar,0.25
615,rue,straße,0.25
616,continue,mach weiter,0.2857142857142857
617,occuper,besetzen,0.0
618,âge,alter,0.0
619,prix,preis,0.6666666666666666
620,gagner,gewinnen,0.4
621,mauvaise,nad,0.0
622,effet,wirkung,0.0
623,tirer,schießen,0.0
624,avocat,rechtsanwalt,0.2222222222222222
625,certains,etwas,0.4
626,grâce,anmut,0.0
627,voix,stimme,0.0
628,général,allgemeines,0.0
629,promis,versprochen,0.25
630,noir,schwarz,0.16666666666666666
631,long,lang,1.0
632,apprendre,lernen,0.3333333333333333
633,laissez,lassen,0.75
634,dix,zehn,0.0
635,accident,unfall,0.0
636,probablement,höchstwahrscheinlich,0.0625
637,déteste,gehasst,0.4
638,cru,geglaubt,0.0
639,oublie,vergessen,0.0
640,millions,million,0.8
641,bout,ende,0.0
642,ordre,bestellen,0.0
643,okay,in ordnung,0.0
644,incroyable,nicht zu glauben,0.2727272727272727
645,ressemble,sieht aus wie,0.0
646,scène,bühne,0.25
647,voyage,reisen,0.0
648,retrouver,zurückzugewinnen,0.09090909090909091
649,bienvenue,willkommen,0.14285714285714285
650,petits,klein,0.0
651,force,stärke,0.2
652,simplement,einfach,0.0
653,disparu,verblasst,0.14285714285714285
654,armes,waffen,0.0
655,ailleurs,irgendwo anders,0.2
656,york,york,1.0
657,connaissez,wissen,0.3333333333333333
658,prête,bereit,0.5
659,soeur,schwester,0.2857142857142857
660,situation,lage,0.0
661,protéger,schützen,0.0
662,hôtel,hotel,0.75
663,utiliser,nutzen,0.0
664,devriez,sollen,0.0
665,sœur,schwester,0.2857142857142857
666,complètement,ganz und gar,0.0
667,crime,verbrechen,0.14285714285714285
668,dos,zurück,0.0
669,idiot,dumm,0.3333333333333333
670,armée,armee,0.6666666666666666
671,sale,schmutzig,0.14285714285714285
672,liste,auflistung,0.5
673,anniversaire,jubiläum,0.0
674,oncle,onkel,0.6666666666666666
675,victime,opfer,0.0
676,rappelle,erinnern,0.2
677,agit,handelt,0.2
678,arrêté,gestoppt,0.0
679,paix,frieden,0.0
680,battre,schlagen,0.0
681,bouge,bewegung,0.4
682,absolument,unbedingt,0.16666666666666666
683,finir,beenden,0.25
684,pars,verlassen,0.3333333333333333
685,libre,frei,0.3333333333333333
686,rencontré,treffen,0.14285714285714285
687,avion,flugzeug,0.0
688,i,ich,0.0
689,rouge,rot,0.5
690,retourner,zu zurückkehren,0.18181818181818182
691,réussi,erfolg,0.25
692,mots,wörter,0.2
693,bateau,schiff,0.0
694,sympa,nett,0.0
695,restez,bleibe,0.0
696,stupide,dumm,0.0
697,médecin,arzt,0.0
698,photos,bilder,0.0
699,balle,ball,1.0
700,faim,hunger,0.0
701,contrôle,steuerung,0.3333333333333333
702,table,tisch,0.25
703,fond,unterseite,0.0
704,bordel,durcheinander,0.25
705,décidé,beschlossen,0.125
706,fasse,tun,0.0
707,habitude,gewohnheit,0.16666666666666666
708,impression,eindruck,0.16666666666666666
709,surprise,überraschung,0.2222222222222222
710,porter,tragen,0.25
711,autour,zirka,0.3333333333333333
712,colère,wut,0.0
713,or,gold,0.0
714,ligne,linie,0.6666666666666666
715,croyez,glauben,0.0
716,devais,musste,0.25
717,savait,wusste,0.5
718,gagné,gewonnen,0.4
719,jolie,schöne,0.0
720,heureuse,glücklich,0.0
721,magnifique,herrlich,0.0
722,gauche,links,0.0
723,imagine,konzipiert,0.0
724,clair,klar,0.6666666666666666
725,charlie,charlie,1.0
726,sorti,rausgekommen,0.14285714285714285
727,neuf,neun,0.5
728,su,bekannt,0.0
729,volé,fliegen,0.25
730,cadeau,geschenk,0.16666666666666666
731,risque,risiko,0.6666666666666666
732,parlez,sprechen,0.3333333333333333
733,système,system,0.8333333333333334
734,inspecteur,inspektor,0.8333333333333334
735,hors,außer,0.3333333333333333
736,ferait,würdest du,0.25
737,terminé,fertig,0.2
738,disais,sagte,0.0
739,ouvre,offen,0.0
740,dedans,innerhalb,0.0
741,pote,kumpel,0.25
742,expliquer,erklären,0.3333333333333333
743,espèce,spezies,0.5
744,montre,show,0.0
745,pied,fuß,0.0
746,présent,hier,0.16666666666666666
747,plusieurs,viele,0.2
748,disent,sagen,0.25
749,michael,michael,1.0
750,marcher,gehen,0.2
751,pieds,fuß,0.0
752,lumière,hell,0.0
753,vraie,stimmt,0.0
754,pourra,wird in der lage sein,0.14285714285714285
755,réponse,antworten,0.0
756,coin,ecke,0.5
757,suivre,folgen,0.0
758,moitié,halb,0.0
759,club,verein,0.0
760,pouvons,kann,0.25
761,fallait,musste,0.25
762,doivent,"müssen, zu ... haben",0.0625
763,pareil,das gleiche,0.14285714285714285
764,joli,nett,0.0
765,vieille,alt,0.3333333333333333
766,camp,lager,0.0
767,vouloir,möchte,0.0
768,envoyer,schicken,0.0
769,mission,abtretung,0.16666666666666666
770,grosse,fett,0.0
771,soleil,sonne,0.3333333333333333
772,selon,entsprechend,0.2222222222222222
773,arrière,zurück,0.2
774,tue,töten,0.25
775,lire,lesen,0.3333333333333333
776,devenu,wurden,0.25
777,doucement,sanft,0.2
778,tenir,halt,0.0
779,sortie,ausfahrt,0.6
780,rend,macht,0.0
781,allô,hallo,0.3333333333333333
782,flics,polizisten,0.3333333333333333
783,exact,genau,0.0
784,tom,tom,1.0
785,joe,joe,1.0
786,disait,genannt,0.2
787,you,sie,0.0
788,recherche,forschung,0.2857142857142857
789,continuer,fortsetzen,0.14285714285714285
790,ignore,ignorieren,0.6
791,aimé,liebe,0.0
792,poser,posieren,0.75
793,chaud,warm,0.0
794,lettre,buchstabe,0.16666666666666666
795,tueur,mörder,0.2
796,avance,vorauszahlung,0.25
797,tiré,gezeichnet,0.0
798,arrivée,ankunft,0.0
799,bar,bar,1.0
800,quitter,verlassen,0.0
801,david,david,1.0
802,connaître,wissen,0.0
803,loi,gesetz,0.0
804,connaît,weiß,0.0
805,gamin,kind,0.0
806,laquelle,welche,0.0
807,folle,verrückt,0.0
808,professeur,lehrer,0.16666666666666666
809,jure,geschworen,0.14285714285714285
810,joué,wange,0.0
811,essaye,versuchen,0.16666666666666666
812,froid,kalt,0.0
813,forme,form,1.0
814,bonnes,gut,0.0
815,ie,dh,0.0
816,normal,normal,1.0
817,but,tor,0.0
818,offre,angebot,0.0
819,conseil,rat,0.0
820,con,con,1.0
821,debout,stehen,0.0
822,dangereux,gefährlich,0.125
823,tranquille,ruhe,0.16666666666666666
824,prêts,darlehen,0.2
825,boîte,kasten,0.25
826,mike,mike,1.0
827,ciel,himmel,0.25
828,classe,klassenzimmer,0.3333333333333333
829,frank,frank,1.0
830,danger,gefahr,0.25
831,enquête,ermittlung,0.14285714285714285
832,télé,fernseher,0.0
833,oublier,vergessen,0.0
834,visite,besuch,0.25
835,juge,richter,0.0
836,bons,gut,0.0
837,poste,post,1.0
838,lu,lesen,0.3333333333333333
839,attaque,beleidigend,0.0
840,touche,berühren,0.16666666666666666
841,droite,rechts,0.2
842,george,george,1.0
843,triste,traurig,0.5
844,aimer,mögen,0.25
845,vivant,am leben,0.0
846,monte,montiert,0.6
847,coucher,schlafen,0.3333333333333333
848,envoie,schicken,0.0
849,tombe,grab,0.3333333333333333
850,jeunes,jugend,0.5
851,preuve,nachweisen,0.0
852,dame,dame,1.0
853,flic,polizist,0.2
854,écouter,hör mal zu,0.0
855,met,stellen,0.2
856,cuisine,küche,0.0
857,relation,verhältnis,0.5
858,dossier,fall,0.0
859,sentir,fühlen,0.0
860,blanc,weiß,0.0
861,chanson,lied,0.0
862,gueule,mund,0.0
863,foutre,scheiße,0.0
864,santé,gesundheit,0.3333333333333333
865,déjeuner,mittagessen essen,0.09090909090909091
866,pourtant,noch,0.0
867,change,austausch,0.0
868,travers,durch,0.2
869,entrez,komm herein,0.14285714285714285
870,ouvrir,offen,0.0
871,signifie,meint,0.25
872,âme,seele,0.0
873,voler,stehlen,0.2
874,centre,center,1.0
875,chacun,jeder,0.0
876,tire,gezeichnet,0.0
877,lieutenant,leutnant,1.0
878,certain,sicher,0.0
879,compagnie,unternehmen,0.14285714285714285
880,vit,leben,0.0
881,mecs,leute,0.0
882,ia,ai,
883,mange,essen,0.0
884,clé,schlüssel,0.25
885,manière,weg,0.0
886,différent,anders,0.14285714285714285
887,bord,kante,0.0
888,décision,entscheidung,0.25
889,vendre,verkaufen,0.2
890,aille,gehen,0.0
891,enfer,hölle,0.0
892,diable,teufel,0.3333333333333333
893,sortez,geh raus,0.0
894,acheté,gekauft,0.0
895,appartement,wohnung,0.14285714285714285
896,étrange,seltsam,0.0
897,nulle,nichts,0.2
898,monter,aufsteigen,0.2
899,signe,schild,0.2
900,faisais,hat gemacht,0.0
901,bouche,stickig,0.2
902,payé,bezahlt,0.0
903,écrire,schreiben,0.3333333333333333
904,viennent,kommen,0.2
905,cheval,pferd,0.0
906,secondes,sekunden,0.6
907,peter,furzen,0.0
908,responsable,verantwortlich,0.2
909,coupable,schuldig,0.16666666666666666
910,honte,scham,0.0
911,emmener,weg zu führen,0.1
912,préfère,favorit,0.16666666666666666
913,ordres,aufträge,0.2
914,soin,pflege,0.0
915,milieu,mitte,0.3333333333333333
916,prochain,nächste,0.3333333333333333
917,mr,herr,0.3333333333333333
918,rire,lachen,0.0
919,cerveau,gehirn,0.25
920,voie,weg,0.0
921,amoureux,liebhaber,0.0
922,allée,gang,0.0
923,paris,paris,1.0
924,silence,schweigen,0.16666666666666666
925,drogue,aufputschmittel,0.0
926,coups,schläge,0.16666666666666666
927,blague,scherz,0.0
928,trou,loch,0.0
929,choisi,ausgewählt,0.14285714285714285
930,retourne,rückkehr,0.14285714285714285
931,garçons,jungen,0.2
932,oeil,auge,0.0
933,intérêt,interesse,0.5
934,connu,bekannt,0.4
935,ll,er,0.0
936,tel,telefon,0.5
937,public,publikum,0.6
938,réunion,treffen,0.4
939,dirai,werde sagen,0.14285714285714285
940,capable,fähig,0.0
941,client,kunde,0.25
942,époque,epoche,0.0
943,existe,existieren,0.6
944,pleine,voll,0.3333333333333333
945,prise,stecker,0.0
946,ecoutez,hören,0.0
947,adresse,die anschrift,0.2222222222222222
