,french,spanish,Distances
127,seul,sólo,0.6666666666666666
128,moment,momento,1.0
129,aider,ayudar,0.6666666666666666
130,papa,padre,0.3333333333333333
131,entre,entre,1.0
132,passe,aprobar,0.25
133,problème,problema,0.8333333333333334
134,peur,miedo,0.0
135,regarde,mirado,0.5
136,gars,tipos,0.3333333333333333
137,voulez,querer,0.0
138,fils,hijo,0.0
139,trouvé,encontrado,0.16666666666666666
140,attends,esperar,0.0
141,eh,oye,0.0
142,savez,saber,0.3333333333333333
143,trois,tres,1.0
144,dû,de,0.5
145,assez,suficiente,0.2
146,plaît,por favor,0.16666666666666666
147,famille,familia,0.75
148,trouver,encontrar,0.3333333333333333
149,toutes,todas,0.6666666666666666
150,travail,trabaja,0.5
151,quelle,qué,0.3333333333333333
152,tête,cabeza,0.0
153,pourrait,podría,0.5
154,ah,ah,1.0
155,pris,tomado,0.0
156,pu,podría,0.25
157,appelle,llamar,0.0
158,quelques,algunas,0.25
159,sait,sabe,0.5
160,voiture,carro,0.3333333333333333
161,arrête,detenido,0.0
162,vite,rápido,0.0
163,partir,"marcharse, irse",0.2
164,faites,hecho,0.0
165,enfants,niños,0.4
166,seule,solamente,0.4
167,hé,oye,0.0
168,merde,mierda,1.0
169,tuer,matar,0.6666666666666666
170,chance,suerte,0.0
171,pendant,durante,0.4
172,parle,hablar,0.25
173,idée,ocurrencia,0.0
174,part,vamos,0.0
175,jours,dias,0.3333333333333333
176,elles,ellas,1.0
177,hui,hoy dia,0.25
178,demain,mañana,0.3333333333333333
179,grand,grande,1.0
180,ami,amigo,0.5
181,venir,venir,1.0
182,tard,tarde,1.0
183,mec,amigo,0.5
184,hein,eh,0.5
185,petite,pequeña,0.3333333333333333
186,connais,saber,0.0
187,passer,gastar,0.5
188,truc,cosa,0.0
189,tant,tanto,1.0
190,combien,cómo,0.25
191,sens,sentido,0.5
192,pouvez,puede,0.3333333333333333
193,puis,después,0.4
194,porte,puerta,1.0
195,super,estupendo,0.4
196,sortir,salir,0.5
197,heure,hora,1.0
198,entendu,escuchó,0.0
199,contre,versus,0.0
200,coup,patear,0.0
201,vient,ven,0.6666666666666666
202,comprends,comprender,0.8571428571428571
203,allons,vamos,0.25
204,ensemble,todo,0.0
205,nouveau,nuevo,1.0
206,amour,amor,1.0
207,importe,importado,0.8
208,sang,sangre,0.75
209,désolée,lo siento,0.2
210,prends,tomar,0.0
211,sous,por debajo,0.0
212,amis,amigos,0.6666666666666666
213,cas,caso,1.0
214,rester,quedarse,0.0
215,tué,matar,0.3333333333333333
216,hommes,hombres,0.6
217,fini,acabado,0.0
218,devrais,debería,0.5
219,question,pregunta,0.2
220,dernière,ultimo,0.0
221,partie,parte,1.0
222,histoire,historia,1.0
223,chercher,buscar,0.3333333333333333
224,seulement,solamente,1.0
225,police,policía,0.75
226,pensais,pensamiento,0.5
227,aide,ayuda,0.5
228,demande,petición,0.0
229,genre,género,0.75
230,mois,mes,1.0
231,frère,hermano,0.25
232,laisser,dejar,0.25
233,car,porque,0.3333333333333333
234,mettre,poner,0.25
235,aucun,no,0.5
236,laisse,dejar solo,0.16666666666666666
237,ville,ciudad,0.0
238,chaque,cada,0.3333333333333333
239,parlé,hablar,0.25
240,arrivé,ven,0.25
241,devrait,debería,0.5
242,bébé,bebé,0.75
243,longtemps,mucho tiempo,0.2857142857142857
244,heures,tiempo,0.0
245,vont,van,0.6666666666666666
246,putain,puta,0.6666666666666666
247,revoir,ver otra vez,0.25
248,aucune,ninguna,0.25
249,place,cuadrado,0.0
250,ni,ninguno,0.25
251,compris,comprendido,0.5714285714285714
252,savais,supo,0.3333333333333333
253,attention,atención,0.4
254,voici,aquí está,0.0
255,pourrais,podría,0.5
256,affaire,asunto,0.0
257,donner,dar,0.5
258,type,clase,0.0
259,leurs,su,0.3333333333333333
260,donné,dado,0.25
261,train,tren,1.0
262,corps,cuerpo,0.75
263,endroit,lugar,0.25
264,yeux,ojos,0.0
265,façon,camino,0.3333333333333333
266,écoute,escucha,0.25
267,dont,cuyo,0.0
268,trouve,encontrar,0.3333333333333333
269,premier,primero,1.0
270,perdu,perdió,0.75
271,main,mano,1.0
272,première,primero,0.8
273,côté,lado,0.0
274,pouvoir,poder,0.6666666666666666
275,vieux,antiguo,0.0
276,tiens,tomar,0.3333333333333333
277,matin,mañana,0.6666666666666666
278,tellement,tal,0.3333333333333333
279,enfant,niño,0.25
280,point,punto,1.0
281,venu,llegó,0.0
282,suite,después,0.2
283,pardon,lo siento,0.2
284,venez,ven,0.6666666666666666
285,devant,delante,0.75
286,vers,hacia,0.0
287,minutes,minutos,1.0
288,demandé,preguntó,0.16666666666666666
289,chambre,habitación,0.0
290,mis,poner,0.0
291,belle,precioso,0.0
292,droit,correcto,0.4
293,aimerais,gustaria,0.0
294,mme,sra,0.0
295,mari,esposo,0.0
296,cause,causa,1.0
297,enfin,por fin,0.4
298,espère,esperar,0.75
299,eau,agua,0.0
300,attendez,espere,0.0
301,parti,izquierda,0.25
302,nouvelle,nueva,0.5
303,boulot,curro,0.0
304,arrêter,parar,0.4
305,dirait,diría,0.6666666666666666
306,terre,tierra,1.0
307,compte,cuenta,0.5
308,donne,dado,0.3333333333333333
309,loin,lejos,0.3333333333333333
310,fin,fin,1.0
311,croire,creer,1.0
312,chérie,cariño,0.25
313,gros,grueso,1.0
314,plutôt,en cambio,0.0
315,filles,muchachas,0.16666666666666666
316,jouer,jugador,0.5
317,bureau,despacho,0.0
318,hier,el dia de ayer,0.125
319,prêt,listo,0.25
320,mourir,morir,1.0
321,voulait,quería,0.0
322,celui,por eso te escribí,0.08333333333333333
323,demander,pedir,0.4
324,possible,posible,0.8
325,jeune,joven,0.6666666666666666
326,dehors,fuera,0.25
327,euh,oh,1.0
328,école,escuela,0.6666666666666666
329,beau,hermoso,0.0
330,appeler,llamar,0.25
331,semaine,semana,1.0
332,propos,acerca de,0.2
333,années,años,0.25
334,femmes,mujeres,0.25
335,vérité,verdad,0.4
336,chef,jefe,0.3333333333333333
337,confiance,confianza,0.8
338,hey,oye,0.5
339,regardez,mira,0.2
340,feu,fuego,0.5
341,vivre,vivir,1.0
342,docteur,doctor,1.0
343,journée,tiempo de día,0.0
344,près,cerrar,0.25
345,affaires,negocio,0.0
346,madame,señora,0.0
347,meilleur,mejor,0.5
348,dessus,sobre,0.25
349,prie,orar,0.5
350,mains,manos,1.0
351,penses,pensar,0.75
352,téléphone,teléfono,0.5714285714285714
353,devez,deber,0.3333333333333333
354,dur,difícil,0.2
355,appelé,llamado,0.0
356,manger,comer,0.25
357,garçon,niño,0.0
358,grande,grande,1.0
359,mariage,boda,0.0
360,équipe,equipo,0.6666666666666666
361,arriver,llegar,0.25
362,marche,andar,0.0
363,dr,dr.,0.6666666666666666
364,guerre,guerra,1.0
365,essaie,tratar,0.0
366,derrière,detrás,0.4
367,dites,decir,0.3333333333333333
368,plein,lleno,0.6666666666666666
369,important,importante,1.0
370,fort,fuerte,1.0
371,font,hacen,0.0
372,exactement,exactamente,1.0
373,presque,casi,0.25
374,parents,padres,0.4
375,dernier,más reciente,0.25
376,ii,yo,0.0
377,pensé,pensar,0.75
378,fou,loco,0.0
379,fête,fiesta,0.6666666666666666
380,tomber,otoño,0.25
381,attendre,esperar,0.2
382,sécurité,seguridad,0.3333333333333333
383,ceux,aquellas,0.0
384,vue,visto,0.3333333333333333
385,jeu,juego,0.5
386,génial,increíble,0.16666666666666666
387,souviens,recordar,0.0
388,envie,urgir,0.0
389,capitaine,capitán,0.8
390,pays,país,0.6666666666666666
391,garde,guardia,1.0
392,cours,clase,0.6666666666666666
393,pos,posición,0.4
394,numéro,número,0.5
395,bientôt,pronto,0.2
396,cinq,cinco,0.6666666666666666
397,parfait,perfecto,0.8
398,laissé,dejar solo,0.16666666666666666
399,minute,minuto,1.0
400,ainsi,por lo tanto,0.125
401,personnes,gente,0.16666666666666666
402,autant,tanto,1.0
403,retour,devolver,0.2
404,essayé,intentó,0.0
405,peine,tristeza,0.0
406,instant,momento,0.4
407,mauvais,equivocado,0.25
408,arme,armado,0.6666666666666666
409,prison,prisión,0.8
410,penser,pensar,1.0
411,mot,palabra,0.0
412,prend,tomar,0.0
413,semble,parece,0.0
414,film,película,0.2
415,ben,bien,1.0
416,quatre,cuatro,0.6666666666666666
417,essayer,probar,0.25
418,rentrer,regresar,0.4
419,plan,plan,1.0
420,travailler,trabajar,0.5
421,regarder,mirar,0.4
422,parfois,algunas veces,0.125
423,abord,a bordo,0.75
424,voyez,ver,0.3333333333333333
425,faute,error,0.0
426,croyais,creía,0.5
427,choix,opcion,0.0
428,bas,bajo,0.5
429,heureux,feliz,0.0
430,facile,fácil,0.75
431,voudrais,gustaria,0.0
432,entendre,escuchar,0.2
433,changer,cambiar,0.4
434,lit,cama,0.0
435,entrer,entrar,1.0
436,plaisir,placer,0.75
437,ensuite,entonces,0.2
438,fera,servirá,0.2
439,allait,iba a,0.0
440,propre,propio,0.75
441,route,la carretera,0.2857142857142857
442,tour,redondo,0.0
443,travaille,trabaja,0.4
444,garder,mantener,0.2
445,adore,adorar,0.6666666666666666
446,amie,amiga,0.5
447,année,año,0.0
448,drôle,divertido,0.4
449,service,servicio,1.0
450,attend,murga,0.0
451,voit,ve,0.5
452,rendre,devolver,0.2
453,agent,agente,1.0
454,dollars,dolares,0.8
455,commence,empezar,0.2
456,lieu,lugar,0.3333333333333333
457,devoir,a tener que,0.16666666666666666
458,sujet,tema,0.0
459,sûre,a salvo,0.25
460,difficile,difícil,0.8
461,pire,peor,1.0
462,sorte,clase,0.0
463,ira,iré,0.5
464,ceci,este,0.0
465,état,expresar,0.0
466,morte,muerto,1.0
467,voulu,deseado,0.0
468,peuvent,puede,0.25
469,bizarre,extraño,0.25
470,chien,perro,0.0
471,perdre,perder,1.0
472,impossible,imposible,0.8333333333333334
473,faisait,estaba haciendo,0.125
474,mlle,milisegundo,0.3333333333333333
475,oublié,olvidó,0.0
476,ferai,servirá,0.2
477,tôt,pronto,0.25
478,the,té,0.5
479,dès,desde,0.3333333333333333
480,payer,paga,0.3333333333333333
481,arrêtez,detener,0.0
482,coeur,corazón,0.4
483,reviens,vuelve,0.25
484,pouvais,podría,0.25
485,inquiète,preocuparse,0.0
486,calme,tranquilo,0.0
487,café,café,1.0
488,suffit,suficiente,0.6
489,prenez,tomar,0.0
490,verre,copa,0.0
491,parles,hablar,0.25
492,aimes,amar,0.5
493,cherche,buscar,0.2
494,ferme,granja,0.25
495,problèmes,problemas,0.8571428571428571
496,photo,foto,0.3333333333333333
497,sûrement,seguramente,0.8333333333333334
498,montrer,mostrar,0.8
499,pensez,pensar,0.75
500,cœur,corazón,0.2
501,meurtre,asesinato,0.0
502,hôpital,hospital,0.8
503,musique,música,0.5
504,veulent,querer,0.0
505,avis,darse cuenta,0.14285714285714285
506,sauf,excepto,0.0
507,courant,corriendo,0.6
508,doute,duda,0.5
509,seconde,el segundo,0.5
510,fous,loca,0.0
511,trucs,cosa,0.5
512,questions,cuestiones,0.8
513,allais,estaba yendo,0.0
514,cool,frío,0.0
515,nouvelles,noticias,0.4
516,sérieux,serio,0.5
517,john,juan,0.6666666666666666
518,marché,mercado,0.6
519,gentil,amable,0.25
520,haut,alto,0.5
521,malade,enfermo,0.0
522,allé,vamos,0.0
523,devons,tengo que,0.0
524,dîner,cena,0.25
525,esprit,mente,0.25
526,sors,salir afuera,0.3333333333333333
527,moyen,medio,0.3333333333333333
528,jack,jack,1.0
529,six,seis,0.5
530,changé,intercambio,0.0
531,semaines,semanas,1.0
532,salle,habitación,0.0
533,comprendre,comprender,1.0
534,sauver,guardar,0.25
535,celle,ese,0.0
536,cul,culo,1.0
537,seigneur,señor,0.5
538,simple,sencillo,0.4
539,appris,aprendió,0.2
540,commencé,comienzo,0.5
541,bras,brazo,0.6666666666666666
542,suppose,ficticio,0.0
543,chéri,estimado,0.0
544,partout,en todas partes,0.3
545,visage,rostro,0.25
546,prochaine,siguiente,0.0
547,ecoute,escucha,0.25
548,chemin,camino,0.75
549,retard,demora,0.25
550,soirée,anochecer,0.0
551,meilleure,mejor,0.5
552,écrit,escritura,0.6
553,livre,libro,0.6666666666666666
554,face,rostro,0.0
555,ferais,haría,0.3333333333333333
556,boire,beber,0.6666666666666666
557,new,nuevo,0.5
558,vaut,valor,0.3333333333333333
559,h,h,1.0
560,surtout,sobretodo,0.6
561,morts,muerto,0.75
562,bois,beber,0.3333333333333333
563,joue,mejilla,0.25
564,rapport,relación,0.2
565,message,mensaje,0.5
566,rentre,devoluciones,0.0
567,pauvre,pobre,0.6666666666666666
568,erreur,error,1.0
569,sinon,de lo contrario,0.1111111111111111
570,plait,por favor,0.16666666666666666
571,honneur,honor,0.75
572,devait,tuve que,0.25
573,entends,escuchar,0.0
574,mets,poner,0.0
575,sam,senté,0.25
576,rencontrer,reunirse,0.42857142857142855
577,an,año,0.0
578,occupe,mantenerse ocupado,0.2
579,devenir,volverse,0.2
580,souvent,frecuentemente,0.25
581,revenir,volver,0.25
582,pouvait,podría,0.25
583,messieurs,caballeros,0.3333333333333333
584,sort,deletrear,0.2
585,pièce,habitación,0.16666666666666666
586,dormir,dormir,1.0
587,grave,severo,0.0
588,commencer,comenzar,0.6666666666666666
589,roi,rey,0.5
590,groupe,banda,0.0
591,carte,mapa,0.0
592,intérieur,interior,0.8
593,reçu,recibió,0.25
594,rêve,sueño,0.0
595,bonsoir,buenas noches,0.375
596,faux,falso,0.3333333333333333
597,manque,carencia,0.25
598,écoutez,escucha,0.25
599,appel,llamar,0.0
600,sac,bolso,0.0
601,content,feliz,0.0
602,cher,querido,0.0
603,président,presidente,0.8571428571428571
604,envoyé,enviado,0.5
605,puisse,puede,0.3333333333333333
606,acheter,comprar,0.4
607,début,inicio,0.0
608,secret,secreto,1.0
609,maître,maestro,0.75
610,venue,ven,1.0
611,patron,jefe,0.0
612,noël,navidad,0.25
613,voyons,veamos,0.5
614,cheveux,pelo,0.0
615,rue,calle,0.0
616,continue,continúa,0.8
617,occuper,para ocupar,0.5
618,âge,edad,0.0
619,prix,premio,0.6666666666666666
620,gagner,ganar,0.75
621,mauvaise,nad,0.0
622,effet,efecto,0.6666666666666666
623,tirer,disparo,0.25
624,avocat,abogado,0.0
625,certains,algunos,0.4
626,grâce,gracia,0.75
627,voix,voz,0.5
628,général,general,0.6666666666666666
629,promis,prometido,0.6
630,noir,negro,0.6666666666666666
631,long,largo,0.6666666666666666
632,apprendre,aprender,0.8333333333333334
633,laissez,dejar,0.0
634,dix,diez,0.5
635,accident,accidente,1.0
636,probablement,más probable,0.2222222222222222
637,déteste,odiado,0.2
638,cru,creía,0.6666666666666666
639,oublie,olvidar,0.0
640,millions,millón,0.6
641,bout,fin,0.0
642,ordre,pedido,0.3333333333333333
643,okay,de acuerdo,0.0
644,incroyable,increíble,0.8333333333333334
645,ressemble,parece,0.0
646,scène,escenario,0.5
647,voyage,viajar,0.3333333333333333
648,retrouver,encontrar,0.3333333333333333
649,bienvenue,bienvenido,0.8
650,petits,pequeña,0.25
651,force,fuerza,0.6666666666666666
652,simplement,simplemente,1.0
653,disparu,desvanecido,0.3333333333333333
654,armes,armas,1.0
655,ailleurs,en algún otro lugar,0.15384615384615385
656,york,york,1.0
657,connaissez,saber,0.16666666666666666
658,prête,lista,0.25
659,soeur,hermana,0.25
660,situation,situación,0.6
661,protéger,proteger,0.8333333333333334
662,hôtel,hotel,0.75
663,utiliser,usar,0.5
664,devriez,debería,0.5
665,sœur,hermana,0.0
666,complètement,completamente,0.8888888888888888
667,crime,delito,0.0
668,dos,espalda,0.0
669,idiot,tonto,0.3333333333333333
670,armée,ejército,0.2
671,sale,sucio,0.5
672,liste,listado,0.75
673,anniversaire,aniversario,0.8333333333333334
674,oncle,tío,0.0
675,victime,víctima,0.8
676,rappelle,recuerda,0.2
677,agit,hechos,0.0
678,arrêté,detenido,0.0
679,paix,paz,0.5
680,battre,batir,0.75
681,bouge,moverse,0.0
682,absolument,absolutamente,0.8571428571428571
683,finir,terminar,0.4
684,pars,abandonar,0.0
685,libre,libre,1.0
686,rencontré,reunir,0.42857142857142855
687,avion,avión,0.6666666666666666
688,i,yo,0.0
689,rouge,rojo,0.5
690,retourner,devolver a,0.16666666666666666
691,réussi,éxito,0.25
692,mots,palabras,0.2
693,bateau,embarcacion,0.16666666666666666
694,sympa,bonito,0.0
695,restez,quédate,0.0
696,stupide,mudo,0.25
697,médecin,doctor,0.2
698,photos,imágenes,0.2
699,balle,pelota,0.3333333333333333
700,faim,hambre,0.25
701,contrôle,control,0.8333333333333334
702,table,mesa,0.0
703,fond,abajo,0.0
704,bordel,lío,0.0
705,décidé,decidió,0.6
706,fasse,hacer,0.0
707,habitude,hábito,0.5
708,impression,impresión,0.8333333333333334
709,surprise,sorpresa,1.0
710,porter,llevar,0.25
711,autour,alrededor,0.2
712,colère,rabia,0.0
713,or,oro,1.0
714,ligne,línea,0.6666666666666666
715,croyez,creer,0.5
716,devais,tuve que,0.25
717,savait,supo,0.3333333333333333
718,gagné,ganó,0.5
719,jolie,bonita,0.0
720,heureuse,feliz,0.0
721,magnifique,espléndido,0.14285714285714285
722,gauche,izquierda,0.0
723,imagine,concebido,0.0
724,clair,claro,1.0
725,charlie,charlie,1.0
726,sorti,salió,0.3333333333333333
727,neuf,nuevo,0.5
728,su,conocido,0.0
729,volé,volar,0.6666666666666666
730,cadeau,presente,0.0
731,risque,riesgo,0.6666666666666666
732,parlez,hablar,0.25
733,système,sistema,0.6666666666666666
734,inspecteur,inspector,1.0
735,hors,excepto,0.0
736,ferait,haría,0.3333333333333333
737,terminé,terminado,0.8
738,disais,estaba diciendo,0.125
739,ouvre,abierto,0.3333333333333333
740,dedans,en el interior,0.125
741,pote,camarada,0.0
742,expliquer,explique,0.8
743,espèce,especies,0.5
744,montre,reloj,0.0
745,pied,pie,0.5
746,présent,aquí,0.0
747,plusieurs,varios,0.4
748,disent,decir,0.25
749,michael,miguel,0.5
750,marcher,andar,0.2
751,pieds,pies,0.6666666666666666
752,lumière,luz,0.25
753,vraie,verdadero,0.4
754,pourra,será capaz,0.14285714285714285
755,réponse,responder,0.5
756,coin,esquina,0.3333333333333333
757,suivre,seguir,0.6666666666666666
758,moitié,medio,0.3333333333333333
759,club,club,1.0
760,pouvons,podemos,0.5
761,fallait,tuve que,0.0
762,doivent,deben,0.5
763,pareil,lo mismo,0.0
764,joli,"bonito, lindo",0.125
765,vieille,antiguo,0.0
766,camp,acampar,0.75
767,vouloir,querer,0.3333333333333333
768,envoyer,enviar a,0.5
769,mission,asignación,0.16666666666666666
770,grosse,grasa,0.75
771,soleil,sol,0.6666666666666666
772,selon,de acuerdo a,0.0
773,arrière,espalda,0.0
774,tue,matar,0.3333333333333333
775,lire,leer,1.0
776,devenu,se convirtió,0.125
777,doucement,suavemente,0.6
778,tenir,mantener,0.6
779,sortie,salida,0.3333333333333333
780,rend,hace,0.0
781,allô,hola,0.3333333333333333
782,flics,policías,0.6
783,exact,exacto,1.0
784,tom,tomás,0.5
785,joe,josé,0.3333333333333333
786,disait,dicho,0.3333333333333333
787,you,usted,0.0
788,recherche,investigar,0.0
789,continuer,seguir,0.2
790,ignore,ignorar,0.75
791,aimé,amar,0.5
792,poser,para posar,0.5
793,chaud,cálido,0.5
794,lettre,carta,0.25
795,tueur,asesino,0.0
796,avance,ventaja,0.5
797,tiré,dibujado,0.0
798,arrivée,llegada,0.0
799,bar,bar,1.0
800,quitter,abandonar,0.2
801,david,david,1.0
802,connaître,saber,0.16666666666666666
803,loi,ley,0.5
804,connaît,sabe,0.0
805,gamin,niño,0.0
806,laquelle,cuál,0.25
807,folle,loco,0.3333333333333333
808,professeur,profesor,0.8333333333333334
809,jure,jurado,0.6666666666666666
810,joué,mejilla,0.25
811,essaye,tratar,0.0
812,froid,frío,0.6666666666666666
813,forme,forma,1.0
814,bonnes,bueno,0.5
815,ie,es decir,0.0
816,normal,normal,1.0
817,but,objetivo,0.5
818,offre,oferta,0.3333333333333333
819,conseil,consejo,0.75
820,con,estafa,0.0
821,debout,en pie,0.0
822,dangereux,peligroso,0.4
823,tranquille,tranquilo,0.8333333333333334
824,prêts,prestamos,0.6666666666666666
825,boîte,caja,0.0
826,mike,miguel,0.3333333333333333
827,ciel,cielo,1.0
828,classe,clase,0.75
829,frank,franco,0.75
830,danger,peligro,0.5
831,enquête,encuesta,0.5
832,télé,televisor,0.2
833,oublier,olvidar,0.25
834,visite,visitar,0.75
835,juge,juez,0.5
836,bons,bueno,0.6666666666666666
837,poste,correo,0.0
838,lu,leer,0.5
839,attaque,ofensivo,0.0
840,touche,toque,0.3333333333333333
841,droite,derecha,0.5
842,george,jorge,0.6666666666666666
843,triste,triste,1.0
844,aimer,amar,1.0
845,vivant,vivo,0.5
846,monte,montado,0.75
847,coucher,dormir,0.25
848,envoie,enviar,0.6666666666666666
849,tombe,tumba,1.0
850,jeunes,juventud,0.4
851,preuve,prueba,0.6666666666666666
852,dame,dama,1.0
853,flic,policía,0.5
854,écouter,escuchar,0.4
855,met,pone,0.0
856,cuisine,cocina,0.6666666666666666
857,relation,relación,0.6
858,dossier,carpetas,0.0
859,sentir,sentir,1.0
860,blanc,"blanco, blanca",0.4
861,chanson,canción,0.4
862,gueule,boca,0.0
863,foutre,mierda,0.0
864,santé,salud,0.25
865,déjeuner,comida,0.0
866,pourtant,sin embargo,0.0
867,change,intercambio,0.0
868,travers,mediante,0.0
869,entrez,adelante,0.0
870,ouvrir,abrir,0.6666666666666666
871,signifie,significa,0.8
872,âme,alma,0.5
873,voler,robar,0.3333333333333333
874,centre,centro,1.0
875,chacun,cada uno,0.5
876,tire,dibujado,0.0
877,lieutenant,teniente,0.8
878,certain,determinado,0.3333333333333333
879,compagnie,empresa,0.4
880,vit,vive,0.5
881,mecs,tipos,0.3333333333333333
882,ia,ai,
883,mange,come,0.0
884,clé,llave,0.3333333333333333
885,manière,la manera,0.4
886,différent,diferente,0.7142857142857143
887,bord,borde,1.0
888,décision,decisión,0.6
889,vendre,vender,1.0
890,aille,vamos,0.0
891,enfer,infierno,0.75
892,diable,demonio,0.3333333333333333
893,sortez,sal,0.25
894,acheté,comprado,0.2
895,appartement,apartamento,0.8571428571428571
896,étrange,impar,0.2
897,nulle,nula,0.6666666666666666
898,monter,subir,0.25
899,signe,signo,1.0
900,faisais,estaba haciendo,0.0
901,bouche,obstruido,0.2
902,payé,pagado,0.3333333333333333
903,écrire,escribe,0.5
904,viennent,están viniendo,0.3333333333333333
905,cheval,caballo,0.5
906,secondes,segundos,0.8
907,peter,tirarse un pedo,0.1111111111111111
908,responsable,responsable,1.0
909,coupable,culpable,0.8
910,honte,vergüenza,0.16666666666666666
911,emmener,llevar,0.25
912,préfère,prefiere,0.6666666666666666
913,ordres,órdenes,0.6
914,soin,cuidado,0.0
915,milieu,medio,0.5
916,prochain,siguiente,0.0
917,mr,señor,0.3333333333333333
918,rire,reír,0.6666666666666666
919,cerveau,cerebro,0.5
920,voie,camino,0.0
921,amoureux,enamorado,0.5
922,allée,pasillo,0.25
923,paris,parís,0.75
924,silence,silencio,1.0
925,drogue,droga,1.0
926,coups,trazos,0.25
927,blague,broma,0.3333333333333333
928,trou,agujero,0.3333333333333333
929,choisi,seleccionado,0.16666666666666666
930,retourne,devolver,0.0
931,garçons,niños,0.2
932,oeil,ojo,0.0
933,intérêt,interés,0.5
934,connu,conocido,0.5
935,ll,él,0.5
936,tel,teléfono,0.4
937,public,audiencia,0.25
938,réunion,reunión,0.5
939,dirai,diría,0.6666666666666666
940,capable,poder,0.25
941,client,cliente,1.0
942,époque,era,0.0
943,existe,existir,0.75
944,pleine,lleno,0.6666666666666666
945,prise,enchufar,0.0
946,ecoutez,escucha,0.25
947,adresse,dirección,0.3333333333333333
948,cacher,esconder,0.4
949,combat,pelear,0.0
950,peau,piel,0.5
951,pute,puta,1.0
952,dingue,loco,0.0
953,sent,siente,1.0
954,faisons,hacer,0.0
955,blessé,herido,0.0
956,robe,vestir,0.0
957,tient,está aguantando,0.3333333333333333
958,paul,pablo,0.6666666666666666
959,promets,promesa,0.8
