,english,german,Distances
302,dear,liebling,0.0
303,four,vier,0.5
304,shall,soll,0.75
305,chance,chance,1.0
306,close,nah dran,0.0
307,making,herstellung,0.25
308,waiting,warten,0.5
309,party,party,1.0
310,daughter,tochter,0.6
311,comes,kommt,0.25
312,word,wort,0.6666666666666666
313,fun,spaß,0.0
314,number,nummer,0.75
315,married,verheiratet,0.3333333333333333
316,hurt,schmerz,0.3333333333333333
317,story,geschichte,0.14285714285714285
318,set,einstellen,0.3333333333333333
319,wish,wunsch,0.6
320,least,am wenigsten,0.25
321,quite,ziemlich,0.0
322,important,wichtig,0.16666666666666666
323,girls,mädchen,0.0
324,husband,ehemann,0.4
325,fire,feuer,1.0
326,nobody,niemand,0.25
327,fight,kampf,0.0
328,children,kinder,0.3333333333333333
329,rest,sich ausruhen,0.125
330,moment,moment,1.0
331,week,woche,0.3333333333333333
332,read,lesen,0.0
333,stand,stand,1.0
334,game,spiel,0.0
335,cut,schneiden,0.16666666666666666
336,sister,schwester,0.5714285714285714
337,speak,sprechen,0.3333333333333333
338,child,kind,0.25
339,side,seite,0.5
340,women,frauen,0.3333333333333333
341,supposed,soll,0.2
342,started,gestartet,0.6666666666666666
343,hours,std.,0.0
344,goes,geht,0.3333333333333333
345,blood,blut,0.6666666666666666
346,though,obwohl,0.0
347,truth,wahrheit,0.2
348,lady,dame,0.3333333333333333
349,anymore,mehr,0.25
350,behind,hinter,0.25
351,almost,fast,0.5
352,shot,schuss,0.4
353,gets,bekommt,0.0
354,war,krieg,0.3333333333333333
355,break,unterbrechung,0.2222222222222222
356,walk,spaziergang,0.0
357,able,fähig,0.0
358,reason,grund,0.25
359,trouble,problem,0.6
360,met,getroffen,0.16666666666666666
361,city,stadt,0.25
362,town,"stadt, dorf",0.1111111111111111
363,trust,vertrauen,0.2
364,mr,herr,0.3333333333333333
365,brought,gebracht,0.6666666666666666
366,died,gestorben,0.0
367,question,frage,0.0
368,buy,kaufen,0.0
369,office,büro,0.0
370,half,halb,0.6666666666666666
371,bye,wiedersehen,0.0
372,high,hoch,0.6666666666666666
373,free,frei,1.0
374,welcome,willkommen,0.42857142857142855
375,couple,paar,0.3333333333333333
376,either,entweder,0.4
377,hurry,sich beeilen,0.14285714285714285
378,telling,erzählen,0.16666666666666666
379,stupid,dumm,0.0
380,honey,honig,0.6666666666666666
381,power,energie,0.0
382,wow,beeindruckend,0.0
383,tried,versucht,0.16666666666666666
384,bed,bett,0.3333333333333333
385,front,vorderseite,0.3333333333333333
386,cool,kalt,0.3333333333333333
387,answer,antworten,0.5
388,playing,spielen,0.4
389,seems,scheint,0.2
390,boys,jungs,0.25
391,send,senden,0.75
392,gun,pistole,0.0
393,line,linie,1.0
394,team,mannschaft,0.0
395,news,nachrichten,0.125
396,months,monate,0.6
397,captain,kapitän,0.6
398,save,sparen,0.25
399,full,voll,0.6666666666666666
400,hate,hassen,0.25
401,sometimes,manchmal,0.16666666666666666
402,become,werden,0.0
403,whoa,wow,0.5
404,lord,herr,0.3333333333333333
405,along,eine lange,0.6
406,dog,hund,0.0
407,outside,außen,0.0
408,food,lebensmittel,0.0
409,light,hell,0.0
410,order,bestellen,0.0
411,hot,heiß,0.5
412,funny,komisch,0.0
413,clear,klar,0.6666666666666666
414,needs,braucht,0.0
415,six,sechs,0.25
416,country,land,0.2
417,alive,am leben,0.2
418,pick,wählen,0.0
419,em,em,1.0
420,fact,tatsache,0.2
421,ahead,voraus,0.0
422,black,schwarz,0.0
423,boss,chef,0.0
424,living,leben,0.5
425,lose,verlieren,0.2
426,feeling,gefühl,0.2
427,leaving,verlassen,0.16666666666666666
428,cause,weil,0.0
429,dinner,abendessen,0.16666666666666666
430,promise,versprechen,0.25
431,king,könig,0.75
432,running,laufend,0.2
433,plan,planen,0.75
434,taken,vergriffen,0.14285714285714285
435,sort,sortieren,0.6
436,book,buchen,0.25
437,sent,gesendet,0.6
438,anybody,irgendjemand,0.125
439,hour,stunde,0.0
440,white,weiß,0.3333333333333333
441,small,klein,0.25
442,alright,ordnung,0.0
443,sick,krank,0.25
444,parents,eltern,0.2
445,uncle,onkel,0.6666666666666666
446,lives,lebt,0.3333333333333333
447,safe,sicher,0.25
448,perfect,perfekt,0.8
449,poor,arm,0.0
450,ass,arsch,0.25
451,shoot,schießen,0.4
452,scared,erschrocken,0.375
453,special,besondere,0.2
454,serious,ernst,0.25
455,red,rot,0.5
456,perhaps,vielleicht,0.0
457,touch,berühren,0.16666666666666666
458,earth,erde,0.3333333333333333
459,john,john,1.0
460,sounds,geräusche,0.16666666666666666
461,company,gesellschaft,0.0
462,past,vorbei an,0.0
463,cannot,kann nicht,0.375
464,possible,möglich,0.0
465,bitch,hündin,0.0
466,ha,ha,1.0
467,sound,klang,0.25
468,sighs,seufzt,0.25
469,hair,haar,1.0
470,human,mensch,0.2
471,drive,fahrt,0.25
472,luck,glück,0.6
473,asking,fragen,0.0
474,top,oben,0.0
475,win,gewinnen,0.4
476,glad,froh,0.0
477,daddy,vati,0.0
478,control,kontrolle,0.6666666666666666
479,cold,kalt,0.3333333333333333
480,ten,zehn,0.3333333333333333
481,air,luft,0.0
482,happens,das passiert,0.25
483,master,meister,1.0
484,jack,jack,1.0
485,till,bis,0.0
486,dance,tanzen,0.25
487,sex,sex,1.0
488,others,andere,0.25
489,hospital,krankenhaus,0.0
490,street,straße,0.75
491,hang,aufhängen,0.5
492,fast,schnell,0.0
493,words,wörter,0.4
494,follow,folgen,0.5
495,seem,erscheinen,0.16666666666666666
496,murder,mord,0.75
497,finally,endlich,0.2
498,lie,lüge,0.3333333333333333
499,dream,traum,0.6666666666666666
500,catch,fang,0.0
501,write,schreiben,0.16666666666666666
502,evening,abend,0.25
503,meeting,treffen,0.0
504,sweet,süß,0.3333333333333333
505,hmm,hmm,1.0
506,sense,sinn,0.6666666666666666
507,lucky,glücklich,0.375
508,known,bekannt,0.4
509,laughs,lacht,0.5
510,jesus,jesus,1.0
511,bet,wette,0.3333333333333333
512,voice,stimme,0.0
513,sign,schild,0.2
514,million,million,1.0
515,quiet,ruhig,0.0
516,felt,fühlte,0.6
517,rather,eher,0.5
518,careful,vorsichtig,0.14285714285714285
519,somewhere,irgendwo,0.0
520,longer,länger,0.8
521,beat,schlagen,0.0
522,return,rückkehr,0.14285714285714285
523,laughing,lachen,0.6
524,coffee,kaffee,0.6666666666666666
525,date,datum,0.6666666666666666
526,pull,ziehen,0.0
527,secret,geheimnis,0.0
528,calling,berufung,0.4
529,less,weniger,0.0
530,looked,sah,0.0
531,worked,hat funktioniert,0.1
532,weeks,wochen,0.25
533,fault,fehler,0.5
534,gentlemen,herren,0.16666666666666666
535,fall,herbst,0.0
536,given,gegeben,0.5
537,seeing,sehen,0.3333333333333333
538,song,lied,0.0
539,straight,gerade,0.16666666666666666
540,calm,ruhe,0.0
541,changed,geändert,0.16666666666666666
542,mad,wütend,0.2
543,loved,geliebt,0.25
544,takes,nimmt,0.0
545,road,straße,0.25
546,learn,lernen,0.75
547,drop,fallen,0.0
548,wonderful,wunderbar,0.6666666666666666
549,future,zukunft,0.2
550,ladies,damen,0.0
551,explain,erklären,0.3333333333333333
552,chuckles,kichert,0.16666666666666666
553,clean,sauber,0.0
554,throw,wurf,0.25
555,early,frühzeitig,0.14285714285714285
556,yesterday,gestern,0.5
557,step,schritt,0.3333333333333333
558,turned,gedreht,0.2
559,feet,fuß,0.5
560,piece,stück,0.2
561,picture,bild,0.0
562,land,land,1.0
563,quick,schnell,0.16666666666666666
564,wonder,sich fragen,0.125
565,worth,wert,0.75
566,darling,schatz,0.0
567,questions,fragen,0.2
568,absolutely,unbedingt,0.0
569,president,präsident,0.8571428571428571
570,eye,auge,0.0
571,giving,geben,0.5
572,ooh,oh,1.0
573,none,keiner,0.3333333333333333
574,dude,alter,0.0
575,moving,ziehen um,0.2
576,state,zustand,0.4
577,ones,einsen,0.6666666666666666
578,speaking,apropos,0.2
579,figure,zahl,0.0
580,goodbye,auf wiedersehen,0.125
581,sam,sam,1.0
582,strange,seltsam,0.2
583,strong,stark,0.6
584,act,handlung,0.0
585,wedding,hochzeit,0.0
586,law,gesetz,0.0
587,kiss,kuss,1.0
588,works,funktioniert,0.14285714285714285
589,report,bericht,0.4
590,tired,müde,0.3333333333333333
591,pain,schmerzen,0.14285714285714285
592,marry,heiraten,0.25
593,pass,passieren,0.6
594,wake,aufwachen,0.2
595,kidding,scherzhaft,0.0
596,general,allgemeines,0.16666666666666666
597,missing,fehlen,0.2
598,ship,schiff,0.4
599,needed,erforderlich,0.125
600,choice,auswahl,0.25
601,class,klasse,0.75
602,weird,seltsam,0.0
603,worried,besorgt,0.2
604,officer,offizier,0.75
605,decided,beschlossen,0.125
606,amazing,toll,0.0
607,busy,belebt,0.25
608,kept,gehalten,0.2
609,worse,schlechter,0.0
610,happening,ereignis,0.16666666666666666
611,mistake,fehler,0.0
612,chief,chef,1.0
613,ya,ja,0.0
614,forgive,verzeihen,0.2
615,age,das alter,0.0
616,sell,verkaufen,0.0
617,michael,michael,1.0
618,mouth,mund,0.3333333333333333
619,caught,erwischt,0.3333333333333333
620,finish,fertig,0.25
621,clothes,kleidung,0.2
622,ride,reiten,0.3333333333333333
623,birthday,geburtstag,0.42857142857142855
624,meant,gemeint,0.75
625,born,geboren,0.75
626,watching,aufpassen,0.16666666666666666
627,building,gebäude,0.2
628,dark,dunkel,0.5
629,eh,äh,0.5
630,system,system,1.0
631,sing,singen,0.75
632,film,film,1.0
633,court,gericht,0.4
634,tv,fernseher,0.0
635,movie,film,0.0
636,month,monat,0.75
637,wear,tragen,0.25
638,train,zug,0.0
639,lying,lügnerisch,0.25
640,seven,sieben,0.6666666666666666
641,totally,total,0.6
642,imagine,vorstellen,0.14285714285714285
643,hotel,hotel,1.0
644,evidence,beweis,0.0
645,security,sicherheit,0.5
646,completely,vollständig,0.1111111111111111
647,suppose,vermuten,0.0
648,instead,stattdessen,0.25
649,christmas,weihnachten,0.14285714285714285
650,unless,wenn nicht,0.125
651,information,information,1.0
652,bag,tasche,0.0
653,certainly,sicherlich,0.14285714285714285
654,attack,attacke,1.0
655,broke,pleite,0.0
656,round,runden,0.75
657,expect,erwarten von,0.125
658,near,nahe,0.5
659,blue,blau,1.0
660,terrible,abscheulich,0.14285714285714285
661,thinks,denkt,0.4
662,definitely,bestimmt,0.0
663,forever,bis in alle ewigkeit,0.0
664,frank,frank,1.0
665,station,bahnhof,0.0
666,except,außer,0.0
667,table,tisch,0.25
668,message,botschaft,0.14285714285714285
669,history,geschichte,0.14285714285714285
670,swear,schwören,0.42857142857142855
671,george,george,1.0
672,fool,täuschen,0.0
673,talked,gesprochen,0.0
674,ring,ring,1.0
675,buddy,kumpel,0.0
676,entire,gesamte,0.0
677,lovely,schön,0.0
678,floor,boden,0.0
679,sun,sonne,0.6666666666666666
680,handle,handhaben,0.5
681,army,heer,0.0
682,david,david,1.0
683,joe,joe,1.0
684,spend,verbringen,0.14285714285714285
685,charlie,charlie,1.0
686,across,über,0.0
687,finished,fertig,0.2
688,marriage,die ehe,0.0
689,letter,buchstabe,0.16666666666666666
690,ran,lief,0.0
691,seriously,ernsthaft,0.14285714285714285
692,paid,bezahlt,0.0
693,bought,gekauft,0.25
694,york,york,1.0
695,attention,aufmerksamkeit,0.0
696,anywhere,irgendwo,0.0
697,dangerous,gefährlich,0.125
698,peace,frieden,0.0
699,simple,einfach,0.0
700,forgot,vergessen,0.3333333333333333
701,situation,lage,0.0
702,middle,mitte,0.25
703,rock,felsen,0.0
704,test,prüfung,0.0
705,lead,führen,0.0
706,protect,beschützen,0.125
707,club,verein,0.0
708,fear,furcht,0.4
709,fair,messe,0.0
710,present,gegenwärtig,0.125
711,idiot,dummkopf,0.16666666666666666
712,join,beitreten,0.2
713,interesting,interessant,0.7142857142857143
714,tom,tom,1.0
715,bill,rechnung,0.0
716,box,kasten,0.0
717,sitting,sitzung,0.8
718,short,kurz,0.25
719,ball,ball,1.0
720,single,single,1.0
721,group,gruppe,0.75
722,using,verwenden,0.16666666666666666
723,enjoy,viel spaß,0.0
724,normal,normal,1.0
725,boat,boot,1.0
726,count,zählen,0.0
727,bastard,bastard,1.0
728,crime,verbrechen,0.14285714285714285
729,key,schlüssel,0.0
730,force,macht,0.0
731,horse,pferd,0.25
732,lunch,mittagessen,0.0
733,american,amerikanisch,0.42857142857142855
734,quickly,schnell,0.3333333333333333
735,paper,papier,1.0
736,charge,aufladen,0.0
737,mike,mike,1.0
738,surprise,überraschung,0.2222222222222222
739,space,platz,0.0
740,fell,fiel,0.6666666666666666
741,honor,ehren,0.3333333333333333
742,eight,acht,0.6666666666666666
743,accident,unfall,0.0
744,wearing,verschleiß,0.14285714285714285
745,fish,fische,0.75
746,bar,bar,1.0
747,ground,boden,0.25
748,problems,probleme,0.8333333333333334
749,government,regierung,0.2857142857142857
750,miles,meilen,0.6666666666666666
751,relax,entspannen sie sich,0.0
752,crying,weinen,0.2
753,bank,bank,1.0
754,cover,startseite,0.16666666666666666
755,major,haupt,0.0
756,stopped,gestoppt,0.6666666666666666
757,interested,interessiert,0.5714285714285714
758,hide,ausblenden,0.16666666666666666
759,stick,stock,1.0
760,sea,meer,0.0
761,tea,tee,1.0
762,area,bereich,0.25
763,agree,zustimmen,0.0
764,difficult,schwierig,0.0
765,personal,persönlich,0.625
766,deep,tief,0.0
767,dress,kleid,0.0
768,service,service,1.0
769,certain,sicher,0.0
770,trip,reise,0.3333333333333333
771,radio,radio,1.0
772,blow,schlag,0.2
773,smart,clever,0.0
774,mark,kennzeichen,0.0
775,star,stern,0.75
776,record,aufzeichnung,0.14285714285714285
777,offer,angebot,0.0
778,america,amerika,0.6666666666666666
779,prison,gefängnis,0.14285714285714285
780,angry,wütend,0.0
781,peter,peter,1.0
782,soul,seele,1.0
783,rich,reich,1.0
784,list,aufführen,0.0
785,gold,gold,1.0
786,afternoon,nachmittag,0.0
787,whether,ob,0.0
788,agent,agent,1.0
789,missed,verpasst,0.3333333333333333
790,proud,stolz,0.0
791,detective,detektiv,0.8
792,fix,fix,1.0
793,respect,respekt,0.8
794,public,öffentlichkeit,0.2
795,fighting,kampf,0.0
796,girlfriend,feste freundin,0.4444444444444444
797,drunk,betrunken,0.5
798,park,park,1.0
799,killing,tötung,0.4
800,saved,gerettet,0.0
801,brain,gehirn,0.5
802,forward,nach vorne,0.14285714285714285
803,sad,traurig,0.0
804,cell,zelle,0.6666666666666666
805,mess,chaos,0.3333333333333333
806,standing,stehen,0.5
807,smell,geruch,0.0
808,fly,fliegen,0.5
809,killer,mörder,0.2
810,tough,hart,0.0
811,scene,szene,0.6666666666666666
812,card,karte,0.3333333333333333
813,english,englisch,0.8333333333333334
814,dare,wagen,0.0
815,broken,gebrochen,0.5
816,mary,maria,0.6666666666666666
817,hungry,hungrig,0.8
818,church,kirche,0.6
819,ice,eis,0.0
820,window,fenster,0.2
821,paul,paul,1.0
822,share,teilen,0.0
823,third,dritte,0.0
824,laugh,lachen,0.5
825,calls,anrufe,0.0
826,often,häufig,0.0
827,within,innerhalb,0.16666666666666666
828,spent,ausgegeben,0.2
829,feels,fühlt sich,0.3333333333333333
830,lieutenant,leutnant,1.0
831,cry,schrei,0.25
832,mum,mama,1.0
833,visit,besuch,0.25
834,honest,ehrlich,0.2
835,seat,sitz,0.6666666666666666
836,mama,mutter,0.25
837,teacher,lehrer,0.25
838,relationship,beziehung,0.14285714285714285
839,moved,gerührt,0.0
840,pleasure,vergnügen,0.0
841,camera,kamera,0.6666666666666666
842,starting,beginnend,0.16666666666666666
843,bloody,blutig,0.5
844,lived,lebte,0.3333333333333333
845,college,uni,0.0
846,judge,richter,0.0
847,cops,polizisten,0.16666666666666666
848,position,position,1.0
849,sake,sake,1.0
850,screaming,schreiend,0.5
851,boyfriend,freund,0.6666666666666666
852,wall,mauer,0.0
853,teach,unterrichten,0.375
854,neither,weder,0.25
855,prove,beweisen,0.0
856,loves,liebt,0.3333333333333333
857,besides,außerdem,0.25
858,realize,realisieren,0.4
859,private,privatgelände,0.4444444444444444
860,ben,ben,1.0
861,impossible,unmöglich,0.14285714285714285
862,walking,gehen,0.2
863,carry,tragen,0.25
864,accept,annehmen,0.0
865,especially,besonders,0.0
866,liked,gefallen,0.2
867,french,französisch,0.5555555555555556
868,art,kunst,0.25
869,machine,maschine,0.8
870,green,grün,0.75
871,involved,beteiligt,0.2
872,became,wurde,0.0
873,cop,polizist,0.0
874,la,la,1.0
875,mm,mm,1.0
876,wine,wein,1.0
877,apartment,wohnung,0.16666666666666666
878,upset,verärgern,0.0
879,cute,niedlich,0.2
880,village,dorf,0.0
881,holy,heilig,0.6666666666666666
882,congratulations,herzliche glückwünsche,0.2222222222222222
883,jail,gefängnis,0.0
884,likes,likes,1.0
885,sleeping,schlafen,0.3333333333333333
886,joke,scherzen,0.0
887,evil,teuflisch,0.16666666666666666
888,lawyer,anwalt,0.25
889,field,aufstellen,0.3333333333333333
890,contact,kontakt,0.6
891,obviously,offensichtlich,0.2
892,store,laden,0.0
893,quit,verlassen,0.0
894,dying,absterben,0.0
895,queen,königin,0.2
896,shop,geschäft,0.2857142857142857
897,hundred,hundert,0.8
898,professor,professor,1.0
899,continue,fortsetzen,0.2857142857142857
900,whose,deren,0.0
901,driving,fahren,0.2
902,appreciate,im wert steigen,0.2
903,madam,gnädige frau,0.125
904,doubt,zweifel,0.0
905,wrote,schrieb,0.2
906,plane,flugzeug,0.2
907,cash,kasse,0.3333333333333333
908,island,insel,0.25
909,cat,katze,0.3333333333333333
910,slow,langsam,0.0
911,huge,riesig,0.3333333333333333
912,decision,entscheidung,0.25
913,beer,bier,1.0
914,difference,unterschied,0.14285714285714285
915,thousand,tausend,0.8
916,beginning,anfang,0.5
917,christ,christus,0.8333333333333334
918,push,drücken,0.0
919,south,süden,0.25
920,gift,geschenk,0.16666666666666666
921,lt,lt,1.0
922,glass,glas,0.75
923,eating,essen,0.0
924,tree,baum,0.0
925,bear,bär,0.6666666666666666
926,stuck,gesteckt,0.6666666666666666
927,colonel,oberst,0.0
928,rules,regeln,0.5
929,north,norden,0.5
930,bus,bus,1.0
931,seconds,sekunden,0.6
932,dreams,träume,0.25
933,partner,partner,1.0
934,grab,greifen,0.5
935,victim,opfer,0.0
936,dirty,schmutzig,0.14285714285714285
937,computer,computer,1.0
938,truck,lkw,0.0
939,promised,versprochen,0.25
940,reach,erreichen,0.6
941,upon,auf,0.0
942,singing,singen,0.8
943,board,tafel,0.0
944,shoes,schuhe,0.5
945,gives,gibt,0.3333333333333333
946,staying,bleiben,0.2
947,fat,fett,0.6666666666666666
948,planet,planet,1.0
949,henry,henry,1.0
950,suddenly,plötzlich,0.125
951,mmm,mmm,1.0
952,putting,putten,0.8
953,search,suche,0.75
954,lots,viele,0.0
955,immediately,sofort,0.16666666666666666
956,wind,wind,1.0
957,arrest,festnahme,0.16666666666666666
958,jump,springen,0.0
959,support,unterstützung,0.1
960,magic,magie,0.6666666666666666
961,owe,verdanken,0.0
962,crap,mist,0.0
963,holding,halten,0.6
964,continues,geht weiter,0.14285714285714285
965,usually,normalerweise,0.14285714285714285
966,kitchen,küche,0.6
967,summer,sommer,1.0
968,arms,waffen,0.0
969,de,de,1.0
970,patient,geduldig,0.0
971,aunt,tante,0.6666666666666666
972,experience,erfahrung,0.3333333333333333
973,heaven,himmel,0.25
974,james,james,1.0
975,paris,paris,1.0
976,grow,größer werden,0.3
977,passed,bestanden,0.3333333333333333
978,rid,loswerden,0.3333333333333333
979,harry,harry,1.0
980,river,fluss,0.0
