,french,english,Distances
141,aider,to help,0.0
142,air,air,1.0
143,entre,between,0.25
144,papa,father,0.0
145,passe,pass,1.0
146,problème,problem,0.8333333333333334
147,ah,ah,1.0
148,peur,fear,0.5
149,regarde,looked,0.25
150,voulez,want,0.0
151,gars,guys,0.6666666666666666
152,trouvé,found,0.0
153,fils,son,0.0
154,attends,hold on,0.0
155,savez,know,0.0
156,jusqu',up,0.0
157,trouver,to find,0.2
158,trois,three,0.3333333333333333
159,assez,enough,0.0
160,famille,family,0.75
161,dû,from,0.0
162,eh,hey,0.5
163,toutes,all,0.0
164,plaît,please,0.5
165,pourrait,could,0.0
166,travail,work,0.25
167,pris,taken,0.0
168,pu,could,0.0
169,tête,head,0.0
170,quelle,what,0.0
171,sait,knows,0.0
172,appelle,call,0.5
173,quelques,some,0.0
174,faites,done,0.0
175,partir,leave,0.0
176,vite,quick,0.0
177,arrête,stopped,0.0
178,seule,only,0.3333333333333333
179,voiture,car,0.3333333333333333
180,enfants,children,0.0
181,tuer,kill,0.0
182,merde,shit,0.0
183,hé,hey,0.5
184,pendant,during,0.2
185,idée,idea,0.5
186,chance,chance,1.0
187,parle,speak,0.0
188,part,go,0.0
189,elles,they,0.0
190,jours,days,0.3333333333333333
191,grand,big,0.0
192,aujourd'hui,today,0.2
193,venir,come,0.0
194,ami,friend,0.0
195,demain,tomorrow,0.2
196,hein,eh,0.5
197,tard,late,0.0
198,puis,then,0.0
199,truc,thing,0.25
200,passer,pass,0.75
201,petite,small,0.0
202,tant,so much,0.0
203,connais,know,0.25
204,combien,how many,0.16666666666666666
205,mec,dude,0.0
206,sens,meaning,0.25
207,pouvez,can,0.0
208,porte,gate,0.3333333333333333
209,sortir,go out,0.25
210,super,great,0.0
211,heure,hour,1.0
212,contre,versus,0.0
213,coup,cut,0.5
214,comprends,understand,0.14285714285714285
215,entendu,understood,0.3333333333333333
216,vient,come,0.0
217,allons,lets go,0.2
218,ensemble,together,0.0
219,nouveau,new,0.5
220,amour,love,0.0
221,importe,imported,0.8
222,sang,blood,0.0
223,désolée,sorry,0.0
224,cas,case,1.0
225,sous,under,0.0
226,rester,stay,0.5
227,amis,friends,0.2
228,prends,take,0.0
229,fini,finished,0.4
230,hommes,men,0.25
231,tué,kill,0.0
232,question,question,1.0
233,partie,part,1.0
234,histoire,story,0.5
235,devrais,should,0.0
236,aide,assistance,0.0
237,dernière,last,0.0
238,demande,request,0.0
239,chercher,look for,0.16666666666666666
240,pensais,thought,0.0
241,genre,gender,0.75
242,seulement,only,0.2
243,police,police,1.0
244,car,because,0.3333333333333333
245,mois,month,0.25
246,frère,brother,0.4
247,laisser,let,0.25
248,aucun,none,0.5
249,mettre,put,0.25
250,laisse,leave alone,0.2
251,chaque,each,0.6666666666666666
252,ville,town,0.0
253,arrivé,come,0.0
254,devrait,should,0.0
255,parlé,speak,0.0
256,avez-vous,have you got,0.14285714285714285
257,vont,are going,0.2
258,longtemps,long time,0.5714285714285714
259,aucune,none,0.5
260,heures,hours,1.0
261,bébé,baby,0.5
262,place,square,0.0
263,revoir,see again,0.0
264,putain,whore,0.0
265,compris,understood,0.16666666666666666
266,ni,neither,0.25
267,savais,knew,0.0
268,leurs,their,0.0
269,attention,warning,0.2
270,donner,give,0.0
271,affaire,affair,1.0
272,endroit,place,0.0
273,pourrais,could,0.0
274,corps,body,0.0
275,façon,way,0.0
276,donné,given,0.25
277,est-il,is it,0.25
278,voici,here is,0.0
279,train,train,1.0
280,dont,whose,0.0
281,écoute,listen,0.25
282,yeux,eyes,0.5
283,trouve,find,0.0
284,pouvoir,power,0.6666666666666666
285,type,kind,0.0
286,perdu,lost,0.0
287,premier,first,0.25
288,première,first,0.2
289,côté,side,0.0
290,point,point,1.0
291,tellement,so much,0.16666666666666666
292,main,hand,0.3333333333333333
293,tiens,here,0.0
294,enfant,child,0.0
295,vieux,old,0.0
296,matin,morning,0.4
297,venu,came,0.0
298,pardon,sorry,0.25
299,là-bas,the low,0.0
300,suite,after,0.3333333333333333
301,vers,towards,0.4
302,minutes,minutes,1.0
303,demandé,demand,0.8
304,venez,come,0.0
305,devant,before,0.0
306,dr,dr,1.0
307,enfin,finally,0.2
308,arrêter,stop,0.2
309,cause,cause,1.0
310,nouvelle,news,0.25
311,attendez,wait,0.2
312,chambre,bedroom,0.0
313,droit,right,0.25
314,parti,left,0.3333333333333333
315,mis,put,0.0
316,eau,water,0.0
317,compte,account,0.5
318,dirait,would say,0.16666666666666666
319,terre,earth,0.0
320,belle,beautiful,0.5
321,espère,hope,0.25
322,aimerais,would like to,0.0
323,loin,far,0.0
324,as-tu,do you have,0.0
325,mari,husband,0.0
326,donne,given,0.3333333333333333
327,fin,end,0.0
328,croire,to believe,0.0
329,mme,mrs,0.3333333333333333
330,gros,big,0.0
331,boulot,gig,0.0
332,plutôt,instead,0.2
333,chérie,dear,0.25
334,prêt,ready,0.25
335,filles,girls,0.5
336,bureau,desk,0.0
337,mourir,die,0.0
338,hier,yesterday,0.16666666666666666
339,possible,possible,1.0
340,jouer,to play,0.0
341,demander,ask,0.0
342,celui,the one,0.0
343,voulait,wanted to,0.16666666666666666
344,beau,beautiful,0.25
345,jeune,young,0.3333333333333333
346,euh,uh,1.0
347,dehors,out,0.0
348,docteur,doctor,1.0
349,a-t-il,does he have,0.0
350,confiance,trust,0.0
351,appeler,to call,0.2
352,années,years,0.25
353,vérité,truth,0.4
354,école,school,0.5
355,chef,chief,1.0
356,femmes,women,0.25
357,propos,about,0.0
358,semaine,week,0.0
359,vivre,live,0.3333333333333333
360,regardez,look,0.0
361,feu,fire,0.5
362,journée,daytime,0.0
363,madame,madam,1.0
364,hey,hey,1.0
365,téléphone,telephone,0.7142857142857143
366,près,close,0.25
367,affaires,business,0.2
368,meilleur,better,0.25
369,devez,must,0.0
370,dessus,above,0.0
371,mains,hands,0.5
372,penses,think,0.0
373,prie,pray,0.6666666666666666
374,équipe,crew,0.0
375,vas-y,go ahead,0.0
376,grande,big,0.0
377,manger,to eat,0.0
378,arriver,to arrive,0.4
379,dur,hard,0.3333333333333333
380,guerre,war,0.3333333333333333
381,appelé,called,0.25
382,marche,walking,0.0
383,sécurité,security,0.6666666666666666
384,garçon,boy,0.0
385,essaie,try,0.0
386,important,important,1.0
387,dites,say,0.0
388,exactement,exactly,0.5
389,font,make,0.0
390,fort,strong,0.2
391,presque,almost,0.25
392,plein,full,0.3333333333333333
393,derrière,behind,0.0
394,ben,well,0.0
395,mariage,wedding,0.2
396,parents,parents,1.0
397,capitaine,captain,1.0
398,dernier,last,0.0
399,fou,mad,0.0
400,ceux,those,0.0
401,tomber,to fall,0.2
402,attendre,expect,0.0
403,vue,seen,0.0
404,pensé,think,0.0
405,souviens,remember,0.0
406,envie,urge,0.0
407,fête,party,0.25
408,jeu,game,0.0
409,génial,great,0.25
410,pays,country,0.0
411,garde,keep,0.0
412,cours,classes,0.4
413,bientôt,soon,0.2
414,ii,ii,
415,numéro,number,0.75
416,personnes,people,0.16666666666666666
417,cinq,five,0.0
418,parfait,perfect,0.8
419,excusez-moi,excuse me,0.6666666666666666
420,laissé,leave alone,0.2
421,ainsi,thus,0.3333333333333333
422,retour,return,0.75
423,semble,seems,0.5
424,autant,as much,0.0
425,peine,sadness,0.2
426,minute,minute,1.0
427,essayé,tried,0.0
428,plan,plan,1.0
429,instant,moment,0.4
430,prison,jail,0.0
431,penser,think,0.0
432,essayer,try,0.25
433,prend,take,0.0
434,arme,armed,0.6666666666666666
435,mauvais,wrong,0.0
436,mot,word,0.0
437,travailler,work,0.16666666666666666
438,quatre,four,0.3333333333333333
439,rentrer,to return,0.3333333333333333
440,regarder,to look at,0.0
441,choix,choice,0.6666666666666666
442,êtes-vous,are you,0.0
443,parfois,sometimes,0.2
444,film,film,1.0
445,abord,on board,0.6
446,voyez,see,0.0
447,faute,mistake,0.25
448,facile,easy,0.0
449,croyais,believed,0.0
450,bas,down,0.0
451,changer,to change,0.5
452,entendre,to hear,0.4
453,plaisir,pleasure,1.0
454,heureux,happy,0.25
455,entrer,walk in,0.0
456,voudrais,would like,0.16666666666666666
457,es-tu,are you,0.0
458,propre,own,0.0
459,tour,round,0.0
460,fera,will do,0.0
461,ensuite,afterwards,0.0
462,garder,to keep,0.0
463,agent,agent,1.0
464,allait,was going to,0.125
465,lit,bed,0.0
466,travaille,work,0.2
467,adore,adore,1.0
468,amie,friend,0.0
469,rendre,to return,0.16666666666666666
470,allons-y,let's go,0.3333333333333333
471,route,road,0.5
472,lieu,venue,0.0
473,année,year,0.0
474,voit,sees,0.0
475,commence,begin,0.2
476,service,service,1.0
477,devoir,to have to,0.16666666666666666
478,attend,waits,0.25
479,drôle,funny,0.0
480,difficile,hard,0.0
481,sûre,safe,0.3333333333333333
482,pire,worse,0.3333333333333333
483,pos,pos,1.0
484,peuvent,can,0.25
485,sujet,topic,0.0
486,état,state,0.6666666666666666
487,ceci,this,0.0
488,impossible,impossible,1.0
489,sorte,kind,0.0
490,perdre,to lose,0.0
491,dollars,dollars,1.0
492,voulu,desired,0.0
493,morte,dead,0.0
494,ira,will go,0.0
495,faisait,was doing,0.16666666666666666
496,bizarre,weird,0.25
497,oublié,forgot,0.0
498,arrêtez,stop,0.2
499,ferai,will do,0.0
500,tôt,early,0.0
501,inquiète,worry,0.0
502,payer,pay,0.6666666666666666
503,coeur,heart,0.3333333333333333
504,dès,of the,0.0
505,pouvais,could,0.0
506,reviens,come back,0.0
507,chien,dog,0.0
508,suffit,enough,0.0
509,prenez,take,0.0
510,pensez,think,0.0
511,café,coffee,0.6666666666666666
512,calme,calm,1.0
513,cherche,look for,0.0
514,montrer,to show,0.0
515,parles,speak,0.0
516,photo,photo,1.0
517,ferme,closed,0.0
518,problèmes,problems,0.8571428571428571
519,the,tea,0.5
520,cœur,heart,0.0
521,sûrement,surely,0.3333333333333333
522,verre,glass,0.0
523,aimes,love,0.0
524,devons,have to,0.25
525,veulent,want,0.5
526,doute,doubt,0.6666666666666666
527,musique,music,0.6666666666666666
528,courant,running,0.2
529,sauf,except,0.0
530,moyen,medium,0.3333333333333333
531,nouvelles,new,0.2
532,puis-je,can i,0.0
533,avis,notice,0.0
534,sauver,save,0.6666666666666666
535,hôpital,hospital,0.8
536,questions,questions,1.0
537,meurtre,murder,0.75
538,sérieux,serious,0.5
539,seconde,second,1.0
540,trucs,stuff,0.0
541,comprendre,to understand,0.2222222222222222
542,allais,was going,0.0
543,esprit,spirit,1.0
544,cool,cool,1.0
545,mlle,ms,0.3333333333333333
546,marché,market,0.4
547,fous,crazy,0.0
548,laisse-moi,leave me,0.4
549,haut,high,0.3333333333333333
550,salle,hall,0.6666666666666666
551,malade,sick,0.0
552,changé,exchange,0.6
553,gentil,kindly,0.4
554,allé,go,0.0
555,six,six,1.0
556,simple,simple,1.0
557,john,john,1.0
558,semaines,weeks,0.25
559,celle,that,0.0
560,jack,jack,1.0
561,appris,learned,0.0
562,seigneur,lord,0.0
563,dîner,having dinner,0.3333333333333333
564,sors,go outside,0.2
565,commencé,started,0.0
566,suppose,assumed,0.25
567,chemin,path,0.0
568,partout,everywhere,0.16666666666666666
569,bras,arms,0.3333333333333333
570,cul,ass,0.0
571,prochaine,next,0.0
572,visage,face,0.0
573,h,h,1.0
574,meilleure,better,0.25
575,face,face,1.0
576,soirée,evening,0.0
577,roi,king,0.0
578,surtout,above all,0.0
579,retard,delay,0.0
580,écrit,writing,0.2
581,livre,book,0.0
582,rapport,report,0.8
583,chéri,dear,0.25
584,message,message,1.0
585,voulez-vous,do you want to,0.0
586,vaut,worth,0.25
587,ferais,would do,0.0
588,morts,dead,0.0
589,boire,to drink,0.16666666666666666
590,président,president,0.8571428571428571
591,plait,please,0.6666666666666666
592,bois,wood,0.0
593,sinon,otherwise,0.0
594,erreur,mistake,0.0
595,new,new,1.0
596,ecoute,listen,0.25
597,mr,mr,1.0
598,rentre,go home,0.0
599,rendez-vous,appointment,0.0
600,devait,had to,0.5
601,revenir,come back,0.0
602,joue,play,0.0
603,pauvre,poor,0.6666666666666666
604,devenir,become,0.0
605,rencontrer,to encounter,0.5714285714285714
606,sort,spell,0.25
607,commencer,begin,0.16666666666666666
608,pouvait,could,0.0
609,occupe,to keep busy,0.125
610,entends,hear,0.0
611,souvent,often,0.25
612,pièce,room,0.0
613,reçu,received,0.25
614,grave,severe,0.0
615,mets,put,0.3333333333333333
616,intérieur,interior,0.8
617,honneur,honor,0.75
618,dormir,sleep,0.0
619,an,year,0.0
620,faux,fake,0.5
621,messieurs,gentlemen,0.0
622,groupe,band,0.0
623,rêve,dream,0.0
624,carte,map,0.0
625,appel,call,0.3333333333333333
626,manque,lack,0.0
627,envoyé,sent,0.0
628,début,beginning,0.0
629,sam,sat,0.5
630,puisse,may,0.0
631,écoutez,listen,0.25
632,laissez-moi,let me,0.3333333333333333
633,bonsoir,good evening,0.14285714285714285
634,content,happy,0.0
635,secret,secret,1.0
636,venue,come,0.0
637,cher,dear,0.3333333333333333
638,dis-moi,tell me,0.2
639,effet,effect,0.75
640,voyons,let's see,0.16666666666666666
641,sac,bag,0.0
642,continue,keep on going,0.25
643,acheter,to buy,0.0
644,voix,voice,0.5
645,certains,some,0.0
646,occuper,to occupy,0.5
647,noël,xmas,0.0
648,gagner,to win,0.0
649,grâce,grace,0.75
650,maître,master,0.75
651,prix,price,0.6666666666666666
652,mauvaise,bad,0.0
653,général,general,0.6666666666666666
654,âge,age,0.5
655,long,long,1.0
656,rue,street,0.25
657,tirer,pull,0.0
658,apprendre,learn,0.3333333333333333
659,cheveux,hair,0.25
660,noir,black,0.0
661,promis,promised,0.8
662,patron,boss,0.0
663,avocat,lawyer,0.0
664,force,strength,0.14285714285714285
665,accident,accident,1.0
666,dix,ten,0.0
667,probablement,most likely,0.125
668,laissez,let,0.25
669,bout,end,0.0
670,ordre,order,1.0
671,armes,weapons,0.25
672,cru,believed,0.0
673,déteste,hated,0.2
674,retrouver,to regain,0.2
675,millions,million,0.8
676,incroyable,unbelievable,0.5
677,voyage,travel,0.0
678,ailleurs,somewhere else,0.25
679,oublie,forget,0.0
680,ressemble,looks like,0.16666666666666666
681,bienvenue,welcome,0.0
682,disparu,faded away,0.16666666666666666
683,protéger,protect,0.5
684,utiliser,utilize,0.5
685,situation,situation,1.0
686,petits,small,0.0
687,veux-tu,do you want,0.14285714285714285
688,connaissez,know,0.16666666666666666
689,simplement,merely,0.2857142857142857
690,scène,stage,0.25
691,sœur,sister,0.5
692,prête,ready,0.25
693,oncle,uncle,1.0
694,devriez,should,0.0
695,liste,listing,0.6
696,soeur,sister,0.5
697,complètement,completely,0.5555555555555556
698,dos,back,0.0
699,armée,army,0.6666666666666666
700,paix,peace,0.5
701,battre,to beat,0.0
702,york,york,1.0
703,crime,crime,1.0
704,anniversaire,anniversary,0.8571428571428571
705,finir,finish,0.5
706,réussi,successful,0.2857142857142857
707,agit,acts,0.3333333333333333
708,i,i,
709,retourner,flip,0.0
710,sale,dirty,0.0
711,libre,free,0.3333333333333333
712,bouge,move,0.0
713,contrôle,control,0.8333333333333334
714,rappelle,remember,0.2
715,arrêté,stopped,0.0
716,hôtel,hotel,0.75
717,idiot,idiot,1.0
718,okay,okay,1.0
719,rencontré,meet,0.14285714285714285
720,restez,stay,0.5
721,absolument,absolutely,0.5
722,mots,words,0.25
723,victime,victim,1.0
724,impression,impression,1.0
725,décidé,decided,0.6
726,sympa,nice,0.0
727,pars,leave,0.0
728,fasse,do,0.0
729,avion,plane,0.3333333333333333
730,bordel,mess,0.0
731,habitude,habit,0.75
732,table,table,1.0
733,rouge,red,0.5
734,système,system,0.8333333333333334
735,photos,pictures,0.6
736,médecin,doctor,0.2
737,bateau,boat,1.0
738,stupide,dumb,0.0
739,faim,hunger,0.0
740,autour,around,0.0
741,fond,bottom,0.0
742,surprise,surprise,1.0
743,croyez,believe,0.0
744,devais,had to,0.25
745,ligne,line,0.6666666666666666
746,porter,carry,0.25
747,imagine,conceived,0.0
748,colère,anger,0.25
749,clair,light,0.0
750,savait,knew,0.0
751,balle,ball,1.0
752,gagné,won,0.25
753,or,gold,0.0
754,hors,except,0.0
755,magnifique,gorgeous,0.2
756,risque,risk,0.6666666666666666
757,terminé,ended,0.0
758,su,known,0.0
759,heureuse,happy,0.25
760,mission,assignment,0.2857142857142857
761,jolie,pretty one,0.0
762,parlez,speak,0.0
763,présent,here,0.16666666666666666
764,sorti,got out,0.25
765,cadeau,present,0.0
766,expliquer,explain,0.6
767,volé,fly,0.3333333333333333
768,plusieurs,various,0.4
769,gauche,left,0.0
770,ferait,would do,0.0
771,neuf,new,0.5
772,passe-t-il,does it happen,0.1111111111111111
773,ouvre,open,0.0
774,disais,was saying,0.2857142857142857
775,dedans,inside,0.25
776,disent,say,0.25
777,pouvons,can,0.25
778,allez-y,go for it,0.0
779,suivre,follow,0.0
780,pourra,will be able,0.0
781,inspecteur,inspector,1.0
782,réponse,answer,0.0
783,lumière,light,0.25
784,pieds,feet,0.0
785,pote,pal,0.5
786,montre,show,0.0
787,pied,foot,0.0
788,marcher,walk,0.0
789,charlie,charlie,1.0
790,envoyer,send,0.0
791,vraie,true,0.5
792,espèce,species,0.5
793,doivent,must,0.25
794,allô,hi,0.0
795,pareil,the same,0.0
796,vas-tu,are you going,0.0
797,soleil,sun,0.3333333333333333
798,camp,camp,1.0
799,fallait,had to,0.25
800,coin,corner,0.5
801,ignore,ignore,1.0
802,moitié,half,0.0
803,you,you,1.0
804,selon,according,0.16666666666666666
805,tenir,hold,0.0
806,grosse,big,0.0
807,vouloir,want to,0.0
808,michael,michael,1.0
809,vieille,old,0.3333333333333333
810,devenu,became,0.0
811,continuer,continue,0.8
812,rend,makes,0.0
813,sortie,exit,0.3333333333333333
814,recherche,research,0.6666666666666666
815,arrière,back,0.0
816,lire,read,0.0
817,doucement,gently,0.0
818,joli,attractive,0.0
819,avance,advance,0.75
820,exact,exact,1.0
821,disait,said,0.3333333333333333
822,club,club,1.0
823,arrivée,arrival,0.75
824,tue,kill,0.0
825,laquelle,which,0.0
826,poser,to pose,0.25
827,chaud,hot,0.3333333333333333
828,aimé,like,0.0
829,david,david,1.0
830,fais-tu,are you doing,0.0
831,tom,tom,1.0
832,professeur,teacher,0.16666666666666666
833,quitter,leave,0.0
834,loi,law,0.5
835,tueur,killer,0.25
836,donne-moi,give me,0.2
837,flics,cops,0.25
838,connaître,to know,0.0
839,lettre,letter,1.0
840,forme,form,1.0
841,connaît,knows,0.2
842,conseil,advice,0.0
843,bar,bar,1.0
844,normal,normal,1.0
845,danger,danger,1.0
846,dangereux,dangerous,0.8
847,folle,crazy woman,0.0
848,jure,sworn,0.25
849,tiré,drawn,0.25
850,essaye,try,0.3333333333333333
851,bonnes,good,0.0
852,offre,offer,1.0
853,but,aim,0.0
854,froid,cold,0.3333333333333333
855,allez-vous,are you going,0.0
856,prêts,ready,0.2
857,tranquille,calm,0.16666666666666666
858,gamin,kid,0.0
859,joe,joe,1.0
860,classe,class,1.0
861,joué,play,0.0
862,poste,job,0.0
863,con,con,1.0
864,mike,mike,1.0
865,attaque,offensive,0.0
866,boîte,box,0.3333333333333333
867,enquête,investigation,0.2857142857142857
868,visite,visit,1.0
869,juge,judge,0.6666666666666666
870,moi-même,myself,0.2
871,bord,edge,0.0
872,debout,upright,0.2
873,envoie,send,0.3333333333333333
874,preuve,evidence,0.0
875,oublier,to forget,0.16666666666666666
876,bons,good,0.0
877,vivant,living,0.5
878,ciel,sky,0.0
879,lu,read,0.0
880,touche,touches,0.75
881,aimer,to like,0.0
882,faites-vous,do you do,0.0
883,télé,tv,0.25
884,met,put,0.5
885,écouter,to listen,0.16666666666666666
886,ll,he,0.0
887,pourtant,yet,0.2
888,change,exchange,0.8
889,triste,sad,0.25
890,droite,right,0.25
891,gueule,mouth,0.0
892,tombe,falls,0.0
893,sentir,feel,0.0
894,ouvrir,open,0.0
895,travers,through,0.2
896,santé,health,0.25
897,dossier,case,0.25
898,ie,ie,
899,jeunes,youth,0.0
900,frank,frank,1.0
901,coucher,to sleep,0.0
902,cuisine,kitchen,0.4
903,monte,mounted,0.75
904,pouvez-vous,can you,0.0
905,signifie,means,0.25
906,entrez,come in,0.0
907,relation,relationship,0.5714285714285714
908,centre,center,1.0
909,dame,lady,0.3333333333333333
910,chacun,each,0.5
911,chanson,song,0.2
912,foutre,fuck,0.3333333333333333
913,voler,steal,0.0
914,blanc,white,0.0
915,george,george,1.0
916,certain,certain,1.0
917,don,don,1.0
918,âme,soul,0.0
919,manière,way,0.0
920,flic,cop,0.0
921,décision,decision,0.8
922,mange,eat,0.0
923,vit,lives,0.3333333333333333
924,compagnie,company,0.6
925,déjeuner,lunch,0.0
926,différent,different,0.8571428571428571
927,tire,drawn,0.25
928,ordres,orders,1.0
929,clé,key,0.0
930,vaisseau,vessel,0.75
931,secondes,seconds,1.0
932,enfer,hell,0.0
933,sortez,get out,0.0
934,vendre,sale,0.0
935,faisais,was doing,0.16666666666666666
936,responsable,responsible,1.0
937,mecs,guys,0.3333333333333333
938,nulle,nothing,0.2
939,signe,sign,1.0
940,lieutenant,lieutenant,1.0
941,aille,go,0.0
942,acheté,bought,0.25
943,étrange,odd,0.0
944,diable,devil,0.6666666666666666
945,viennent,are coming,0.16666666666666666
946,monter,ascend,0.0
947,là-dedans,in there,0.0
948,capable,able,0.5
949,emmener,to take,0.0
950,écrire,to write,0.2
951,honte,shame,0.0
952,bouche,stuffy,0.0
953,préfère,favorite,0.16666666666666666
954,coupable,guilty,0.0
955,rire,laugh,0.0
956,payé,paid,0.3333333333333333
957,soin,care,0.0
958,milieu,environment,0.14285714285714285
959,appartement,apartment,0.8571428571428571
960,prochain,next,0.0
961,cerveau,brain,0.3333333333333333
962,paris,paris,1.0
963,blague,joke,0.0
964,choisi,selected,0.2
965,époque,era,0.0
966,voie,way,0.0
967,réunion,meeting,0.25
968,connu,known,0.5
969,allée,aisle,0.3333333333333333
970,intérêt,interest,0.6666666666666666
971,cheval,horse,0.25
972,combat,fight,0.25
973,silence,silence,1.0
974,coups,strokes,0.2
975,existe,exist,1.0
976,ia,ai,
977,retourne,return,1.0
978,tel,phone,0.0
979,trou,hole,0.0
980,public,audience,0.25
981,peter,to fart,0.2
982,oeil,eye,0.0
983,pleine,full,0.3333333333333333
984,cacher,to hide,0.25
985,amoureux,lover,0.0
986,drogue,dope,0.3333333333333333
987,commandant,commanding officer,0.5
988,garçons,boys,0.2
989,faisons,do,0.0
990,paul,paul,1.0
991,tient,is holding,0.14285714285714285
992,est-elle,is she,0.2
993,prise,socket,0.0
994,gouvernement,government,1.0
995,dirai,will say,0.0
996,client,customer,0.2
997,adresse,address,0.8
998,journal,log,0.0
999,contact,contact,1.0
1000,dingue,crazy,0.0
1001,sent,feels,0.0
1002,récupérer,retrieve,0.2857142857142857
1003,base,base,1.0
1004,preuves,evidence,0.0
1005,présente,present,0.8333333333333334
1006,peau,skin,0.0
1007,servir,to serve,0.4
1008,peuple,people,1.0
1009,exemple,example,1.0
1010,fiche,form,0.3333333333333333
1011,max,max,1.0
1012,promets,promise,0.8
1013,lequel,which,0.0
1014,blessé,hurt,0.0
1015,société,society,0.6
1016,tort,wrong,0.25
1017,sept,seven,0.3333333333333333
1018,pourriez,could,0.0
1019,savent,know,0.25
1020,ouvert,open,0.0
1021,héros,hero,0.5
1022,menti,lied,0.0
1023,mer,sea,0.0
1024,contente,satisfied,0.0
1025,quitté,quits,0.5
1026,jeter,to throw,0.3333333333333333
1027,sauvé,safe,0.3333333333333333
1028,bière,beer,0.6666666666666666
1029,assis,sat,0.3333333333333333
1030,robe,dress,0.25
1031,ecoutez,listen,0.25
1032,devient,becomes,0.0
1033,félicitations,congratulations,0.4444444444444444
1034,opération,operation,0.8
1035,prévu,intended,0.0
1036,tenez,hold,0.0
1037,livres,books,0.25
1038,répondre,answer,0.16666666666666666
1039,seuls,alone,0.3333333333333333
1040,pute,whore,0.0
1041,entrée,hall,0.0
1042,vol,flight,0.2
1043,horrible,horrible,1.0
1044,vin,wine,0.5
1045,dommage,shame,0.25
1046,dites-moi,tell me,0.2
1047,colonel,colonel,1.0
1048,ramener,to bring back,0.1
1049,règles,rules,0.6
1050,nez,nose,0.5
1051,justice,justice,1.0
1052,fbi,fbi,1.0
