,french,german,Distances
183,hé,hey,0.5
184,pendant,während,0.16666666666666666
185,idée,idee,0.5
186,chance,chance,1.0
187,parle,sprechen,0.3333333333333333
188,part,gehen,0.0
189,elles,sie,0.3333333333333333
190,jours,tage,0.0
191,grand,groß,0.5
192,aujourd'hui,heute,0.0
193,venir,kommen sie,0.16666666666666666
194,ami,freund,0.0
195,demain,morgen,0.25
196,hein,äh,0.0
197,tard,spät,0.0
198,puis,dann,0.0
199,truc,ding,0.0
200,passer,passieren,0.8
201,petite,klein,0.0
202,tant,so sehr,0.0
203,connais,kennt,0.5
204,combien,wie viele,0.0
205,mec,alter,0.0
206,sens,bedeutung,0.2
207,pouvez,kann,0.0
208,porte,tor,0.3333333333333333
209,sortir,hinausgehen,0.16666666666666666
210,super,groß,0.0
211,heure,stunde,0.0
212,contre,gegen,0.0
213,coup,schneiden,0.16666666666666666
214,comprends,verstehe,0.14285714285714285
215,entendu,verstanden,0.42857142857142855
216,vient,kommen sie,0.16666666666666666
217,allons,lass uns gehen,0.3
218,ensemble,zusammen,0.4
219,nouveau,neu,0.5
220,amour,liebe,0.0
221,importe,importiert,0.6666666666666666
222,sang,blut,0.0
223,désolée,verzeihung,0.0
224,cas,fall,0.0
225,sous,unter,0.0
226,rester,bleibe,0.0
227,amis,freunde,0.0
228,prends,nehmen,0.0
229,fini,fertig,0.25
230,hommes,männer,0.0
231,tué,töten,0.25
232,question,frage,0.0
233,partie,teil,0.0
234,histoire,geschichte,0.14285714285714285
235,devrais,sollte,0.0
236,aide,hilfe,0.0
237,dernière,letzte,0.0
238,demande,anfrage,0.0
239,chercher,suchen,0.3333333333333333
240,pensais,gedanke,0.0
241,genre,geschlecht,0.125
242,seulement,nur,0.2
243,police,polizei,0.6666666666666666
244,car,weil,0.0
245,mois,monat,0.3333333333333333
246,frère,bruder,0.5
247,laisser,lassen,0.75
248,aucun,keiner,0.3333333333333333
249,mettre,stellen,0.2
250,laisse,allein lassen,0.375
251,chaque,jeder,0.0
252,ville,"stadt, dorf",0.0
253,arrivé,kommen sie,0.0
254,devrait,sollte,0.25
255,parlé,sprechen,0.3333333333333333
256,avez-vous,hast du,0.0
257,vont,gehen,0.0
258,longtemps,lange zeit,0.42857142857142855
259,aucune,keiner,0.3333333333333333
260,heures,std.,0.0
261,bébé,baby,0.5
262,place,quadrat,0.0
263,revoir,wiedersehen,0.16666666666666666
264,putain,hure,0.0
265,compris,verstanden,0.0
266,ni,weder,0.0
267,savais,wusste,0.25
268,leurs,ihr,0.3333333333333333
269,attention,warnung,0.2
270,donner,geben,0.25
271,affaire,affäre,0.75
272,endroit,platz,0.0
273,pourrais,könnte,0.0
274,corps,karosserie,0.4
275,façon,weg,0.0
276,donné,gegeben,0.0
277,est-il,ist es,0.5
278,voici,hier ist,0.0
279,train,zug,0.0
280,dont,deren,0.3333333333333333
281,écoute,hören,0.0
282,yeux,augen,0.0
283,trouve,finden,0.0
284,pouvoir,energie,0.0
285,type,nett,0.0
286,perdu,verirrt,0.2
287,premier,erste,0.25
288,première,erste,0.2
289,côté,seite,0.25
290,point,punkt,0.75
291,tellement,so sehr,0.0
292,main,hand,0.3333333333333333
293,tiens,hier,0.0
294,enfant,kind,0.25
295,vieux,alt,0.0
296,matin,morgen,0.5
297,venu,kam,0.0
298,pardon,verzeihung,0.3333333333333333
299,là-bas,das tief,0.0
300,suite,nach,0.0
301,vers,gegenüber,0.0
302,minutes,protokoll,0.16666666666666666
303,demandé,fordern,0.0
304,venez,kommen sie,0.16666666666666666
305,devant,vor,0.25
306,dr,dr,1.0
307,enfin,endlich,0.2
308,arrêter,halt,0.2
309,cause,weil,0.0
310,nouvelle,nachrichten,0.125
311,attendez,warten,0.2
312,chambre,schlafzimmer,0.4444444444444444
313,droit,rechts,0.2
314,parti,links,0.0
315,mis,stellen,0.0
316,eau,wasser,0.0
317,compte,konto,0.25
318,dirait,würde sagen,0.125
319,terre,erde,0.3333333333333333
320,belle,schön,0.0
321,espère,hoffnung,0.0
322,aimerais,würde gerne,0.125
323,loin,weit,0.0
324,as-tu,haben sie,0.0
325,mari,ehemann,0.25
326,donne,gegeben,0.25
327,fin,ende,0.0
328,croire,glauben,0.0
329,mme,frau,0.0
330,gros,groß,0.6666666666666666
331,boulot,soloauftritt,0.2857142857142857
332,plutôt,stattdessen,0.125
333,chérie,liebling,0.0
334,prêt,bereit,0.5
335,filles,mädchen,0.0
336,bureau,schreibtisch,0.1111111111111111
337,mourir,sterben,0.2
338,hier,gestern,0.2
339,possible,möglich,0.0
340,jouer,spielen,0.0
341,demander,fragen,0.0
342,celui,der eine,0.0
343,voulait,wollte,0.5
344,beau,schön,0.0
345,jeune,jung,0.6666666666666666
346,euh,äh,0.5
347,dehors,aus,0.25
348,docteur,arzt,0.25
349,a-t-il,hat er,0.25
350,confiance,vertrauen,0.0
351,appeler,anrufen,0.0
352,années,jahre,0.0
353,vérité,wahrheit,0.2
354,école,schule,0.5
355,chef,chef,1.0
356,femmes,frauen,0.25
357,propos,um,0.0
358,semaine,woche,0.0
359,vivre,live,0.3333333333333333
360,regardez,sehen,0.0
361,feu,feuer,0.5
362,journée,tageszeit,0.0
363,madame,gnädige frau,0.125
364,hey,hey,1.0
365,téléphone,telefon,0.42857142857142855
366,près,nah dran,0.0
367,affaires,geschäft,0.0
368,meilleur,besser,0.25
369,devez,muss,0.0
370,dessus,oben,0.0
371,mains,hände,0.25
372,penses,denken,0.25
373,prie,beten,0.0
374,équipe,besatzung,0.0
375,vas-y,fortfahren,0.0
376,grande,groß,0.5
377,manger,essen,0.0
378,arriver,ankommen,0.0
379,dur,schwer,0.2
380,guerre,krieg,0.3333333333333333
381,appelé,genannt,0.0
382,marche,gehen,0.0
383,sécurité,sicherheit,0.3333333333333333
384,garçon,junge,0.0
385,essaie,versuchen,0.16666666666666666
386,important,wichtig,0.16666666666666666
387,dites,sagen,0.0
388,exactement,exakt,0.3333333333333333
389,font,machen,0.0
390,fort,stark,0.25
391,presque,fast,0.25
392,plein,voll,0.3333333333333333
393,derrière,hinter,0.2
394,ben,gut,0.0
395,mariage,hochzeit,0.0
396,parents,eltern,0.2
397,capitaine,kapitän,0.6
398,dernier,letzte,0.0
399,fou,wütend,0.0
400,ceux,diese,0.0
401,tomber,fallen,0.0
402,attendre,erwarten von,0.25
403,vue,gesehen,0.0
404,pensé,denken,0.25
405,souviens,denken sie daran,0.2
406,envie,drang,0.25
407,fête,party,0.25
408,jeu,spiel,0.0
409,génial,großartig,0.16666666666666666
410,pays,land,0.0
411,garde,behalten,0.0
412,cours,klassen,0.2
413,bientôt,demnächst,0.25
414,ii,ii,
415,numéro,nummer,0.75
416,personnes,personen,0.8333333333333334
417,cinq,fünf,0.25
418,parfait,perfekt,0.8
419,excusez-moi,verzeihung,0.0
420,laissé,allein lassen,0.375
421,ainsi,daher,0.0
422,retour,rückkehr,0.2857142857142857
423,semble,scheint,0.2
424,autant,so viel,0.0
425,peine,traurigkeit,0.0
426,minute,minute,1.0
427,essayé,versucht,0.16666666666666666
428,plan,planen,0.75
429,instant,moment,0.4
430,prison,gefängnis,0.14285714285714285
431,penser,denken,0.25
432,essayer,versuchen,0.16666666666666666
433,prend,nehmen,0.0
434,arme,bewaffnet,0.0
435,mauvais,falsch,0.2
436,mot,wort,0.3333333333333333
437,travailler,arbeit,0.16666666666666666
438,quatre,vier,0.3333333333333333
439,rentrer,zurückgeben,0.125
440,regarder,zu betrachten,0.1111111111111111
441,choix,auswahl,0.25
442,êtes-vous,bist du,0.16666666666666666
443,parfois,manchmal,0.0
444,film,film,1.0
445,abord,am bord,0.6
446,voyez,sehen,0.0
447,faute,fehler,0.25
448,facile,einfach,0.5
449,croyais,geglaubt,0.0
450,bas,nieder,0.0
451,changer,wechseln,0.3333333333333333
452,entendre,hören,0.0
453,plaisir,vergnügen,0.0
454,heureux,glücklich,0.0
455,entrer,reingehen,0.2
456,voudrais,möchte,0.0
457,es-tu,bist du,0.2
458,propre,besitzen,0.0
459,tour,runden,0.0
460,fera,wird besorgt,0.1111111111111111
461,ensuite,danach,0.25
462,garder,behalten,0.0
463,agent,agent,1.0
464,allait,wollte,0.75
465,lit,bett,0.3333333333333333
466,travaille,arbeit,0.2
467,adore,verehren,0.2
468,amie,freund,0.0
469,rendre,zurückgeben,0.125
470,allons-y,lass uns gehen,0.3
471,route,straße,0.25
472,lieu,veranstaltungsort,0.08333333333333333
473,année,jahr,0.0
474,voit,sieht,0.3333333333333333
475,commence,start,0.0
476,service,service,1.0
477,devoir,müssen,0.0
478,attend,wartet,0.0
479,drôle,komisch,0.0
480,difficile,schwer,0.0
481,sûre,sicher,0.5
482,pire,schlechter,0.125
483,pos,pos,1.0
484,peuvent,kann,0.25
485,sujet,thema,0.0
486,état,zustand,0.2
487,ceci,dies,0.0
488,impossible,unmöglich,0.14285714285714285
489,sorte,nett,0.3333333333333333
490,perdre,verlieren,0.4
491,dollars,dollar,0.8
492,voulu,gewünscht,0.0
493,morte,tot,0.3333333333333333
494,ira,werde gehen,0.14285714285714285
495,faisait,hat gemacht,0.125
496,bizarre,seltsam,0.0
497,oublié,vergessen,0.0
498,arrêtez,pause,0.0
499,ferai,wird besorgt,0.1111111111111111
500,tôt,frühzeitig,0.14285714285714285
501,inquiète,sorge,0.0
502,payer,zahlen,0.0
503,coeur,herz,0.3333333333333333
504,dès,des,0.6666666666666666
505,pouvais,könnte,0.0
506,reviens,komm zurück,0.1111111111111111
507,chien,hund,0.3333333333333333
508,suffit,genügend,0.0
509,prenez,nehmen,0.0
510,pensez,denken,0.25
511,café,kaffee,0.3333333333333333
512,calme,ruhe,0.0
513,cherche,suchen,0.2
514,montrer,zeigen,0.0
515,parles,sprechen,0.3333333333333333
516,photo,foto,0.3333333333333333
517,ferme,abgeschlossen,0.0
518,problèmes,probleme,0.7142857142857143
519,the,tee,0.5
520,cœur,herz,0.0
521,sûrement,sicherlich,0.2857142857142857
522,verre,glas,0.0
523,aimes,liebe,0.0
524,devons,"müssen, zu ... haben",0.0625
525,veulent,wollen,0.25
526,doute,zweifel,0.0
527,musique,musik,0.6666666666666666
528,courant,laufend,0.25
529,sauf,außer,0.0
530,moyen,mittel,0.25
531,nouvelles,neu,0.2
532,puis-je,kann ich,0.0
533,avis,notiz,0.0
534,sauver,sparen,0.5
535,hôpital,krankenhaus,0.0
536,questions,fragen,0.2
537,meurtre,mord,0.5
538,sérieux,ernst,0.0
539,seconde,zweite,0.0
540,trucs,sachen,0.0
541,comprendre,verstehen,0.0
542,allais,ging,0.0
543,esprit,geist,0.25
544,cool,kalt,0.3333333333333333
545,mlle,ms,0.3333333333333333
546,marché,markt,0.4
547,fous,verrückt,0.0
548,laisse-moi,verlasse mich,0.4444444444444444
549,haut,hoch,0.3333333333333333
550,salle,saal,0.6666666666666666
551,malade,krank,0.0
552,changé,austausch,0.0
553,gentil,freundlich,0.2857142857142857
554,allé,gehen,0.0
555,six,sechs,0.25
556,simple,einfach,0.0
557,john,john,1.0
558,semaines,wochen,0.0
559,celle,das,0.0
560,jack,jack,1.0
561,appris,gelernt,0.2
562,seigneur,herr,0.25
563,dîner,zu abend essen,0.1111111111111111
564,sors,geh nach draussen,0.16666666666666666
565,commencé,gestartet,0.0
566,suppose,vermutet,0.0
567,chemin,weg,0.0
568,partout,"überall, überallhin, allerorts",0.09090909090909091
569,bras,waffen,0.0
570,cul,arsch,0.25
571,prochaine,nächste,0.3333333333333333
572,visage,gesicht,0.2
573,h,h,1.0
574,meilleure,besser,0.25
575,face,gesicht,0.2
576,soirée,abend,0.0
577,roi,könig,0.0
578,surtout,über alles,0.14285714285714285
579,retard,verzögerung,0.25
580,écrit,schreiben,0.3333333333333333
581,livre,buchen,0.0
582,rapport,bericht,0.2
583,chéri,liebling,0.0
584,message,botschaft,0.14285714285714285
585,voulez-vous,möchten sie,0.125
586,vaut,wert,0.3333333333333333
587,ferais,würdest du,0.25
588,morts,tot,0.25
589,boire,trinken,0.2
590,président,präsident,0.8571428571428571
591,plait,bitte,0.3333333333333333
592,bois,holz,0.0
593,sinon,andernfalls,0.125
594,erreur,fehler,0.25
595,new,neu,0.5
596,ecoute,hören,0.0
597,mr,herr,0.3333333333333333
598,rentre,nach hause gehen,0.0
599,rendez-vous,geplanter termin,0.09090909090909091
600,devait,musste,0.25
601,revenir,komm zurück,0.1111111111111111
602,joue,abspielen,0.0
603,pauvre,arm,0.0
604,devenir,werden,0.0
605,rencontrer,begegnen,0.14285714285714285
606,sort,fluch,0.0
607,commencer,start,0.0
608,pouvait,könnte,0.2
609,occupe,beschäftigt zu halten,0.0625
610,entends,hören,0.0
611,souvent,häufig,0.0
612,pièce,zimmer,0.0
613,reçu,erhalten,0.2
614,grave,schwer,0.0
615,mets,stellen,0.2
616,intérieur,innere,0.4
617,honneur,ehren,0.5
618,dormir,schlafen,0.0
619,an,jahr,0.0
620,faux,gefälscht,0.125
621,messieurs,herren,0.2
622,groupe,band,0.0
623,rêve,traum,0.0
624,carte,karte,0.6666666666666666
625,appel,anruf,0.0
626,manque,mangel,0.5
627,envoyé,gesendet,0.0
628,début,anfang,0.0
629,sam,saß,0.5
630,puisse,kann,0.0
631,écoutez,hör mal zu,0.125
632,laissez-moi,lassen sie mich,0.4
633,bonsoir,guten abend,0.14285714285714285
634,content,glücklich,0.125
635,secret,geheimnis,0.0
636,venue,kommen sie,0.16666666666666666
637,cher,liebling,0.0
638,dis-moi,sag mir,0.2
639,effet,wirkung,0.0
640,voyons,mal schauen,0.14285714285714285
641,sac,tasche,0.5
642,continue,mach weiter,0.2857142857142857
643,acheter,kaufen,0.0
644,voix,stimme,0.0
645,certains,etwas,0.4
646,occuper,besetzen,0.0
647,noël,weihnachten,0.14285714285714285
648,gagner,gewinnen,0.4
649,grâce,anmut,0.0
650,maître,meister,0.75
651,prix,preis,0.6666666666666666
652,mauvaise,schlecht,0.0
653,général,allgemeines,0.0
654,âge,das alter,0.0
655,long,lang,1.0
656,rue,straße,0.25
657,tirer,ziehen,0.0
658,apprendre,lernen,0.3333333333333333
659,cheveux,haar,0.25
660,noir,schwarz,0.16666666666666666
661,promis,versprochen,0.25
662,patron,chef,0.0
663,avocat,anwalt,0.25
664,force,stärke,0.2
665,accident,unfall,0.0
666,dix,zehn,0.0
667,probablement,höchstwahrscheinlich,0.0625
668,laissez,lassen,0.75
669,bout,ende,0.0
670,ordre,bestellen,0.0
671,armes,waffen,0.0
672,cru,geglaubt,0.0
673,déteste,gehasst,0.4
674,retrouver,zurückzugewinnen,0.09090909090909091
675,millions,million,0.8
676,incroyable,nicht zu fassen,0.18181818181818182
677,voyage,reisen,0.0
678,ailleurs,irgendwo anders,0.2
679,oublie,vergessen,0.0
680,ressemble,sieht aus wie,0.0
681,bienvenue,willkommen,0.14285714285714285
682,disparu,verblasst,0.14285714285714285
683,protéger,beschützen,0.0
684,utiliser,nutzen,0.0
685,situation,lage,0.0
686,petits,klein,0.0
687,veux-tu,willst du,0.14285714285714285
688,connaissez,kennt,0.3333333333333333
689,simplement,nur,0.14285714285714285
690,scène,bühne,0.25
691,sœur,schwester,0.2857142857142857
692,prête,bereit,0.5
693,oncle,onkel,0.6666666666666666
694,devriez,sollte,0.0
695,liste,auflistung,0.5
696,soeur,schwester,0.2857142857142857
697,complètement,vollständig,0.2222222222222222
698,dos,der rücken,0.125
699,armée,heer,0.0
700,paix,frieden,0.0
701,battre,schlagen,0.0
702,york,york,1.0
703,crime,verbrechen,0.14285714285714285
704,anniversaire,jubiläum,0.0
705,finir,fertig,0.25
706,réussi,erfolgreich,0.14285714285714285
707,agit,handelt,0.2
708,i,ich,0.0
709,retourner,kippen,0.2
710,sale,schmutzig,0.14285714285714285
711,libre,frei,0.3333333333333333
712,bouge,bewegung,0.4
713,contrôle,kontrolle,0.6666666666666666
714,rappelle,denken sie daran,0.0
715,arrêté,gestoppt,0.0
716,hôtel,hotel,0.75
717,idiot,dummkopf,0.16666666666666666
718,okay,okay,1.0
719,rencontré,treffen,0.14285714285714285
720,restez,bleibe,0.0
721,absolument,unbedingt,0.16666666666666666
722,mots,wörter,0.2
723,victime,opfer,0.0
724,impression,eindruck,0.16666666666666666
725,décidé,beschlossen,0.125
726,sympa,hübsch,0.0
727,pars,verlassen,0.3333333333333333
728,fasse,tun,0.0
729,avion,flugzeug,0.0
730,bordel,chaos,0.0
731,habitude,gewohnheit,0.16666666666666666
732,table,tisch,0.25
733,rouge,rot,0.5
734,système,system,0.8333333333333334
735,photos,bilder,0.0
736,médecin,arzt,0.0
737,bateau,boot,1.0
738,stupide,dumm,0.0
739,faim,hunger,0.0
740,autour,um,0.0
741,fond,unterseite,0.0
742,surprise,überraschung,0.2222222222222222
743,croyez,glauben,0.0
744,devais,musste,0.25
745,ligne,linie,0.6666666666666666
746,porter,tragen,0.25
747,imagine,konzipiert,0.0
748,colère,wut,0.0
749,clair,hell,0.3333333333333333
750,savait,wusste,0.5
751,balle,ball,1.0
752,gagné,gewonnen,0.4
753,or,gold,0.0
754,hors,außer,0.3333333333333333
755,magnifique,herrlich,0.0
756,risque,risiko,0.6666666666666666
757,terminé,beendet,0.0
758,su,bekannt,0.0
759,heureuse,glücklich,0.0
760,mission,abtretung,0.16666666666666666
761,jolie,schöne,0.0
762,parlez,sprechen,0.3333333333333333
763,présent,hier,0.16666666666666666
764,sorti,rausgekommen,0.14285714285714285
765,cadeau,gegenwärtig,0.0
766,expliquer,erklären,0.3333333333333333
767,volé,fliegen,0.25
768,plusieurs,verschiedene,0.14285714285714285
769,gauche,links,0.0
770,ferait,würdest du,0.25
771,neuf,neu,0.5
772,passe-t-il,passiert es,0.5714285714285714
773,ouvre,offen,0.0
774,disais,sagte,0.0
775,dedans,innerhalb,0.0
776,disent,sagen,0.25
777,pouvons,kann,0.25
778,allez-y,tue es,0.0
779,suivre,folgen,0.0
780,pourra,wird in der lage sein,0.14285714285714285
781,inspecteur,inspektor,0.8333333333333334
782,réponse,antworten,0.0
783,lumière,hell,0.0
784,pieds,fuß,0.0
785,pote,kumpel,0.25
786,montre,show,0.0
787,pied,fuß,0.0
788,marcher,spaziergang,0.14285714285714285
789,charlie,charlie,1.0
790,envoyer,senden,0.0
791,vraie,stimmt,0.0
792,espèce,spezies,0.5
793,doivent,muss,0.0
794,allô,hallo,0.3333333333333333
795,pareil,das gleiche,0.14285714285714285
796,vas-tu,gehst du,0.16666666666666666
797,soleil,sonne,0.3333333333333333
798,camp,lager,0.0
799,fallait,musste,0.25
800,coin,ecke,0.5
801,ignore,ignorieren,0.6
802,moitié,halb,0.0
803,you,sie,0.0
804,selon,gemäß,0.0
805,tenir,halt,0.0
806,grosse,groß,0.5
807,vouloir,möchte,0.0
808,michael,michael,1.0
809,vieille,alt,0.3333333333333333
810,devenu,wurde,0.0
811,continuer,fortsetzen,0.14285714285714285
812,rend,macht,0.0
813,sortie,ausfahrt,0.6
814,recherche,forschung,0.2857142857142857
815,arrière,der rücken,0.25
816,lire,lesen,0.3333333333333333
817,doucement,sanft,0.2
818,joli,attraktiv,0.0
819,avance,vorauszahlung,0.25
820,exact,genau,0.0
821,disait,sagte,0.3333333333333333
822,club,verein,0.0
823,arrivée,ankunft,0.0
824,tue,töten,0.25
825,laquelle,die,0.0
826,poser,posieren,0.75
827,chaud,heiß,0.3333333333333333
828,aimé,wie,0.0
829,david,david,1.0
830,fais-tu,machst du,0.14285714285714285
831,tom,tom,1.0
832,professeur,lehrer,0.16666666666666666
833,quitter,verlassen,0.0
834,loi,gesetz,0.0
835,tueur,mörder,0.2
836,donne-moi,gib mir,0.0
837,flics,polizisten,0.3333333333333333
838,connaître,wissen,0.0
839,lettre,buchstabe,0.16666666666666666
840,forme,bilden,0.0
841,connaît,weiß,0.0
842,conseil,rat,0.0
843,bar,bar,1.0
844,normal,normal,1.0
845,danger,achtung,0.2
846,dangereux,gefährlich,0.125
847,folle,verrückte frau,0.0
848,jure,geschworen,0.14285714285714285
849,tiré,gezeichnet,0.0
850,essaye,versuchen,0.16666666666666666
851,bonnes,gut,0.0
852,offre,angebot,0.0
853,but,ziel,0.0
854,froid,kalt,0.0
855,allez-vous,gehst du,0.0
856,prêts,bereit,0.4
857,tranquille,ruhe,0.16666666666666666
858,gamin,kind,0.0
859,joe,joe,1.0
860,classe,klasse,0.75
861,joué,abspielen,0.0
862,poste,arbeit,0.3333333333333333
863,con,con,1.0
864,mike,mike,1.0
865,attaque,beleidigend,0.0
866,boîte,kasten,0.25
867,enquête,ermittlung,0.14285714285714285
868,visite,besuch,0.25
869,juge,richter,0.0
870,moi-même,mich selbst,0.1111111111111111
871,bord,kante,0.0
872,debout,aufrecht,0.2
873,envoie,senden,0.25
874,preuve,beweis,0.0
875,oublier,vergessen,0.0
876,bons,gut,0.0
877,vivant,leben,0.25
878,ciel,himmel,0.25
879,lu,lesen,0.3333333333333333
880,touche,berührt,0.16666666666666666
881,aimer,mögen,0.25
882,faites-vous,machst du,0.14285714285714285
883,télé,fernseher,0.0
884,met,stellen,0.2
885,écouter,zuhören,0.2
886,ll,er,0.0
887,pourtant,noch,0.0
888,change,austausch,0.0
889,triste,traurig,0.5
890,droite,rechts,0.2
891,gueule,mund,0.0
892,tombe,stürze,0.2
893,sentir,gefühl,0.0
894,ouvrir,offen,0.0
895,travers,durch,0.2
896,santé,die gesundheit,0.25
897,dossier,fall,0.0
898,ie,dh,0.0
899,jeunes,jugend,0.5
900,frank,frank,1.0
901,coucher,schlafen,0.3333333333333333
902,cuisine,küche,0.0
903,monte,montiert,0.6
904,pouvez-vous,können sie,0.14285714285714285
905,signifie,meint,0.25
906,entrez,komm herein,0.14285714285714285
907,relation,beziehung,0.2
908,centre,center,1.0
909,dame,dame,1.0
910,chacun,jeder,0.0
911,chanson,lied,0.0
912,foutre,scheiße,0.0
913,voler,stehlen,0.2
914,blanc,weiß,0.0
915,george,george,1.0
916,certain,sicher,0.0
917,don,anziehen,0.25
918,âme,seele,0.0
919,manière,weg,0.0
920,flic,polizist,0.2
921,décision,entscheidung,0.25
922,mange,essen,0.0
923,vit,lebt,0.3333333333333333
924,compagnie,gesellschaft,0.0
925,déjeuner,mittagessen,0.0
926,différent,anders,0.14285714285714285
927,tire,gezeichnet,0.0
928,ordres,aufträge,0.2
929,clé,schlüssel,0.25
930,vaisseau,schiff,0.0
931,secondes,sekunden,0.6
932,enfer,hölle,0.0
933,sortez,geh raus,0.0
934,vendre,verkauf,0.25
935,faisais,hat gemacht,0.0
936,responsable,verantwortlich,0.2
937,mecs,leute,0.0
938,nulle,nichts,0.2
939,signe,schild,0.2
940,lieutenant,leutnant,1.0
941,aille,gehen,0.0
942,acheté,gekauft,0.0
943,étrange,seltsam,0.0
944,diable,teufel,0.3333333333333333
945,viennent,kommen,0.2
