,spanish,english,Distances
267,tomar,drink,0.0
268,único,unique,0.3333333333333333
269,misma,same,0.6666666666666666
270,escucha,listen,0.0
271,ningún,none,0.4
272,suficiente,enough,0.0
273,punto,point,1.0
274,cuándo,when,0.25
275,sigue,follow,0.0
276,equipo,equipment,0.4
277,grande,great,0.5
278,necesita,needs to,0.6
279,llegar,get,0.25
280,incluso,even,0.0
281,doctor,doctor,1.0
282,difícil,hard,0.0
283,aunque,though,0.0
284,primer,first,0.25
285,coche,car,0.3333333333333333
286,hago,i make,0.0
287,clase,class,0.75
288,cuatro,four,0.3333333333333333
289,mas,plus,0.3333333333333333
290,dices,you say,0.25
291,pequeño,little,0.0
292,llama,call,0.3333333333333333
293,toma,taking,0.25
294,hiciste,did,0.0
295,allá,there,0.0
296,última,last,0.25
297,arriba,up,0.0
298,tierra,earth,0.0
299,guerra,war,0.3333333333333333
300,pensar,to think,0.0
301,pueda,can,0.0
302,igual,same,0.0
303,loco,crazy,0.0
304,sangre,blood,0.0
305,mujeres,women,0.0
306,vuelta,lap,0.3333333333333333
307,trabajar,to work,0.2
308,juego,play,0.0
309,deberías,you should,0.0
310,cuerpo,body,0.0
311,entrar,get in,0.25
312,cree,believe,0.0
313,podía,could,0.0
314,debemos,must,0.25
315,oportunidad,chance,0.16666666666666666
316,teléfono,telephone,0.6
317,necesitamos,need,0.16666666666666666
318,final,final,1.0
319,listo,clever,0.25
320,fiesta,party,0.25
321,quieren,want,0.0
322,vete,go away,0.0
323,auto,auto,1.0
324,dar,to give,0.0
325,vivir,to live,0.0
326,posible,possible,0.8
327,ok,okay,0.5
328,hermana,sister,0.0
329,número,number,0.5
330,meses,months,0.4
331,exactamente,exactly,0.5
332,culpa,fault,0.3333333333333333
333,abajo,down,0.0
334,escuela,school,0.75
335,ido,gone,0.0
336,fuerte,strong,0.2
337,diciendo,saying,0.25
338,habla,speech,0.0
339,ello,it,0.0
340,pregunta,question,0.2
341,chicas,girls,0.25
342,unas,nail,0.5
343,pasando,going,0.25
344,atrás,behind,0.0
345,malo,bad,0.0
346,capitán,captain,0.8
347,sra.,mrs,0.3333333333333333
348,bebé,baby,0.6666666666666666
349,segundo,second,0.75
350,sabemos,we know,0.0
351,mayor,elderly,0.2
352,comida,food,0.3333333333333333
353,morir,to die,0.0
354,conozco,know,0.25
355,dame,give to me,0.16666666666666666
356,fácil,easy,0.0
357,comer,to eat,0.0
358,vino,came,0.0
359,lista,ready,0.0
360,haga,make,0.0
361,necesitas,you need,0.0
362,hijos,sons,0.3333333333333333
363,probablemente,probably,0.625
364,padres,fathers,0.4
365,habitación,room,0.0
366,creer,believe,0.0
367,pensando,thinking,0.3333333333333333
368,dime,tell me,0.2
369,trata,about,0.3333333333333333
370,buscando,searching,0.3333333333333333
371,tampoco,either,0.25
372,amo,love,0.0
373,joven,young man,0.16666666666666666
374,podrías,could you,0.0
375,sola,alone,0.0
376,par,pair,1.0
377,única,only,0.0
378,hacen,make,0.0
379,seguir,continue,0.0
380,dr.,dr,0.6666666666666666
381,simplemente,simply,0.5714285714285714
382,dicen,they say,0.0
383,medio,medium,0.6666666666666666
384,puta,bitch,0.25
385,saben,know,0.0
386,hagas,you do,0.0
387,segura,safe,0.3333333333333333
388,esperar,expect,0.25
389,lejos,far,0.0
390,arma,weapon,0.0
391,alto,tall,0.3333333333333333
392,pequeña,small,0.0
393,dólares,dollars,0.8
394,seis,six,0.5
395,seguridad,security,0.4
396,maldita,damn,0.0
397,preocupes,worry,0.2
398,palabra,word,0.0
399,esperando,hoping for,0.14285714285714285
400,queda,remains,0.0
401,oficina,office,0.3333333333333333
402,matar,to kill,0.0
403,iré,i will go,0.0
404,cama,bed,0.0
405,además,what's more,0.125
406,último,latest,0.25
407,oído,ear,0.0
408,dio,it gave,0.0
409,recuerdo,memory,0.25
410,siendo,being,0.3333333333333333
411,acerca,about,0.0
412,luz,light,0.25
413,correcto,right,0.4
414,ud.,you.,0.5
415,demonios,demons,1.0
416,verte,to see you,0.0
417,dormir,sleep,0.0
418,sitio,place,0.0
419,ayudar,help,0.0
420,conseguir,get,0.2
421,di,gave,0.0
422,marido,husband,0.2
423,paz,peace,0.5
424,idiota,moron,0.0
425,plan,plan,1.0
426,dado,given,0.0
427,cuanto,how much,0.0
428,peor,worse,0.3333333333333333
429,murió,he died,0.0
430,pueblo,village,0.25
431,vivo,live,0.5
432,venido,i come,0.0
433,john,john,1.0
434,basta,enough,0.0
435,paso,step,0.0
436,deberíamos,we should,0.0
437,música,music,0.75
438,diga,say,0.0
439,minuto,minute,1.0
440,anoche,last night,0.25
441,llamar,to call,0.0
442,piensa,think,0.25
443,país,country,0.0
444,digas,you say,0.25
445,rey,king,0.0
446,perdón,sorry,0.2
447,mucha,a lot,0.0
448,falta,lack,0.0
449,pienso,i think,0.2
450,diablos,devils,0.75
451,perdido,lost,0.0
452,niña,little girl,0.0
453,señorita,miss,0.0
454,diez,ten,0.0
455,lleva,carries,0.0
456,hospital,hospital,1.0
457,grandes,large,0.2
458,maldito,damned,0.25
459,llamado,called,0.5
460,hacemos,we make,0.25
461,llevar,wear,0.25
462,fuego,fire,0.5
463,aqui,here,0.0
464,poner,put,0.3333333333333333
465,calle,street,0.0
466,acaba,just,0.0
467,prueba,test,0.0
468,increíble,incredible,0.8333333333333334
469,real,real,1.0
470,libro,book,0.3333333333333333
471,orden,order,0.6666666666666666
472,semanas,weeks,0.25
473,especial,special,1.0
474,café,coffee,0.6666666666666666
475,duro,lasted,0.0
476,empezar,start,0.0
477,afuera,outside,0.0
478,queremos,we want,0.0
479,perro,dog,0.0
480,cielo,darling,0.2
481,jack,jack,1.0
482,puesto,market stall,0.2222222222222222
483,viaje,trip,0.0
484,detrás,behind,0.0
485,cuarto,fourth,0.5
486,querida,dear,0.3333333333333333
487,haría,would do,0.0
488,preguntas,questions,0.3333333333333333
489,piensas,you think,0.0
490,querido,dear,0.3333333333333333
491,libre,free,0.3333333333333333
492,buscar,search,0.25
493,diré,i'll say,0.0
494,suena,sounds,0.5
495,jugar,play,0.0
496,cambio,change,0.25
497,película,movie,0.0
498,millones,millions,1.0
499,llamada,call,0.25
500,resto,rest,1.0
501,vemos,we see,0.3333333333333333
502,extraño,weird,0.25
503,mala,bad,0.0
504,presidente,president,1.0
505,srta.,ms.,0.25
506,irme,go away,0.0
507,ropa,clothing,0.0
508,perder,lose,0.0
509,vuelve,come back,0.0
510,agente,agent,1.0
511,palabras,words,0.2
512,información,information,0.7142857142857143
513,raro,rare,1.0
514,hará,will do,0.0
515,entiendes,you understand,0.3333333333333333
516,éste,east,0.6666666666666666
517,trabajando,working,0.3333333333333333
518,tratando,trying,0.6
519,general,general,1.0
520,trato,deal,0.0
521,usar,use,0.5
522,perfecto,perfect,1.0
523,derecho,law,0.0
524,modo,mode,1.0
525,ayer,yesterday,0.3333333333333333
526,conoces,you know,0.0
527,demás,the rest,0.16666666666666666
528,quieras,want,0.0
529,podríamos,we could,0.0
530,noticias,news,0.5
531,asesino,assassin,0.6
532,encontrado,found,0.3333333333333333
533,control,control,1.0
534,odio,hatred,0.25
535,frente,front,1.0
536,sexo,sex,1.0
537,decirle,tell,0.25
538,divertido,funny,0.0
539,armas,weapons,0.25
540,recuerdas,remember,0.2
541,amiga,friend,0.0
542,grupo,cluster,0.0
543,asunto,affair,0.0
544,acabo,finished,0.0
545,mensaje,message,0.5
546,encima,over,0.0
547,atención,attention,0.4
548,diferente,different,0.8333333333333334
549,uh,uh,1.0
550,cállate,shut,0.2
551,daño,damage,0.3333333333333333
552,sucede,happens,0.0
553,cambiar,change,0.25
554,siguiente,next,0.25
555,sino,otherwise,0.0
556,the,the,1.0
557,médico,medical,0.5
558,boca,mouth,0.0
559,dejó,let,0.0
560,error,mistake,0.0
561,jamás,never,0.0
562,largo,length,0.4
563,pena,grief,0.0
564,voz,voice,0.5
565,futuro,future,1.0
566,secreto,secret,1.0
567,baño,bath,0.3333333333333333
568,mil,one thousand,0.0
569,decirte,tell you,0.0
570,sam,sam,1.0
571,pensaba,thought,0.0
572,novia,girlfriend,0.14285714285714285
573,propia,own,0.0
574,sueño,sleep,0.3333333333333333
575,haz,make,0.0
576,fuerza,strength,0.14285714285714285
577,deben,must,0.0
578,supone,supposed,0.4
579,ambos,both of them,0.0
580,ay,oh,0.0
581,encontré,i found,0.16666666666666666
582,vuelto,turned,0.0
583,dolor,pain,0.0
584,dile,tell him,0.16666666666666666
585,encanta,loves,0.0
586,edad,age,0.0
587,darle,give him,0.0
588,pie,foot,0.0
589,negro,black,0.0
590,ganar,gain,0.6666666666666666
591,york,york,1.0
592,aire,air,1.0
593,lamento,lament,1.0
594,verlo,see him,0.0
595,asesinato,murder,0.0
596,vio,he saw,0.0
597,adónde,where to,0.0
598,llegado,arrived,0.25
599,disculpe,excuse me,0.0
600,s,s,1.0
601,cita,date,0.5
602,sistema,system,0.8
603,gusto,taste,0.6666666666666666
604,pobre,poor,0.6666666666666666
605,negocio,business,0.2
606,mente,mind,0.6666666666666666
607,campo,countryside,0.14285714285714285
608,mire,look,0.0
609,situación,situation,0.6
610,tras,after,0.3333333333333333
611,hotel,hotel,1.0
612,funciona,works,0.0
613,foto,photo,0.3333333333333333
614,abogado,attorney,0.0
615,loca,crazy,0.0
616,propio,own self,0.0
617,alrededor,around,0.4
618,próxima,next,0.2
619,terminado,finished,0.2
620,hablas,speak,0.0
621,pagar,to pay,0.0
622,mató,killed,0.0
623,llamo,called,0.5
624,personal,staff,0.0
625,sientes,you feel,0.0
626,ocurre,occurs,0.5
627,ésta,is,0.3333333333333333
628,recuerda,remember,0.2
629,mitad,half,0.0
630,quiera,want,0.0
631,pelo,hair,0.0
632,viste,dresses,0.2
633,oficial,official,0.75
634,llegó,i arrive,0.0
635,compañía,company,0.6
636,relación,relationship,0.2857142857142857
637,conoce,known,0.25
638,pase,happens,0.4
639,montón,lot,0.2
640,mejores,top,0.0
641,creí,i believed,0.0
642,cena,dinner,0.25
643,sentir,feel,0.0
644,través,through,0.2
645,accidente,accident,1.0
646,i,yo,0.0
647,caja,cash register,0.1111111111111111
648,tranquilo,calm,0.0
649,bonito,nice,0.3333333333333333
650,asi,so,1.0
651,pudo,could,0.3333333333333333
652,vive,it lives,0.2
653,vista,view,0.3333333333333333
654,estúpido,idiot,0.2
655,línea,line,0.6666666666666666
656,caballeros,gentlemen,0.16666666666666666
657,haremos,will,0.0
658,dan,give,0.0
659,quédate,stay,0.0
660,tienda,store,0.0
661,comprar,to buy,0.0
662,entendido,it is understood,0.3
663,centro,center,1.0
664,salvo,except,0.0
665,mes,month,0.25
666,joe,joe,1.0
667,sol,sun,0.5
668,tonto,fool,0.0
669,hambre,hunger,0.5
670,michael,michael,1.0
671,mesa,table,0.0
672,respuesta,response,0.6
673,completamente,completely,0.625
674,david,david,1.0
675,carta,letter,0.25
676,totalmente,totally,0.5
677,imposible,impossible,0.8333333333333334
678,pruebas,tests,0.25
679,novio,boyfriend,0.16666666666666666
680,normal,normal,1.0
681,gustan,they like,0.0
682,frank,frank,1.0
683,pude,i could,0.25
684,charlie,charlie,1.0
685,traje,costume,0.0
686,dirección,address,0.16666666666666666
687,siete,seven,0.3333333333333333
688,dijeron,they said,0.0
689,placer,pleasure,0.75
690,barco,boat,0.3333333333333333
691,blanco,white,0.0
692,tom,tom,1.0
693,profesor,professor,0.8333333333333334
694,servicio,service,1.0
695,muchacho,young guy,0.0
696,reunión,meeting,0.0
697,dejado,left,0.0
698,ley,law,0.5
699,quisiera,i would like,0.0
700,george,george,1.0
701,programa,program,1.0
702,carrera,race,0.25
703,cumpleaños,birthday,0.0
704,muchachos,guys,0.16666666666666666
705,culo,ass,0.0
706,canción,song,0.2
707,hermosa,beautifull,0.0
708,universidad,college,0.0
709,boda,wedding,0.2
710,decirme,tell me,0.2
711,cualquiera,any,0.0
712,hacía,towards,0.0
713,sala,living room,0.0
714,llevo,wear,0.0
715,decisión,decision,0.8
716,espere,wait,0.0
717,don,don,1.0
718,necesario,necessary,0.6666666666666666
719,sal,salt,0.6666666666666666
720,entra,enters,0.75
721,prisa,rush,0.3333333333333333
722,carajo,fuck,0.0
723,embargo,embargo,1.0
724,interesante,interesting,0.7142857142857143
725,escuchar,listen,0.0
726,abuela,grandmother,0.0
727,hicieron,they made,0.16666666666666666
728,detective,detective,1.0
729,horrible,horrible,1.0
730,suelo,i usually,0.4
731,fotos,photos,0.5
732,cárcel,jail,0.2
733,acá,here,0.0
734,io,io,
735,mike,mike,1.0
736,siéntate,sit down,0.16666666666666666
737,decía,he said,0.0
738,intentando,trying,0.3333333333333333
739,vámonos,let's go,0.0
740,maldición,damn,0.3333333333333333
741,silencio,silence,1.0
742,muerta,dead,0.0
743,capaz,capable,0.5
744,salió,he left,0.2
745,club,club,1.0
746,terminar,end up,0.0
747,temo,i fear,0.0
748,broma,joke,0.0
749,gobierno,government,0.42857142857142855
750,prometo,i promise,0.6
751,cámara,camera,0.75
752,media,half,0.0
753,terrible,terrible,1.0
754,llamó,i call,0.0
755,regalo,gift,0.0
756,amable,gentle,0.25
757,dulce,sweet,0.0
758,muertos,dead,0.0
759,querías,you wanted,0.0
760,ataque,attack,0.25
761,das,you give,0.0
762,navidad,christmas,0.0
763,negocios,business,0.2
764,pudiera,could,0.0
765,ocho,eight,0.3333333333333333
766,avión,airplane,0.25
767,investigación,research,0.25
768,acabó,just,0.0
769,juro,i swear,0.25
770,mantener,hold,0.0
771,ejército,army,0.2
772,papel,paper,0.6666666666666666
773,partes,parts,1.0
774,ten,have,0.0
775,gracioso,funny,0.0
776,diría,would say,0.16666666666666666
777,principio,beginning,0.16666666666666666
778,delante,in front of,0.25
779,teniente,lieutenant,0.8
780,deseo,desire,0.6666666666666666
781,vayas,go,0.0
782,nave,ship,0.0
783,sale,comes out,0.2
784,basura,trash,0.25
785,vine,came,0.0
786,contacto,contact,1.0
787,esposo,husband,0.2
788,tren,train,1.0
789,encontramos,we find,0.0
790,dale,go ahead,0.0
791,verdadero,real,0.2
792,alma,soul,0.0
793,hazlo,do it,0.0
794,disculpa,sorry,0.2
795,junto,together,0.2
796,anda,go,0.0
797,matrimonio,marriage,0.4
798,saberlo,know,0.0
799,locura,craziness,0.16666666666666666
800,oro,prayed,0.25
801,permiso,permission,0.6666666666666666
802,director,director,1.0
803,peligro,danger,0.5
804,libertad,freedom,0.2
805,alegro,glad,0.0
806,baja,short,0.0
807,derecha,right,0.25
808,encuentra,find,0.2
809,pies,feet,0.0
810,segunda,second,0.75
811,maravilloso,wonderful,0.0
812,espacio,space,1.0
813,rato,little while,0.125
814,abuelo,grandfather,0.0
815,esperaba,i expected,0.16666666666666666
816,mirando,looking at,0.16666666666666666
817,salud,health,0.25
818,sorpresa,surprise,1.0
819,ninguno,none,0.5
820,miren,look,0.0
821,triste,sad,0.25
822,aun,still,0.0
823,pensado,thought-out,0.0
824,maestro,teacher,0.25
825,según,according to,0.125
826,infierno,hell,0.0
827,podrían,could,0.0
828,tipos,types,0.75
829,tía,aunt,0.0
830,crimen,crime,0.75
831,conocido,known,0.25
832,consejo,tip,0.0
833,iglesia,church,0.0
834,intento,try,0.25
835,mayoría,most,0.25
836,doy,give,0.0
837,peter,peter,1.0
838,hicimos,we did,0.0
839,escena,scene,1.0
840,piso,flat,0.0
841,señal,sign,0.3333333333333333
842,honor,honor,1.0
843,llamas,calls,0.5
844,abre,opens,0.0
845,cerebro,brain,0.25
846,veras,you'll see,0.16666666666666666
847,viendo,seeing,0.3333333333333333
848,pone,places,0.25
849,pregunto,i ask,0.0
850,cocina,kitchen,0.4
851,vestido,dress,0.0
852,inteligente,intelligent,0.8571428571428571
853,vieja,old woman,0.0
854,caballo,horse,0.0
855,vienen,they come,0.0
856,vidas,lives,0.3333333333333333
857,bar,bar,1.0
858,corte,court,1.0
859,sucedió,happened,0.0
860,adentro,indoors,0.25
861,drogas,drugs,1.0
862,enseguida,right away,0.0
863,busca,search,0.25
864,agradable,nice,0.0
865,carne,meat,0.0
866,parecía,looked like,0.0
867,departamento,department,1.0
868,lindo,pretty,0.0
869,mar,sea,0.0
870,duda,doubt,0.3333333333333333
871,edificio,building,0.2
872,conocer,know,0.25
873,cargo,position,0.0
874,víctima,victim,0.8
875,luna,moon,0.5
876,energía,energy,0.75
877,frío,cold,0.0
878,hablo,talked,0.0
879,baile,dance,0.0
880,trabaja,works,0.25
881,misión,mission,0.75
882,listos,ready,0.0
883,ayudarte,help you,0.0
884,izquierda,left,0.0
885,paul,paul,1.0
886,beber,to drink,0.16666666666666666
887,deje,leave,0.0
888,finalmente,finally,0.5
889,simple,simple,1.0
890,daré,i will give,0.0
891,sabías,did you know,0.0
892,puedas,you can,0.0
893,puso,put,0.5
894,creía,believed,0.0
895,regresar,to return,0.3333333333333333
896,llega,arrives,0.0
897,entender,to understand,0.3333333333333333
898,mirar,look at,0.0
899,sacar,take,0.0
900,cambiado,changed,0.4
901,trae,bring,0.25
902,hermoso,handsome,0.4
903,opinión,opinion,0.75
904,verás,you'll see,0.16666666666666666
905,linda,pretty,0.0
906,apenas,barely,0.0
907,segundos,seconds,0.8
908,cerveza,beer,0.25
909,harás,you will do,0.0
910,creen,believe,0.0
911,oír,hear,0.5
912,cuántos,many,0.2
913,hablado,spoken,0.0
914,hablamos,we speak,0.0
915,reina,queen,0.5
916,temprano,early,0.0
917,tema,theme,0.6666666666666666
918,prisión,prison,0.8
919,porqué,because,0.0
920,vuelva,come back,0.0
921,público,public,0.8
922,ocurrió,it occurred,0.42857142857142855
923,veré,i will see,0.0
924,salvar,save,0.5
925,partido,match,0.0
926,bonita,pretty,0.2
927,joder,fuck,0.0
928,causa,cause,1.0
929,caliente,hot,0.25
930,sargento,sergeant,1.0
931,cenar,diner,0.6666666666666666
932,compañero,co-worker,0.3333333333333333
933,llevó,wear,0.0
934,banco,bank,0.6666666666666666
935,existe,exists,0.75
936,ben,good,0.0
937,zona,zone,1.0
938,destino,destiny,0.8
939,base,base,1.0
940,solía,used to,0.25
941,cliente,client,1.0
942,irse,leave,0.0
943,perra,bitch,0.0
944,james,james,1.0
945,encuentro,meeting,0.2
946,encontró,he found,0.0
947,pelea,fight,0.0
948,san,saint,0.6666666666666666
949,norte,north,0.75
950,quise,i wanted,0.0
951,coronel,colonel,0.75
952,apuesto,handsome,0.2
953,peligroso,dangerous,0.6
954,viva,live,0.5
955,max,max,1.0
956,vienes,you come,0.0
957,necesitan,they need,0.16666666666666666
958,té,tea,0.5
959,excepto,except,1.0
960,juicio,judgment,0.16666666666666666
961,podamos,we can,0.0
962,llave,wrench,0.0
963,equivocado,wrong,0.0
964,posición,position,0.6
965,trasero,rear,0.5
966,irnos,go away,0.0
967,espalda,back,0.0
968,excelente,excellent,0.8333333333333334
969,éxito,success,0.0
970,modos,modes,1.0
971,ventana,window,0.25
972,veamos,let's see,0.16666666666666666
973,especie,species,0.75
974,diferencia,difference,0.8333333333333334
975,formas,shapes,0.25
976,pedir,ask,0.0
977,últimos,latest,0.4
978,escúchame,listen to me,0.25
979,ejemplo,example,0.75
980,ése,that,0.0
981,radio,radio,1.0
982,lee,read,0.0
983,calma,calm down,0.42857142857142855
984,hogar,home,0.3333333333333333
985,volveré,i will be back,0.1
986,fondo,background,0.2857142857142857
987,humano,human,1.0
988,henry,henry,1.0
989,tí,you,0.0
990,iremos,we'll go,0.0
991,unidos,united,0.3333333333333333
992,jesús,jesus,0.75
993,planeta,planet,1.0
994,verme,see me,0.3333333333333333
995,respecto,regard,0.2
996,regreso,return,0.5
997,debido,due,0.3333333333333333
998,leer,read,0.0
999,parar,stop,0.0
1000,lleno,full,0.3333333333333333
1001,dejé,leave,0.0
1002,respeto,respect,0.8
1003,debajo,under,0.0
1004,harry,harry,1.0
1005,escribir,to write,0.0
1006,estación,station,0.6
1007,pidió,asked,0.0
1008,alta,high,0.0
1009,pista,clue,0.0
1010,estrella,star,0.6
1011,enfermo,sick,0.0
1012,duele,hurts,0.0
1013,sueños,dreams,0.25
1014,veremos,we will see,0.14285714285714285
1015,miles,thousands,0.16666666666666666
1016,darme,give me,0.25
1017,órdenes,orders,0.6
1018,ocupado,occupied,0.75
1019,sigues,are you still,0.125
1020,corre,runs,0.0
1021,podido,i have,0.0
1022,dejes,let,0.0
1023,nivel,level,0.6666666666666666
1024,experiencia,experience,1.0
1025,darte,to give you,0.0
1026,salida,exit,0.0
1027,decirlo,say it,0.0
1028,confiar,trust,0.0
1029,hacerte,make you,0.0
1030,necesitaba,needed,0.2
1031,hermanos,brothers,0.3333333333333333
1032,zapatos,shoes,0.25
1033,color,color,1.0
1034,vistazo,glance,0.0
1035,nena,chick,0.0
1036,tratar,treat,0.75
1037,parecer,look,0.0
1038,juez,judge,0.3333333333333333
1039,próximo,next,0.2
1040,paciente,patient,0.75
1041,bolsa,bag,0.3333333333333333
1042,arte,art,1.0
1043,mary,mary,1.0
