spanish,french,index,alignment,spanish_eng,french_eng
sexagésimo,quil,184,** 184|198,sixtieth,that he
período,révision,185,,period,revision
sesiones,substantielle,186,### 186|199,sessions,substantial
asamblea,proposition,187,** 187|200,Assembly,proposal
general,bureau,188,** 188|201,general,office
finales,services,189,### 189|203,endings,services
véase,contrôle,190,** 190|204,see,control
párrs,interne,191,,paras,internal
consecuencia,bsci,192,,consequence,bsci
comité,cette,193,***** 193|166,committee,this
abordó,nouvelle,194,,on board,news
estimaciones,proposition,195,,estimates,proposal
iniciales,soumise,196,,initials,submissive
momento,cours,197,,moment,Classes
sino,soixantième,198,,otherwise,sixtieth
indicó,session,199,,Indian,session
dispuesto,assemblée,200,,willing,Assembly
examinar,générale,201,,examine,general
estimaciones,avant,202,,estimates,before
tan,fin,203,,so,end
pronto,voir,204,,early,see
disponibles,a,205,,available,To
,paras,206,,,paras
,conséquence,207,,,result
,comité,208,,,committee
,na,209,,,n / A
,examiné,210,,,examined
,estimations,211,,,estimates
,initiales,212,,,initials
,moment,213,,,moment
,-,214,,,
,là,215,,,the
,a,216,,,To
,plutôt,217,,,rather
,indiqué,218,,,indicated
,quil,219,,,that he
,prêt,220,,,ready
,examiner,221,,,examine
,estimations,222,,,estimates
,dès,223,,,from
,quelles,224,,,what
,disponibles,225,,,available
