spanish,german,index,alignment,spanish_eng,german_eng
recuerda,siehe,162,162|138,remember,please refer
que,a,163,,that,a
momento,abs,164,,moment,Section
examen,dementsprechend,165,161|141,exam,accordingly
proyecto,ausschuss,166,,draft,committee
presupuesto,zeitpunkt,167,"168,167|143",budget,time
programas,ersten,168,,programs,first
bienio,schätzungen,169,,biennium,estimates
-,befasst,170,,,deals
um,bereit,171,,um,ready
informó,erklärt,172,,reported,explained
revisión,schätzungen,173,,revision,estimates
sustancial,aufzunehmen,174,,substantial,to record
propuesta,sobald,175,,proposal,as soon as
oficina,vorliegen,176,,office,are present
servicios,,177,,services,
supervisión,,178,,supervision,
interna,,179,,internal,
ossi,,180,,ossi,
nueva,,181,,new,
propuesta,,182,,proposal,
presentaría,,183,,would present,
sexagésimo,,184,,sixtieth,
período,,185,,period,
sesiones,,186,,sessions,
asamblea,,187,,Assembly,
general,,188,,general,
finales,,189,,endings,
véase,,190,,see,
párrs,,191,,paras,
consecuencia,,192,,consequence,
comité,,193,,committee,
abordó,,194,,on board,
estimaciones,,195,,estimates,
iniciales,,196,,initials,
momento,,197,,moment,
sino,,198,,otherwise,
indicó,,199,,Indian,
dispuesto,,200,,willing,
examinar,,201,,examine,
estimaciones,,202,,estimates,
tan,,203,,so,
pronto,,204,,early,
disponibles,,205,,available,
,,206,,,
,,207,,,
,,208,,,
,,209,,,
,,210,,,
,,211,,,
,,212,,,
,,213,,,
,,214,,,
,,215,,,
,,216,,,
,,217,,,
,,218,,,
,,219,,,
,,220,,,
,,221,,,
,,222,,,
,,223,,,
,,224,,,
,,225,,,
