english,russian,index,alignment,english_eng,russian_eng
agenda,силу,131,***** 131|157,agenda,force
item,моменту,132,,item,moment
proposed,открытия,133,######## 133|190,proposed,discoveries
programme,сессии,134,,programme,session
budget,должности,135,####### 135|183,budget,positions
biennium,председателя,136,,biennium,chairman
-,докладчика,137,,-,speaker
proposed,конференции,138,##### 138|166,proposed,conferences
programme,обычно,139,,programme,usually
budget,подлежат,140,****** 140|191,budget,subject to
biennium,ротации,141,,biennium,rotation
-,пятью,142,**** 142|171,-,five
section,региональными,143,,section,regional
office,группами,144,,office,in groups
internal,имени,145,,internal,name
oversight,государств-членов,146,,oversight,Member States
services,организации,147,,services,organization
fifteenth,объединенных,148,**** 148|178,fifteenth,united
report,наций,149,**** 149|179,report,nations
advisory,которые,150,**** 150|185,advisory,which
committee,члены,151,,committee,members of
administrative,шестидесятой,152,**** 152|182,administrative,sixtieth
budgetary,сессии,153,### 153|167,budgetary,session
questions,европейского,154,**** 154|184,questions,European
advisory,союза,155,*** 155|180,advisory,union
committee,пункт,156,*** 156|181,committee,paragraph
recalls,повестки,157,,recalls,agenda
time,дня,158,,time,of the day
consideration,предлагаемый,159,**** 159|189,consideration,the proposed
proposed,бюджет,160,# 160|159,proposed,budget
programme,программам,161,,programme,programs
budget,двухгодичный,162, 162|160,budget,biennial
-,период,163, 163|164,-,period
biennium,–,164,###### 164|197,biennium,-
informed,годов,165,***** 165|198,informed,years
would,предлагаемый,166,,would,the proposed
substantial,бюджет,167,,substantial,budget
revision,программам,168,,revision,programs
proposal,двухгодичный,169,,proposal,biennial
office,период,170,,office,period
internal,–,171, 171|176,internal,-
oversight,годов,172,,oversight,years
services,раздел,173, 173|175,services,chapter
oios,управление,174,,oios,control
new,служб,175,,new,services
proposal,внутреннего,176,,proposal,internal
would,надзора,177,,would,supervision
submitted,пятнадцатый,178,,submitted,fifteenth
sixtieth,доклад,179,,sixtieth,report
session,консультативного,180,********** 180|153,session,advisory
general,комитета,181,,general,committee
assembly,административным,182,,assembly,administrative
end,бюджетным,183,############ 183|50,end,budgetary
see,вопросам,184,,see,questions
paras,консультативный,185,,paras,advisory
accordingly,комитет,186,,accordingly,Committee
committee,напоминает,187, 187|186,committee,reminds
address,момент,188,,address,moment
initial,рассмотрения,189,,initial,consideration
estimates,предлагаемого,190,,estimates,the proposed
time,бюджета,191,,time,budget
instead,программам,192,,instead,programs
indicated,двухгодичный,193,,indicated,biennial
readiness,период,194,,readiness,period
take,-,195,,take,
estimates,гг,196,,estimates,yy
soon,гм,197,############# 197|64,soon,um
would,проинформирован,198,,would,informed
available,том,199,,available,volume
,предложение,200,,,offer
,управления,201,,,management
,служб,202,,,services
,внутреннего,203,,,internal
,надзора,204,,,supervision
,усвн,205,,,learned
,существенно,206,,,substantially
,изменено,207,,,changed
,это,208,,,this is
,новое,209,,,new
,предложение,210,,,offer
,представлено,211,,,presented
,шестидесятой,212,,,sixtieth
,сессии,213,,,session
,генеральной,214,,,general
,ассамблеи,215,,,assemblies
,конца,216,,,end
,года,217,,,of the year
,см,218,,,cm
,пункты,219,,,points
,соответственно,220,,,respectively
,комитет,221,,,Committee
,рассматривал,222,,,considered
,первоначальные,223,,,initial
,сметы,224,,,estimates
,время,225,,,time
,вместо,226,,,instead of
,заявил,227,,,stated
,своей,228,,,his
,готовности,229,,,readiness
,принять,230,,,accept
,сметы,231,,,estimates
,будут,232,,,will be
,получены,233,,,received
