english,german,index,alignment,english_eng,german_eng
rights,mittel,138,,rights,middle
self-determination,wege,139,** 139|123,self-determination,ways
peoples,finden,140,140|124,peoples,Find
peace,sollte,141,** 141|125,peace,should
democracy,strömungen,142,** 142|126,democracy,currents
justice,beseitigen,143,** 143|127,justice,remove
equality,herausforderungen,144,,equality,challenges
rule,vollständigen,145,"145,146|129",rule,complete
law,verwirklichung,146,,law,realization
pluralism,menschenrechte,147,** 147|130,pluralism,human rights
development,stellen,148,** 148|131,development,place
better,fortsetzung,149,** 149|132,better,continuation
standards,daraus,150,"150,152|133",standards,from it
living,resultierenden,151,,living,resulting
solidarity,menschenrechtsverletzungen,152,** 152|134,solidarity,human rights violations
recognizing,ganzen,153,153|135,recognizing,entire
international,welt,154,** 154|170,international,world
community,verhindern,155,** 155|137,community,impede
devise,sowie,156,,devise,as
ways,weiterhin,157,** 157|139,ways,Farther
means,bedeutung,158,158|139,means,meaning
remove,achten,159,** 159|143,remove,"respect, think highly of"
current,gegenseitigen,160,### 160|142,current,mutual
obstacles,zusammenarbeit,161,161|144,obstacles,cooperation
meet,verständnisses,162,,meet,understanding
challenges,dialogs,163,** 163|144,challenges,dialogs
full,förderung,164,* 164|174,full,advancement
realization,schutz,165,* 165|175,realization,protection
human,menschenrechte,166,"166,177|147",human,human rights
rights,gewährleisten,167,,rights,guarantee
prevent,bekräftigend,168,168|143,prevent,affirming
continuation,verbesserung,169,** 169|149,continuation,improvement
human,internationalen,170,"170,171,172|152",human,international
rights,zusammenarbeit,171,,rights,cooperation
violations,bereich,172,,violations,area
resulting,menschenrechte,173,** 173|151,resulting,human rights
therefrom,volle,174,,therefrom,full
throughout,verwirklichung,175,,throughout,realization
world,ziele,176,** 176|154,world,goals
well,vereinten,177,,well,united
continue,nationen,178,178|157,continue,nations
pay,wesentlicher,179,,pay,more essential
attention,bedeutung,180,180|159,attention,meaning
importance,menschenrechte,181,,importance,human rights
mutual,grundfreiheiten,182,** 182|160,mutual,fundamental freedoms
cooperation,geburtsrecht,183,* 183|171,cooperation,birthright
understanding,menschen,184,** 184|162,understanding,people
dialogue,sind,185,185|163,dialogue,are
ensuring,schutz,186,,ensuring,protection
promotion,förderung,187,187|164,promotion,advancement
protection,rechte,188, 188|186,protection,right
human,freiheiten,189,"189,190|166",human,freedom
rights,erste,190,,rights,first
reaffirming,verantwortung,191,191|168,reaffirming,responsibility
enhancement,regierungen,192,192|169,enhancement,governments
international,bekräftigend,193,193|170,international,affirming
cooperation,auch,194,*** 194|161,cooperation,even
field,menschenrechte,195,195|172,field,human rights
human,universell,196,"198,197|181",human,universal
rights,unteilbar,197,,rights,indivisible
essential,voneinander,198,### 198|179,essential,from each other
full,abhängig,199,,full,addicted
achievement,miteinander,200,200|175,achievement,together
purposes,verbunden,201,,purposes,tied together
united,internationale,202,*** 202|177,united,international
nations,gemeinschaft,203,*** 203|178,nations,community
human,menschenrechte,204,# 204|204,human,human rights
rights,weltweit,205,# 205|208,rights,worldwide
fundamental,fair,206,,fundamental,fair
freedoms,gleich,207,### 207|189,freedoms,same
birthright,gleichberechtigt,208,*** 208|183,birthright,Equal rights
human,gleichen,209,,human,same
beings,nachdruck,210,,beings,emphasis
protection,behandeln,211,******* 211|165,protection,treat
promotion,weiterer,212,,promotion,further
rights,bekräftigung,213,,rights,affirmation
freedoms,verschiedenen,214,,freedoms,different
first,artikel,215,******* 215|190,first,items
responsibility,charta,216,******* 216|191,responsibility,charter
governments,denen,217,******* 217|192,governments,those
reaffirming,jeweiligen,218,######## 218|168,reaffirming,respective
also,befugnisse,219,,also,powers
human,funktionen,220,,human,functions
rights,generalversammlung,221,,rights,general assembly
universal,sicherheitsrats,222,****** 222|196,universal,security council
indivisible,wirtschafts-,223,****** 223|197,indivisible,economic
interdependent,sozialrats,224,,interdependent,social council
interrelated,überragenden,225,,interrelated,outstanding
international,rahmen,226,*********** 226|83,international,frame
community,verwirklichung,227,****** 227|203,community,realization
must,ziele,228,,must,goals
treat,vereinten,229,***** 229|211,treat,united
human,nationen,230,,human,nations
rights,festgelegt,231,,rights,set
globally,,232,,globally,
fair,,233,,fair,
equal,,234,,equal,
manner,,235,,manner,
footing,,236,,footing,
emphasis,,237,,emphasis,
reaffirming,,238,,reaffirming,
various,,239,,various,
articles,,240,,articles,
charter,,241,,charter,
setting,,242,,setting,
respective,,243,,respective,
powers,,244,,powers,
functions,,245,,functions,
general,,246,,general,
assembly,,247,,assembly,
security,,248,,security,
council,,249,,council,
economic,,250,,economic,
social,,251,,social,
council,,252,,council,
paramount,,253,,paramount,
framework,,254,,framework,
achievement,,255,,achievement,
purposes,,256,,purposes,
united,,257,,united,
nations,,258,,nations,
,,259,,,
,,260,,,
,,261,,,
,,262,,,
,,263,,,
,,264,,,
,,265,,,
,,266,,,
,,267,,,
,,268,,,
,,269,,,
,,270,,,
,,271,,,
,,272,,,
,,273,,,
,,274,,,
,,275,,,
