spanish,german,index,alignment,spanish_eng,german_eng
humanos,person,64,,humans,person
fundamentales,gleichberechtigung,65,65|60,fundamental,equal rights
dignidad,männern,66,,dignity,men
valor,frauen,67, 67|62,value,women
persona,sowie,68, 68|64,person,as
humana,großen,69,69|63,human,huge
igualdad,kleinen,70,"70,71|65",equality,small
derechos,nationen,71,,Rights,nations
hombres,bekräftigen,72,72|66,mens,affirm
mujeres,bekräftigend,73, 73|67,women,affirming
naciones,förderung,74, 74|71,nations,advancement
grandes,schutz,75,75|69,big,protection
pequeñas,menschenrechte,76,76|70,little,human rights
reafirmando,grundfreiheiten,77,# 77|73,reaffirming,fundamental freedoms
promoción,einklang,78,78|74,promotion,unison
protección,zielen,79, 79|75,protection,aim
derechos,grundsätzen,80,"80,81|76",Rights,principles
humanos,insbesondere,81,,humans,in particular
libertades,zweck,82,"84,85|77",freedoms,purpose
fundamentales,internationalen,83,,fundamental,international
debe,zusammenarbeit,84,,has to,cooperation
ser,vorrangiges,85,,be,priority
considerada,ziel,86,,considered,target
objetivo,vereinten,87,89|79,objective,united
prioritario,nationen,88, 88|85,priority,nations
naciones,anzusehen,89, 89|88,nations,to watch
unidas,sind,90, 90|87,united,are
acuerdo,rahmen,91,,agreement,frame
propósitos,ziele,92,## 92|82,purposes,goals
principios,grundsätze,93,93|80,beginning,principles
particular,förderung,94,## 94|81,particular,advancement
propósito,schutz,95,,purpose,protection
cooperación,menschenrechte,96,* 96|84,cooperation,human rights
internacional,legitimes,97,97|83,international,legitimate
que,anliegen,98,,that,issue
marco,internationalen,99,* 99|91,frame,international
propósitos,gemeinschaft,100,100|92,purposes,community
principios,anbetracht,101,101|92,beginning,considering
promoción,großen,102,102|94,promotion,huge
protección,veränderungen,103,* 103|95,protection,changes
derechos,internationalen,104,"104,105|96",Rights,international
humanos,bühne,105,,humans,stage
preocupación,bestrebungen,106,,worry,aspirations
legítima,völker,107,* 107|97,legitimate,people
comunidad,internationalen,108,* 108|100,community,international
internacional,ordnung,109, 109|104,international,order
considerando,grundlage,110,* 110|101,considering,basis
importantes,charta,111,,important,charter
cambios,verankerten,112,* 112|103,changes,anchored
produciendo,grundsätze,113,,producing,principles
escena,einschließlich,114,,scene,including
internacional,förderung,115,* 115|108,international,advancement
aspiraciones,ermutigung,116,* 116|106,aspirations,encouragement
pueblos,achtung,117,,towns,Attention
orden,menschenrechte,118,* 118|109,order,human rights
internacional,grundfreiheiten,119,** 119|136,international,fundamental freedoms
basado,achtung,120,120|110,based,Attention
principios,grundsatzes,121,121|113,beginning,principle
consagrados,gleichberechtigung,122,122|112,consecrated,equal rights
carta,selbstbestimmung,123,125|111,letter,self-determination
incluida,völker,124,124|114,included,people
promoción,frieden,125,125|115,promotion,peace
fomento,demokratie,126,126|116,promotion,democracy
respeto,gerechtigkeit,127,129|117,I respect,Justice
derechos,gleichheit,128,"128,129|118",Rights,equality
humanos,rechtsstaatlichkeit,129,,humans,rule of law
libertades,pluralismus,130,"130,131|119",freedoms,pluralism
fundamentales,entwicklung,131,,fundamental,development
respeto,besserer,132,,I respect,better
principio,lebensstandard,133,,beginning,standard of living
igualdad,solidarität,134,"134,135|122",equality,solidarity
derechos,erkenntnis,135,,Rights,Understanding
autodeterminación,internationale,136,,self determination,international
pueblos,gemeinschaft,137,,towns,community
paz,mittel,138,** 138|125,peace,middle
democracia,wege,139,** 139|126,democracy,ways
justicia,finden,140,** 140|127,Justice,Find
igualdad,sollte,141,,equality,should
derecho,strömungen,142,## 142|147,right,currents
pluralismo,beseitigen,143,** 143|130,pluralism,remove
desarrollo,herausforderungen,144,,developing,challenges
mejores,vollständigen,145,,top,complete
niveles,verwirklichung,146,,levels,realization
vida,menschenrechte,147,,life,human rights
solidaridad,stellen,148,** 148|134,solidarity,place
reconociendo,fortsetzung,149,,acknowledging,continuation
comunidad,daraus,150,** 150|137,community,from it
internacional,resultierenden,151,** 151|170,international,resulting
debe,menschenrechtsverletzungen,152,# 152|156,has to,human rights violations
idear,ganzen,153,,devise,entire
formas,welt,154,,shapes,world
medios,verhindern,155,,media,impede
eliminar,sowie,156,** 156|143,remove,as
corrientes,weiterhin,157,,streams,Farther
hacer,bedeutung,158,,do,meaning
frente,achten,159,,front,"respect, think highly of"
desafíos,gegenseitigen,160,** 160|144,challenges,mutual
plena,zusammenarbeit,161,** 161|174,full,cooperation
realización,verständnisses,162,** 162|146,realization,understanding
derechos,dialogs,163,# 163|166,Rights,dialogs
humanos,förderung,164,,humans,advancement
prevenir,schutz,165,### 165|194,to prevent,protection
continuación,menschenrechte,166,** 166|149,continuation,human rights
violaciones,gewährleisten,167,,violations,guarantee
derechos,bekräftigend,168,## 168|173,Rights,affirming
humanos,verbesserung,169,,humans,improvement
resultantes,internationalen,170,** 170|151,resulting,international
mundo,zusammenarbeit,171,** 171|154,world,cooperation
así,bereich,172,,So,area
seguir,menschenrechte,173,,continue,human rights
prestando,volle,174,,lending,full
atención,verwirklichung,175,,attention,realization
importancia,ziele,176,,importance,goals
cooperación,vereinten,177,* 177|171,cooperation,united
entendimiento,nationen,178,** 178|162,understanding,nations
diálogo,wesentlicher,179,,dialogue,more essential
mutuos,bedeutung,180,** 180|160,mutual,meaning
garantizar,menschenrechte,181,### 181|167,to guarantee,human rights
promoción,grundfreiheiten,182,,promotion,fundamental freedoms
protección,geburtsrecht,183, 183|186,protection,birthright
derechos,menschen,184,# 184|181,Rights,people
humanos,sind,185,,humans,are
reafirmando,schutz,186,## 186|193,reaffirming,protection
fortalecimiento,förderung,187,,strengthening,advancement
cooperación,rechte,188,*** 188|161,cooperation,right
internacional,freiheiten,189,* 189|202,international,freedom
esfera,erste,190,,sphere,first
derechos,verantwortung,191,# 191|188,Rights,responsibility
humanos,regierungen,192,,humans,governments
fundamental,bekräftigend,193,## 193|182,fundamental,affirming
pleno,auch,194,,full,even
logro,menschenrechte,195,,achievement,human rights
propósitos,universell,196,,purposes,universal
naciones,unteilbar,197,** 197|178,nations,indivisible
unidas,voneinander,198,** 198|177,united,from each other
derechos,abhängig,199,# 199|195,Rights,addicted
humanos,miteinander,200,,humans,together
libertades,verbunden,201,## 201|189,freedoms,tied together
fundamentales,internationale,202,,fundamental,international
derecho,gemeinschaft,203,# 203|204,right,community
innato,menschenrechte,204,,innate,human rights
seres,weltweit,205,,beings,worldwide
humanos,fair,206,,humans,fair
protección,gleich,207,,protection,same
promoción,gleichberechtigt,208,,promotion,Equal rights
derechos,gleichen,209,# 209|208,Rights,same
libertades,nachdruck,210,,freedoms,emphasis
siendo,behandeln,211,,being,treat
primera,weiterer,212,,first,further
responsabilidad,bekräftigung,213,,responsibility,affirmation
gobiernos,verschiedenen,214,,governments,different
reafirmando,artikel,215,,reaffirming,items
derechos,charta,216,,Rights,charter
humanos,denen,217,,humans,those
universales,jeweiligen,218,,universal,respective
indivisibles,befugnisse,219,,indivisible,powers
interdependientes,funktionen,220,,interdependent,functions
interrelacionados,generalversammlung,221,,interrelated,general assembly
comunidad,sicherheitsrats,222,,community,security council
internacional,wirtschafts-,223,,international,economic
debe,sozialrats,224,,has to,social council
tratar,überragenden,225,,treat,outstanding
derechos,rahmen,226,,Rights,frame
humanos,verwirklichung,227,,humans,realization
mundo,ziele,228,,world,goals
manera,vereinten,229,,way,united
justa,nationen,230,,fair,nations
equitativa,festgelegt,231,,equitable,set
pie,,232,,foot,
igualdad,,233,,equality,
mismo,,234,,same,
énfasis,,235,,emphasis,
reafirmando,,236,,reaffirming,
además,,237,,what's more,
diversos,,238,,various,
artículos,,239,,articles,
carta,,240,,letter,
establecen,,241,,establish,
poderes,,242,,powers,
funciones,,243,,functions,
respectivos,,244,,respective,
asamblea,,245,,Assembly,
general,,246,,general,
consejo,,247,,tip,
seguridad,,248,,security,
consejo,,249,,tip,
económico,,250,,economic,
social,,251,,Social,
marco,,252,,frame,
fundamental,,253,,fundamental,
logro,,254,,achievement,
propósitos,,255,,purposes,
naciones,,256,,nations,
unidas,,257,,united,
,,258,,,
,,259,,,
,,260,,,
,,261,,,
,,262,,,
,,263,,,
,,264,,,
,,265,,,
,,266,,,
,,267,,,
,,268,,,
,,269,,,
,,270,,,
,,271,,,
,,272,,,
,,273,,,
,,274,,,
,,275,,,
