german,russian,index,alignment,german_eng,russian_eng
beseitigen,мир,143,,remove,peace
herausforderungen,демократия,144,,challenges,democracy
vollständigen,справедливость,145,*** 145|168,complete,Justice
verwirklichung,равенство,146,,realization,equality
menschenrechte,верховенство,147,### 147|134,human rights,supremacy
stellen,закона,148,,place,the law
fortsetzung,плюрализм,149,*** 149|173,continuation,pluralism
daraus,развитие,150,,from it,development
resultierenden,повышение,151,,resulting,the rise
menschenrechtsverletzungen,уровня,152,#### 152|109,human rights violations,level
ganzen,жизни,153,,entire,life
welt,солидарность,154,#### 154|180,world,solidarity
verhindern,признавая,155,,impede,recognizing
sowie,международное,156,## 156|164,as,international
weiterhin,сообщество,157,,Farther,community
bedeutung,должно,158,,meaning,must
achten,разработать,159,#### 159|133,"respect, think highly of",to develop
gegenseitigen,пути,160,**** 160|186,mutual,the way
zusammenarbeit,средства,161,***** 161|199,cooperation,funds
verständnisses,устранения,162,*** 162|188,understanding,eliminating
dialogs,текущих,163,,dialogs,current
förderung,заболеваний,164,,advancement,diseases
schutz,решения,165,****** 165|220,protection,solutions
menschenrechte,проблем,166,# 166|170,human rights,problems
gewährleisten,пути,167,,guarantee,the way
bekräftigend,полной,168,,affirming,complete
verbesserung,реализации,169,,improvement,implementation
internationalen,прав,170,** 170|156,international,right
zusammenarbeit,человека,171,** 171|187,cooperation,human
bereich,предотвращения,172,###### 172|216,area,preventing
menschenrechte,продолжения,173,# 173|171,human rights,continuation
volle,нарушений,174,,full,violations
verwirklichung,прав,175,,realization,right
ziele,человека,176,**** 176|208,goals,human
vereinten,связанных,177,**** 177|210,united,related
nationen,этим,178,**** 178|211,nations,by this
wesentlicher,всем,179,,more essential,to all
bedeutung,мире,180,*** 180|205,meaning,the world
menschenrechte,также,181,# 181|176,human rights,also
grundfreiheiten,продолжать,182,##### 182|215,fundamental freedoms,continue
geburtsrecht,обращать,183,## 183|175,birthright,to convert
menschen,внимание,184,###### 184|219,people,Attention
sind,важность,185,### 185|200,are,importance
schutz,взаимного,186,* 186|192,protection,mutual
förderung,сотрудничества,187,,advancement,cooperation
rechte,понимания,188,##### 188|140,right,understanding
freiheiten,диалога,189,###### 189|224,freedom,dialogue
erste,обеспечении,190,,first,securing
verantwortung,поощрения,191,,responsibility,encouragement
regierungen,защиты,192,,governments,protection
bekräftigend,прав,193,# 193|196,affirming,right
auch,человека,194,#### 194|172,even,human
menschenrechte,вновь,195,# 195|193,human rights,again
universell,подтверждая,196,,universal,reaffirming
unteilbar,укрепление,197,,indivisible,strengthening
voneinander,международного,198,,from each other,international
abhängig,сотрудничества,199,,addicted,cooperation
miteinander,области,200,,together,areas
verbunden,прав,201,,tied together,right
internationale,человека,202, 202|198,international,human
gemeinschaft,имеет,203,,community,It has
menschenrechte,важное,204,# 204|201,human rights,important
weltweit,значение,205,,worldwide,meaning
fair,полного,206,,fair,complete
gleich,достижения,207,,same,achievements
gleichberechtigt,целей,208,# 208|212,Equal rights,goals
gleichen,организации,209,,same,organization
nachdruck,объединенных,210,,emphasis,united
behandeln,наций,211,,treat,nations
weiterer,права,212,,further,rights
bekräftigung,человека,213,,affirmation,human
verschiedenen,основные,214,,different,the main
artikel,свободы,215,,items,freedom
charta,являются,216,,charter,are
denen,неотъемлемым,217,,those,integral
jeweiligen,правом,218,############ 218|138,respective,right
befugnisse,людей,219,,powers,of people
funktionen,защита,220,,functions,protection
generalversammlung,поощрение,221,############### 221|45,general assembly,encouragement
sicherheitsrats,таких,222,,security council,such
wirtschafts-,прав,223,,economic,right
sozialrats,свобод,224,,social council,freedoms
überragenden,будучи,225,,outstanding,being
rahmen,первоочередной,226,,frame,priority
verwirklichung,обязанностью,227,,realization,duty
ziele,правительств,228,*********** 228|104,goals,governments
vereinten,вновь,229,,united,again
nationen,подтверждая,230,,nations,reaffirming
festgelegt,также,231,,set,also
,права,232,,,rights
,человека,233,,,human
,универсальны,234,,,universal
,неделимы,235,,,indivisible
,взаимозависимы,236,,,interdependent
,взаимосвязаны,237,,,interconnected
,международное,238,,,international
,сообщество,239,,,community
,должно,240,,,must
,относиться,241,,,relate
,правам,242,,,rights
,человека,243,,,human
,глобальном,244,,,global
,масштабе,245,,,scale
,справедливым,246,,,fair
,равным,247,,,equal
,образом,248,,,way
,одинаковой,249,,,the same
,основе,250,,,basis
,одинаковым,251,,,the same
,вниманием,252,,,attention
,вновь,253,,,again
,подтверждая,254,,,reaffirming
,далее,255,,,Further
,различные,256,,,various
,статьи,257,,,articles
,устава,258,,,charter
,устанавливающие,259,,,establishing
,соответствующие,260,,,the corresponding
,полномочия,261,,,credentials
,функции,262,,,function
,генеральной,263,,,general
,ассамблеи,264,,,assemblies
,совета,265,,,advice
,безопасности,266,,,security
,экономического,267,,,economic
,социального,268,,,social
,совета,269,,,advice
,качестве,270,,,quality
,важнейших,271,,,the most important
,рамок,272,,,framework
,достижения,273,,,achievements
,целей,274,,,goals
,организации,275,,,organization
,объединенных,276,,,united
,наций,277,,,nations
