english,french,index,alignment,english_eng,french_eng
determination,charte,63, 63|65,determination,charter
reaffirm,particulier,64, 64|66,reaffirm,particular
faith,détermination,65, 65|67,faith,determination
fundamental,réaffirmer,66,# 66|69,fundamental,reaffirm
human,foi,67,# 67|70,human,faith
rights,droits,68, 68|68,rights,rights
dignity,fondamentaux,69, 69|71,dignity,fundamentals
worth,homme,70,70|72,worth,man
human,dignité,71, 71|74,human,dignity
person,valeur,72,72|73,person,value
equal,personne,73,# 73|75,equal,anybody
rights,humaine,74, 74|76,rights,human
men,égalité,75, 75|77,men,equality
women,droits,76, 76|78,women,rights
nations,hommes,77, 77|79,nations,men
large,femmes,78, 78|80,large,women
small,nations,79, 79|81,small,nations
reaffirming,grandes,80, 80|82,reaffirming,large
promotion,petites,81, 81|83,promotion,small
protection,réaffirmant,82, 82|84,protection,reaffirming
human,promotion,83,# 83|87,human,promotion
rights,protection,84, 84|86,rights,protection
fundamental,tous,85, 85|89,fundamental,all
freedoms,droits,86, 86|88,freedoms,rights
must,homme,87, 87|90,must,man
considered,libertés,88, 88|92,considered,freedoms
priority,fondamentales,89,* 89|95,priority,fundamental
objective,doivent,90,90|92,objective,must
united,être,91,* 91|98,united,to be
nations,considérées,92,* 92|97,nations,considered
accordance,comme,93,## 93|99,accordance,like
purposes,objectif,94,,purposes,goal
principles,prioritaire,95,* 95|109,principles,priority
particular,organisation,96,* 96|102,particular,organization
purpose,nations,97,,purpose,nations
international,unies,98,,international,united
cooperation,conformément,99, 99|104,cooperation,in accordance
within,buts,100,,within,goals
framework,principes,101, 101|107,framework,principles
purposes,particulier,102,,purposes,particular
principles,celui,103, 103|101,principles,the one
promotion,coopération,104,* 104|110,promotion,cooperation
protection,internationale,105,* 105|111,protection,international
human,que,106,## 106|114,human,than
rights,cadre,107,* 107|113,rights,framework
legitimate,buts,108,* 108|116,legitimate,goals
concern,principes,109,* 109|115,concern,principles
international,promotion,110, 110|105,international,promotion
community,protection,111,* 111|117,community,protection
considering,tous,112,* 112|119,considering,all
major,droits,113,* 113|121,major,rights
changes,homme,114,* 114|120,changes,man
taking,préoccupation,115,,taking,concern
place,légitime,116,,place,legitimate
international,communauté,117, 117|118,international,community
scene,internationale,118,* 118|123,scene,international
aspirations,considérant,119,* 119|125,aspirations,considering
peoples,changements,120,* 120|127,peoples,changes
international,majeurs,121, 121|124,international,major
order,sopèrent,122,* 122|128,order,operate
based,scène,123,* 123|130,based,scene
principles,internationale,124,,principles,international
enshrined,aspirations,125,,enshrined,aspirations
charter,tous,126,* 126|133,charter,all
including,peuples,127,,including,peoples
promoting,ordre,128,128|135,promoting,order
encouraging,international,129,,encouraging,international
respect,fondé,130,* 130|143,respect,based
human,principes,131,## 131|139,human,principles
rights,consacrés,132, 132|138,rights,consecrated
fundamental,charte,133,* 133|141,fundamental,charter
freedoms,compris,134, 134|140,freedoms,understood
respect,promotion,135, 135|137,respect,promotion
principle,encouragement,136,# 136|131,principle,encouragement
equal,respect,137,## 137|152,equal,respect
rights,droits,138,* 138|146,rights,rights
self-determination,homme,139,* 139|147,self-determination,man
peoples,libertés,140,* 140|148,peoples,freedoms
peace,fondamentales,141,* 141|149,peace,fundamental
democracy,tous,142,* 142|150,democracy,all
justice,respect,143,* 143|151,justice,respect
equality,principe,144, 144|145,equality,principle
rule,égalité,145,,rule,equality
law,droits,146,* 146|154,law,rights
pluralism,autodétermination,147,* 147|155,pluralism,self-determination
development,peuples,148,* 148|156,development,peoples
better,paix,149,,better,peace
standards,démocratie,150,,standards,democracy
living,justice,151,,living,justice
solidarity,égalité,152,* 152|160,solidarity,equality
recognizing,état,153,,recognizing,state
international,droit,154,* 154|129,international,law
community,pluralisme,155,* 155|162,community,pluralism
devise,développement,156,,devise,development
ways,amélioration,157,* 157|167,ways,improvement
means,niveau,158,,means,level
remove,vie,159,,remove,life
current,solidarité,160,## 160|169,current,solidarity
obstacles,reconnaissant,161,,obstacles,grateful
meet,communauté,162,,meet,community
challenges,internationale,163,,challenges,international
full,devrait,164,* 164|172,full,should
realization,concevoir,165,,realization,design
human,voies,166,## 166|176,human,lanes
rights,moyens,167,,rights,ways
prevent,éliminer,168,## 168|177,prevent,eliminate
continuation,courants,169,,continuation,currents
human,relever,170,## 170|181,human,raise
rights,défis,171, 171|175,rights,challenges
violations,pleine,172,* 172|179,violations,full
resulting,réalisation,173,## 173|182,resulting,production
therefrom,tous,174,,therefrom,all
throughout,droits,175,,throughout,rights
world,homme,176,* 176|183,world,man
well,empêcher,177,,well,to prevent
continue,poursuite,178,* 178|186,continue,pursuit
pay,violations,179,,pay,violations
attention,droits,180,,attention,rights
importance,homme,181,* 181|189,importance,man
mutual,résultent,182,* 182|191,mutual,result
cooperation,monde,183,** 183|202,cooperation,world
understanding,entier,184,* 184|192,understanding,whole
dialogue,ainsi,185,* 185|193,dialogue,Thus
ensuring,continuer,186,,ensuring,Continue
promotion,prêter,187,* 187|195,promotion,to lend
protection,attention,188,* 188|196,protection,Warning
human,importance,189,,human,importance
rights,coopération,190,* 190|180,rights,cooperation
reaffirming,mutuelle,191,* 191|200,reaffirming,mutual
enhancement,compréhension,192,,enhancement,understanding
international,dialogue,193,* 193|203,international,dialogue
cooperation,assurer,194, 194|190,cooperation,to assure
field,promotion,195,,field,promotion
human,protection,196,# 196|199,human,protection
rights,tous,197, 197|198,rights,all
essential,droits,198,* 198|207,essential,rights
full,homme,199,* 199|208,full,man
achievement,réaffirmant,200,,achievement,reaffirming
purposes,renforcement,201,,purposes,reinforcement
united,coopération,202,* 202|213,united,cooperation
nations,internationale,203,* 203|212,nations,international
human,domaine,204,# 204|206,human,domain
rights,droits,205, 205|205,rights,rights
fundamental,homme,206,* 206|217,fundamental,man
freedoms,essentiel,207,** 207|226,freedoms,essential
birthright,pleine,208,,birthright,full
human,réalisation,209,* 209|222,human,production
beings,objectifs,210,* 210|221,beings,Goals
protection,organisation,211,* 211|223,protection,organization
promotion,nations,212,* 212|224,promotion,nations
rights,unies,213, 213|214,rights,united
freedoms,droits,214, 214|216,freedoms,rights
first,homme,215,** 215|227,first,man
responsibility,libertés,216,** 216|228,responsibility,freedoms
governments,fondamentales,217,** 217|229,governments,fundamental
reaffirming,droit,218,,reaffirming,law
also,inné,219,* 219|231,also,innate
human,tous,220,# 220|215,human,all
rights,êtres,221, 221|225,rights,beings
universal,humains,222,* 222|235,universal,human
indivisible,protection,223,* 223|236,indivisible,protection
interdependent,promotion,224,* 224|237,interdependent,promotion
interrelated,droits,225,,interrelated,rights
international,libertés,226,** 226|163,international,freedoms
community,première,227,* 227|240,community,first
must,responsabilité,228,** 228|242,must,responsibility
treat,gouvernements,229,### 229|243,treat,governments
human,réaffirmant,230,# 230|234,human,reaffirming
rights,également,231, 231|233,rights,also
globally,tous,232,# 232|232,globally,all
fair,droits,233,,fair,rights
equal,homme,234,** 234|249,equal,man
manner,universels,235,## 235|245,manner,universal
footing,indivisibles,236,### 236|250,footing,indivisible
emphasis,interdépendants,237,,emphasis,interdependent
reaffirming,intimement,238, 238|230,reaffirming,intimately
various,liés,239,,various,related
articles,communauté,240,,articles,community
charter,internationale,241,,charter,international
setting,doit,242,,setting,must
respective,traiter,243,,respective,to treat
powers,droits,244,,powers,rights
functions,homme,245,,functions,man
general,monde,246,,general,world
assembly,manière,247,,assembly,manner
security,juste,248,,security,just
council,égale,249,,council,equal
economic,pied,250,,economic,foot
social,insistance,251,,social,insistence
council,réaffirmant,252,,council,reaffirming
paramount,outre,253,,paramount,outraged
framework,divers,254,,framework,various
achievement,articles,255,,achievement,articles
purposes,charte,256,,purposes,charter
united,énonçant,257,,united,stating
nations,pouvoirs,258,,nations,powers
,fonctions,259,,,functions
,respectifs,260,,,respective
,assemblée,261,,,Assembly
,générale,262,,,general
,conseil,263,,,advice
,sécurité,264,,,security
,conseil,265,,,advice
,économique,266,,,economic
,social,267,,,social
,tant,268,,,so much
,cadre,269,,,framework
,primordial,270,,,primordial
,réalisation,271,,,production
,objectifs,272,,,Goals
,organisation,273,,,organization
,nations,274,,,nations
,unies,275,,,united
