french,german,index,alignment,french_eng,german_eng
sexe,insbesondere,57,57|50,sex,in particular
langue,entschlossenheit,58,58|51,tongue,determination
religion,glauben,59,* 59|52,religion,believe
rappelant,grundlegenden,60,,reminding,basic
également,menschenrechte,61,,also,human rights
préambule,wert,62,* 62|55,preamble,value
charte,menschlichen,63,* 63|56,charter,human
particulier,person,64,## 64|57,particular,person
détermination,gleichberechtigung,65,* 65|58,determination,equal rights
réaffirmer,männern,66,# 66|72,reaffirm,men
foi,frauen,67,67|59,faith,women
droits,sowie,68,,rights,as
fondamentaux,großen,69,,fundamentals,huge
homme,kleinen,70,70|65,man,small
dignité,nationen,71,,dignity,nations
valeur,bekräftigen,72,* 72|62,value,affirm
personne,bekräftigend,73,,anybody,affirming
humaine,förderung,74,,human,advancement
égalité,schutz,75,"75,76|65",equality,protection
droits,menschenrechte,76,,rights,human rights
hommes,grundfreiheiten,77,66|66,men,fundamental freedoms
femmes,einklang,78,78|67,women,unison
nations,zielen,79, 79|71,nations,aim
grandes,grundsätzen,80,80|69,large,principles
petites,insbesondere,81,81|70,small,in particular
réaffirmant,zweck,82,## 82|73,reaffirming,purpose
promotion,internationalen,83,83|74,promotion,international
protection,zusammenarbeit,84,* 84|75,protection,cooperation
tous,vorrangiges,85,,all,priority
droits,ziel,86,"86,87|76",rights,target
homme,vereinten,87,,man,united
libertés,nationen,88,"88,89|77",freedoms,nations
fondamentales,anzusehen,89,,fundamental,to watch
doivent,sind,90,,must,are
être,rahmen,91,,to be,frame
considérées,ziele,92,,considered,goals
comme,grundsätze,93,,like,principles
objectif,förderung,94,# 94|92,goal,advancement
prioritaire,schutz,95,* 95|85,priority,protection
organisation,menschenrechte,96,,organization,human rights
nations,legitimes,97,* 97|88,nations,legitimate
unies,anliegen,98,* 98|87,united,issue
conformément,internationalen,99,,in accordance,international
buts,gemeinschaft,100,,goals,community
principes,anbetracht,101,101|80,principles,considering
particulier,großen,102,### 102|81,particular,huge
celui,veränderungen,103,103|78,the one,changes
coopération,internationalen,104,** 104|84,cooperation,international
internationale,bühne,105,105|84,international,stage
que,bestrebungen,106,,than,aspirations
cadre,völker,107,### 107|91,framework,people
buts,internationalen,108,,goals,international
principes,ordnung,109,109|93,principles,order
promotion,grundlage,110,,promotion,basis
protection,charta,111,** 111|95,protection,charter
tous,verankerten,112,,all,anchored
droits,grundsätze,113,"113,114|96",rights,principles
homme,einschließlich,114,,man,including
préoccupation,förderung,115,115|101,concern,advancement
légitime,ermutigung,116,** 116|97,legitimate,encouragement
communauté,achtung,117,** 117|100,community,Attention
internationale,menschenrechte,118,* 118|108,international,human rights
considérant,grundfreiheiten,119,** 119|101,considering,fundamental freedoms
changements,achtung,120,** 120|103,changes,Attention
majeurs,grundsatzes,121,,major,principle
sopèrent,gleichberechtigung,122,,operate,equal rights
scène,selbstbestimmung,123,,scene,self-determination
internationale,völker,124,*** 124|99,international,people
aspirations,frieden,125,** 125|106,aspirations,peace
tous,demokratie,126,,all,democracy
peuples,gerechtigkeit,127,# 127|124,peoples,Justice
ordre,gleichheit,128,** 128|109,order,equality
international,rechtsstaatlichkeit,129,* 129|136,international,rule of law
fondé,pluralismus,130,#### 130|156,based,pluralism
principes,entwicklung,131,## 131|121,principles,development
consacrés,besserer,132,,consecrated,better
charte,lebensstandard,133,** 133|111,charter,standard of living
compris,solidarität,134,,understood,solidarity
promotion,erkenntnis,135,,promotion,Understanding
encouragement,internationale,136,** 136|116,encouragement,international
respect,gemeinschaft,137,######### 137|218,respect,community
droits,mittel,138,### 138|152,rights,middle
homme,wege,139,,man,ways
libertés,finden,140,#### 140|189,freedoms,Find
fondamentales,sollte,141,#### 141|182,fundamental,should
tous,strömungen,142,# 142|144,all,currents
respect,beseitigen,143,### 143|159,respect,remove
principe,herausforderungen,144,###### 144|80,principle,challenges
égalité,vollständigen,145,** 145|128,equality,complete
droits,verwirklichung,146,# 146|147,rights,realization
autodétermination,menschenrechte,147,*** 147|123,self-determination,human rights
peuples,stellen,148,#### 148|184,peoples,place
paix,fortsetzung,149,*** 149|125,peace,continuation
démocratie,daraus,150,*** 150|126,democracy,from it
justice,resultierenden,151,*** 151|127,justice,resulting
égalité,menschenrechtsverletzungen,152,,equality,human rights violations
état,ganzen,153,,state,entire
droit,welt,154,#### 154|129,law,world
pluralisme,verhindern,155,*** 155|130,pluralism,impede
développement,sowie,156,*** 156|131,development,as
amélioration,weiterhin,157,** 157|169,improvement,Farther
niveau,bedeutung,158,,level,meaning
vie,achten,159,,life,"respect, think highly of"
solidarité,gegenseitigen,160,*** 160|134,solidarity,mutual
reconnaissant,zusammenarbeit,161,,grateful,cooperation
communauté,verständnisses,162,*** 162|137,community,understanding
internationale,dialogs,163,* 163|170,international,dialogs
devrait,förderung,164,*** 164|141,should,advancement
concevoir,schutz,165,,design,protection
voies,menschenrechte,166,,lanes,human rights
moyens,gewährleisten,167,*** 167|139,ways,guarantee
éliminer,bekräftigend,168,,eliminate,affirming
courants,verbesserung,169,*** 169|142,currents,improvement
relever,internationalen,170,,raise,international
défis,zusammenarbeit,171,,challenges,cooperation
pleine,bereich,172, 172|174,full,area
réalisation,menschenrechte,173,,production,human rights
tous,volle,174,,all,full
droits,verwirklichung,175,# 175|173,rights,realization
homme,ziele,176,## 176|166,man,goals
empêcher,vereinten,177,### 177|194,to prevent,united
poursuite,nationen,178,,pursuit,nations
violations,wesentlicher,179,,violations,more essential
droits,bedeutung,180,# 180|181,rights,meaning
homme,menschenrechte,181,,man,human rights
résultent,grundfreiheiten,182,#### 182|151,result,fundamental freedoms
monde,geburtsrecht,183,*** 183|154,world,birthright
entier,menschen,184,,whole,people
ainsi,sind,185,,Thus,are
continuer,schutz,186,,Continue,protection
prêter,förderung,187,,to lend,advancement
attention,rechte,188,,Warning,right
importance,freiheiten,189,,importance,freedom
coopération,erste,190,** 190|171,cooperation,first
mutuelle,verantwortung,191,*** 191|160,mutual,responsibility
compréhension,regierungen,192,*** 192|162,understanding,governments
dialogue,bekräftigend,193,,dialogue,affirming
assurer,auch,194,############## 194|68,to assure,even
promotion,menschenrechte,195,,promotion,human rights
protection,universell,196,* 196|186,protection,universal
tous,unteilbar,197,,all,indivisible
droits,voneinander,198,# 198|195,rights,from each other
homme,abhängig,199,# 199|204,man,addicted
réaffirmant,miteinander,200,# 200|193,reaffirming,together
renforcement,verbunden,201,,reinforcement,tied together
coopération,internationale,202,**** 202|161,cooperation,international
internationale,gemeinschaft,203, 203|202,international,community
domaine,menschenrechte,204,,domain,human rights
droits,weltweit,205,# 205|208,rights,worldwide
homme,fair,206,,man,fair
essentiel,gleich,207,#### 207|179,essential,same
pleine,gleichberechtigt,208,,full,Equal rights
réalisation,gleichen,209,,production,same
objectifs,nachdruck,210,*** 210|228,Goals,emphasis
organisation,behandeln,211,,organization,treat
nations,weiterer,212,*********** 212|178,nations,further
unies,bekräftigung,213,*********** 213|177,united,affirmation
droits,verschiedenen,214,,rights,different
homme,artikel,215,,man,items
libertés,charta,216,,freedoms,charter
fondamentales,denen,217,,fundamental,those
droit,jeweiligen,218,,law,respective
inné,befugnisse,219,,innate,powers
tous,funktionen,220,,all,functions
êtres,generalversammlung,221,,beings,general assembly
humains,sicherheitsrats,222,,human,security council
protection,wirtschafts-,223,********* 223|165,protection,economic
promotion,sozialrats,224,,promotion,social council
droits,überragenden,225,,rights,outstanding
libertés,rahmen,226,,freedoms,frame
première,verwirklichung,227,********* 227|190,first,realization
responsabilité,ziele,228,********* 228|191,responsibility,goals
gouvernements,vereinten,229,********* 229|192,governments,united
réaffirmant,nationen,230,########## 230|168,reaffirming,nations
également,festgelegt,231,,also,set
tous,,232,,all,
droits,,233,,rights,
homme,,234,,man,
universels,,235,,universal,
indivisibles,,236,,indivisible,
interdépendants,,237,,interdependent,
intimement,,238,,intimately,
liés,,239,,related,
communauté,,240,,community,
internationale,,241,,international,
doit,,242,,must,
traiter,,243,,to treat,
droits,,244,,rights,
homme,,245,,man,
monde,,246,,world,
manière,,247,,manner,
juste,,248,,just,
égale,,249,,equal,
pied,,250,,foot,
insistance,,251,,insistence,
réaffirmant,,252,,reaffirming,
outre,,253,,outraged,
divers,,254,,various,
articles,,255,,articles,
charte,,256,,charter,
énonçant,,257,,stating,
pouvoirs,,258,,powers,
fonctions,,259,,functions,
respectifs,,260,,respective,
assemblée,,261,,Assembly,
générale,,262,,general,
conseil,,263,,advice,
sécurité,,264,,security,
conseil,,265,,advice,
économique,,266,,economic,
social,,267,,social,
tant,,268,,so much,
cadre,,269,,framework,
primordial,,270,,primordial,
réalisation,,271,,production,
objectifs,,272,,Goals,
organisation,,273,,organization,
nations,,274,,nations,
unies,,275,,united,
