english,russian,index,alignment,english_eng,russian_eng
,устанавливающие,259,,,establishing
,соответствующие,260,,,the corresponding
,полномочия,261,,,credentials
,функции,262,,,function
,генеральной,263,,,general
,ассамблеи,264,,,assemblies
,совета,265,,,advice
,безопасности,266,,,security
,экономического,267,,,economic
,социального,268,,,social
,совета,269,,,advice
,качестве,270,,,quality
,важнейших,271,,,the most important
,рамок,272,,,framework
,достижения,273,,,achievements
,целей,274,,,goals
,организации,275,,,organization
,объединенных,276,,,united
,наций,277,,,nations
