spanish,french,index,alignment,spanish_eng,french_eng
principio,charte,133,133|144,beginning,charter
igualdad,compris,134,** 134|152,equality,understood
derechos,promotion,135, 135|138,Rights,promotion
autodeterminación,encouragement,136,136|147,self determination,encouragement
pueblos,respect,137,,towns,respect
paz,droits,138,* 138|149,peace,rights
democracia,homme,139,* 139|150,democracy,man
justicia,libertés,140,* 140|151,Justice,freedoms
igualdad,fondamentales,141, 141|145,equality,fundamental
derecho,tous,142,# 142|146,right,all
pluralismo,respect,143,** 143|155,pluralism,respect
desarrollo,principe,144,,developing,principle
mejores,égalité,145,,top,equality
niveles,droits,146,### 146|158,levels,rights
vida,autodétermination,147,** 147|159,life,self-determination
solidaridad,peuples,148,148|160,solidarity,peoples
reconociendo,paix,149,149|161,acknowledging,peace
comunidad,démocratie,150,** 150|162,community,democracy
internacional,justice,151,* 151|129,international,justice
debe,égalité,152,,has to,equality
idear,état,153,,devise,state
formas,droit,154,,shapes,law
medios,pluralisme,155,,media,pluralism
eliminar,développement,156,,remove,development
corrientes,amélioration,157,,streams,improvement
hacer,niveau,158,,do,level
frente,vie,159,,front,life
desafíos,solidarité,160,### 160|126,challenges,solidarity
plena,reconnaissant,161,** 161|172,full,grateful
realización,communauté,162,,realization,community
derechos,internationale,163,,Rights,international
humanos,devrait,164,,humans,should
prevenir,concevoir,165,* 165|177,to prevent,design
continuación,voies,166,,continuation,lanes
violaciones,moyens,167,* 167|179,violations,ways
derechos,éliminer,168,* 168|175,Rights,eliminate
humanos,courants,169,## 169|176,humans,currents
resultantes,relever,170,## 170|182,resulting,raise
mundo,défis,171,* 171|183,world,challenges
así,pleine,172,## 172|160,So,full
seguir,réalisation,173,** 173|186,continue,production
prestando,tous,174,,lending,all
atención,droits,175,,attention,rights
importancia,homme,176,** 176|189,importance,man
cooperación,empêcher,177,** 177|202,cooperation,to prevent
entendimiento,poursuite,178,** 178|192,understanding,pursuit
diálogo,violations,179,** 179|193,dialogue,violations
mutuos,droits,180,* 180|191,mutual,rights
garantizar,homme,181,,to guarantee,man
promoción,résultent,182,*** 182|224,promotion,result
protección,monde,183,*** 183|223,protection,world
derechos,entier,184, 184|180,Rights,whole
humanos,ainsi,185,# 185|181,humans,Thus
reafirmando,continuer,186,* 186|200,reaffirming,Continue
fortalecimiento,prêter,187,,strengthening,to lend
cooperación,attention,188, 188|190,cooperation,Warning
internacional,importance,189,** 189|163,international,importance
esfera,coopération,190,,sphere,cooperation
derechos,mutuelle,191,**** 191|244,Rights,mutual
humanos,compréhension,192,#### 192|234,humans,understanding
fundamental,dialogue,193,,fundamental,dialogue
pleno,assurer,194,* 194|208,full,to assure
logro,promotion,195,,achievement,promotion
propósitos,protection,196,,purposes,protection
naciones,tous,197,* 197|212,nations,all
unidas,droits,198,* 198|213,united,rights
derechos,homme,199, 199|198,Rights,man
humanos,réaffirmant,200,# 200|199,humans,reaffirming
libertades,renforcement,201,** 201|226,freedoms,reinforcement
fundamentales,coopération,202,* 202|217,fundamental,cooperation
derecho,internationale,203,# 203|205,right,international
innato,domaine,204,* 204|219,innate,domain
seres,droits,205,,beings,rights
humanos,homme,206,# 206|206,humans,man
protección,essentiel,207,* 207|196,protection,essential
promoción,pleine,208,* 208|195,promotion,full
derechos,réalisation,209,** 209|233,Rights,production
libertades,objectifs,210, 210|216,freedoms,Goals
siendo,organisation,211,## 211|221,being,organization
primera,nations,212,** 212|227,first,nations
responsabilidad,unies,213,** 213|228,responsibility,united
gobiernos,droits,214,** 214|229,governments,rights
reafirmando,homme,215,**** 215|252,reaffirming,man
derechos,libertés,216, 216|214,Rights,freedoms
humanos,fondamentales,217,# 217|215,humans,fundamental
universales,droit,218,** 218|235,universal,law
indivisibles,inné,219,** 219|236,indivisible,innate
interdependientes,tous,220,** 220|237,interdependent,all
interrelacionados,êtres,221,### 221|239,interrelated,beings
comunidad,humains,222,** 222|240,community,human
internacional,protection,223,* 223|203,international,protection
debe,promotion,224,,has to,promotion
tratar,droits,225,#### 225|243,treat,rights
derechos,libertés,226, 226|225,Rights,freedoms
humanos,première,227,# 227|222,humans,first
mundo,responsabilité,228,*** 228|246,world,responsibility
manera,gouvernements,229,,way,governments
justa,réaffirmant,230,,fair,reaffirming
equitativa,également,231,,equitable,also
pie,tous,232,*** 232|250,foot,all
igualdad,droits,233,#### 233|249,equality,rights
mismo,homme,234,,same,man
énfasis,universels,235,,emphasis,universal
reafirmando,indivisibles,236,* 236|230,reaffirming,indivisible
además,interdépendants,237,,what's more,interdependent
diversos,intimement,238,,various,intimately
artículos,liés,239,,articles,related
carta,communauté,240,,letter,community
establecen,internationale,241,,establish,international
poderes,doit,242,,powers,must
funciones,traiter,243,,functions,to treat
respectivos,droits,244,,respective,rights
asamblea,homme,245,,Assembly,man
general,monde,246,,general,world
consejo,manière,247,,tip,manner
seguridad,juste,248,,security,just
consejo,égale,249,,tip,equal
económico,pied,250,,economic,foot
social,insistance,251,,Social,insistence
marco,réaffirmant,252,,frame,reaffirming
fundamental,outre,253,,fundamental,outraged
logro,divers,254,,achievement,various
propósitos,articles,255,,purposes,articles
naciones,charte,256,,nations,charter
unidas,énonçant,257,,united,stating
,pouvoirs,258,,,powers
,fonctions,259,,,functions
,respectifs,260,,,respective
,assemblée,261,,,Assembly
,générale,262,,,general
,conseil,263,,,advice
,sécurité,264,,,security
,conseil,265,,,advice
,économique,266,,,economic
,social,267,,,social
,tant,268,,,so much
,cadre,269,,,framework
,primordial,270,,,primordial
,réalisation,271,,,production
,objectifs,272,,,Goals
,organisation,273,,,organization
,nations,274,,,nations
,unies,275,,,united
