french,russian,index,alignment,french_eng,russian_eng
charte,решимости,63, 63|61,charter,determination
particulier,подтвердить,64, 64|62,particular,confirm
détermination,веру,65, 65|63,determination,faith
réaffirmer,основные,66,66|64,reaffirm,the main
foi,права,67, 67|65,faith,rights
droits,человека,68, 68|67,rights,human
fondamentaux,достоинство,69,69|66,fundamentals,dignity
homme,ценность,70,# 70|68,man,value
dignité,человеческой,71, 71|69,dignity,human
valeur,личности,72, 72|70,value,personality
personne,равные,73,,anybody,equal
humaine,права,74, 74|71,human,rights
égalité,мужчин,75,# 75|73,equality,men
droits,женщин,76, 76|74,rights,women
hommes,больших,77,# 77|76,men,large
femmes,малых,78,78|76,women,small
nations,наций,79, 79|79,nations,nations
grandes,вновь,80, 80|77,large,again
petites,подтверждая,81, 81|78,small,reaffirming
réaffirmant,поощрение,82,82|81,reaffirming,encouragement
promotion,защита,83,83|82,promotion,protection
protection,прав,84, 84|83,protection,right
tous,человека,85,,all,human
droits,основных,86,# 86|84,rights,major
homme,свобод,87,# 87|85,man,freedoms
libertés,должны,88, 88|87,freedoms,must
fondamentales,рассматриваться,89,89|86,fundamental,be considered
doivent,приоритетная,90, 90|88,must,priority
être,цель,91,,to be,goal
considérées,организации,92,# 92|89,considered,organization
comme,объединенных,93,,like,united
objectif,наций,94, 94|91,goal,nations
prioritaire,соответствии,95, 95|90,priority,conformity
organisation,целями,96, 96|92,organization,goals
nations,принципами,97, 97|94,nations,principles
unies,частности,98, 98|93,united,particular
conformément,целью,99,99|95,in accordance,aim
buts,международного,100, 100|96,goals,international
principes,сотрудничества,101, 101|97,principles,cooperation
particulier,рамках,102, 102|98,particular,the framework
celui,этих,103,,the one,of these
coopération,целей,104, 104|101,cooperation,goals
internationale,принципов,105, 105|100,international,principles
que,поощрение,106,,than,encouragement
cadre,защита,107,# 107|102,framework,protection
buts,прав,108, 108|104,goals,right
principes,человека,109, 109|105,principles,human
promotion,являются,110,110|106,promotion,are
protection,законной,111, 111|107,protection,legal
tous,заботой,112,,all,concern
droits,международного,113,# 113|108,rights,international
homme,сообщества,114,# 114|109,man,community
préoccupation,принимая,115, 115|112,concern,taking
légitime,внимание,116,,legitimate,Attention
communauté,основные,117, 117|114,community,the main
internationale,изменения,118, 118|113,international,changes
considérant,происходящие,119,,considering,occurring
changements,международной,120, 120|118,changes,international
majeurs,арене,121,* 121|136,major,arena
sopèrent,стремления,122,,operate,aspirations
scène,народов,123,,scene,peoples
internationale,международному,124, 124|120,international,international
aspirations,порядку,125, 125|122,aspirations,order
tous,основанному,126,,all,founded
peuples,принципах,127, 127|123,peoples,principles
ordre,закрепленных,128, 128|125,order,fixed
international,уставе,129, 129|124,international,bylaws
fondé,включая,130,,based,including
principes,поощрение,131, 131|127,principles,encouragement
consacrés,поощрение,132,,consecrated,encouragement
charte,уважения,133,,charter,respect
compris,прав,134,,understood,right
promotion,человека,135,,promotion,human
encouragement,основных,136, 136|131,encouragement,major
respect,свобод,137, 137|133,respect,freedoms
droits,уважения,138,# 138|134,rights,respect
homme,принципа,139,# 139|135,man,principle
libertés,равноправия,140, 140|137,freedoms,equal rights
fondamentales,самоопределение,141,,fundamental,self-determination
tous,народов,142,,all,peoples
respect,мир,143, 143|138,respect,peace
principe,демократия,144, 144|139,principle,democracy
égalité,справедливость,145, 145|146,equality,Justice
droits,равенство,146,# 146|140,rights,equality
autodétermination,верховенство,147, 147|141,self-determination,supremacy
peuples,закона,148, 148|142,peoples,the law
paix,плюрализм,149, 149|143,peace,pluralism
démocratie,развитие,150, 150|144,democracy,development
justice,повышение,151, 151|145,justice,the rise
égalité,уровня,152,########## 152|270,equality,level
état,жизни,153,,state,life
droit,солидарность,154,## 154|129,law,solidarity
pluralisme,признавая,155,* 155|149,pluralism,recognizing
développement,международное,156,* 156|150,development,international
amélioration,сообщество,157,,improvement,community
niveau,должно,158,* 158|152,level,must
vie,разработать,159,* 159|153,life,to develop
solidarité,пути,160,* 160|154,solidarity,the way
reconnaissant,средства,161,,grateful,funds
communauté,устранения,162, 162|157,community,eliminating
internationale,текущих,163,* 163|156,international,current
devrait,заболеваний,164,,should,diseases
concevoir,решения,165,,design,solutions
voies,проблем,166,,lanes,problems
moyens,пути,167,####### 167|248,ways,the way
éliminer,полной,168,,eliminate,complete
courants,реализации,169,## 169|163,currents,implementation
relever,прав,170,,raise,right
défis,человека,171,,challenges,human
pleine,предотвращения,172,,full,preventing
réalisation,продолжения,173,,production,continuation
tous,нарушений,174,# 174|179,all,violations
droits,прав,175,# 175|170,rights,right
homme,человека,176,# 176|171,man,human
empêcher,связанных,177,,to prevent,related
poursuite,этим,178,,pursuit,by this
violations,всем,179, 179|174,violations,to all
droits,мире,180,# 180|175,rights,the world
homme,также,181,# 181|176,man,also
résultent,продолжать,182,,result,continue
monde,обращать,183,# 183|180,world,to convert
entier,внимание,184,,whole,Attention
ainsi,важность,185,,Thus,importance
continuer,взаимного,186, 186|182,Continue,mutual
prêter,сотрудничества,187,,to lend,cooperation
attention,понимания,188,,Warning,understanding
importance,диалога,189, 189|185,importance,dialogue
coopération,обеспечении,190, 190|187,cooperation,securing
mutuelle,поощрения,191, 191|186,mutual,encouragement
compréhension,защиты,192, 192|188,understanding,protection
dialogue,прав,193, 193|189,dialogue,right
assurer,человека,194,,to assure,human
promotion,вновь,195,,promotion,again
protection,подтверждая,196, 196|192,protection,reaffirming
tous,укрепление,197,,all,strengthening
droits,международного,198,# 198|193,rights,international
homme,сотрудничества,199,# 199|194,man,cooperation
réaffirmant,области,200, 200|196,reaffirming,areas
renforcement,прав,201,,reinforcement,right
coopération,человека,202, 202|199,cooperation,human
internationale,имеет,203, 203|198,international,It has
domaine,важное,204,,domain,important
droits,значение,205,# 205|201,rights,meaning
homme,полного,206,# 206|202,man,complete
essentiel,достижения,207,,essential,achievements
pleine,целей,208,,full,goals
réalisation,организации,209,,production,organization
objectifs,объединенных,210, 210|208,Goals,united
organisation,наций,211, 211|209,organization,nations
nations,права,212, 212|211,nations,rights
unies,человека,213, 213|210,united,human
droits,основные,214, 214|212,rights,the main
homme,свободы,215,# 215|213,man,freedom
libertés,являются,216,# 216|215,freedoms,are
fondamentales,неотъемлемым,217,,fundamental,integral
droit,правом,218,####### 218|148,law,right
inné,людей,219,,innate,of people
tous,защита,220,,all,protection
êtres,поощрение,221,# 221|225,beings,encouragement
humains,таких,222, 222|233,human,such
protection,прав,223, 223|220,protection,right
promotion,свобод,224,,promotion,freedoms
droits,будучи,225,# 225|218,rights,being
libertés,первоочередной,226, 226|224,freedoms,priority
première,обязанностью,227,,first,duty
responsabilité,правительств,228,,responsibility,governments
gouvernements,вновь,229, 229|228,governments,again
réaffirmant,подтверждая,230, 230|230,reaffirming,reaffirming
également,также,231, 231|231,also,also
tous,права,232,,all,rights
droits,человека,233,# 233|223,rights,human
homme,универсальны,234,# 234|243,man,universal
universels,неделимы,235, 235|234,universal,indivisible
indivisibles,взаимозависимы,236, 236|235,indivisible,interdependent
interdépendants,взаимосвязаны,237, 237|236,interdependent,interconnected
intimement,международное,238,,intimately,international
liés,сообщество,239,# 239|241,related,community
communauté,должно,240, 240|239,community,must
internationale,относиться,241, 241|238,international,relate
doit,правам,242, 242|240,must,rights
traiter,человека,243,,to treat,human
droits,глобальном,244, 244|232,rights,global
homme,масштабе,245,,man,scale
monde,справедливым,246,,world,fair
manière,равным,247,,manner,equal
juste,образом,248,,just,way
égale,одинаковой,249, 249|247,equal,the same
pied,основе,250,,foot,basis
insistance,одинаковым,251,,insistence,the same
réaffirmant,вниманием,252, 252|254,reaffirming,attention
outre,вновь,253,,outraged,again
divers,подтверждая,254, 254|256,various,reaffirming
articles,далее,255, 255|257,articles,Further
charte,различные,256, 256|258,charter,various
énonçant,статьи,257,,stating,articles
pouvoirs,устава,258,,powers,charter
fonctions,устанавливающие,259,# 259|262,functions,establishing
respectifs,соответствующие,260,,respective,the corresponding
assemblée,полномочия,261,,Assembly,credentials
générale,функции,262, 262|263,general,function
conseil,генеральной,263, 263|265,advice,general
sécurité,ассамблеи,264, 264|266,security,assemblies
conseil,совета,265, 265|269,advice,advice
économique,безопасности,266, 266|267,economic,security
social,экономического,267, 267|268,social,economic
tant,социального,268,,so much,social
cadre,совета,269, 269|272,framework,advice
primordial,качестве,270,,primordial,quality
réalisation,важнейших,271,,production,the most important
objectifs,рамок,272,,Goals,framework
organisation,достижения,273,****************** 273|29,organization,achievements
nations,целей,274,,nations,goals
unies,организации,275,,united,organization
,объединенных,276,,,united
,наций,277,,,nations
