english,spanish,index,alignment,english_eng,spanish_eng
full,derechos,199, 199|194,full,Rights
achievement,humanos,200, 200|195,achievement,humans
purposes,libertades,201, 201|196,purposes,freedoms
united,fundamentales,202, 202|198,united,fundamental
nations,derecho,203, 203|197,nations,right
human,innato,204,# 204|200,human,innate
rights,seres,205, 205|199,rights,beings
fundamental,humanos,206, 206|202,fundamental,humans
freedoms,protección,207, 207|201,freedoms,protection
birthright,promoción,208,# 208|203,birthright,promotion
human,derechos,209,# 209|206,human,Rights
beings,libertades,210, 210|205,beings,freedoms
protection,siendo,211, 211|207,protection,being
promotion,primera,212, 212|208,promotion,first
rights,responsabilidad,213, 213|209,rights,responsibility
freedoms,gobiernos,214, 214|210,freedoms,governments
first,reafirmando,215, 215|212,first,reaffirming
responsibility,derechos,216, 216|213,responsibility,Rights
governments,humanos,217, 217|214,governments,humans
reaffirming,universales,218, 218|215,reaffirming,universal
also,indivisibles,219,,also,indivisible
human,interdependientes,220,# 220|217,human,interdependent
rights,interrelacionados,221, 221|216,rights,interrelated
universal,comunidad,222, 222|218,universal,community
indivisible,internacional,223, 223|219,indivisible,international
interdependent,debe,224, 224|220,interdependent,has to
interrelated,tratar,225, 225|221,interrelated,treat
international,derechos,226, 226|223,international,Rights
community,humanos,227, 227|222,community,humans
must,mundo,228,,must,world
treat,manera,229, 229|225,treat,way
human,justa,230,# 230|227,human,fair
rights,equitativa,231, 231|226,rights,equitable
globally,pie,232,,globally,foot
fair,igualdad,233, 233|230,fair,equality
equal,mismo,234,# 234|233,equal,same
manner,énfasis,235,,manner,emphasis
footing,reafirmando,236,# 236|232,footing,reaffirming
emphasis,además,237, 237|235,emphasis,what's more
reaffirming,diversos,238, 238|236,reaffirming,various
various,artículos,239, 239|238,various,articles
articles,carta,240, 240|239,articles,letter
charter,establecen,241,,charter,establish
setting,poderes,242,,setting,powers
respective,funciones,243, 243|244,respective,functions
powers,respectivos,244, 244|242,powers,respective
functions,asamblea,245, 245|243,functions,Assembly
general,general,246, 246|246,general,general
assembly,consejo,247, 247|245,assembly,tip
security,seguridad,248, 248|248,security,security
council,consejo,249,,council,tip
economic,económico,250, 250|250,economic,economic
social,social,251, 251|251,social,Social
council,marco,252,,council,frame
paramount,fundamental,253,,paramount,fundamental
framework,logro,254,# 254|252,framework,achievement
achievement,propósitos,255, 255|254,achievement,purposes
purposes,naciones,256, 256|255,purposes,nations
united,unidas,257,,united,united
nations,,258,,nations,
