spanish,russian,index,alignment,spanish_eng,russian_eng
período,консультативный,185,* 185|170,period,advisory
sesiones,комитет,186,########## 186|153,sessions,Committee
asamblea,напоминает,187,,Assembly,reminds
general,момент,188,,general,moment
finales,рассмотрения,189,,endings,consideration
véase,предлагаемого,190,,see,the proposed
párrs,бюджета,191,,paras,budget
consecuencia,программам,192,,consequence,programs
comité,двухгодичный,193, 193|186,committee,biennial
abordó,период,194,,on board,period
estimaciones,-,195,,estimates,
iniciales,гг,196,,initials,yy
momento,гм,197,******* 197|188,moment,um
sino,проинформирован,198,,otherwise,informed
indicó,том,199,,Indian,volume
dispuesto,предложение,200,,willing,offer
examinar,управления,201,,examine,management
estimaciones,служб,202,,estimates,services
tan,внутреннего,203,####### 203|185,so,internal
pronto,надзора,204,,early,supervision
disponibles,усвн,205,,available,learned
,существенно,206,,,substantially
,изменено,207,,,changed
,это,208,,,this is
,новое,209,,,new
,предложение,210,,,offer
,представлено,211,,,presented
,шестидесятой,212,,,sixtieth
,сессии,213,,,session
,генеральной,214,,,general
,ассамблеи,215,,,assemblies
,конца,216,,,end
,года,217,,,of the year
,см,218,,,cm
,пункты,219,,,points
,соответственно,220,,,respectively
,комитет,221,,,Committee
,рассматривал,222,,,considered
,первоначальные,223,,,initial
,сметы,224,,,estimates
,время,225,,,time
,вместо,226,,,instead of
,заявил,227,,,stated
,своей,228,,,his
,готовности,229,,,readiness
,принять,230,,,accept
,сметы,231,,,estimates
,будут,232,,,will be
,получены,233,,,received
