french,german,index,alignment,french_eng,german_eng
bureau,an,92,## 92|99,office,at
dont,vertragsparteien,93,,of which,contracting parties
parmi,urkunden,94,,among,certificates
représentants,eröffnung,95,# 95|90,representatives,opening
etats,tagung,96, 96|91,states,meeting
parties,kraft,97,,parts,force
convention,getreten,98,** 98|76,convention,kicked
plusieurs,ämter,99,,various,offices
si,präsidenten,100,# 100|94,if,presidents
possible,berichterstatters,101,### 101|79,possible,rapporteur
tous,konferenz,102,# 102|104,all,conference
protocoles,unterliegen,103,** 103|80,protocols,subject
entrés,normalerweise,104,,entered,normally
vigueur,rotationswechsel,105,,vigor,rotation change
ouverture,fünf,106,* 106|95,opening,five
session,regionalgruppen,107,,session,regional groups
bureau,namen,108,#### 108|127,office,names
comprend,mitgliedstaaten,109,,understand,member states
moins,vereinten,110,,less,united
deux,nationen,111,,of them,nations
représentants,mitglieder,112,##### 112|73,representatives,members
etats,europäischen,113,# 113|109,states,European
parties,union,114,,parts,union
tous,sechzigste,115,,all,sixtieth
instruments,tagung,116,,instruments,meeting
entrés,tagesordnungspunkt,117,,entered,agenda item
vigueur,vorgeschlagener,118,,vigor,proposed
ouverture,programmhaushalt,119,**** 119|81,opening,program budget
session,zweijahreszeitraum,120,,session,biennium
bureaux,-,121,,offices,
président,vorgeschlagener,122,#### 122|100,President,proposed
rapporteur,programmhaushalt,123,,protractor,program budget
conférence,zweijahreszeitraum,124,*** 124|102,conference,biennium
normalement,-,125,,normally,
soumis,abschnitt,126,**** 126|161,submitted,section
rotation,amt,127,#### 127|105,rotation,government office
entre,interne,128,,Between,internal
cinq,aufsichtsdienste,129,************** 129|67,five,supervisory services
groupes,fünfzehnter,130,,groups,fifteenth
régionaux,bericht,131,,regional,report
nom,beratenden,132,#### 132|108,name,advisory
états,ausschusses,133,************* 133|74,states,committee
membres,verwaltungs-,134,,members,administrative
nations,haushaltsfragen,135,**** 135|111,nations,budgetary issues
unies,beratende,136,**** 136|110,united,advisory
membres,ausschuss,137,,members,committee
union,erinnert,138,**** 138|114,union,remind
européenne,daran,139,**** 139|113,european,to it
soixantième,zeitpunkt,140,** 140|157,sixtieth,time
session,prüfung,141,,session,test
point,vorgeschlagenen,142,,point,proposed
ordre,programmhaushalts,143,################ 143|5,order,program budget
jour,rechnungsperiode,144,,day,accounting period
projet,-,145,,project,
budget,wurde,146,# 146|143,budget,became
-,mitgeteilt,147,,,communicated
programme,vorschlag,148,,program,proposal
exercice,amtes,149,,exercise,office
biennal,interne,150,,biennial,internal
-,aufsichtsdienste,151,,,supervisory services
projet,aiad,152,,project,aiad
budget,grundlegend,153,### 153|135,budget,fundamental
-,überarbeitet,154,,,revised
programme,neue,155,############ 155|123,program,new
exercice,vorschlag,156,,exercise,proposal
biennal,sechzigsten,157,,biennial,sixtieth
-,tagung,158,,,meeting
chapitre,generalversammlung,159,,chapter,general assembly
bureau,ende,160,* 160|149,office,end
services,vorgelegt,161,## 161|151,services,submitted
contrôle,siehe,162,,control,please refer
interne,a,163,# 163|163,internal,a
quinzième,abs,164,********** 164|130,fifteenth,Section
rapport,dementsprechend,165,********** 165|131,report,accordingly
comité,ausschuss,166, 166|166,committee,committee
consultatif,zeitpunkt,167,********** 167|132,advisory,time
questions,ersten,168,,Questions,first
administratives,schätzungen,169,********** 169|134,administrative,estimates
budgétaires,befasst,170,,budgetary,deals
comité,bereit,171,********** 171|133,committee,ready
rappelle,erklärt,172,,remember,explained
quau,schätzungen,173,,quau,estimates
moment,aufzunehmen,174,,moment,to record
examen,sobald,175,,exam,as soon as
projet,vorliegen,176,,project,are present
budget-programme,,177,********* 177|119,program budget,
exercice,,178,,exercise,
biennal,,179,,biennial,
-,,180,,,
euh,,181,,uh,
a,,182,,To,
informé,,183,,informed,
quil,,184,,that he,
révision,,185,,revision,
substantielle,,186,,substantial,
proposition,,187,,proposal,
bureau,,188,,office,
services,,189,,services,
contrôle,,190,,control,
interne,,191,,internal,
bsci,,192,,bsci,
cette,,193,,this,
nouvelle,,194,,news,
proposition,,195,,proposal,
soumise,,196,,submissive,
cours,,197,,Classes,
soixantième,,198,,sixtieth,
session,,199,,session,
assemblée,,200,,Assembly,
générale,,201,,general,
avant,,202,,before,
fin,,203,,end,
voir,,204,,see,
a,,205,,To,
paras,,206,,paras,
conséquence,,207,,result,
comité,,208,,committee,
na,,209,,n / A,
examiné,,210,,examined,
estimations,,211,,estimates,
initiales,,212,,initials,
moment,,213,,moment,
-,,214,,,
là,,215,,the,
a,,216,,To,
plutôt,,217,,rather,
indiqué,,218,,indicated,
quil,,219,,that he,
prêt,,220,,ready,
examiner,,221,,examine,
estimations,,222,,estimates,
dès,,223,,from,
quelles,,224,,what,
disponibles,,225,,available,
