french,german,index,alignment,french_eng,german_eng
condition,hinweis,91,91|75,condition,Note
essentielle,fortschritte,92,92|74,essential,progress
promotion,weiterentwicklung,93,,promotion,further development
coopération,friedlichen,94,94|78,cooperation,peaceful
internationale,erforschung,95,95|77,international,exploration
matière,anwendung,96,,matter,use
dexploration,weltraums,97,97|79,exploration,space
dutilisation,sowie,98,98|80,of use,as
espace,verschiedenen,99,99|81,space,different
fins,nationalen,100,,ends,national
pacifiques,kooperativen,101, 101|94,peaceful,cooperative
considérant,weltraumprojekten,102,,considering,space projects
débris,erzielt,103,"103,104|87",debris,achieved
spatiaux,wurden,104,,space,became
problème,internationalen,105,* 105|89,problem,international
préoccupe,zusammenarbeit,106,,concerned,cooperation
toutes,beitragen,107,,all,contribute
nations,bedeutung,108,** 108|88,nations,meaning
notant,weiteren,109,,noting,further
progrès,internationalen,110,** 110|92,progress,international
accomplis,zusammenarbeit,111,,accomplished,cooperation
poursuite,bereich,112,,pursuit,area
développement,überzeugt,113,,development,convinced
exploration,bedeutung,114,** 114|132,exploration,meaning
applications,resolution,115,,applications,resolution
spatiales,"""the",116, 116|117,space,"""the"
fins,space,117,,ends,space
pacifiques,millennium,118,** 118|133,peaceful,millennium
ainsi,vienna,119,,Thus,Vienna
divers,declaration,120,,various,declaration
projets,on,121,,projects,on
spatiaux,space,122, 122|122,space,space
nationaux,and,123, 123|121,national,other
coopératifs,human,124,## 124|101,cooperatives,humane
contribuent,"development""",125,** 125|107,contribute,"development """
coopération,enthaltenen,126,** 126|111,cooperation,contained
internationale,empfehlungen,127,** 127|105,international,recommendations
importance,dritten,128,,importance,third
poursuite,konferenz,129,,pursuit,conference
coopération,vereinten,130,,cooperation,united
internationale,nationen,131,** 131|110,international,nations
domaine,erforschung,132,,domain,exploration
convaincue,friedliche,133,** 133|113,convinced,peaceful
importance,nutzung,134,,importance,use
recommandations,weltraums,135,* 135|127,recommendations,space
contenues,unispace,136,* 136|126,contained,unispace
résolution,iii,137,** 137|115,resolution,iii
intitulée,wien,138,,titled,Vienna
"""le",juli,139,** 139|116,"""the",July
millénaire,bericht,140,** 140|118,millennium,report
espace,dritten,141, 141|136,space,third
déclaration,konferenz,142,** 142|120,declaration,conference
vienne,vereinten,143,,come,united
espace,nationen,144, 144|148,space,nations
développement,erforschung,145,,development,exploration
"humain""",friedliche,146,,"human""",peaceful
adoptée,nutzung,147,,adopted,use
troisième,weltraums,148, 148|158,third,space
conférence,wien,149, 149|142,conference,Vienna
nations,-,150, 150|144,nations,
unies,juli,151, 151|153,united,July
exploration,veröffentlichung,152, 152|145,exploration,publication
utilisations,vereinten,153, 153|147,uses,united
pacifiques,nationen,154, 154|146,peaceful,nations
espace,verkaufsnummer,155,** 155|135,space,sales number
extra-atmosphérique,ei,156,,outer space,egg
unispace,kap,157,,unispace,cape
iii,ich,158,,iii,I
tenue,auflösung,159,,outfit,resolution
vienne,schließt,160,,come,closes
juillet,empfehlung,161,,July,recommendation
rapport,ausschusses,162,,report,committee
troisième,an,163,,third,at
conférence,unterausschuss,164,,conference,subcommittee
nations,recht,165, 165|163,nations,Law
unies,vierzigsten,166,,united,fortieth
exploration,tagung,167,,exploration,meeting
utilisations,berücksichtigung,168,,uses,consideration
pacifiques,anliegen,169,,peaceful,issue
espace,länder,170,,space,countries
extra-atmosphérique,insbesondere,171,,outer space,in particular
vienne,entwicklungsländer,172,,come,Developing countries
-,,173,,,
juillet,,174,,July,
publication,,175,,publication,
nations,,176,,nations,
unies,,177,,united,
numéro,,178,,number,
vente,,179,,sale,
ei,,180,,ei,
chap,,181,,chap,
i,,182,,i,
résolution,,183,,resolution,
approuve,,184,,approved,
recommandation,,185,,recommendation,
comité,,186,,committee,
selon,,187,,according to,
laquelle,,188,,which,
sous-comité,,189,,subcommittee,
juridique,,190,,legal,
quarantième,,191,,fortieth,
session,,192,,session,
compte,,193,,account,
tenu,,194,,tenuous,
préoccupations,,195,,concerns,
tous,,196,,all,
pays,,197,,country,
particulier,,198,,particular,
celles,,199,,those,
pays,,200,,country,
développement,,201,,development,
