spanish,german,index,alignment,spanish_eng,german_eng
importancia,declaration,120,,importance,declaration
mayor,on,121,,higher,on
cooperación,space,122,,cooperation,space
internacional,and,123,## 123|100,international,other
esfera,human,124,,sphere,humane
convencidos,"development""",125,* 125|113,convinced,"development """
importancia,enthaltenen,126,,importance,contained
recomendaciones,empfehlungen,127, 127|127,recommendations,recommendations
figuran,dritten,128,,figure,third
resolución,konferenz,129,** 129|159,resolution,conference
titulada,vereinten,130,,titled,united
"""el",nationen,131,** 131|116,"""the",nations
milenio,erforschung,132,** 132|118,millennium,exploration
espacial,friedliche,133, 133|135,space,peaceful
declaración,nutzung,134,,statement,use
viena,weltraums,135, 135|138,vienna,space
espacio,unispace,136, 136|136,space,unispace
desarrollo,iii,137,,developing,iii
"humano""",wien,138,,"human""",Vienna
aprobada,juli,139,,approved,July
tercera,bericht,140, 140|141,third,report
conferencia,dritten,141, 141|142,conference,third
naciones,konferenz,142, 142|144,nations,conference
unidas,vereinten,143, 143|143,united,united
exploración,nationen,144, 144|132,exploration,nations
utilización,erforschung,145,,utilization,exploration
espacio,friedliche,146, 146|148,space,peaceful
ultraterrestre,nutzung,147,,extraterrestrial,use
fines,weltraums,148,,purposes,space
pacíficos,wien,149, 149|146,peaceful,Vienna
unispace,-,150,##### 150|97,unispace,
iii,juli,151, 151|158,iii,July
celebrada,veröffentlichung,152,,celebrated,publication
viena,vereinten,153, 153|149,vienna,united
julio,nationen,154, 154|151,July,nations
informe,verkaufsnummer,155,* 155|140,report,sales number
tercera,ei,156,***** 156|128,third,egg
conferencia,kap,157,***** 157|129,conference,cape
naciones,ich,158, 158|154,nations,I
unidas,auflösung,159, 159|153,united,resolution
exploración,schließt,160, 160|163,exploration,closes
utilización,empfehlung,161,,utilization,recommendation
espacio,ausschusses,162,**** 162|117,space,committee
ultraterrestre,an,163,,extraterrestrial,at
fines,unterausschuss,164,,purposes,subcommittee
pacíficos,recht,165,******* 165|82,peaceful,Law
viena,vierzigsten,166,***** 166|119,vienna,fortieth
julio,tagung,167,**** 167|139,July,meeting
publicación,berücksichtigung,168,**** 168|152,publication,consideration
naciones,anliegen,169,**** 169|131,nations,issue
unidas,länder,170,**** 170|130,united,countries
número,insbesondere,171,#### 171|155,number,in particular
venta,entwicklungsländer,172,,sale,Developing countries
si,,173,,Yes,
cap,,174,,chap,
yo,,175,,me,
resolución,,176,,resolution,
hace,,177,,does,
recomendación,,178,,recommendation,
comité,,179,,committee,
subcomisión,,180,,subcommittee,
asuntos,,181,,matters,
jurídicos,,182,,legal,
º,,183,,º,
período,,184,,period,
sesiones,,185,,sessions,
cuenta,,186,,bill,
preocupaciones,,187,,worries,
países,,188,,countries,
particular,,189,,particular,
países,,190,,countries,
desarrollo,,191,,developing,
,,192,,,
,,193,,,
,,194,,,
,,195,,,
,,196,,,
,,197,,,
,,198,,,
,,199,,,
,,200,,,
,,201,,,
