english,russian,index,alignment,english_eng,russian_eng
importance,пространства,118,* 118|130,importance,space
international,мирных,119, 119|123,international,peaceful
cooperation,целях,120,* 120|129,cooperation,purposes
field,также,121,,field,also
convinced,различных,122,** 122|135,convinced,various
importance,национальных,123,** 123|136,importance,national
recommendations,совместных,124,** 124|137,recommendations,joint
contained,космических,125,** 125|138,contained,space
resolution,проектах,126,** 126|139,resolution,projects
entitled,способствует,127,** 127|140,entitled,promotes
"""the",международному,128,,"""the",international
space,сотрудничеству,129, 129|125,space,cooperation
millennium,важность,130,** 130|142,millennium,importance
vienna,дальнейшего,131,,vienna,further
declaration,международного,132,** 132|144,declaration,international
space,сотрудничества,133,** 133|101,space,cooperation
human,области,134,,human,areas
"development""",убеждены,135,,"development""",convinced
adopted,важности,136,** 136|148,adopted,importance
third,рекомендаций,137,,third,recommendations
united,содержащихся,138,,united,contained
nations,резолюции,139,,nations,resolution
conference,озаглавленной,140,## 140|168,conference,entitled
exploration,«космическое,141,,exploration,"""Space"
peaceful,тысячелетие,142,*** 142|176,peaceful,millennium
uses,венская,143,,uses,Viennese
outer,декларация,144, 144|145,outer,declaration
space,космосе,145, 145|141,space,outer space
unispace,развитии,146,,unispace,development
iii,человека»,147,,iii,"man """
held,принятой,148,,held,adopted
vienna,третьей,149,,vienna,third
july,конференцией,150,,july,conference
report,организации,151,* 151|166,report,organization
third,объединенных,152, 152|149,third,united
united,наций,153, 153|152,united,nations
nations,исследованию,154, 154|153,nations,research
conference,использованию,155, 155|150,conference,using
exploration,космического,156,,exploration,space
peaceful,пространства,157, 157|158,peaceful,space
uses,мирных,158,,uses,peaceful
outer,целях,159,,outer,purposes
space,юниспейс,160, 160|156,space,unispace
vienna,iii,161, 161|163,vienna,iii
-,состоявшейся,162,** 162|179,-,held
july,вене,163, 163|164,july,Vienna
united,июля,164,* 164|170,united,july
nations,г,165,* 165|171,nations,G
publication,отчет,166,,publication,report
sales,третьей,167,,sales,third
no,конференции,168,,no,conferences
ei,организации,169,# 169|178,ei,organization
chap,объединенных,170,,chap,united
i,наций,171, 171|167,i,nations
resolution,исследованию,172,,resolution,research
endorses,использованию,173,,endorses,using
recommendation,космического,174,,recommendation,space
committee,пространства,175,,committee,space
legal,мирных,176,,legal,peaceful
subcommittee,целях,177,,subcommittee,purposes
fortieth,вена,178,,fortieth,vein
session,–,179,,session,-
taking,июля,180, 180|181,taking,july
account,г,181,,account,G
concerns,издание,182,,concerns,edition
countries,организации,183,,countries,organization
particular,объединенных,184,,particular,united
developing,наций,185,,developing,nations
countries,продаже,186,,countries,sale
,№,187,,,No.
,ei,188,,,ei
,гл,189,,,ch
,i,190,,,i
,резолюция,191,,,resolution
,одобряет,192,,,approves
,рекомендацию,193,,,recommendation
,комитета,194,,,committee
,том,195,,,volume
,юридический,196,,,legal
,подкомитет,197,,,subcommittee
,своей,198,,,his
,сороковой,199,,,fortieth
,сессии,200,,,session
,принимая,201,,,taking
,внимание,202,,,Attention
,озабоченности,203,,,concerns
,стран,204,,,countries
,частности,205,,,particular
,развивающихся,206,,,developing
,стран,207,,,countries
