english,spanish,index,alignment,english_eng,spanish_eng
nations,naciones,100, 100|100,nations,nations
noting,observando,101,,noting,watching
progress,progresos,102, 102|102,progress,progress
achieved,logrados,103, 103|103,achieved,achieved
development,desarrollo,104,104|104,development,developing
peaceful,ulterior,105, 105|110,peaceful,subsequent
space,exploración,106,106|108,space,exploration
exploration,aplicaciones,107, 107|106,exploration,Applications
applications,espaciales,108, 108|107,applications,spatial
well,fines,109,,well,purposes
various,pacíficos,110,110|112,various,peaceful
national,así,111, 111|115,national,So
cooperative,varios,112,,cooperative,several
space,proyectos,113,,space,Projects
projects,espaciales,114, 114|113,projects,spatial
contributes,nacionales,115, 115|117,contributes,national
international,cooperación,116, 116|119,international,cooperation
cooperation,contribuyen,117, 117|116,cooperation,contribute
importance,cooperación,118, 118|120,importance,cooperation
international,internacional,119, 119|123,international,international
cooperation,importancia,120, 120|118,cooperation,importance
field,mayor,121,,field,higher
convinced,cooperación,122, 122|125,convinced,cooperation
importance,internacional,123, 123|126,importance,international
recommendations,esfera,124, 124|127,recommendations,sphere
contained,convencidos,125,,contained,convinced
resolution,importancia,126, 126|111,resolution,importance
entitled,recomendaciones,127, 127|130,entitled,recommendations
"""the",figuran,128, 128|131,"""the",figure
space,resolución,129, 129|133,space,resolution
millennium,titulada,130, 130|132,millennium,titled
vienna,"""el",131, 131|135,vienna,"""the"
declaration,milenio,132,,declaration,millennium
space,espacial,133, 133|136,space,space
human,declaración,134, 134|138,human,statement
"development""",viena,135,,"development""",vienna
adopted,espacio,136,,adopted,space
third,desarrollo,137, 137|140,third,developing
united,"humano""",138, 138|143,united,"human"""
nations,aprobada,139, 139|142,nations,approved
conference,tercera,140, 140|141,conference,third
exploration,conferencia,141, 141|144,exploration,conference
peaceful,naciones,142,* 142|165,peaceful,nations
uses,unidas,143,,uses,united
outer,exploración,144,,outer,exploration
space,utilización,145, 145|146,space,utilization
unispace,espacio,146, 146|150,unispace,space
iii,ultraterrestre,147,,iii,extraterrestrial
held,fines,148,,held,purposes
vienna,pacíficos,149, 149|153,vienna,peaceful
july,unispace,150, 150|154,july,unispace
report,iii,151, 151|155,report,iii
third,celebrada,152, 152|156,third,celebrated
united,viena,153, 153|159,united,vienna
nations,julio,154, 154|158,nations,July
conference,informe,155, 155|157,conference,report
exploration,tercera,156, 156|160,exploration,third
peaceful,conferencia,157, 157|149,peaceful,conference
uses,naciones,158,,uses,nations
outer,unidas,159,,outer,united
space,exploración,160, 160|162,space,exploration
vienna,utilización,161, 161|166,vienna,utilization
-,espacio,162,,-,space
july,ultraterrestre,163,,july,extraterrestrial
united,fines,164, 164|170,united,purposes
nations,pacíficos,165, 165|169,nations,peaceful
publication,viena,166, 166|168,publication,vienna
sales,julio,167, 167|172,sales,July
no,publicación,168,,no,publication
ei,naciones,169,,ei,nations
chap,unidas,170, 170|174,chap,united
i,número,171,,i,number
resolution,venta,172, 172|176,resolution,sale
endorses,si,173,,endorses,Yes
recommendation,cap,174, 174|175,recommendation,chap
committee,yo,175, 175|179,committee,me
legal,resolución,176,,legal,resolution
subcommittee,hace,177, 177|180,subcommittee,does
fortieth,recomendación,178,,fortieth,recommendation
session,comité,179,,session,committee
taking,subcomisión,180,,taking,subcommittee
account,asuntos,181,,account,matters
concerns,jurídicos,182,,concerns,legal
countries,º,183,,countries,º
particular,período,184,,particular,period
developing,sesiones,185,,developing,sessions
countries,cuenta,186,,countries,bill
,preocupaciones,187,,,worries
,países,188,,,countries
,particular,189,,,particular
,países,190,,,countries
,desarrollo,191,,,developing
