spanish,french,index,alignment,spanish_eng,french_eng
proyectos,développement,113,* 113|121,Projects,development
espaciales,exploration,114,,spatial,exploration
nacionales,applications,115,# 115|131,national,applications
cooperación,spatiales,116,* 116|130,cooperation,space
contribuyen,fins,117,* 117|125,contribute,ends
cooperación,pacifiques,118,,cooperation,peaceful
internacional,ainsi,119, 119|123,international,Thus
importancia,divers,120,* 120|134,importance,various
mayor,projets,121,,higher,projects
cooperación,spatiaux,122, 122|126,cooperation,space
internacional,nationaux,123, 123|127,international,national
esfera,coopératifs,124,,sphere,cooperatives
convencidos,contribuent,125,* 125|133,convinced,contribute
importancia,coopération,126, 126|128,importance,cooperation
recomendaciones,internationale,127,* 127|135,recommendations,international
figuran,importance,128,,figure,importance
resolución,poursuite,129,* 129|137,resolution,pursuit
titulada,coopération,130,* 130|138,titled,cooperation
"""el",internationale,131,* 131|139,"""the",international
milenio,domaine,132,* 132|140,millennium,domain
espacial,convaincue,133,* 133|116,space,convinced
declaración,importance,134,,statement,importance
viena,recommandations,135,,vienna,recommendations
espacio,contenues,136,* 136|122,space,contained
desarrollo,résolution,137,,developing,resolution
"humano""",intitulée,138,* 138|146,"human""",titled
aprobada,"""le",139,*** 139|184,approved,"""the"
tercera,millénaire,140,* 140|148,third,millennium
conferencia,espace,141,* 141|149,conference,space
naciones,déclaration,142,* 142|150,nations,declaration
unidas,vienne,143,* 143|151,united,come
exploración,espace,144,* 144|152,exploration,space
utilización,développement,145,,utilization,development
espacio,"humain""",146, 146|141,space,"human"""
ultraterrestre,adoptée,147,,extraterrestrial,adopted
fines,troisième,148,,purposes,third
pacíficos,conférence,149,* 149|154,peaceful,conference
unispace,nations,150,# 150|144,unispace,nations
iii,unies,151,* 151|158,iii,united
celebrada,exploration,152,,celebrated,exploration
viena,utilisations,153,,vienna,uses
julio,pacifiques,154,* 154|174,July,peaceful
informe,espace,155,* 155|162,report,space
tercera,extra-atmosphérique,156,* 156|163,third,outer space
conferencia,unispace,157,* 157|164,conference,unispace
naciones,iii,158,* 158|176,nations,iii
unidas,tenue,159, 159|166,united,outfit
exploración,vienne,160, 160|167,exploration,come
utilización,juillet,161,,utilization,July
espacio,rapport,162, 162|157,space,report
ultraterrestre,troisième,163,,extraterrestrial,third
fines,conférence,164,,purposes,conference
pacíficos,nations,165, 165|169,peaceful,nations
viena,unies,166,,vienna,united
julio,exploration,167, 167|161,July,exploration
publicación,utilisations,168, 168|175,publication,uses
naciones,pacifiques,169, 169|165,nations,peaceful
unidas,espace,170,* 170|177,united,space
número,extra-atmosphérique,171,* 171|178,number,outer space
venta,vienne,172,* 172|179,sale,come
si,-,173,,Yes,
cap,juillet,174,* 174|181,chap,July
yo,publication,175, 175|172,me,publication
resolución,nations,176,* 176|183,resolution,nations
hace,unies,177,,does,united
recomendación,numéro,178, 178|182,recommendation,number
comité,vente,179,* 179|186,committee,sale
subcomisión,ei,180,* 180|189,subcommittee,ei
asuntos,chap,181,,matters,chap
jurídicos,i,182,,legal,i
º,résolution,183,,º,resolution
período,approuve,184,,period,approved
sesiones,recommandation,185,,sessions,recommendation
cuenta,comité,186,,bill,committee
preocupaciones,selon,187,,worries,according to
países,laquelle,188,,countries,which
particular,sous-comité,189,,particular,subcommittee
países,juridique,190,,countries,legal
desarrollo,quarantième,191,,developing,fortieth
,session,192,,,session
,compte,193,,,account
,tenu,194,,,tenuous
,préoccupations,195,,,concerns
,tous,196,,,all
,pays,197,,,country
,particulier,198,,,particular
,celles,199,,,those
,pays,200,,,country
,développement,201,,,development
