spanish,russian,index,alignment,spanish_eng,russian_eng
pacíficos,г,165,* 165|176,peaceful,G
viena,отчет,166, 166|163,vienna,report
julio,третьей,167, 167|164,July,third
publicación,конференции,168,,publication,conferences
naciones,организации,169, 169|171,nations,organization
unidas,объединенных,170, 170|170,united,united
número,наций,171,,number,nations
venta,исследованию,172,** 172|186,sale,research
si,использованию,173,,Yes,using
cap,космического,174,## 174|189,chap,space
yo,пространства,175,###### 175|95,me,space
resolución,мирных,176,,resolution,peaceful
hace,целях,177,,does,purposes
recomendación,вена,178,,recommendation,vein
comité,–,179,,committee,-
subcomisión,июля,180,,subcommittee,july
asuntos,г,181,,matters,G
jurídicos,издание,182, 182|181,legal,edition
º,организации,183,,º,organization
período,объединенных,184,,period,united
sesiones,наций,185,,sessions,nations
cuenta,продаже,186, 186|190,bill,sale
preocupaciones,№,187,,worries,No.
países,ei,188,****** 188|109,countries,ei
particular,гл,189,,particular,ch
países,i,190,,countries,i
desarrollo,резолюция,191,,developing,resolution
,одобряет,192,,,approves
,рекомендацию,193,,,recommendation
,комитета,194,,,committee
,том,195,,,volume
,юридический,196,,,legal
,подкомитет,197,,,subcommittee
,своей,198,,,his
,сороковой,199,,,fortieth
,сессии,200,,,session
,принимая,201,,,taking
,внимание,202,,,Attention
,озабоченности,203,,,concerns
,стран,204,,,countries
,частности,205,,,particular
,развивающихся,206,,,developing
,стран,207,,,countries
