english,german,index,alignment,english_eng,german_eng
cooperation,space,117, 117|111,cooperation,space
importance,millennium,118,,importance,millennium
international,vienna,119,* 119|105,international,Vienna
cooperation,declaration,120,* 120|106,cooperation,declaration
field,on,121,,field,on
convinced,space,122,* 122|113,convinced,space
importance,and,123,,importance,other
recommendations,human,124, 124|127,recommendations,humane
contained,"development""",125, 125|126,contained,"development """
resolution,enthaltenen,126,,resolution,contained
entitled,empfehlungen,127,,entitled,recommendations
"""the",dritten,128,,"""the",third
space,konferenz,129,,space,conference
millennium,vereinten,130,,millennium,united
vienna,nationen,131,,vienna,nations
declaration,erforschung,132,,declaration,exploration
space,friedliche,133, 133|135,space,peaceful
human,nutzung,134,# 134|124,human,use
"development""",weltraums,135,,"development""",space
adopted,unispace,136,,adopted,unispace
third,iii,137,,third,iii
united,wien,138, 138|143,united,Vienna
nations,juli,139, 139|131,nations,July
conference,bericht,140, 140|142,conference,report
exploration,dritten,141, 141|132,exploration,third
peaceful,konferenz,142, 142|133,peaceful,conference
uses,vereinten,143, 143|134,uses,united
outer,nationen,144,,outer,nations
space,erforschung,145,145|148,space,exploration
unispace,friedliche,146,,unispace,peaceful
iii,nutzung,147,,iii,use
held,weltraums,148,,held,space
vienna,wien,149, 149|149,vienna,Vienna
july,-,150,,july,
report,juli,151, 151|140,report,July
third,veröffentlichung,152, 152|158,third,publication
united,vereinten,153, 153|153,united,united
nations,nationen,154, 154|144,nations,nations
conference,verkaufsnummer,155,* 155|129,conference,sales number
exploration,ei,156,,exploration,egg
peaceful,kap,157,,peaceful,cape
uses,ich,158,# 158|147,uses,I
outer,auflösung,159,,outer,resolution
space,schließt,160,,space,closes
vienna,empfehlung,161,,vienna,recommendation
-,ausschusses,162,,-,committee
july,an,163,,july,at
united,unterausschuss,164,,united,subcommittee
nations,recht,165,,nations,Law
publication,vierzigsten,166,,publication,fortieth
sales,tagung,167,,sales,meeting
no,berücksichtigung,168,,no,consideration
ei,anliegen,169,,ei,issue
chap,länder,170,,chap,countries
i,insbesondere,171,,i,in particular
resolution,entwicklungsländer,172,,resolution,Developing countries
endorses,,173,,endorses,
recommendation,,174,,recommendation,
committee,,175,,committee,
legal,,176,,legal,
subcommittee,,177,,subcommittee,
fortieth,,178,,fortieth,
session,,179,,session,
taking,,180,,taking,
account,,181,,account,
concerns,,182,,concerns,
countries,,183,,countries,
particular,,184,,particular,
developing,,185,,developing,
countries,,186,,countries,
,,187,,,
,,188,,,
,,189,,,
,,190,,,
,,191,,,
,,192,,,
,,193,,,
,,194,,,
,,195,,,
,,196,,,
,,197,,,
,,198,,,
,,199,,,
,,200,,,
,,201,,,
