french,russian,index,alignment,french_eng,russian_eng
consistant,достижению,86,,consistent,achieving
empêcher,цели,87,87|88,to prevent,goals
course,предотвращения,88,88|89,race,preventing
armements,гонки,89,89|90,armaments,race
espace,вооружений,90,90|92,space,weapons
condition,космическом,91,91|94,condition,space
essentielle,пространстве,92,,essential,space
promotion,важного,93,,promotion,important
coopération,условия,94,94|97,cooperation,conditions
internationale,развития,95,95|96,international,development
matière,международного,96,,matter,international
dexploration,сотрудничества,97,97|98,exploration,cooperation
dutilisation,исследовании,98,98|99,of use,research
espace,использовании,99,,space,using
fins,космического,100,,ends,space
pacifiques,пространства,101, 101|102,peaceful,space
considérant,мирных,102, 102|104,considering,peaceful
débris,целях,103,,debris,purposes
spatiaux,учитывая,104, 104|100,space,Considering
problème,космический,105, 105|108,problem,space
préoccupe,мусор,106,,concerned,rubbish
toutes,является,107,,all,is an
nations,проблемой,108,,nations,problem
notant,стран,109, 109|110,noting,countries
progrès,отмечая,110, 110|111,progress,noting
accomplis,прогресс,111,,accomplished,progress
poursuite,достигнутый,112,,pursuit,reached
développement,дальнейшем,113, 113|114,development,further
exploration,развитии,114,,exploration,development
applications,исследования,115, 115|116,applications,research
spatiales,применения,116, 116|117,space,application
fins,космического,117,,ends,space
pacifiques,пространства,118, 118|119,peaceful,space
ainsi,мирных,119,,Thus,peaceful
divers,целях,120, 120|122,various,purposes
projets,также,121, 121|126,projects,also
spatiaux,различных,122, 122|118,space,various
nationaux,национальных,123, 123|123,national,national
coopératifs,совместных,124,,cooperatives,joint
contribuent,космических,125,,contribute,space
coopération,проектах,126, 126|129,cooperation,projects
internationale,способствует,127, 127|128,international,promotes
importance,международному,128, 128|130,importance,international
poursuite,сотрудничеству,129,,pursuit,cooperation
coopération,важность,130, 130|133,cooperation,importance
internationale,дальнейшего,131, 131|132,international,further
domaine,международного,132,,domain,international
convaincue,сотрудничества,133, 133|135,convinced,cooperation
importance,области,134, 134|136,importance,areas
recommandations,убеждены,135, 135|137,recommendations,convinced
contenues,важности,136, 136|138,contained,importance
résolution,рекомендаций,137, 137|139,resolution,recommendations
intitulée,содержащихся,138, 138|140,titled,contained
"""le",резолюции,139,,"""the",resolution
millénaire,озаглавленной,140,,millennium,entitled
espace,«космическое,141,,space,"""Space"
déclaration,тысячелетие,142, 142|144,declaration,millennium
vienne,венская,143,,come,Viennese
espace,декларация,144, 144|141,space,declaration
développement,космосе,145, 145|146,development,outer space
"humain""",развитии,146,,"human""",development
adoptée,человека»,147, 147|148,adopted,"man """
troisième,принятой,148, 148|149,third,adopted
conférence,третьей,149, 149|150,conference,third
nations,конференцией,150, 150|153,nations,conference
unies,организации,151, 151|152,united,organization
exploration,объединенных,152,,exploration,united
utilisations,наций,153,,uses,nations
pacifiques,исследованию,154, 154|158,peaceful,research
espace,использованию,155, 155|145,space,using
extra-atmosphérique,космического,156, 156|156,outer space,space
unispace,пространства,157, 157|157,unispace,space
iii,мирных,158,,iii,peaceful
tenue,целях,159,,outfit,purposes
vienne,юниспейс,160,,come,unispace
juillet,iii,161,,July,iii
rapport,состоявшейся,162, 162|166,report,held
troisième,вене,163, 163|167,third,Vienna
conférence,июля,164, 164|168,conference,july
nations,г,165, 165|171,nations,G
unies,отчет,166, 166|170,united,report
exploration,третьей,167,,exploration,third
utilisations,конференции,168,,uses,conferences
pacifiques,организации,169,* 169|176,peaceful,organization
espace,объединенных,170, 170|160,space,united
extra-atmosphérique,наций,171, 171|174,outer space,nations
vienne,исследованию,172,,come,research
-,использованию,173,,,using
juillet,космического,174,* 174|180,July,space
publication,пространства,175,,publication,space
nations,мирных,176,* 176|185,nations,peaceful
unies,целях,177,* 177|184,united,purposes
numéro,вена,178,,number,vein
vente,–,179,* 179|186,sale,-
ei,июля,180, 180|178,ei,july
chap,г,181,,chap,G
i,издание,182,,i,edition
résolution,организации,183,* 183|191,resolution,organization
approuve,объединенных,184,,approved,united
recommandation,наций,185,* 185|193,recommendation,nations
comité,продаже,186, 186|190,committee,sale
selon,№,187, 187|181,according to,No.
laquelle,ei,188, 188|189,which,ei
sous-comité,гл,189,,subcommittee,ch
juridique,i,190,,legal,i
quarantième,резолюция,191,* 191|199,fortieth,resolution
session,одобряет,192,,session,approves
compte,рекомендацию,193,,account,recommendation
tenu,комитета,194,,tenuous,committee
préoccupations,том,195,,concerns,volume
tous,юридический,196,,all,legal
pays,подкомитет,197,,country,subcommittee
particulier,своей,198,,particular,his
celles,сороковой,199,,those,fortieth
pays,сессии,200,,country,session
développement,принимая,201,,development,taking
,внимание,202,,,Attention
,озабоченности,203,,,concerns
,стран,204,,,countries
,частности,205,,,particular
,развивающихся,206,,,developing
,стран,207,,,countries
