english,french,index,alignment,english_eng,french_eng
space,utilisation,50,50|51,space,use
peaceful,espace,51, 51|54,peaceful,space
purposes,extra-atmosphérique,52,,purposes,outer space
widest,fins,53,,widest,ends
possible,pacifiques,54, 54|58,possible,peaceful
adherence,adhésion,55,,adherence,membership
international,plus,56, 56|60,international,more
treaties,large,57,57|59,treaties,large
promote,possible,58,,promote,possible
peaceful,traités,59, 59|63,peaceful,treated
uses,internationaux,60, 60|62,uses,international
outer,favorisent,61, 61|65,outer,favor
space,utilisations,62, 62|64,space,uses
seriously,pacifiques,63, 63|66,seriously,peaceful
concerned,espace,64,,concerned,space
possibility,extra-atmosphérique,65,,possibility,outer space
arms,gravement,66,66|71,arms,seriously
race,préoccupée,67, 67|70,race,preoccupied
outer,éventualité,68,,outer,contingency
space,dune,69, 69|72,space,dune
recognizing,course,70,,recognizing,race
states,armements,71, 71|75,states,armaments
particular,espace,72, 72|76,particular,space
major,reconnaissant,73,,major,grateful
space,tous,74,,space,all
capabilities,états,75,# 75|80,capabilities,states
contribute,particulier,76,# 76|83,contribute,particular
actively,ceux,77,* 77|84,actively,those
goal,disposent,78,* 78|85,goal,have
preventing,dimportantes,79,79|87,preventing,important
arms,capacités,80,80|89,arms,abilities
race,spatiales,81,* 81|88,race,space
outer,devraient,82,83|90,outer,should
space,contribuer,83, 83|81,space,to contribute
essential,activement,84,* 84|92,essential,actively
condition,objectif,85,* 85|91,condition,goal
promotion,consistant,86,* 86|93,promotion,consistent
international,empêcher,87,* 87|95,international,to prevent
cooperation,course,88,* 88|94,cooperation,race
exploration,armements,89,* 89|97,exploration,armaments
use,espace,90,# 90|98,use,space
outer,condition,91,,outer,condition
space,essentielle,92, 92|90,space,essential
peaceful,promotion,93,** 93|118,peaceful,promotion
purposes,coopération,94,,purposes,cooperation
considering,internationale,95,* 95|102,considering,international
space,matière,96, 96|99,space,matter
debris,dexploration,97,* 97|103,debris,exploration
issue,dutilisation,98,,issue,of use
concern,espace,99,# 99|106,concern,space
nations,fins,100,* 100|108,nations,ends
noting,pacifiques,101,* 101|109,noting,peaceful
progress,considérant,102,* 102|110,progress,considering
achieved,débris,103,,achieved,debris
development,spatiaux,104,* 104|113,development,space
peaceful,problème,105, 105|101,peaceful,problem
space,préoccupe,106, 106|104,space,concerned
exploration,toutes,107,* 107|114,exploration,all
applications,nations,108,* 108|115,applications,nations
well,notant,109,,well,noting
various,progrès,110,* 110|120,various,progress
national,accomplis,111,,national,accomplished
cooperative,poursuite,112,# 112|124,cooperative,pursuit
space,développement,113, 113|116,space,development
projects,exploration,114,* 114|121,projects,exploration
contributes,applications,115,# 115|125,contributes,applications
international,spatiales,116,* 116|127,international,space
cooperation,fins,117,* 117|126,cooperation,ends
importance,pacifiques,118,* 118|128,importance,peaceful
international,ainsi,119, 119|123,international,Thus
cooperation,divers,120,* 120|130,cooperation,various
field,projets,121,,field,projects
convinced,spatiaux,122,** 122|133,convinced,space
importance,nationaux,123,** 123|134,importance,national
recommendations,coopératifs,124,,recommendations,cooperatives
contained,contribuent,125,* 125|136,contained,contribute
resolution,coopération,126,,resolution,cooperation
entitled,internationale,127,# 127|138,entitled,international
"""the",importance,128,* 128|139,"""the",importance
space,poursuite,129,* 129|122,space,pursuit
millennium,coopération,130,* 130|140,millennium,cooperation
vienna,internationale,131,,vienna,international
declaration,domaine,132,* 132|142,declaration,domain
space,convaincue,133,# 133|157,space,convinced
human,importance,134,# 134|146,human,importance
"development""",recommandations,135,# 135|145,"development""",recommendations
adopted,contenues,136,* 136|147,adopted,contained
third,résolution,137,,third,resolution
united,intitulée,138,,united,titled
nations,"""le",139,,nations,"""the"
conference,millénaire,140,* 140|164,conference,millennium
exploration,espace,141,,exploration,space
peaceful,déclaration,142, 142|154,peaceful,declaration
uses,vienne,143, 143|153,uses,come
outer,espace,144,,outer,space
space,développement,145, 145|141,space,development
unispace,"humain""",146, 146|144,unispace,"human"""
iii,adoptée,147, 147|158,iii,adopted
held,troisième,148,,held,third
vienna,conférence,149,,vienna,conference
july,nations,150, 150|161,july,nations
report,unies,151, 151|162,report,united
third,exploration,152, 152|148,third,exploration
united,utilisations,153, 153|151,united,uses
nations,pacifiques,154, 154|150,nations,peaceful
conference,espace,155, 155|149,conference,space
exploration,extra-atmosphérique,156, 156|152,exploration,outer space
peaceful,unispace,157,* 157|169,peaceful,unispace
uses,iii,158,* 158|168,uses,iii
outer,tenue,159, 159|156,outer,outfit
space,vienne,160, 160|155,space,come
vienna,juillet,161,,vienna,July
-,rapport,162,,-,report
july,troisième,163,* 163|174,july,third
united,conférence,164, 164|166,united,conference
nations,nations,165, 165|165,nations,nations
publication,unies,166,* 166|175,publication,united
sales,exploration,167,# 167|179,sales,exploration
no,utilisations,168,,no,uses
ei,pacifiques,169,* 169|180,ei,peaceful
chap,espace,170,* 170|181,chap,space
i,extra-atmosphérique,171, 171|167,i,outer space
resolution,vienne,172,* 172|137,resolution,come
endorses,-,173,,endorses,
recommendation,juillet,174,# 174|135,recommendation,July
committee,publication,175,* 175|186,committee,publication
legal,nations,176,,legal,nations
subcommittee,unies,177, 177|182,subcommittee,united
fortieth,numéro,178,,fortieth,number
session,vente,179,,session,sale
taking,ei,180,,taking,ei
account,chap,181,,account,chap
concerns,i,182,,concerns,i
countries,résolution,183,,countries,resolution
particular,approuve,184,,particular,approved
developing,recommandation,185,,developing,recommendation
countries,comité,186,,countries,committee
,selon,187,,,according to
,laquelle,188,,,which
,sous-comité,189,,,subcommittee
,juridique,190,,,legal
,quarantième,191,,,fortieth
,session,192,,,session
,compte,193,,,account
,tenu,194,,,tenuous
,préoccupations,195,,,concerns
,tous,196,,,all
,pays,197,,,country
,particulier,198,,,particular
,celles,199,,,those
,pays,200,,,country
,développement,201,,,development
